Date,iShares Core Total USD Bond Market_etf_Open_average,iShares Core Total USD Bond Market_etf_Open_max,iShares Core Total USD Bond Market_etf_Open_min,iShares Core Total USD Bond Market_etf_Open_volatility,iShares Core Total USD Bond Market_etf_Open_change,iShares Core Total USD Bond Market_etf_High_average,iShares Core Total USD Bond Market_etf_High_max,iShares Core Total USD Bond Market_etf_High_min,iShares Core Total USD Bond Market_etf_High_volatility,iShares Core Total USD Bond Market_etf_High_change,iShares Core Total USD Bond Market_etf_Low_average,iShares Core Total USD Bond Market_etf_Low_max,iShares Core Total USD Bond Market_etf_Low_min,iShares Core Total USD Bond Market_etf_Low_volatility,iShares Core Total USD Bond Market_etf_Low_change,iShares Core Total USD Bond Market_etf_Close_average,iShares Core Total USD Bond Market_etf_Close_max,iShares Core Total USD Bond Market_etf_Close_min,iShares Core Total USD Bond Market_etf_Close_volatility,iShares Core Total USD Bond Market_etf_Close_change
2016-01-03,49.83,49.83,49.83,0.0,0.0,49.94,49.94,49.94,0.0,0.0,49.82,49.82,49.82,0.0,0.0,49.88,49.88,49.88,0.0,0.0
2016-01-10,49.87,49.87,49.87,0.0,0.0,49.88,49.88,49.88,0.0,0.0,49.0,49.0,49.0,0.0,0.0,49.77,49.77,49.77,0.0,0.0
2016-01-17,49.63,49.63,49.63,0.0,0.0,49.78,49.78,49.78,0.0,0.0,49.48,49.48,49.48,0.0,0.0,49.62,49.62,49.62,0.0,0.0
2016-01-24,49.84,49.84,49.84,0.0,0.0,50.0,50.0,50.0,0.0,0.0,49.81,49.81,49.81,0.0,0.0,49.95,49.95,49.95,0.0,0.0
2016-01-31,50.03,50.03,50.03,0.0,0.0,50.05,50.05,50.05,0.0,0.0,49.89,49.89,49.89,0.0,0.0,49.89,49.89,49.89,0.0,0.0
2016-02-07,50.07,50.07,50.07,0.0,0.0,50.08,50.08,50.08,0.0,0.0,49.9,49.9,49.9,0.0,0.0,50.08,50.08,50.08,0.0,0.0
2016-02-14,50.26,50.26,50.26,0.0,0.0,50.31,50.31,50.31,0.0,0.0,50.12,50.12,50.12,0.0,0.0,50.15,50.15,50.15,0.0,0.0
2016-02-21,50.2,50.2,50.2,0.0,0.0,50.37,50.37,50.37,0.0,0.0,50.1,50.1,50.1,0.0,0.0,50.32,50.32,50.32,0.0,0.0
2016-02-28,50.08,50.08,50.08,0.0,0.0,50.36,50.36,50.36,0.0,0.0,50.08,50.08,50.08,0.0,0.0,50.3,50.3,50.3,0.0,0.0
2016-03-06,50.4,50.4,50.4,0.0,0.0,50.45,50.45,50.45,0.0,0.0,50.19,50.19,50.19,0.0,0.0,50.31,50.31,50.31,0.0,0.0
2016-03-13,50.67,50.67,50.67,0.0,0.0,50.7,50.7,50.7,0.0,0.0,50.63,50.63,50.63,0.0,0.0,50.63,50.63,50.63,0.0,0.0
2016-03-20,50.69,50.69,50.69,0.0,0.0,50.69,50.69,50.69,0.0,0.0,50.61,50.61,50.61,0.0,0.0,50.61,50.61,50.61,0.0,0.0
2016-03-27,50.87,50.87,50.87,0.0,0.0,50.88,50.88,50.88,0.0,0.0,50.71,50.71,50.71,0.0,0.0,50.74,50.74,50.74,0.0,0.0
2016-04-03,51.01,51.01,51.01,0.0,0.0,51.13,51.13,51.13,0.0,0.0,50.95,50.95,50.95,0.0,0.0,50.98,50.98,50.98,0.0,0.0
2016-04-10,51.05,51.05,51.05,0.0,0.0,51.11,51.11,51.11,0.0,0.0,51.02,51.02,51.02,0.0,0.0,51.05,51.05,51.05,0.0,0.0
2016-04-17,50.99,50.99,50.99,0.0,0.0,51.08,51.08,51.08,0.0,0.0,50.83,50.83,50.83,0.0,0.0,51.02,51.02,51.02,0.0,0.0
2016-04-24,51.2,51.2,51.2,0.0,0.0,51.2,51.2,51.2,0.0,0.0,51.06,51.06,51.06,0.0,0.0,51.14,51.14,51.14,0.0,0.0
2016-05-01,51.2,51.2,51.2,0.0,0.0,51.25,51.25,51.25,0.0,0.0,51.2,51.2,51.2,0.0,0.0,51.2,51.2,51.2,0.0,0.0
2016-05-08,51.3,51.3,51.3,0.0,0.0,51.36,51.36,51.36,0.0,0.0,51.16,51.16,51.16,0.0,0.0,51.25,51.25,51.25,0.0,0.0
2016-05-15,50.91,50.91,50.91,0.0,0.0,51.14,51.14,51.14,0.0,0.0,50.59,50.59,50.59,0.0,0.0,51.02,51.02,51.02,0.0,0.0
2016-05-22,51.08,51.08,51.08,0.0,0.0,51.14,51.14,51.14,0.0,0.0,50.91,50.91,50.91,0.0,0.0,51.05,51.05,51.05,0.0,0.0
2016-05-29,51.3,51.3,51.3,0.0,0.0,51.4,51.4,51.4,0.0,0.0,51.26,51.26,51.26,0.0,0.0,51.4,51.4,51.4,0.0,0.0
2016-06-05,51.52,51.52,51.52,0.0,0.0,51.62,51.62,51.62,0.0,0.0,51.45,51.45,51.45,0.0,0.0,51.51,51.51,51.51,0.0,0.0
2016-06-12,51.52,51.52,51.52,0.0,0.0,51.54,51.54,51.54,0.0,0.0,51.46,51.46,51.46,0.0,0.0,51.5,51.5,51.5,0.0,0.0
2016-06-19,51.6,51.6,51.6,0.0,0.0,51.73,51.73,51.73,0.0,0.0,51.55,51.55,51.55,0.0,0.0,51.69,51.69,51.69,0.0,0.0
