Date,CNAF_stock_Open_average,CNAF_stock_Open_max,CNAF_stock_Open_min,CNAF_stock_Open_volatility,CNAF_stock_Open_change,CNAF_stock_High_average,CNAF_stock_High_max,CNAF_stock_High_min,CNAF_stock_High_volatility,CNAF_stock_High_change,CNAF_stock_Low_average,CNAF_stock_Low_max,CNAF_stock_Low_min,CNAF_stock_Low_volatility,CNAF_stock_Low_change,CNAF_stock_Close_average,CNAF_stock_Close_max,CNAF_stock_Close_min,CNAF_stock_Close_volatility,CNAF_stock_Close_change,CNAF_stock_Volume_average,CNAF_stock_Volume_max,CNAF_stock_Volume_min,CNAF_stock_Volume_volatility,CNAF_stock_Volume_change
2016-01-03,21.3425,21.74,21.05,0.6899999999999977,-0.23999999999999844,21.6425,21.79,21.25,0.5399999999999991,0.05000000000000071,21.2125,21.5,20.8,0.6999999999999993,0.0,21.5825,21.79,21.25,0.5399999999999991,0.28999999999999915,660,1151,300,851,-851
2016-01-10,21.15,21.5,20.8,0.6999999999999993,-0.6999999999999993,21.15,21.5,20.8,0.6999999999999993,-0.6999999999999993,20.8,20.8,20.8,0.0,0.0,20.8,20.8,20.8,0.0,0.0,391,525,257,268,-268
2016-01-17,21.025,21.25,20.8,0.4499999999999993,0.4499999999999993,21.025,21.25,20.8,0.4499999999999993,0.4499999999999993,21.0,21.25,20.75,0.5,0.5,21.0,21.25,20.75,0.5,0.5,1230,2310,150,2160,-2160
2016-01-24,20.833333333333332,20.95,20.75,0.1999999999999993,-0.05000000000000071,20.833333333333332,20.95,20.75,0.1999999999999993,-0.05000000000000071,20.706666666666667,20.95,20.56,0.39000000000000057,-0.05000000000000071,20.77,20.95,20.61,0.33999999999999986,0.14000000000000057,1517,3955,168,3787,-3525
2016-01-31,20.933333333333334,21.0,20.8,0.1999999999999993,-0.1999999999999993,21.016666666666666,21.25,20.8,0.4499999999999993,-0.1999999999999993,20.72,21.0,20.41,0.5899999999999999,-0.33999999999999986,20.833333333333332,21.25,20.5,0.75,-0.25,4833,13600,300,13300,13300
2016-02-07,20.445,20.75,20.26,0.48999999999999844,-0.48999999999999844,20.47,20.75,20.26,0.48999999999999844,-0.48999999999999844,20.192500000000003,20.51,19.84,0.6700000000000017,-0.4200000000000017,20.2175,20.51,19.84,0.6700000000000017,-0.4200000000000017,1388,2700,600,2100,-2100
2016-02-14,20.2575,20.36,20.15,0.21000000000000085,0.010000000000001563,20.31,20.36,20.16,0.1999999999999993,0.1999999999999993,20.2575,20.36,20.15,0.21000000000000085,0.010000000000001563,20.31,20.36,20.16,0.1999999999999993,0.1999999999999993,806,2133,180,1953,286
2016-02-21,20.235,20.36,20.06,0.3000000000000007,-0.09999999999999787,20.235,20.36,20.06,0.3000000000000007,-0.09999999999999787,20.135,20.26,19.96,0.3000000000000007,0.20000000000000284,20.135,20.26,19.96,0.3000000000000007,0.20000000000000284,1770,3311,210,3101,-3101
2016-02-28,19.997500000000002,20.51,19.27,1.240000000000002,1.240000000000002,20.3575,20.51,20.16,0.3500000000000014,0.3500000000000014,19.997500000000002,20.51,19.27,1.240000000000002,1.240000000000002,20.3575,20.51,20.16,0.3500000000000014,0.3500000000000014,1062,2013,460,1553,1553
2016-03-06,20.646666666666665,20.74,20.46,0.2799999999999976,0.2799999999999976,20.65,20.75,20.46,0.28999999999999915,0.28999999999999915,20.646666666666665,20.74,20.46,0.2799999999999976,0.2799999999999976,20.65,20.75,20.46,0.28999999999999915,0.28999999999999915,3069,8329,301,8028,8028
2016-03-13,20.69,20.75,20.51,0.23999999999999844,-0.23999999999999844,20.69,20.75,20.51,0.23999999999999844,-0.23999999999999844,20.5625,20.75,20.26,0.48999999999999844,-0.46999999999999886,20.567500000000003,20.75,20.26,0.48999999999999844,-0.48999999999999844,1624,3297,300,2997,-1900
2016-03-20,20.28,20.75,19.8,0.9499999999999993,-0.5499999999999972,20.395,20.75,20.01,0.7399999999999984,-0.5499999999999972,20.0575,20.56,19.8,0.759999999999998,-0.5499999999999972,20.2025,20.56,19.98,0.5799999999999983,-0.5499999999999972,1561,4050,200,3850,3850
2016-03-27,20.085,20.26,19.91,0.3500000000000014,0.3500000000000014,20.33,20.75,19.91,0.8399999999999999,0.8399999999999999,20.04,20.26,19.82,0.4400000000000013,0.4400000000000013,20.285,20.75,19.82,0.9299999999999997,0.9299999999999997,301,400,202,198,198
