Date,SAM_stock_Open_average,SAM_stock_Open_max,SAM_stock_Open_min,SAM_stock_Open_volatility,SAM_stock_Open_change,SAM_stock_High_average,SAM_stock_High_max,SAM_stock_High_min,SAM_stock_High_volatility,SAM_stock_High_change,SAM_stock_Low_average,SAM_stock_Low_max,SAM_stock_Low_min,SAM_stock_Low_volatility,SAM_stock_Low_change,SAM_stock_Close_average,SAM_stock_Close_max,SAM_stock_Close_min,SAM_stock_Close_volatility,SAM_stock_Close_change,SAM_stock_Volume_average,SAM_stock_Volume_max,SAM_stock_Volume_min,SAM_stock_Volume_volatility,SAM_stock_Volume_change
2016-01-03,194.064,200.59,187.84,12.75,-9.590000000000003,195.59,201.47,191.0,10.469999999999999,-10.469999999999999,189.088,198.82,177.02,21.799999999999983,-21.799999999999983,190.798,199.25,177.52,21.72999999999999,-21.72999999999999,213251,340978,144869,196109,137717
2016-01-10,170.624,177.83,165.0,12.830000000000013,-12.830000000000013,172.552,177.87,167.24,10.629999999999995,-10.629999999999995,167.014,170.74,163.01,7.730000000000018,-6.5,168.76,172.42,164.0,8.419999999999987,-7.310000000000002,299312,325274,271519,53755,14280
2016-01-17,164.4725,165.41,163.39,2.0200000000000102,-0.9099999999999966,166.8875,168.14,165.45,2.6899999999999977,0.3599999999999852,162.2475,163.03,160.84,2.1899999999999977,0.01999999999998181,164.6125,166.16,163.72,2.4399999999999977,-1.539999999999992,241754,332939,162744,170195,-170195
2016-01-24,168.35,172.44,164.13,8.310000000000002,7.289999999999992,172.572,179.37,165.64,13.730000000000018,13.730000000000018,166.566,170.84,161.0,9.840000000000003,9.840000000000003,170.87,179.25,163.55,15.699999999999989,15.699999999999989,184960,213921,148408,65513,45400
2016-01-31,178.596,180.47,176.0,4.469999999999999,-2.4000000000000057,180.246,181.99,178.64,3.3500000000000227,-2.490000000000009,175.68,178.29,173.34,4.949999999999989,-1.829999999999984,178.256,180.23,174.9,5.329999999999984,0.21999999999999886,161628,187215,123908,63307,20412
2016-02-07,179.474,183.42,176.21,7.2099999999999795,1.5699999999999932,185.02,189.4,180.0,9.400000000000006,1.5300000000000011,177.222,179.14,174.4,4.739999999999981,2.539999999999992,181.428,185.04,177.55,7.489999999999981,0.37999999999999545,181007,275136,90132,185004,-100915
2016-02-14,183.6475,189.09,173.36,15.72999999999999,-13.529999999999973,187.425,190.22,181.97,8.25,-6.599999999999994,179.26,184.56,167.02,17.539999999999992,-15.75,184.67000000000002,188.65,181.02,7.6299999999999955,-3.5600000000000023,231050,399715,135942,263773,246464
2016-02-21,189.168,191.73,182.66,9.069999999999993,9.069999999999993,192.856,193.74,192.19,1.5500000000000114,-1.1599999999999966,187.19,189.38,181.1,8.280000000000001,6.430000000000007,190.876,192.26,188.95,3.3100000000000023,-3.3100000000000023,154444,218630,106848,111782,-99761
2016-02-28,192.32399999999998,199.73,188.1,11.629999999999995,9.849999999999994,195.934,202.77,190.21,12.560000000000002,11.280000000000001,190.05,196.34,186.56,9.780000000000001,8.52000000000001,194.116,199.73,188.11,11.619999999999976,10.609999999999985,175654,229680,123607,106073,74409
2016-03-06,183.64,198.39,175.19,23.19999999999999,-17.169999999999987,188.0,200.0,178.64,21.360000000000014,-13.669999999999987,179.174,196.68,171.47,25.210000000000008,-17.05000000000001,182.868,199.48,175.21,24.269999999999982,-15.45999999999998,191907,406715,94889,311826,31541
