Date,PowerShares Russell 1000 Low Beta Equal WeightEtf_Open_average,PowerShares Russell 1000 Low Beta Equal WeightEtf_Open_max,PowerShares Russell 1000 Low Beta Equal WeightEtf_Open_min,PowerShares Russell 1000 Low Beta Equal WeightEtf_Open_volatility,PowerShares Russell 1000 Low Beta Equal WeightEtf_Open_change,PowerShares Russell 1000 Low Beta Equal WeightEtf_High_average,PowerShares Russell 1000 Low Beta Equal WeightEtf_High_max,PowerShares Russell 1000 Low Beta Equal WeightEtf_High_min,PowerShares Russell 1000 Low Beta Equal WeightEtf_High_volatility,PowerShares Russell 1000 Low Beta Equal WeightEtf_High_change,PowerShares Russell 1000 Low Beta Equal WeightEtf_Low_average,PowerShares Russell 1000 Low Beta Equal WeightEtf_Low_max,PowerShares Russell 1000 Low Beta Equal WeightEtf_Low_min,PowerShares Russell 1000 Low Beta Equal WeightEtf_Low_volatility,PowerShares Russell 1000 Low Beta Equal WeightEtf_Low_change,PowerShares Russell 1000 Low Beta Equal WeightEtf_Close_average,PowerShares Russell 1000 Low Beta Equal WeightEtf_Close_max,PowerShares Russell 1000 Low Beta Equal WeightEtf_Close_min,PowerShares Russell 1000 Low Beta Equal WeightEtf_Close_volatility,PowerShares Russell 1000 Low Beta Equal WeightEtf_Close_change
2016-01-03,23.8,23.8,23.8,0.0,0.0,23.87,23.87,23.87,0.0,0.0,23.34,23.34,23.34,0.0,0.0,23.34,23.34,23.34,0.0,0.0
2016-01-10,22.87,22.87,22.87,0.0,0.0,22.94,22.94,22.94,0.0,0.0,22.74,22.74,22.74,0.0,0.0,22.94,22.94,22.94,0.0,0.0
2016-01-17,23.15,23.15,23.15,0.0,0.0,23.2,23.2,23.2,0.0,0.0,23.05,23.05,23.05,0.0,0.0,23.18,23.18,23.18,0.0,0.0
2016-01-24,23.36,23.36,23.36,0.0,0.0,23.39,23.39,23.39,0.0,0.0,23.36,23.36,23.36,0.0,0.0,23.39,23.39,23.39,0.0,0.0
2016-01-31,23.51,23.51,23.51,0.0,0.0,23.65,23.65,23.65,0.0,0.0,23.5,23.5,23.5,0.0,0.0,23.61,23.61,23.61,0.0,0.0
2016-02-07,22.73,22.73,22.73,0.0,0.0,22.73,22.73,22.73,0.0,0.0,22.73,22.73,22.73,0.0,0.0,22.73,22.73,22.73,0.0,0.0
2016-02-14,23.67,23.67,23.67,0.0,0.0,23.67,23.67,23.67,0.0,0.0,23.67,23.67,23.67,0.0,0.0,23.67,23.67,23.67,0.0,0.0
2016-02-21,24.2,24.2,24.2,0.0,0.0,24.23,24.23,24.23,0.0,0.0,24.2,24.2,24.2,0.0,0.0,24.2,24.2,24.2,0.0,0.0
2016-02-28,24.84,24.84,24.84,0.0,0.0,24.87,24.87,24.87,0.0,0.0,24.7,24.7,24.7,0.0,0.0,24.77,24.77,24.77,0.0,0.0
2016-03-06,25.13,25.13,25.13,0.0,0.0,25.13,25.13,25.13,0.0,0.0,25.05,25.05,25.05,0.0,0.0,25.13,25.13,25.13,0.0,0.0
