Date,First Trust Developed Markets ex-US Small Cap AlphEtf_Open_average,First Trust Developed Markets ex-US Small Cap AlphEtf_Open_max,First Trust Developed Markets ex-US Small Cap AlphEtf_Open_min,First Trust Developed Markets ex-US Small Cap AlphEtf_Open_volatility,First Trust Developed Markets ex-US Small Cap AlphEtf_Open_change,First Trust Developed Markets ex-US Small Cap AlphEtf_High_average,First Trust Developed Markets ex-US Small Cap AlphEtf_High_max,First Trust Developed Markets ex-US Small Cap AlphEtf_High_min,First Trust Developed Markets ex-US Small Cap AlphEtf_High_volatility,First Trust Developed Markets ex-US Small Cap AlphEtf_High_change,First Trust Developed Markets ex-US Small Cap AlphEtf_Low_average,First Trust Developed Markets ex-US Small Cap AlphEtf_Low_max,First Trust Developed Markets ex-US Small Cap AlphEtf_Low_min,First Trust Developed Markets ex-US Small Cap AlphEtf_Low_volatility,First Trust Developed Markets ex-US Small Cap AlphEtf_Low_change,First Trust Developed Markets ex-US Small Cap AlphEtf_Close_average,First Trust Developed Markets ex-US Small Cap AlphEtf_Close_max,First Trust Developed Markets ex-US Small Cap AlphEtf_Close_min,First Trust Developed Markets ex-US Small Cap AlphEtf_Close_volatility,First Trust Developed Markets ex-US Small Cap AlphEtf_Close_change
2016-01-03,31.87,31.87,31.87,0.0,0.0,31.98,31.98,31.98,0.0,0.0,31.58,31.58,31.58,0.0,0.0,31.81,31.81,31.81,0.0,0.0
2016-01-10,30.08,30.08,30.08,0.0,0.0,30.08,30.08,30.08,0.0,0.0,30.08,30.08,30.08,0.0,0.0,30.08,30.08,30.08,0.0,0.0
2016-01-17,30.06,30.06,30.06,0.0,0.0,30.06,30.06,30.06,0.0,0.0,30.06,30.06,30.06,0.0,0.0,30.06,30.06,30.06,0.0,0.0
2016-01-24,30.63,30.63,30.63,0.0,0.0,30.76,30.76,30.76,0.0,0.0,30.59,30.59,30.59,0.0,0.0,30.76,30.76,30.76,0.0,0.0
2016-01-31,29.55,29.55,29.55,0.0,0.0,29.7,29.7,29.7,0.0,0.0,29.55,29.55,29.55,0.0,0.0,29.7,29.7,29.7,0.0,0.0
2016-02-07,27.94,27.94,27.94,0.0,0.0,28.26,28.26,28.26,0.0,0.0,27.94,27.94,27.94,0.0,0.0,28.26,28.26,28.26,0.0,0.0
2016-02-14,29.15,29.15,29.15,0.0,0.0,29.32,29.32,29.32,0.0,0.0,29.12,29.12,29.12,0.0,0.0,29.12,29.12,29.12,0.0,0.0
2016-02-21,29.4,29.4,29.4,0.0,0.0,29.4,29.4,29.4,0.0,0.0,29.4,29.4,29.4,0.0,0.0,29.4,29.4,29.4,0.0,0.0
2016-02-28,30.66,30.66,30.66,0.0,0.0,30.66,30.66,30.66,0.0,0.0,30.53,30.53,30.53,0.0,0.0,30.59,30.59,30.59,0.0,0.0
2016-03-06,31.31,31.31,31.31,0.0,0.0,31.31,31.31,31.31,0.0,0.0,31.31,31.31,31.31,0.0,0.0,31.31,31.31,31.31,0.0,0.0
2016-03-13,32.15,32.15,32.15,0.0,0.0,32.15,32.15,32.15,0.0,0.0,31.92,31.92,31.92,0.0,0.0,31.92,31.92,31.92,0.0,0.0
2016-03-20,31.52,31.52,31.52,0.0,0.0,31.52,31.52,31.52,0.0,0.0,31.52,31.52,31.52,0.0,0.0,31.52,31.52,31.52,0.0,0.0
2016-03-27,31.92,31.92,31.92,0.0,0.0,31.92,31.92,31.92,0.0,0.0,31.61,31.61,31.61,0.0,0.0,31.61,31.61,31.61,0.0,0.0
2016-04-03,31.49,31.49,31.49,0.0,0.0,31.49,31.49,31.49,0.0,0.0,31.49,31.49,31.49,0.0,0.0,31.49,31.49,31.49,0.0,0.0
