Date,SPDR MFS Systematic Growth EquityEtf_Open_average,SPDR MFS Systematic Growth EquityEtf_Open_max,SPDR MFS Systematic Growth EquityEtf_Open_min,SPDR MFS Systematic Growth EquityEtf_Open_volatility,SPDR MFS Systematic Growth EquityEtf_Open_change,SPDR MFS Systematic Growth EquityEtf_High_average,SPDR MFS Systematic Growth EquityEtf_High_max,SPDR MFS Systematic Growth EquityEtf_High_min,SPDR MFS Systematic Growth EquityEtf_High_volatility,SPDR MFS Systematic Growth EquityEtf_High_change,SPDR MFS Systematic Growth EquityEtf_Low_average,SPDR MFS Systematic Growth EquityEtf_Low_max,SPDR MFS Systematic Growth EquityEtf_Low_min,SPDR MFS Systematic Growth EquityEtf_Low_volatility,SPDR MFS Systematic Growth EquityEtf_Low_change,SPDR MFS Systematic Growth EquityEtf_Close_average,SPDR MFS Systematic Growth EquityEtf_Close_max,SPDR MFS Systematic Growth EquityEtf_Close_min,SPDR MFS Systematic Growth EquityEtf_Close_volatility,SPDR MFS Systematic Growth EquityEtf_Close_change
2016-01-03,57.48,57.48,57.48,0.0,0.0,57.48,57.48,57.48,0.0,0.0,56.48,56.48,56.48,0.0,0.0,56.48,56.48,56.48,0.0,0.0
2016-01-10,54.49,54.49,54.49,0.0,0.0,54.78,54.78,54.78,0.0,0.0,53.79,53.79,53.79,0.0,0.0,54.78,54.78,54.78,0.0,0.0
2016-01-17,55.79,55.79,55.79,0.0,0.0,55.79,55.79,55.79,0.0,0.0,55.38,55.38,55.38,0.0,0.0,55.61,55.61,55.61,0.0,0.0
2016-01-24,55.24,55.24,55.24,0.0,0.0,55.4,55.4,55.4,0.0,0.0,54.86,54.86,54.86,0.0,0.0,55.4,55.4,55.4,0.0,0.0
2016-01-31,54.32,54.32,54.32,0.0,0.0,54.32,54.32,54.32,0.0,0.0,54.31,54.31,54.31,0.0,0.0,54.31,54.31,54.31,0.0,0.0
2016-02-07,53.76,53.76,53.76,0.0,0.0,53.86,53.86,53.86,0.0,0.0,53.27,53.27,53.27,0.0,0.0,53.86,53.86,53.86,0.0,0.0
2016-02-14,55.66,55.66,55.66,0.0,0.0,55.72,55.72,55.72,0.0,0.0,55.66,55.66,55.66,0.0,0.0,55.72,55.72,55.72,0.0,0.0
2016-02-21,57.34,57.34,57.34,0.0,0.0,57.4,57.4,57.4,0.0,0.0,57.34,57.34,57.34,0.0,0.0,57.4,57.4,57.4,0.0,0.0
2016-02-28,58.38,58.38,58.38,0.0,0.0,58.38,58.38,58.38,0.0,0.0,58.19,58.19,58.19,0.0,0.0,58.19,58.19,58.19,0.0,0.0
2016-03-06,58.58,58.58,58.58,0.0,0.0,59.16,59.16,59.16,0.0,0.0,58.58,58.58,58.58,0.0,0.0,59.16,59.16,59.16,0.0,0.0
2016-03-13,59.2,59.2,59.2,0.0,0.0,59.2,59.2,59.2,0.0,0.0,59.2,59.2,59.2,0.0,0.0,59.2,59.2,59.2,0.0,0.0
2016-03-20,58.57,58.57,58.57,0.0,0.0,59.04,59.04,59.04,0.0,0.0,58.57,58.57,58.57,0.0,0.0,59.04,59.04,59.04,0.0,0.0
2016-03-27,60.35,60.35,60.35,0.0,0.0,60.35,60.35,60.35,0.0,0.0,60.35,60.35,60.35,0.0,0.0,60.35,60.35,60.35,0.0,0.0
2016-04-03,60.15,60.15,60.15,0.0,0.0,60.15,60.15,60.15,0.0,0.0,60.13,60.13,60.13,0.0,0.0,60.13,60.13,60.13,0.0,0.0
2016-04-10,60.93,60.93,60.93,0.0,0.0,60.98,60.98,60.98,0.0,0.0,60.78,60.78,60.78,0.0,0.0,60.98,60.98,60.98,0.0,0.0
2016-04-17,61.32,61.32,61.32,0.0,0.0,61.32,61.32,61.32,0.0,0.0,60.79,60.79,60.79,0.0,0.0,60.79,60.79,60.79,0.0,0.0
2016-04-24,60.04,60.04,60.04,0.0,0.0,60.04,60.04,60.04,0.0,0.0,55.55,55.55,55.55,0.0,0.0,59.24,59.24,59.24,0.0,0.0
2016-05-01,59.28,59.28,59.28,0.0,0.0,59.48,59.48,59.48,0.0,0.0,58.89,58.89,58.89,0.0,0.0,59.44,59.44,59.44,0.0,0.0
2016-05-08,60.59,60.59,60.59,0.0,0.0,60.59,60.59,60.59,0.0,0.0,59.71,59.71,59.71,0.0,0.0,59.71,59.71,59.71,0.0,0.0
2016-05-15,59.1,59.1,59.1,0.0,0.0,59.1,59.1,59.1,0.0,0.0,59.1,59.1,59.1,0.0,0.0,59.1,59.1,59.1,0.0,0.0
2016-05-22,60.2,60.2,60.2,0.0,0.0,60.34,60.34,60.34,0.0,0.0,60.2,60.2,60.2,0.0,0.0,60.34,60.34,60.34,0.0,0.0
2016-05-29,60.85,60.85,60.85,0.0,0.0,60.85,60.85,60.85,0.0,0.0,60.85,60.85,60.85,0.0,0.0,60.85,60.85,60.85,0.0,0.0
2016-06-05,60.82,60.82,60.82,0.0,0.0,61.37,61.37,61.37,0.0,0.0,60.82,60.82,60.82,0.0,0.0,61.04,61.04,61.04,0.0,0.0
2016-06-12,59.93,59.93,59.93,0.0,0.0,60.01,60.01,60.01,0.0,0.0,59.79,59.79,59.79,0.0,0.0,60.01,60.01,60.01,0.0,0.0
2016-06-19,59.79,59.79,59.79,0.0,0.0,59.79,59.79,59.79,0.0,0.0,59.79,59.79,59.79,0.0,0.0,59.79,59.79,59.79,0.0,0.0
2016-06-26,60.4,60.4,60.4,0.0,0.0,60.4,60.4,60.4,0.0,0.0,60.4,60.4,60.4,0.0,0.0,60.4,60.4,60.4,0.0,0.0
2016-07-03,61.11,61.11,61.11,0.0,0.0,61.12,61.12,61.12,0.0,0.0,60.82,60.82,60.82,0.0,0.0,60.95,60.95,60.95,0.0,0.0
2016-07-10,62.47,62.47,62.47,0.0,0.0,62.57,62.57,62.57,0.0,0.0,62.45,62.45,62.45,0.0,0.0,62.57,62.57,62.57,0.0,0.0
2016-07-17,63.02,63.02,63.02,0.0,0.0,63.02,63.02,63.02,0.0,0.0,63.02,63.02,63.02,0.0,0.0,63.02,63.02,63.02,0.0,0.0
