Date,BWLaStock_Open_average,BWLaStock_Open_max,BWLaStock_Open_min,BWLaStock_Open_volatility,BWLaStock_Open_change,BWLaStock_High_average,BWLaStock_High_max,BWLaStock_High_min,BWLaStock_High_volatility,BWLaStock_High_change,BWLaStock_Low_average,BWLaStock_Low_max,BWLaStock_Low_min,BWLaStock_Low_volatility,BWLaStock_Low_change,BWLaStock_Close_average,BWLaStock_Close_max,BWLaStock_Close_min,BWLaStock_Close_volatility,BWLaStock_Close_change,BWLaStock_Volume_average,BWLaStock_Volume_max,BWLaStock_Volume_min,BWLaStock_Volume_volatility,BWLaStock_Volume_change
2016-01-03,14.5,14.7,14.4,0.29999999999999893,0.29999999999999893,14.6,14.7,14.4,0.29999999999999893,0.29999999999999893,14.5,14.7,14.4,0.29999999999999893,0.29999999999999893,14.6,14.7,14.4,0.29999999999999893,0.29999999999999893,367,704,100,604,199
2016-01-10,14.5,14.5,14.5,0.0,0.0,14.5,14.5,14.5,0.0,0.0,14.5,14.5,14.5,0.0,0.0,14.5,14.5,14.5,0.0,0.0,200,200,200,0,0
2016-01-17,14.475,14.7,14.25,0.4499999999999993,-0.4499999999999993,14.475,14.7,14.25,0.4499999999999993,-0.4499999999999993,14.475,14.7,14.25,0.4499999999999993,-0.4499999999999993,14.475,14.7,14.25,0.4499999999999993,-0.4499999999999993,122,128,116,12,12
2016-01-24,14.3,14.3,14.3,0.0,0.0,14.3,14.3,14.3,0.0,0.0,14.3,14.3,14.3,0.0,0.0,14.3,14.3,14.3,0.0,0.0,215,215,215,0,0
2016-01-31,14.353333333333333,14.65,14.01,0.6400000000000006,-0.39000000000000057,14.476666666666667,14.65,14.38,0.2699999999999996,-0.019999999999999574,14.353333333333333,14.65,14.01,0.6400000000000006,-0.39000000000000057,14.476666666666667,14.65,14.38,0.2699999999999996,-0.019999999999999574,256,399,100,299,299
2016-02-07,14.4,14.4,14.4,0.0,0.0,14.4,14.4,14.4,0.0,0.0,14.38,14.38,14.38,0.0,0.0,14.4,14.4,14.4,0.0,0.0,710,710,710,0,0
2016-02-14,13.7,13.7,13.7,0.0,0.0,13.7,13.7,13.7,0.0,0.0,13.7,13.7,13.7,0.0,0.0,13.7,13.7,13.7,0.0,0.0,1714,1714,1714,0,0
2016-02-21,13.98,13.98,13.98,0.0,0.0,14.0,14.0,14.0,0.0,0.0,13.98,13.98,13.98,0.0,0.0,14.0,14.0,14.0,0.0,0.0,512,512,512,0,0
2016-02-28,14.1,14.1,14.1,0.0,0.0,14.1,14.1,14.1,0.0,0.0,14.1,14.1,14.1,0.0,0.0,14.1,14.1,14.1,0.0,0.0,1400,1400,1400,0,0
2016-03-06,14.2,14.2,14.2,0.0,0.0,14.32,14.32,14.32,0.0,0.0,14.2,14.2,14.2,0.0,0.0,14.32,14.32,14.32,0.0,0.0,1800,1800,1800,0,0
2016-03-13,14.05,14.15,13.95,0.20000000000000107,0.20000000000000107,14.05,14.15,13.95,0.20000000000000107,0.20000000000000107,14.05,14.15,13.95,0.20000000000000107,0.20000000000000107,14.05,14.15,13.95,0.20000000000000107,0.20000000000000107,100,100,100,0,0
2016-03-20,14.4,14.4,14.4,0.0,0.0,14.4,14.4,14.4,0.0,0.0,14.4,14.4,14.4,0.0,0.0,14.4,14.4,14.4,0.0,0.0,500,500,500,0,0
2016-03-27,14.32,14.32,14.32,0.0,0.0,14.32,14.32,14.32,0.0,0.0,14.0,14.0,14.0,0.0,0.0,14.0,14.0,14.0,0.0,0.0,248,248,248,0,0
2016-04-03,14.4,14.4,14.4,0.0,0.0,14.4,14.4,14.4,0.0,0.0,14.4,14.4,14.4,0.0,0.0,14.4,14.4,14.4,0.0,0.0,250,250,250,0,0
2016-04-10,14.4,14.4,14.4,0.0,0.0,14.4,14.4,14.4,0.0,0.0,14.4,14.4,14.4,0.0,0.0,14.4,14.4,14.4,0.0,0.0,519,519,519,0,0
2016-04-17,14.325,14.4,14.25,0.15000000000000036,0.15000000000000036,14.325,14.4,14.25,0.15000000000000036,0.15000000000000036,14.325,14.4,14.25,0.15000000000000036,0.15000000000000036,14.325,14.4,14.25,0.15000000000000036,0.15000000000000036,595,1000,191,809,809
2016-04-24,14.4,14.4,14.4,0.0,0.0,14.4,14.4,14.4,0.0,0.0,14.325,14.4,14.25,0.15000000000000036,-0.15000000000000036,14.325,14.4,14.25,0.15000000000000036,-0.15000000000000036,519,539,500,39,-39
2016-05-01,14.56,14.65,14.47,0.17999999999999972,-0.17999999999999972,14.56,14.65,14.47,0.17999999999999972,-0.17999999999999972,14.555,14.65,14.46,0.1899999999999995,-0.1899999999999995,14.555,14.65,14.46,0.1899999999999995,-0.1899999999999995,220,233,208,25,25
2016-05-08,14.45,14.45,14.45,0.0,0.0,14.45,14.45,14.45,0.0,0.0,14.45,14.45,14.45,0.0,0.0,14.45,14.45,14.45,0.0,0.0,200,200,200,0,0
2016-05-15,14.7,14.7,14.7,0.0,0.0,14.7,14.7,14.7,0.0,0.0,14.7,14.7,14.7,0.0,0.0,14.7,14.7,14.7,0.0,0.0,227,227,227,0,0
2016-05-22,14.5,14.5,14.5,0.0,0.0,14.5,14.5,14.5,0.0,0.0,14.5,14.5,14.5,0.0,0.0,14.5,14.5,14.5,0.0,0.0,255,255,255,0,0
2016-05-29,15.02,15.02,15.02,0.0,0.0,15.02,15.02,15.02,0.0,0.0,15.02,15.02,15.02,0.0,0.0,15.02,15.02,15.02,0.0,0.0,500,500,500,0,0
2016-06-05,14.87,14.87,14.87,0.0,0.0,14.87,14.87,14.87,0.0,0.0,14.79,14.79,14.79,0.0,0.0,14.79,14.79,14.79,0.0,0.0,200,200,200,0,0
2016-06-12,14.78,14.78,14.78,0.0,0.0,14.78,14.78,14.78,0.0,0.0,14.78,14.78,14.78,0.0,0.0,14.78,14.78,14.78,0.0,0.0,700,700,700,0,0
2016-06-19,14.62,14.78,14.48,0.29999999999999893,-0.29999999999999893,14.626666666666667,14.8,14.48,0.3200000000000003,-0.3200000000000003,14.62,14.78,14.48,0.29999999999999893,-0.29999999999999893,14.62,14.78,14.48,0.29999999999999893,-0.29999999999999893,311,632,126,506,-506
2016-06-26,14.57,14.75,14.48,0.2699999999999996,0.0,14.57,14.75,14.48,0.2699999999999996,0.0,14.42,14.48,14.3,0.17999999999999972,0.0,14.42,14.48,14.3,0.17999999999999972,0.0,503,656,400,256,256
2016-07-03,14.415,14.48,14.35,0.13000000000000078,-0.13000000000000078,14.61,14.74,14.48,0.2599999999999998,0.2599999999999998,14.375,14.48,14.27,0.21000000000000085,-0.21000000000000085,14.61,14.74,14.48,0.2599999999999998,0.2599999999999998,1001,1096,906,190,190
2016-07-10,15.01,15.01,15.01,0.0,0.0,15.04,15.04,15.04,0.0,0.0,15.01,15.01,15.01,0.0,0.0,15.04,15.04,15.04,0.0,0.0,525,525,525,0,0
2016-07-17,14.57,14.57,14.57,0.0,0.0,14.58,14.58,14.58,0.0,0.0,14.57,14.57,14.57,0.0,0.0,14.57,14.57,14.57,0.0,0.0,651,651,651,0,0
