Date,iShares Select Dividend_etf_Open_average,iShares Select Dividend_etf_Open_max,iShares Select Dividend_etf_Open_min,iShares Select Dividend_etf_Open_volatility,iShares Select Dividend_etf_Open_change,iShares Select Dividend_etf_High_average,iShares Select Dividend_etf_High_max,iShares Select Dividend_etf_High_min,iShares Select Dividend_etf_High_volatility,iShares Select Dividend_etf_High_change,iShares Select Dividend_etf_Low_average,iShares Select Dividend_etf_Low_max,iShares Select Dividend_etf_Low_min,iShares Select Dividend_etf_Low_volatility,iShares Select Dividend_etf_Low_change,iShares Select Dividend_etf_Close_average,iShares Select Dividend_etf_Close_max,iShares Select Dividend_etf_Close_min,iShares Select Dividend_etf_Close_volatility,iShares Select Dividend_etf_Close_change
2016-01-03,73.18,73.18,73.18,0.0,0.0,73.42,73.42,73.42,0.0,0.0,72.28,72.28,72.28,0.0,0.0,72.43,72.43,72.43,0.0,0.0
2016-01-10,71.4,71.4,71.4,0.0,0.0,71.96,71.96,71.96,0.0,0.0,70.82,70.82,70.82,0.0,0.0,71.81,71.81,71.81,0.0,0.0
2016-01-17,71.8,71.8,71.8,0.0,0.0,72.41,72.41,72.41,0.0,0.0,71.61,71.61,71.61,0.0,0.0,72.35,72.35,72.35,0.0,0.0
2016-01-24,73.22,73.22,73.22,0.0,0.0,74.51,74.51,74.51,0.0,0.0,73.18,73.18,73.18,0.0,0.0,74.46,74.46,74.46,0.0,0.0
2016-01-31,74.69,74.69,74.69,0.0,0.0,74.85,74.85,74.85,0.0,0.0,74.29,74.29,74.29,0.0,0.0,74.56,74.56,74.56,0.0,0.0
2016-02-07,73.85,73.85,73.85,0.0,0.0,74.24,74.24,74.24,0.0,0.0,73.58,73.58,73.58,0.0,0.0,74.22,74.22,74.22,0.0,0.0
2016-02-14,76.04,76.04,76.04,0.0,0.0,76.28,76.28,76.28,0.0,0.0,75.75,75.75,75.75,0.0,0.0,76.18,76.18,76.18,0.0,0.0
2016-02-21,77.79,77.79,77.79,0.0,0.0,77.79,77.79,77.79,0.0,0.0,76.68,76.68,76.68,0.0,0.0,76.75,76.75,76.75,0.0,0.0
2016-02-28,78.66,78.66,78.66,0.0,0.0,79.48,79.48,79.48,0.0,0.0,78.35,78.35,78.35,0.0,0.0,79.36,79.36,79.36,0.0,0.0
2016-03-06,80.45,80.45,80.45,0.0,0.0,80.85,80.85,80.85,0.0,0.0,80.37,80.37,80.37,0.0,0.0,80.7,80.7,80.7,0.0,0.0
2016-03-13,81.96,81.96,81.96,0.0,0.0,82.16,82.16,82.16,0.0,0.0,81.64,81.64,81.64,0.0,0.0,81.73,81.73,81.73,0.0,0.0
2016-03-20,79.93,79.93,79.93,0.0,0.0,80.33,80.33,80.33,0.0,0.0,79.71,79.71,79.71,0.0,0.0,80.33,80.33,80.33,0.0,0.0
2016-03-27,81.24,81.24,81.24,0.0,0.0,81.98,81.98,81.98,0.0,0.0,81.02,81.02,81.02,0.0,0.0,81.92,81.92,81.92,0.0,0.0
2016-04-03,80.65,80.65,80.65,0.0,0.0,81.04,81.04,81.04,0.0,0.0,80.39,80.39,80.39,0.0,0.0,80.61,80.61,80.61,0.0,0.0
2016-04-10,81.4,81.4,81.4,0.0,0.0,81.72,81.72,81.72,0.0,0.0,81.34,81.34,81.34,0.0,0.0,81.69,81.69,81.69,0.0,0.0
2016-04-17,80.89,80.89,80.89,0.0,0.0,81.51,81.51,81.51,0.0,0.0,80.89,80.89,80.89,0.0,0.0,81.42,81.42,81.42,0.0,0.0
2016-04-24,81.91,81.91,81.91,0.0,0.0,82.22,82.22,82.22,0.0,0.0,81.39,81.39,81.39,0.0,0.0,82.04,82.04,82.04,0.0,0.0
2016-05-01,81.42,81.42,81.42,0.0,0.0,81.73,81.73,81.73,0.0,0.0,81.09,81.09,81.09,0.0,0.0,81.68,81.68,81.68,0.0,0.0
2016-05-08,82.4,82.4,82.4,0.0,0.0,82.47,82.47,82.47,0.0,0.0,81.54,81.54,81.54,0.0,0.0,81.75,81.75,81.75,0.0,0.0
2016-05-15,81.0,81.0,81.0,0.0,0.0,81.2,81.2,81.2,0.0,0.0,80.84,80.84,80.84,0.0,0.0,81.07,81.07,81.07,0.0,0.0
2016-05-22,82.55,82.55,82.55,0.0,0.0,82.85,82.85,82.85,0.0,0.0,82.52,82.52,82.52,0.0,0.0,82.85,82.85,82.85,0.0,0.0
2016-05-29,83.41,83.41,83.41,0.0,0.0,83.81,83.81,83.81,0.0,0.0,83.19,83.19,83.19,0.0,0.0,83.62,83.62,83.62,0.0,0.0
2016-06-05,84.37,84.37,84.37,0.0,0.0,84.53,84.53,84.53,0.0,0.0,83.91,83.91,83.91,0.0,0.0,84.24,84.24,84.24,0.0,0.0
2016-06-12,83.71,83.71,83.71,0.0,0.0,83.92,83.92,83.92,0.0,0.0,83.31,83.31,83.31,0.0,0.0,83.84,83.84,83.84,0.0,0.0
2016-06-19,82.43,82.43,82.43,0.0,0.0,83.79,83.79,83.79,0.0,0.0,82.08,82.08,82.08,0.0,0.0,82.63,82.63,82.63,0.0,0.0
2016-06-26,85.26,85.26,85.26,0.0,0.0,85.52,85.52,85.52,0.0,0.0,85.01,85.01,85.01,0.0,0.0,85.3,85.3,85.3,0.0,0.0
2016-07-03,85.2,85.2,85.2,0.0,0.0,85.9,85.9,85.9,0.0,0.0,84.98,84.98,84.98,0.0,0.0,85.88,85.88,85.88,0.0,0.0
2016-07-10,87.26,87.26,87.26,0.0,0.0,87.43,87.43,87.43,0.0,0.0,86.95,86.95,86.95,0.0,0.0,87.27,87.27,87.27,0.0,0.0
2016-07-17,86.75,86.75,86.75,0.0,0.0,87.33,87.33,87.33,0.0,0.0,86.65,86.65,86.65,0.0,0.0,87.33,87.33,87.33,0.0,0.0
2016-07-24,86.66,86.66,86.66,0.0,0.0,87.13,87.13,87.13,0.0,0.0,86.43,86.43,86.43,0.0,0.0,86.99,86.99,86.99,0.0,0.0
