Date,PowerShares Active US Real EstateEtf_Open_average,PowerShares Active US Real EstateEtf_Open_max,PowerShares Active US Real EstateEtf_Open_min,PowerShares Active US Real EstateEtf_Open_volatility,PowerShares Active US Real EstateEtf_Open_change,PowerShares Active US Real EstateEtf_High_average,PowerShares Active US Real EstateEtf_High_max,PowerShares Active US Real EstateEtf_High_min,PowerShares Active US Real EstateEtf_High_volatility,PowerShares Active US Real EstateEtf_High_change,PowerShares Active US Real EstateEtf_Low_average,PowerShares Active US Real EstateEtf_Low_max,PowerShares Active US Real EstateEtf_Low_min,PowerShares Active US Real EstateEtf_Low_volatility,PowerShares Active US Real EstateEtf_Low_change,PowerShares Active US Real EstateEtf_Close_average,PowerShares Active US Real EstateEtf_Close_max,PowerShares Active US Real EstateEtf_Close_min,PowerShares Active US Real EstateEtf_Close_volatility,PowerShares Active US Real EstateEtf_Close_change
2016-01-03,72.25,72.25,72.25,0.0,0.0,72.25,72.25,72.25,0.0,0.0,70.65,70.65,70.65,0.0,0.0,70.81,70.81,70.81,0.0,0.0
2016-01-10,68.25,68.25,68.25,0.0,0.0,68.25,68.25,68.25,0.0,0.0,68.25,68.25,68.25,0.0,0.0,68.25,68.25,68.25,0.0,0.0
2016-01-17,68.59,68.59,68.59,0.0,0.0,69.02,69.02,69.02,0.0,0.0,68.59,68.59,68.59,0.0,0.0,69.02,69.02,69.02,0.0,0.0
2016-01-24,68.96,68.96,68.96,0.0,0.0,68.96,68.96,68.96,0.0,0.0,68.96,68.96,68.96,0.0,0.0,68.96,68.96,68.96,0.0,0.0
2016-01-31,69.03,69.03,69.03,0.0,0.0,69.03,69.03,69.03,0.0,0.0,68.01,68.01,68.01,0.0,0.0,68.01,68.01,68.01,0.0,0.0
2016-02-07,63.89,63.89,63.89,0.0,0.0,63.9,63.9,63.9,0.0,0.0,63.89,63.89,63.89,0.0,0.0,63.9,63.9,63.9,0.0,0.0
2016-02-14,66.26,66.26,66.26,0.0,0.0,67.08,67.08,67.08,0.0,0.0,66.26,66.26,66.26,0.0,0.0,67.08,67.08,67.08,0.0,0.0
2016-02-21,69.26,69.26,69.26,0.0,0.0,69.26,69.26,69.26,0.0,0.0,68.96,68.96,68.96,0.0,0.0,68.96,68.96,68.96,0.0,0.0
2016-02-28,70.54,70.54,70.54,0.0,0.0,70.81,70.81,70.81,0.0,0.0,70.54,70.54,70.54,0.0,0.0,70.81,70.81,70.81,0.0,0.0
2016-03-06,71.35,71.35,71.35,0.0,0.0,71.9,71.9,71.9,0.0,0.0,71.35,71.35,71.35,0.0,0.0,71.9,71.9,71.9,0.0,0.0
2016-03-13,73.7,73.7,73.7,0.0,0.0,73.7,73.7,73.7,0.0,0.0,73.7,73.7,73.7,0.0,0.0,73.7,73.7,73.7,0.0,0.0
2016-03-20,72.06,72.06,72.06,0.0,0.0,72.2,72.2,72.2,0.0,0.0,72.05,72.05,72.05,0.0,0.0,72.11,72.11,72.11,0.0,0.0
2016-03-27,74.93,74.93,74.93,0.0,0.0,75.06,75.06,75.06,0.0,0.0,74.93,74.93,74.93,0.0,0.0,75.02,75.02,75.02,0.0,0.0
2016-04-03,74.76,74.76,74.76,0.0,0.0,74.87,74.87,74.87,0.0,0.0,74.68,74.68,74.68,0.0,0.0,74.68,74.68,74.68,0.0,0.0
2016-04-10,75.05,75.05,75.05,0.0,0.0,75.05,75.05,75.05,0.0,0.0,74.86,74.86,74.86,0.0,0.0,74.86,74.86,74.86,0.0,0.0
