Date,CORV_stock_Open_average,CORV_stock_Open_max,CORV_stock_Open_min,CORV_stock_Open_volatility,CORV_stock_Open_change,CORV_stock_High_average,CORV_stock_High_max,CORV_stock_High_min,CORV_stock_High_volatility,CORV_stock_High_change,CORV_stock_Low_average,CORV_stock_Low_max,CORV_stock_Low_min,CORV_stock_Low_volatility,CORV_stock_Low_change,CORV_stock_Close_average,CORV_stock_Close_max,CORV_stock_Close_min,CORV_stock_Close_volatility,CORV_stock_Close_change,CORV_stock_Volume_average,CORV_stock_Volume_max,CORV_stock_Volume_min,CORV_stock_Volume_volatility,CORV_stock_Volume_change
2016-01-03,7.616,7.97,7.14,0.8300000000000001,-0.47000000000000064,7.7532,8.081,7.27,0.8109999999999999,-0.6000000000000005,7.378,7.65,6.95,0.7000000000000002,-0.6600000000000001,7.556,7.92,7.16,0.7599999999999998,-0.5999999999999996,18972,41543,5829,35714,35714
2016-01-10,6.458,6.82,5.93,0.8900000000000006,-0.8700000000000001,6.9112,8.0,5.976,2.024,-1.2640000000000002,5.9804,6.62,5.73,0.8899999999999997,-0.16999999999999993,6.26,6.86,5.73,1.13,-1.13,48992,90664,24342,66322,-65875
2016-01-17,5.39,5.92,5.01,0.9100000000000001,-0.5499999999999998,5.523,5.92,5.26,0.6600000000000001,-0.4079999999999995,5.03,5.33,4.71,0.6200000000000001,-0.16999999999999993,5.25,5.38,4.97,0.41000000000000014,-0.04999999999999982,44527,49958,33889,16069,-5351
2016-01-24,5.8908,6.32,5.22,1.1000000000000005,0.8639999999999999,6.3594,6.68,5.61,1.0699999999999994,1.0699999999999994,5.5488,6.084,5.09,0.9939999999999998,0.9939999999999998,6.114,6.62,5.56,1.0600000000000005,1.0600000000000005,42639,94325,13987,80338,23825
2016-01-31,6.1546,6.55,5.69,0.8599999999999994,-0.7999999999999998,6.202,6.67,5.69,0.9799999999999995,-0.9799999999999995,5.782,6.21,5.45,0.7599999999999998,-0.7599999999999998,6.0,6.63,5.64,0.9900000000000002,-0.9900000000000002,17657,33397,4263,29134,-14952
2016-02-07,5.412,5.62,5.0,0.6200000000000001,-0.4400000000000004,5.4584,5.63,5.03,0.5999999999999996,-0.5199999999999996,5.178,5.38,4.86,0.5199999999999996,-0.4400000000000004,5.279999999999999,5.59,4.89,0.7000000000000002,-0.54,17911,23648,13828,9820,-485
2016-02-14,5.0475,5.13,4.98,0.14999999999999947,-0.09999999999999964,5.2275,5.39,5.11,0.27999999999999936,0.05999999999999961,4.78125,5.0,4.42,0.5800000000000001,0.3049999999999997,5.035,5.12,4.98,0.13999999999999968,0.040000000000000036,44689,64195,13929,50266,-3102
2016-02-21,5.162,5.32,5.02,0.3000000000000007,0.08000000000000007,5.3,5.52,5.12,0.39999999999999947,0.27999999999999936,5.054,5.3,4.96,0.33999999999999986,0.3099999999999996,5.204,5.45,5.0,0.4500000000000002,0.4400000000000004,17585,24147,6058,18089,-192
2016-02-28,5.029,5.45,4.72,0.7300000000000004,-0.54,5.112,5.5,4.87,0.6299999999999999,-0.5,4.798,5.15,4.63,0.5200000000000005,-0.40000000000000036,4.934,5.22,4.71,0.5099999999999998,-0.21999999999999975,21582,39621,7712,31909,-21542
2016-03-06,4.8464,4.982,4.65,0.33199999999999985,-0.33199999999999985,4.992,5.35,4.83,0.5199999999999996,-0.45999999999999996,4.724,4.98,4.58,0.40000000000000036,-0.3700000000000001,4.802,5.09,4.63,0.45999999999999996,-0.3899999999999997,46182,128790,7797,120993,304
2016-03-13,4.2506,4.57,4.02,0.5500000000000007,-0.5500000000000007,4.272,4.57,4.07,0.5,-0.5,3.999,4.38,3.7,0.6799999999999997,-0.6799999999999997,4.1678,4.43,3.99,0.4399999999999995,-0.4399999999999995,47623,78371,10750,67621,-40239
2016-03-20,4.14375,4.285,4.03,0.2549999999999999,0.09999999999999964,4.24475,4.35,4.1,0.25,0.14000000000000057,4.05125,4.145,3.95,0.1949999999999994,0.17499999999999938,4.14,4.24,4.05,0.1900000000000004,0.1200000000000001,19255,32558,3660,28898,-22761
2016-03-27,4.266,4.53,4.1,0.4300000000000006,-0.13000000000000078,4.5414,4.95,4.23,0.7199999999999998,0.1429999999999998,4.106,4.16,4.04,0.1200000000000001,-0.020000000000000462,4.2836,4.51,4.09,0.41999999999999993,0.1280000000000001,46602,142367,12061,130306,2251
