Date,First Trust ISE-Revere Natural GasEtf_Open_average,First Trust ISE-Revere Natural GasEtf_Open_max,First Trust ISE-Revere Natural GasEtf_Open_min,First Trust ISE-Revere Natural GasEtf_Open_volatility,First Trust ISE-Revere Natural GasEtf_Open_change,First Trust ISE-Revere Natural GasEtf_High_average,First Trust ISE-Revere Natural GasEtf_High_max,First Trust ISE-Revere Natural GasEtf_High_min,First Trust ISE-Revere Natural GasEtf_High_volatility,First Trust ISE-Revere Natural GasEtf_High_change,First Trust ISE-Revere Natural GasEtf_Low_average,First Trust ISE-Revere Natural GasEtf_Low_max,First Trust ISE-Revere Natural GasEtf_Low_min,First Trust ISE-Revere Natural GasEtf_Low_volatility,First Trust ISE-Revere Natural GasEtf_Low_change,First Trust ISE-Revere Natural GasEtf_Close_average,First Trust ISE-Revere Natural GasEtf_Close_max,First Trust ISE-Revere Natural GasEtf_Close_min,First Trust ISE-Revere Natural GasEtf_Close_volatility,First Trust ISE-Revere Natural GasEtf_Close_change
2016-01-03,19.8,19.8,19.8,0.0,0.0,20.2,20.2,20.2,0.0,0.0,19.25,19.25,19.25,0.0,0.0,20.0,20.0,20.0,0.0,0.0
2016-01-10,17.25,17.25,17.25,0.0,0.0,17.5,17.5,17.5,0.0,0.0,16.75,16.75,16.75,0.0,0.0,17.4,17.4,17.4,0.0,0.0
2016-01-17,19.35,19.35,19.35,0.0,0.0,19.82,19.82,19.82,0.0,0.0,18.7,18.7,18.7,0.0,0.0,19.25,19.25,19.25,0.0,0.0
2016-01-24,20.3,20.3,20.3,0.0,0.0,21.1,21.1,21.1,0.0,0.0,20.15,20.15,20.15,0.0,0.0,21.0,21.0,21.0,0.0,0.0
2016-01-31,19.6,19.6,19.6,0.0,0.0,19.9,19.9,19.9,0.0,0.0,18.8,18.8,18.8,0.0,0.0,19.25,19.25,19.25,0.0,0.0
2016-02-07,17.8,17.8,17.8,0.0,0.0,17.88,17.88,17.88,0.0,0.0,16.95,16.95,16.95,0.0,0.0,17.6,17.6,17.6,0.0,0.0
2016-02-14,16.95,16.95,16.95,0.0,0.0,17.0,17.0,17.0,0.0,0.0,16.25,16.25,16.25,0.0,0.0,16.8,16.8,16.8,0.0,0.0
2016-02-21,17.1,17.1,17.1,0.0,0.0,17.25,17.25,17.25,0.0,0.0,16.7,16.7,16.7,0.0,0.0,17.05,17.05,17.05,0.0,0.0
2016-02-28,20.75,20.75,20.75,0.0,0.0,22.0,22.0,22.0,0.0,0.0,20.05,20.05,20.05,0.0,0.0,21.4,21.4,21.4,0.0,0.0
2016-03-06,21.85,21.85,21.85,0.0,0.0,22.38,22.38,22.38,0.0,0.0,21.65,21.65,21.65,0.0,0.0,21.95,21.95,21.95,0.0,0.0
2016-03-13,22.6,22.6,22.6,0.0,0.0,22.8,22.8,22.8,0.0,0.0,21.3,21.3,21.3,0.0,0.0,21.3,21.3,21.3,0.0,0.0
2016-03-20,19.55,19.55,19.55,0.0,0.0,20.27,20.27,20.27,0.0,0.0,19.3,19.3,19.3,0.0,0.0,20.15,20.15,20.15,0.0,0.0
2016-03-27,20.25,20.25,20.25,0.0,0.0,20.4,20.4,20.4,0.0,0.0,20.0,20.0,20.0,0.0,0.0,20.3,20.3,20.3,0.0,0.0
2016-04-03,21.05,21.05,21.05,0.0,0.0,21.37,21.37,21.37,0.0,0.0,21.0,21.0,21.0,0.0,0.0,21.3,21.3,21.3,0.0,0.0
2016-04-10,22.2,22.2,22.2,0.0,0.0,22.35,22.35,22.35,0.0,0.0,21.9,21.9,21.9,0.0,0.0,22.15,22.15,22.15,0.0,0.0
2016-04-17,23.4,23.4,23.4,0.0,0.0,24.0,24.0,24.0,0.0,0.0,23.35,23.35,23.35,0.0,0.0,23.9,23.9,23.9,0.0,0.0
2016-04-24,24.65,24.65,24.65,0.0,0.0,24.8,24.8,24.8,0.0,0.0,23.77,23.77,23.77,0.0,0.0,24.3,24.3,24.3,0.0,0.0
2016-05-01,23.06,23.06,23.06,0.0,0.0,23.56,23.56,23.56,0.0,0.0,22.9,22.9,22.9,0.0,0.0,23.0,23.0,23.0,0.0,0.0
2016-05-08,23.42,23.42,23.42,0.0,0.0,23.85,23.85,23.85,0.0,0.0,23.31,23.31,23.31,0.0,0.0,23.36,23.36,23.36,0.0,0.0
2016-05-15,23.88,23.88,23.88,0.0,0.0,23.98,23.98,23.98,0.0,0.0,23.48,23.48,23.48,0.0,0.0,23.89,23.89,23.89,0.0,0.0
2016-05-22,24.53,24.53,24.53,0.0,0.0,24.53,24.53,24.53,0.0,0.0,24.21,24.21,24.21,0.0,0.0,24.48,24.48,24.48,0.0,0.0
2016-05-29,24.67,24.67,24.67,0.0,0.0,24.96,24.96,24.96,0.0,0.0,24.36,24.36,24.36,0.0,0.0,24.51,24.51,24.51,0.0,0.0
2016-06-05,25.23,25.23,25.23,0.0,0.0,25.31,25.31,25.31,0.0,0.0,24.4,24.4,24.4,0.0,0.0,24.48,24.48,24.48,0.0,0.0
2016-06-12,24.19,24.19,24.19,0.0,0.0,24.59,24.59,24.59,0.0,0.0,24.19,24.19,24.19,0.0,0.0,24.5,24.5,24.5,0.0,0.0
2016-06-19,24.01,24.01,24.01,0.0,0.0,24.5,24.5,24.5,0.0,0.0,23.88,23.88,23.88,0.0,0.0,24.0,24.0,24.0,0.0,0.0
2016-06-26,24.36,24.36,24.36,0.0,0.0,24.9,24.9,24.9,0.0,0.0,24.35,24.35,24.35,0.0,0.0,24.71,24.71,24.71,0.0,0.0
2016-07-03,24.32,24.32,24.32,0.0,0.0,24.5,24.5,24.5,0.0,0.0,23.98,23.98,23.98,0.0,0.0,24.35,24.35,24.35,0.0,0.0
