Date,HRLStock_Open_average,HRLStock_Open_max,HRLStock_Open_min,HRLStock_Open_volatility,HRLStock_Open_change,HRLStock_High_average,HRLStock_High_max,HRLStock_High_min,HRLStock_High_volatility,HRLStock_High_change,HRLStock_Low_average,HRLStock_Low_max,HRLStock_Low_min,HRLStock_Low_volatility,HRLStock_Low_change,HRLStock_Close_average,HRLStock_Close_max,HRLStock_Close_min,HRLStock_Close_volatility,HRLStock_Close_change,HRLStock_Volume_average,HRLStock_Volume_max,HRLStock_Volume_min,HRLStock_Volume_volatility,HRLStock_Volume_change
2016-05-22,34.868,35.03,34.67,0.35999999999999943,0.05000000000000426,35.064,35.19,34.88,0.30999999999999517,-0.1700000000000017,34.542,34.8,34.28,0.519999999999996,-0.17999999999999972,34.792,34.9,34.61,0.28999999999999915,-0.0899999999999963,3398357,4454223,2106271,2347952,-1185176
2016-05-29,34.535,34.83,34.41,0.4200000000000017,-0.36999999999999744,34.83,35.13,34.58,0.5500000000000043,-0.28999999999999915,34.265,34.36,34.19,0.1700000000000017,0.04999999999999716,34.4475,34.67,34.28,0.39000000000000057,0.2600000000000051,3130492,4306576,2493634,1812942,-1519103
2016-06-05,34.416,34.68,34.01,0.6700000000000017,0.10999999999999943,34.736,34.97,34.56,0.4099999999999966,0.18999999999999773,34.182,34.52,33.92,0.6000000000000014,0.6000000000000014,34.522,34.9,34.01,0.8900000000000006,0.75,3177382,3789602,2653854,1135748,-1135748
2016-06-12,34.478,34.87,34.18,0.6899999999999977,0.269999999999996,34.752,34.99,34.44,0.5500000000000043,0.0799999999999983,34.202000000000005,34.45,34.09,0.35999999999999943,0.25,34.562,34.96,34.18,0.7800000000000011,0.44000000000000483,2848343,3117619,2276463,841156,-210175
2016-06-19,34.676,35.04,33.83,1.2100000000000009,-1.2100000000000009,35.188,35.6,34.96,0.6400000000000006,0.35999999999999943,34.376,34.62,33.7,0.9199999999999946,-0.9199999999999946,34.812000000000005,35.34,34.57,0.7700000000000031,0.7000000000000028,2997037,5930693,1624080,4306613,3563999
2016-06-26,35.652,36.74,35.09,1.6499999999999986,1.6499999999999986,36.308,37.1,35.52,1.5799999999999983,1.0799999999999983,35.208,36.13,34.67,1.4600000000000009,1.0900000000000034,35.798,36.6,34.98,1.6200000000000045,0.46999999999999886,4012262,5821130,2551971,3269159,-2912741
2016-07-03,36.5075,36.75,36.16,0.5900000000000034,0.3500000000000014,36.9575,37.38,36.71,0.6700000000000017,-0.21000000000000085,36.317499999999995,36.53,36.08,0.45000000000000284,0.21000000000000085,36.6025,36.73,36.44,0.28999999999999915,-0.11999999999999744,3268054,3829532,2377870,1451662,-705626
2016-07-10,36.442,36.7,36.28,0.4200000000000017,0.0800000000000054,36.65,36.77,36.45,0.3200000000000003,0.09000000000000341,36.236,36.33,36.14,0.18999999999999773,-0.0899999999999963,36.446000000000005,36.71,36.27,0.4399999999999977,-0.14999999999999858,2302100,2587022,2059123,527899,396665
2016-07-17,36.686,36.95,36.34,0.6099999999999994,0.46999999999999886,36.878,37.04,36.68,0.35999999999999943,0.35999999999999943,36.536,36.75,36.27,0.4799999999999969,0.4799999999999969,36.784,36.88,36.53,0.3500000000000014,0.3500000000000014,1673061,2060458,1411441,649017,-484872
2016-07-24,36.676,36.88,36.31,0.5700000000000003,-0.14000000000000057,37.008,37.45,36.67,0.7800000000000011,0.38000000000000256,36.396,36.7,35.94,0.7600000000000051,0.10000000000000142,36.706,37.35,36.21,1.1400000000000006,0.5399999999999991,2832022,5806208,1354733,4451475,4451475
