Date,ProShares UltraShort Bloomberg Crude OilEtf_Open_average,ProShares UltraShort Bloomberg Crude OilEtf_Open_max,ProShares UltraShort Bloomberg Crude OilEtf_Open_min,ProShares UltraShort Bloomberg Crude OilEtf_Open_volatility,ProShares UltraShort Bloomberg Crude OilEtf_Open_change,ProShares UltraShort Bloomberg Crude OilEtf_High_average,ProShares UltraShort Bloomberg Crude OilEtf_High_max,ProShares UltraShort Bloomberg Crude OilEtf_High_min,ProShares UltraShort Bloomberg Crude OilEtf_High_volatility,ProShares UltraShort Bloomberg Crude OilEtf_High_change,ProShares UltraShort Bloomberg Crude OilEtf_Low_average,ProShares UltraShort Bloomberg Crude OilEtf_Low_max,ProShares UltraShort Bloomberg Crude OilEtf_Low_min,ProShares UltraShort Bloomberg Crude OilEtf_Low_volatility,ProShares UltraShort Bloomberg Crude OilEtf_Low_change,ProShares UltraShort Bloomberg Crude OilEtf_Close_average,ProShares UltraShort Bloomberg Crude OilEtf_Close_max,ProShares UltraShort Bloomberg Crude OilEtf_Close_min,ProShares UltraShort Bloomberg Crude OilEtf_Close_volatility,ProShares UltraShort Bloomberg Crude OilEtf_Close_change
2016-01-03,80.0,80.0,80.0,0.0,0.0,83.96,83.96,83.96,0.0,0.0,79.38,79.38,79.38,0.0,0.0,82.52,82.52,82.52,0.0,0.0
2016-01-10,100.36,100.36,100.36,0.0,0.0,103.62,103.62,103.62,0.0,0.0,98.81,98.81,98.81,0.0,0.0,100.42,100.42,100.42,0.0,0.0
2016-01-17,91.24,91.24,91.24,0.0,0.0,94.21,94.21,94.21,0.0,0.0,86.49,86.49,86.49,0.0,0.0,86.97,86.97,86.97,0.0,0.0
2016-01-24,76.4,76.4,76.4,0.0,0.0,83.18,83.18,83.18,0.0,0.0,74.79,74.79,74.79,0.0,0.0,78.4,78.4,78.4,0.0,0.0
2016-01-31,85.87,85.87,85.87,0.0,0.0,90.38,90.38,90.38,0.0,0.0,82.4,82.4,82.4,0.0,0.0,88.34,88.34,88.34,0.0,0.0
2016-02-07,100.71,100.71,100.71,0.0,0.0,104.69,104.69,104.69,0.0,0.0,91.0,91.0,91.0,0.0,0.0,94.75,94.75,94.75,0.0,0.0
2016-02-14,89.87,89.87,89.87,0.0,0.0,93.47,93.47,93.47,0.0,0.0,89.24,89.24,89.24,0.0,0.0,89.79,89.79,89.79,0.0,0.0
2016-02-21,77.04,77.04,77.04,0.0,0.0,84.92,84.92,84.92,0.0,0.0,76.72,76.72,76.72,0.0,0.0,83.35,83.35,83.35,0.0,0.0
2016-02-28,74.88,74.88,74.88,0.0,0.0,76.35,76.35,76.35,0.0,0.0,69.0,69.0,69.0,0.0,0.0,69.08,69.08,69.08,0.0,0.0
2016-03-06,60.75,60.75,60.75,0.0,0.0,62.5,62.5,62.5,0.0,0.0,59.75,59.75,59.75,0.0,0.0,60.89,60.89,60.89,0.0,0.0
