Date,CGA_stock_Open_average,CGA_stock_Open_max,CGA_stock_Open_min,CGA_stock_Open_volatility,CGA_stock_Open_change,CGA_stock_High_average,CGA_stock_High_max,CGA_stock_High_min,CGA_stock_High_volatility,CGA_stock_High_change,CGA_stock_Low_average,CGA_stock_Low_max,CGA_stock_Low_min,CGA_stock_Low_volatility,CGA_stock_Low_change,CGA_stock_Close_average,CGA_stock_Close_max,CGA_stock_Close_min,CGA_stock_Close_volatility,CGA_stock_Close_change,CGA_stock_Volume_average,CGA_stock_Volume_max,CGA_stock_Volume_min,CGA_stock_Volume_volatility,CGA_stock_Volume_change
2016-01-03,1.452,1.5,1.4,0.10000000000000009,-0.07000000000000006,1.458,1.5,1.4,0.10000000000000009,-0.09000000000000008,1.396,1.47,1.27,0.19999999999999996,-0.17999999999999994,1.41,1.48,1.27,0.20999999999999996,-0.20999999999999996,90193,180673,48303,132370,130383
2016-01-10,1.208,1.33,1.12,0.20999999999999996,0.09000000000000008,1.26,1.34,1.14,0.20000000000000018,0.06000000000000005,1.1460000000000001,1.21,1.1,0.10999999999999988,0.010000000000000009,1.2,1.34,1.1,0.24,0.0,153125,252484,55657,196827,-90113
2016-01-17,1.2375,1.3,1.2,0.10000000000000009,0.010000000000000009,1.2775,1.3,1.26,0.040000000000000036,-0.010000000000000009,1.1949999999999998,1.22,1.17,0.050000000000000044,-0.020000000000000018,1.2149999999999999,1.25,1.19,0.06000000000000005,-0.050000000000000044,33770,47996,19284,28712,10757
2016-01-24,1.232,1.29,1.21,0.08000000000000007,-0.030000000000000027,1.258,1.29,1.24,0.050000000000000044,-0.010000000000000009,1.2,1.21,1.18,0.030000000000000027,0.0,1.224,1.25,1.21,0.040000000000000036,0.030000000000000027,33375,44603,20118,24485,-24485
2016-01-31,1.282,1.32,1.23,0.09000000000000008,0.030000000000000027,1.314,1.35,1.28,0.07000000000000006,0.06000000000000005,1.242,1.27,1.18,0.09000000000000008,0.030000000000000027,1.278,1.34,1.24,0.10000000000000009,0.10000000000000009,30018,35114,23988,11126,-4377
2016-02-07,1.232,1.32,1.15,0.17000000000000015,-0.17000000000000015,1.262,1.33,1.2,0.13000000000000012,-0.13000000000000012,1.186,1.22,1.15,0.07000000000000006,-0.07000000000000006,1.194,1.23,1.17,0.06000000000000005,-0.050000000000000044,37220,60255,17717,42538,-41350
2016-02-14,1.2425,1.31,1.17,0.14000000000000012,0.1200000000000001,1.29,1.32,1.25,0.07000000000000006,0.050000000000000044,1.2025,1.24,1.14,0.10000000000000009,0.09000000000000008,1.2650000000000001,1.29,1.23,0.06000000000000005,0.040000000000000036,37351,44971,32996,11975,11387
2016-02-21,1.236,1.26,1.21,0.050000000000000044,-0.010000000000000009,1.276,1.33,1.24,0.09000000000000008,0.050000000000000044,1.224,1.25,1.2,0.050000000000000044,-0.020000000000000018,1.254,1.31,1.22,0.09000000000000008,0.050000000000000044,34835,103907,11995,91912,83485
2016-02-28,1.3739999999999999,1.43,1.3,0.1299999999999999,0.1299999999999999,1.424,1.45,1.38,0.07000000000000006,0.07000000000000006,1.362,1.41,1.29,0.11999999999999988,0.11999999999999988,1.406,1.45,1.37,0.07999999999999985,0.07999999999999985,53431,92978,25950,67028,-55145
2016-03-06,1.416,1.45,1.38,0.07000000000000006,-0.050000000000000044,1.442,1.48,1.42,0.06000000000000005,-0.06000000000000005,1.384,1.41,1.36,0.04999999999999982,-0.04999999999999982,1.396,1.44,1.36,0.07999999999999985,-0.07999999999999985,35375,55587,26006,29581,-26637
