Date,Validea Market LegendsEtf_Open_average,Validea Market LegendsEtf_Open_max,Validea Market LegendsEtf_Open_min,Validea Market LegendsEtf_Open_volatility,Validea Market LegendsEtf_Open_change,Validea Market LegendsEtf_High_average,Validea Market LegendsEtf_High_max,Validea Market LegendsEtf_High_min,Validea Market LegendsEtf_High_volatility,Validea Market LegendsEtf_High_change,Validea Market LegendsEtf_Low_average,Validea Market LegendsEtf_Low_max,Validea Market LegendsEtf_Low_min,Validea Market LegendsEtf_Low_volatility,Validea Market LegendsEtf_Low_change,Validea Market LegendsEtf_Close_average,Validea Market LegendsEtf_Close_max,Validea Market LegendsEtf_Close_min,Validea Market LegendsEtf_Close_volatility,Validea Market LegendsEtf_Close_change
2016-01-03,21.64,21.64,21.64,0.0,0.0,21.65,21.65,21.65,0.0,0.0,21.52,21.52,21.52,0.0,0.0,21.64,21.64,21.64,0.0,0.0
2016-01-10,20.57,20.57,20.57,0.0,0.0,20.64,20.64,20.64,0.0,0.0,20.27,20.27,20.27,0.0,0.0,20.64,20.64,20.64,0.0,0.0
2016-01-17,20.94,20.94,20.94,0.0,0.0,20.94,20.94,20.94,0.0,0.0,20.93,20.93,20.93,0.0,0.0,20.93,20.93,20.93,0.0,0.0
2016-01-24,21.16,21.16,21.16,0.0,0.0,21.16,21.16,21.16,0.0,0.0,21.16,21.16,21.16,0.0,0.0,21.16,21.16,21.16,0.0,0.0
2016-01-31,20.93,20.93,20.93,0.0,0.0,20.93,20.93,20.93,0.0,0.0,20.35,20.35,20.35,0.0,0.0,20.35,20.35,20.35,0.0,0.0
2016-02-07,19.77,19.77,19.77,0.0,0.0,19.86,19.86,19.86,0.0,0.0,19.77,19.77,19.77,0.0,0.0,19.86,19.86,19.86,0.0,0.0
2016-02-14,20.66,20.66,20.66,0.0,0.0,20.78,20.78,20.78,0.0,0.0,20.66,20.66,20.66,0.0,0.0,20.77,20.77,20.77,0.0,0.0
2016-02-21,21.66,21.66,21.66,0.0,0.0,21.66,21.66,21.66,0.0,0.0,21.56,21.56,21.56,0.0,0.0,21.56,21.56,21.56,0.0,0.0
2016-02-28,22.53,22.53,22.53,0.0,0.0,22.53,22.53,22.53,0.0,0.0,22.39,22.39,22.39,0.0,0.0,22.41,22.41,22.41,0.0,0.0
2016-03-06,22.66,22.66,22.66,0.0,0.0,22.77,22.77,22.77,0.0,0.0,22.65,22.65,22.65,0.0,0.0,22.76,22.76,22.76,0.0,0.0
2016-03-13,23.08,23.08,23.08,0.0,0.0,23.08,23.08,23.08,0.0,0.0,23.04,23.04,23.04,0.0,0.0,23.04,23.04,23.04,0.0,0.0
2016-03-20,22.6,22.6,22.6,0.0,0.0,22.71,22.71,22.71,0.0,0.0,22.6,22.6,22.6,0.0,0.0,22.71,22.71,22.71,0.0,0.0
2016-03-27,22.95,22.95,22.95,0.0,0.0,23.14,23.14,23.14,0.0,0.0,22.95,22.95,22.95,0.0,0.0,23.14,23.14,23.14,0.0,0.0
2016-04-03,22.37,22.37,22.37,0.0,0.0,22.42,22.42,22.42,0.0,0.0,22.29,22.29,22.29,0.0,0.0,22.38,22.38,22.38,0.0,0.0
2016-04-10,22.99,22.99,22.99,0.0,0.0,22.99,22.99,22.99,0.0,0.0,22.99,22.99,22.99,0.0,0.0,22.99,22.99,22.99,0.0,0.0
2016-04-17,23.28,23.28,23.28,0.0,0.0,23.28,23.28,23.28,0.0,0.0,23.28,23.28,23.28,0.0,0.0,23.28,23.28,23.28,0.0,0.0
