Date,DQ_stock_Open_average,DQ_stock_Open_max,DQ_stock_Open_min,DQ_stock_Open_volatility,DQ_stock_Open_change,DQ_stock_High_average,DQ_stock_High_max,DQ_stock_High_min,DQ_stock_High_volatility,DQ_stock_High_change,DQ_stock_Low_average,DQ_stock_Low_max,DQ_stock_Low_min,DQ_stock_Low_volatility,DQ_stock_Low_change,DQ_stock_Close_average,DQ_stock_Close_max,DQ_stock_Close_min,DQ_stock_Close_volatility,DQ_stock_Close_change,DQ_stock_Volume_average,DQ_stock_Volume_max,DQ_stock_Volume_min,DQ_stock_Volume_volatility,DQ_stock_Volume_change
2016-01-03,15.876,16.72,15.02,1.6999999999999993,-1.3599999999999994,16.176,16.88,15.46,1.4199999999999982,-1.0799999999999983,15.384,16.29,14.67,1.6199999999999992,-0.5800000000000001,15.736,16.6,14.67,1.9300000000000015,-1.2100000000000009,39554,56156,14382,41774,-4723
2016-01-10,13.902,15.37,12.4,2.969999999999999,-2.969999999999999,14.15,15.37,12.99,2.379999999999999,-2.379999999999999,13.154,14.0,12.4,1.5999999999999996,-1.5999999999999996,13.474,14.21,12.9,1.3100000000000005,-1.3100000000000005,36736,77377,20364,57013,-50745
2016-01-17,12.8325,13.5,12.01,1.4900000000000002,0.33999999999999986,13.405000000000001,13.83,12.98,0.8499999999999996,0.2599999999999998,12.3275,12.88,11.56,1.3200000000000003,0.4800000000000004,12.8125,13.21,12.4,0.8100000000000005,0.8100000000000005,34859,49520,20555,28965,721
2016-01-24,13.82,14.68,13.08,1.5999999999999996,1.5999999999999996,14.52,15.75,13.57,2.1799999999999997,2.1799999999999997,13.602,14.6,12.89,1.709999999999999,1.709999999999999,14.148,15.28,13.38,1.8999999999999986,1.8999999999999986,57157,98739,27437,71302,26366
2016-01-31,15.836,16.92,15.31,1.6100000000000012,1.0800000000000018,16.222,17.05,15.4,1.6500000000000004,1.040000000000001,15.261999999999999,16.06,14.7,1.3599999999999994,1.0599999999999987,15.998,17.0,15.16,1.8399999999999999,0.5299999999999994,53706,97178,20021,77157,-77157
2016-02-07,14.332,15.98,13.73,2.25,-1.92,14.6,16.0,14.13,1.8699999999999992,-1.6600000000000001,13.734,13.83,13.59,0.2400000000000002,-0.05000000000000071,13.99,14.21,13.72,0.4900000000000002,0.1800000000000015,23653,37529,15389,22140,-17888
2016-02-14,15.440000000000001,16.19,14.56,1.6300000000000008,1.6300000000000008,16.345,17.72,15.27,2.4499999999999993,2.4499999999999993,15.175,15.68,14.56,1.1199999999999992,0.9599999999999991,15.8125,16.5,14.75,1.75,1.75,62786,179580,18553,161027,161027
2016-02-21,17.986,18.79,16.75,2.039999999999999,2.039999999999999,19.387999999999998,20.9,18.64,2.259999999999998,-1.7899999999999991,17.31,18.68,16.47,2.210000000000001,1.9299999999999997,18.652,18.97,17.99,0.9800000000000004,0.0,97623,186977,20320,166657,-166657
2016-02-28,18.834,19.37,18.62,0.75,-0.75,19.338,19.5,19.05,0.4499999999999993,0.029999999999997584,18.29,18.67,18.07,0.6000000000000014,0.14000000000000057,18.802,19.04,18.44,0.5999999999999979,0.5700000000000003,56088,111959,21922,90037,37233
2016-03-06,19.122,19.47,18.8,0.6699999999999982,0.5599999999999987,19.372,19.47,19.25,0.21999999999999886,0.0,18.724,18.87,18.61,0.26000000000000156,-0.1700000000000017,19.064,19.25,18.88,0.370000000000001,0.08999999999999986,17818,25370,10820,14550,4364
2016-03-13,18.733999999999998,19.08,18.42,0.6599999999999966,-0.629999999999999,18.826,19.08,18.58,0.5,-0.5,18.218,18.75,17.29,1.4600000000000009,-1.4600000000000009,18.490000000000002,19.05,17.8,1.25,-1.25,52615,158905,9527,149378,149378
2016-03-20,17.7125,18.22,17.34,0.879999999999999,0.7199999999999989,18.175,18.75,17.68,1.0700000000000003,1.0700000000000003,17.075,17.25,17.0,0.25,0.25,17.7225,18.16,17.55,0.6099999999999994,0.03999999999999915,77266,106854,41126,65728,51589
2016-03-27,17.724,18.79,16.77,2.0199999999999996,0.8099999999999987,18.284,19.0,17.08,1.9200000000000017,1.0199999999999996,17.084,18.14,16.03,2.1099999999999994,1.3399999999999999,17.81,18.61,16.8,1.8099999999999987,1.7000000000000028,61813,74822,45260,29562,-29562
2016-04-03,18.93,19.33,18.64,0.6899999999999977,0.3299999999999983,19.189999999999998,19.36,19.0,0.35999999999999943,-0.030000000000001137,18.532,18.72,18.34,0.379999999999999,-0.2699999999999996,18.924,19.04,18.7,0.33999999999999986,0.10000000000000142,58379,102110,24739,77371,-63497
2016-04-10,20.614,24.0,18.85,5.149999999999999,4.52,21.764,24.14,19.4,4.740000000000002,4.66,19.882,22.12,18.31,3.8100000000000023,3.400000000000002,21.264,24.0,18.95,5.050000000000001,4.02,184111,415804,58909,356895,38595
