Date,iShares Europe_etf_Open_average,iShares Europe_etf_Open_max,iShares Europe_etf_Open_min,iShares Europe_etf_Open_volatility,iShares Europe_etf_Open_change,iShares Europe_etf_High_average,iShares Europe_etf_High_max,iShares Europe_etf_High_min,iShares Europe_etf_High_volatility,iShares Europe_etf_High_change,iShares Europe_etf_Low_average,iShares Europe_etf_Low_max,iShares Europe_etf_Low_min,iShares Europe_etf_Low_volatility,iShares Europe_etf_Low_change,iShares Europe_etf_Close_average,iShares Europe_etf_Close_max,iShares Europe_etf_Close_min,iShares Europe_etf_Close_volatility,iShares Europe_etf_Close_change
2016-01-03,38.24,38.24,38.24,0.0,0.0,38.27,38.27,38.27,0.0,0.0,37.47,37.47,37.47,0.0,0.0,37.52,37.52,37.52,0.0,0.0
2016-01-10,36.58,36.58,36.58,0.0,0.0,36.84,36.84,36.84,0.0,0.0,36.24,36.24,36.24,0.0,0.0,36.39,36.39,36.39,0.0,0.0
2016-01-17,37.31,37.31,37.31,0.0,0.0,37.43,37.43,37.43,0.0,0.0,37.07,37.07,37.07,0.0,0.0,37.31,37.31,37.31,0.0,0.0
2016-01-24,37.42,37.42,37.42,0.0,0.0,37.97,37.97,37.97,0.0,0.0,37.37,37.37,37.37,0.0,0.0,37.96,37.96,37.96,0.0,0.0
2016-01-31,37.33,37.33,37.33,0.0,0.0,37.38,37.38,37.38,0.0,0.0,36.79,36.79,36.79,0.0,0.0,36.9,36.9,36.9,0.0,0.0
2016-02-07,35.54,35.54,35.54,0.0,0.0,36.04,36.04,36.04,0.0,0.0,35.45,35.45,35.45,0.0,0.0,36.04,36.04,36.04,0.0,0.0
2016-02-14,36.82,36.82,36.82,0.0,0.0,37.12,37.12,37.12,0.0,0.0,36.73,36.73,36.73,0.0,0.0,37.09,37.09,37.09,0.0,0.0
2016-02-21,37.25,37.25,37.25,0.0,0.0,37.28,37.28,37.28,0.0,0.0,36.88,36.88,36.88,0.0,0.0,36.95,36.95,36.95,0.0,0.0
2016-02-28,38.34,38.34,38.34,0.0,0.0,38.6,38.6,38.6,0.0,0.0,38.33,38.33,38.33,0.0,0.0,38.4,38.4,38.4,0.0,0.0
2016-03-06,38.87,38.87,38.87,0.0,0.0,39.21,39.21,39.21,0.0,0.0,38.85,38.85,38.85,0.0,0.0,39.2,39.2,39.2,0.0,0.0
2016-03-13,39.45,39.45,39.45,0.0,0.0,39.53,39.53,39.53,0.0,0.0,39.29,39.29,39.29,0.0,0.0,39.4,39.4,39.4,0.0,0.0
2016-03-20,38.18,38.18,38.18,0.0,0.0,38.4,38.4,38.4,0.0,0.0,38.13,38.13,38.13,0.0,0.0,38.4,38.4,38.4,0.0,0.0
2016-03-27,38.38,38.38,38.38,0.0,0.0,38.83,38.83,38.83,0.0,0.0,38.35,38.35,38.35,0.0,0.0,38.77,38.77,38.77,0.0,0.0
2016-04-03,38.64,38.64,38.64,0.0,0.0,38.77,38.77,38.77,0.0,0.0,38.57,38.57,38.57,0.0,0.0,38.68,38.68,38.68,0.0,0.0
2016-04-10,39.72,39.72,39.72,0.0,0.0,39.85,39.85,39.85,0.0,0.0,39.71,39.71,39.71,0.0,0.0,39.71,39.71,39.71,0.0,0.0
2016-04-17,40.36,40.36,40.36,0.0,0.0,40.44,40.44,40.44,0.0,0.0,40.21,40.21,40.21,0.0,0.0,40.38,40.38,40.38,0.0,0.0
2016-04-24,40.44,40.44,40.44,0.0,0.0,40.51,40.51,40.51,0.0,0.0,40.15,40.15,40.15,0.0,0.0,40.31,40.31,40.31,0.0,0.0
2016-05-01,38.92,38.92,38.92,0.0,0.0,39.2,39.2,39.2,0.0,0.0,38.86,38.86,38.86,0.0,0.0,39.2,39.2,39.2,0.0,0.0
2016-05-08,39.01,39.01,39.01,0.0,0.0,39.18,39.18,39.18,0.0,0.0,38.77,38.77,38.77,0.0,0.0,38.81,38.81,38.81,0.0,0.0
2016-05-15,39.13,39.13,39.13,0.0,0.0,39.25,39.25,39.25,0.0,0.0,39.09,39.09,39.09,0.0,0.0,39.16,39.16,39.16,0.0,0.0
2016-05-22,40.3,40.3,40.3,0.0,0.0,40.39,40.39,40.39,0.0,0.0,40.23,40.23,40.23,0.0,0.0,40.31,40.31,40.31,0.0,0.0
2016-05-29,40.11,40.11,40.11,0.0,0.0,40.28,40.28,40.28,0.0,0.0,39.91,39.91,39.91,0.0,0.0,40.26,40.26,40.26,0.0,0.0
2016-06-05,39.23,39.23,39.23,0.0,0.0,39.27,39.27,39.27,0.0,0.0,38.7,38.7,38.7,0.0,0.0,38.79,38.79,38.79,0.0,0.0
2016-06-12,38.08,38.08,38.08,0.0,0.0,38.56,38.56,38.56,0.0,0.0,37.99,37.99,37.99,0.0,0.0,38.53,38.53,38.53,0.0,0.0
2016-06-19,36.19,36.19,36.19,0.0,0.0,37.06,37.06,37.06,0.0,0.0,35.84,35.84,35.84,0.0,0.0,35.87,35.87,35.87,0.0,0.0
2016-06-26,37.82,37.82,37.82,0.0,0.0,37.93,37.93,37.93,0.0,0.0,37.76,37.76,37.76,0.0,0.0,37.79,37.79,37.79,0.0,0.0
2016-07-03,36.91,36.91,36.91,0.0,0.0,37.03,37.03,37.03,0.0,0.0,36.82,36.82,36.82,0.0,0.0,36.95,36.95,36.95,0.0,0.0
2016-07-10,38.3,38.3,38.3,0.0,0.0,38.31,38.31,38.31,0.0,0.0,38.11,38.11,38.11,0.0,0.0,38.19,38.19,38.19,0.0,0.0
2016-07-17,38.26,38.26,38.26,0.0,0.0,38.28,38.28,38.28,0.0,0.0,38.13,38.13,38.13,0.0,0.0,38.23,38.23,38.23,0.0,0.0
2016-07-24,38.75,38.75,38.75,0.0,0.0,39.0,39.0,39.0,0.0,0.0,38.68,38.68,38.68,0.0,0.0,38.95,38.95,38.95,0.0,0.0
2016-07-31,38.39,38.39,38.39,0.0,0.0,38.61,38.61,38.61,0.0,0.0,38.39,38.39,38.39,0.0,0.0,38.56,38.56,38.56,0.0,0.0
2016-08-07,39.52,39.52,39.52,0.0,0.0,39.56,39.56,39.56,0.0,0.0,39.34,39.34,39.34,0.0,0.0,39.4,39.4,39.4,0.0,0.0
2016-08-14,39.29,39.29,39.29,0.0,0.0,39.44,39.44,39.44,0.0,0.0,39.17,39.17,39.17,0.0,0.0,39.41,39.41,39.41,0.0,0.0
2016-08-21,39.44,39.44,39.44,0.0,0.0,39.85,39.85,39.85,0.0,0.0,38.95,38.95,38.95,0.0,0.0,39.09,39.09,39.09,0.0,0.0
2016-08-28,39.83,39.83,39.83,0.0,0.0,40.03,40.03,40.03,0.0,0.0,39.73,39.73,39.73,0.0,0.0,39.95,39.95,39.95,0.0,0.0
2016-09-04,39.82,39.82,39.82,0.0,0.0,39.82,39.82,39.82,0.0,0.0,39.3,39.3,39.3,0.0,0.0,39.32,39.32,39.32,0.0,0.0
2016-09-11,38.58,38.58,38.58,0.0,0.0,38.59,38.59,38.59,0.0,0.0,38.39,38.39,38.39,0.0,0.0,38.47,38.47,38.47,0.0,0.0
2016-09-18,39.46,39.46,39.46,0.0,0.0,39.63,39.63,39.63,0.0,0.0,39.46,39.46,39.46,0.0,0.0,39.51,39.51,39.51,0.0,0.0
2016-09-25,39.09,39.09,39.09,0.0,0.0,39.49,39.49,39.49,0.0,0.0,39.06,39.06,39.06,0.0,0.0,39.38,39.38,39.38,0.0,0.0
2016-10-02,38.98,38.98,38.98,0.0,0.0,39.01,39.01,39.01,0.0,0.0,38.63,38.63,38.63,0.0,0.0,38.94,38.94,38.94,0.0,0.0
2016-10-09,38.42,38.42,38.42,0.0,0.0,38.54,38.54,38.54,0.0,0.0,38.2,38.2,38.2,0.0,0.0,38.21,38.21,38.21,0.0,0.0
2016-10-16,38.31,38.31,38.31,0.0,0.0,38.51,38.51,38.51,0.0,0.0,38.29,38.29,38.29,0.0,0.0,38.51,38.51,38.51,0.0,0.0
2016-10-23,38.13,38.13,38.13,0.0,0.0,38.3,38.3,38.3,0.0,0.0,38.1,38.1,38.1,0.0,0.0,38.17,38.17,38.17,0.0,0.0
2016-10-30,37.4,37.4,37.4,0.0,0.0,37.52,37.52,37.52,0.0,0.0,37.27,37.27,37.27,0.0,0.0,37.27,37.27,37.27,0.0,0.0
2016-11-06,37.78,37.78,37.78,0.0,0.0,37.82,37.82,37.82,0.0,0.0,37.49,37.49,37.49,0.0,0.0,37.67,37.67,37.67,0.0,0.0
2016-11-13,37.02,37.02,37.02,0.0,0.0,37.04,37.04,37.04,0.0,0.0,36.85,36.85,36.85,0.0,0.0,36.89,36.89,36.89,0.0,0.0
2016-11-20,37.29,37.29,37.29,0.0,0.0,37.33,37.33,37.33,0.0,0.0,37.24,37.24,37.24,0.0,0.0,37.32,37.32,37.32,0.0,0.0
2016-11-27,37.0,37.0,37.0,0.0,0.0,37.35,37.35,37.35,0.0,0.0,36.98,36.98,36.98,0.0,0.0,37.24,37.24,37.24,0.0,0.0
2016-12-04,38.55,38.55,38.55,0.0,0.0,38.77,38.77,38.77,0.0,0.0,38.51,38.51,38.51,0.0,0.0,38.77,38.77,38.77,0.0,0.0
2016-12-11,38.65,38.65,38.65,0.0,0.0,38.88,38.88,38.88,0.0,0.0,38.65,38.65,38.65,0.0,0.0,38.7,38.7,38.7,0.0,0.0
2016-12-18,38.42,38.42,38.42,0.0,0.0,38.55,38.55,38.55,0.0,0.0,38.41,38.41,38.41,0.0,0.0,38.51,38.51,38.51,0.0,0.0
2016-12-25,38.94,38.94,38.94,0.0,0.0,39.04,39.04,39.04,0.0,0.0,38.73,38.73,38.73,0.0,0.0,38.81,38.81,38.81,0.0,0.0
2017-01-01,39.39,39.39,39.39,0.0,0.0,39.49,39.49,39.49,0.0,0.0,39.33,39.33,39.33,0.0,0.0,39.41,39.41,39.41,0.0,0.0
2017-01-08,39.68,39.68,39.68,0.0,0.0,39.74,39.74,39.74,0.0,0.0,39.59,39.59,39.59,0.0,0.0,39.69,39.69,39.69,0.0,0.0
2017-01-15,39.53,39.53,39.53,0.0,0.0,39.63,39.63,39.63,0.0,0.0,39.48,39.48,39.48,0.0,0.0,39.62,39.62,39.62,0.0,0.0
2017-01-22,40.03,40.03,40.03,0.0,0.0,40.08,40.08,40.08,0.0,0.0,39.97,39.97,39.97,0.0,0.0,40.04,40.04,40.04,0.0,0.0
2017-01-29,40.06,40.06,40.06,0.0,0.0,40.16,40.16,40.16,0.0,0.0,39.99,39.99,39.99,0.0,0.0,40.09,40.09,40.09,0.0,0.0
2017-02-05,39.79,39.79,39.79,0.0,0.0,39.97,39.97,39.97,0.0,0.0,39.78,39.78,39.78,0.0,0.0,39.92,39.92,39.92,0.0,0.0
2017-02-12,40.2,40.2,40.2,0.0,0.0,40.32,40.32,40.32,0.0,0.0,40.16,40.16,40.16,0.0,0.0,40.3,40.3,40.3,0.0,0.0
2017-02-19,39.96,39.96,39.96,0.0,0.0,40.15,40.15,40.15,0.0,0.0,39.92,39.92,39.92,0.0,0.0,40.1,40.1,40.1,0.0,0.0
2017-02-26,40.51,40.51,40.51,0.0,0.0,40.82,40.82,40.82,0.0,0.0,40.49,40.49,40.49,0.0,0.0,40.76,40.76,40.76,0.0,0.0
2017-03-05,40.74,40.74,40.74,0.0,0.0,40.86,40.86,40.86,0.0,0.0,40.66,40.66,40.66,0.0,0.0,40.83,40.83,40.83,0.0,0.0
2017-03-12,41.74,41.74,41.74,0.0,0.0,41.84,41.84,41.84,0.0,0.0,41.64,41.64,41.64,0.0,0.0,41.75,41.75,41.75,0.0,0.0
2017-03-19,41.68,41.68,41.68,0.0,0.0,41.77,41.77,41.77,0.0,0.0,41.61,41.61,41.61,0.0,0.0,41.72,41.72,41.72,0.0,0.0
