Date,First Trust High Income_etf_Open_average,First Trust High Income_etf_Open_max,First Trust High Income_etf_Open_min,First Trust High Income_etf_Open_volatility,First Trust High Income_etf_Open_change,First Trust High Income_etf_High_average,First Trust High Income_etf_High_max,First Trust High Income_etf_High_min,First Trust High Income_etf_High_volatility,First Trust High Income_etf_High_change,First Trust High Income_etf_Low_average,First Trust High Income_etf_Low_max,First Trust High Income_etf_Low_min,First Trust High Income_etf_Low_volatility,First Trust High Income_etf_Low_change,First Trust High Income_etf_Close_average,First Trust High Income_etf_Close_max,First Trust High Income_etf_Close_min,First Trust High Income_etf_Close_volatility,First Trust High Income_etf_Close_change
2016-01-03,19.3,19.3,19.3,0.0,0.0,19.31,19.31,19.31,0.0,0.0,19.3,19.3,19.3,0.0,0.0,19.31,19.31,19.31,0.0,0.0
2016-01-10,18.64,18.64,18.64,0.0,0.0,18.78,18.78,18.78,0.0,0.0,18.64,18.64,18.64,0.0,0.0,18.78,18.78,18.78,0.0,0.0
2016-01-17,18.27,18.27,18.27,0.0,0.0,18.27,18.27,18.27,0.0,0.0,18.27,18.27,18.27,0.0,0.0,18.27,18.27,18.27,0.0,0.0
2016-01-24,18.47,18.47,18.47,0.0,0.0,18.47,18.47,18.47,0.0,0.0,18.47,18.47,18.47,0.0,0.0,18.47,18.47,18.47,0.0,0.0
2016-01-31,18.89,18.89,18.89,0.0,0.0,18.89,18.89,18.89,0.0,0.0,18.89,18.89,18.89,0.0,0.0,18.89,18.89,18.89,0.0,0.0
2016-02-07,17.68,17.68,17.68,0.0,0.0,18.51,18.51,18.51,0.0,0.0,17.68,17.68,17.68,0.0,0.0,18.51,18.51,18.51,0.0,0.0
2016-02-14,18.85,18.85,18.85,0.0,0.0,18.85,18.85,18.85,0.0,0.0,18.85,18.85,18.85,0.0,0.0,18.85,18.85,18.85,0.0,0.0
2016-02-21,19.17,19.17,19.17,0.0,0.0,19.17,19.17,19.17,0.0,0.0,19.17,19.17,19.17,0.0,0.0,19.17,19.17,19.17,0.0,0.0
2016-02-28,19.4,19.4,19.4,0.0,0.0,19.55,19.55,19.55,0.0,0.0,19.4,19.4,19.4,0.0,0.0,19.55,19.55,19.55,0.0,0.0
2016-03-06,19.5,19.5,19.5,0.0,0.0,19.58,19.58,19.58,0.0,0.0,19.4,19.4,19.4,0.0,0.0,19.58,19.58,19.58,0.0,0.0
2016-03-13,19.98,19.98,19.98,0.0,0.0,19.98,19.98,19.98,0.0,0.0,19.84,19.84,19.84,0.0,0.0,19.84,19.84,19.84,0.0,0.0
2016-03-20,19.67,19.67,19.67,0.0,0.0,19.67,19.67,19.67,0.0,0.0,19.67,19.67,19.67,0.0,0.0,19.67,19.67,19.67,0.0,0.0
2016-03-27,19.83,19.83,19.83,0.0,0.0,19.98,19.98,19.98,0.0,0.0,19.83,19.83,19.83,0.0,0.0,19.98,19.98,19.98,0.0,0.0
2016-04-03,19.85,19.85,19.85,0.0,0.0,19.91,19.91,19.91,0.0,0.0,19.84,19.84,19.84,0.0,0.0,19.91,19.91,19.91,0.0,0.0
2016-04-10,19.92,19.92,19.92,0.0,0.0,20.06,20.06,20.06,0.0,0.0,19.92,19.92,19.92,0.0,0.0,20.06,20.06,20.06,0.0,0.0
2016-04-17,19.65,19.65,19.65,0.0,0.0,19.84,19.84,19.84,0.0,0.0,19.65,19.65,19.65,0.0,0.0,19.74,19.74,19.74,0.0,0.0
2016-04-24,19.51,19.51,19.51,0.0,0.0,19.51,19.51,19.51,0.0,0.0,19.49,19.49,19.49,0.0,0.0,19.49,19.49,19.49,0.0,0.0
2016-05-01,19.55,19.55,19.55,0.0,0.0,19.73,19.73,19.73,0.0,0.0,19.55,19.55,19.55,0.0,0.0,19.73,19.73,19.73,0.0,0.0
2016-05-08,19.5,19.5,19.5,0.0,0.0,19.59,19.59,19.59,0.0,0.0,19.5,19.5,19.5,0.0,0.0,19.59,19.59,19.59,0.0,0.0
2016-05-15,19.44,19.44,19.44,0.0,0.0,19.44,19.44,19.44,0.0,0.0,19.42,19.42,19.42,0.0,0.0,19.44,19.44,19.44,0.0,0.0
2016-05-22,19.87,19.87,19.87,0.0,0.0,19.87,19.87,19.87,0.0,0.0,19.87,19.87,19.87,0.0,0.0,19.87,19.87,19.87,0.0,0.0
2016-05-29,19.86,19.86,19.86,0.0,0.0,19.86,19.86,19.86,0.0,0.0,19.86,19.86,19.86,0.0,0.0,19.86,19.86,19.86,0.0,0.0
2016-06-05,20.1,20.1,20.1,0.0,0.0,20.1,20.1,20.1,0.0,0.0,20.1,20.1,20.1,0.0,0.0,20.1,20.1,20.1,0.0,0.0
2016-06-12,19.94,19.94,19.94,0.0,0.0,19.94,19.94,19.94,0.0,0.0,19.86,19.86,19.86,0.0,0.0,19.86,19.86,19.86,0.0,0.0
2016-06-19,19.75,19.75,19.75,0.0,0.0,19.75,19.75,19.75,0.0,0.0,19.49,19.49,19.49,0.0,0.0,19.58,19.58,19.58,0.0,0.0
2016-06-26,19.6,19.6,19.6,0.0,0.0,19.6,19.6,19.6,0.0,0.0,19.6,19.6,19.6,0.0,0.0,19.6,19.6,19.6,0.0,0.0
2016-07-03,20.02,20.02,20.02,0.0,0.0,20.02,20.02,20.02,0.0,0.0,20.02,20.02,20.02,0.0,0.0,20.02,20.02,20.02,0.0,0.0
2016-07-10,20.02,20.02,20.02,0.0,0.0,20.02,20.02,20.02,0.0,0.0,20.02,20.02,20.02,0.0,0.0,20.02,20.02,20.02,0.0,0.0
2016-07-17,20.39,20.39,20.39,0.0,0.0,20.4,20.4,20.4,0.0,0.0,20.1,20.1,20.1,0.0,0.0,20.1,20.1,20.1,0.0,0.0
2016-07-24,20.58,20.58,20.58,0.0,0.0,20.58,20.58,20.58,0.0,0.0,20.58,20.58,20.58,0.0,0.0,20.58,20.58,20.58,0.0,0.0
2016-07-31,19.42,19.42,19.42,0.0,0.0,19.61,19.61,19.61,0.0,0.0,19.37,19.37,19.37,0.0,0.0,19.61,19.61,19.61,0.0,0.0
2016-08-07,20.59,20.59,20.59,0.0,0.0,20.59,20.59,20.59,0.0,0.0,20.55,20.55,20.55,0.0,0.0,20.55,20.55,20.55,0.0,0.0
2016-08-14,20.5,20.5,20.5,0.0,0.0,20.78,20.78,20.78,0.0,0.0,20.5,20.5,20.5,0.0,0.0,20.78,20.78,20.78,0.0,0.0
2016-08-21,20.67,20.67,20.67,0.0,0.0,20.67,20.67,20.67,0.0,0.0,20.67,20.67,20.67,0.0,0.0,20.67,20.67,20.67,0.0,0.0
2016-08-28,20.29,20.29,20.29,0.0,0.0,20.29,20.29,20.29,0.0,0.0,20.28,20.28,20.28,0.0,0.0,20.28,20.28,20.28,0.0,0.0
