Date,LHCG_stock_Open_average,LHCG_stock_Open_max,LHCG_stock_Open_min,LHCG_stock_Open_volatility,LHCG_stock_Open_change,LHCG_stock_High_average,LHCG_stock_High_max,LHCG_stock_High_min,LHCG_stock_High_volatility,LHCG_stock_High_change,LHCG_stock_Low_average,LHCG_stock_Low_max,LHCG_stock_Low_min,LHCG_stock_Low_volatility,LHCG_stock_Low_change,LHCG_stock_Close_average,LHCG_stock_Close_max,LHCG_stock_Close_min,LHCG_stock_Close_volatility,LHCG_stock_Close_change,LHCG_stock_Volume_average,LHCG_stock_Volume_max,LHCG_stock_Volume_min,LHCG_stock_Volume_volatility,LHCG_stock_Volume_change
2016-01-03,43.308,44.74,41.85,2.8900000000000006,-1.1700000000000017,44.2,45.08,43.63,1.4499999999999957,-0.9499999999999957,42.2,42.92,41.06,1.8599999999999994,-1.029999999999994,43.074,44.1,42.24,1.8599999999999994,-0.7299999999999969,193265,246862,112745,134117,23968
2016-01-10,40.298,42.41,38.58,3.8299999999999983,-3.8299999999999983,41.6,44.77,39.65,5.1200000000000045,-2.6899999999999977,39.06,40.57,38.04,2.530000000000001,-2.270000000000003,39.884,40.78,38.71,2.0700000000000003,-0.990000000000002,149050,190526,102430,88096,33680
2016-01-17,39.3525,40.14,38.54,1.6000000000000014,-1.3900000000000006,39.9125,40.51,38.67,1.8399999999999963,-1.8399999999999963,37.8975,38.42,37.66,0.7600000000000051,-0.6799999999999997,38.895,39.84,38.29,1.5500000000000043,-0.5300000000000011,140057,234735,83304,151431,-38988
2016-01-24,37.94,38.49,36.71,1.7800000000000011,-1.6199999999999974,38.492,38.85,38.16,0.6900000000000048,-0.6200000000000045,37.172000000000004,37.95,36.15,1.8000000000000043,-1.7700000000000031,37.764,38.48,36.68,1.7999999999999972,-0.39000000000000057,106333,148785,85731,63054,11436
2016-01-31,36.668,37.8,35.71,2.0899999999999963,-1.7999999999999972,37.556,39.35,35.79,3.5600000000000023,0.8700000000000045,35.147999999999996,37.15,34.05,3.1000000000000014,-3.009999999999998,35.888000000000005,37.52,34.27,3.25,-3.25,115632,193565,82901,110664,11209
2016-02-07,33.864000000000004,34.27,33.27,1.0,0.6799999999999997,34.812,36.51,34.02,2.489999999999995,0.6999999999999957,33.26,33.84,32.77,1.0700000000000003,0.7399999999999949,34.102,34.69,33.55,1.1400000000000006,0.9600000000000009,75485,117577,49529,68048,-34987
2016-02-14,35.0,35.58,34.51,1.0700000000000003,-0.12000000000000455,35.8025,36.67,35.29,1.3800000000000026,-0.259999999999998,34.445,34.82,34.2,0.6199999999999974,0.09999999999999432,35.0725,35.61,34.54,1.0700000000000003,-0.14000000000000057,100582,116767,85577,31190,-24891
2016-02-21,36.03666666666666,36.92,35.18,1.740000000000002,1.740000000000002,36.821666666666665,37.68,36.3,1.3800000000000026,0.2600000000000051,35.81666666666667,36.92,35.1,1.8200000000000003,1.740000000000002,36.388333333333335,36.92,35.74,1.1799999999999997,1.0700000000000003,82803,107936,61071,46865,-22944
2016-02-28,36.26,37.46,34.96,2.5,0.25,37.738,38.58,36.93,1.6499999999999986,0.22999999999999687,34.924,35.44,33.84,1.5999999999999943,0.14000000000000057,36.184,37.43,35.25,2.1799999999999997,0.05999999999999517,229392,290640,155970,134670,-28360
2016-03-06,36.07,36.95,35.63,1.3200000000000003,0.21999999999999886,36.758,37.26,36.41,0.8500000000000014,-0.19000000000000483,35.03,35.24,34.9,0.3400000000000034,0.0799999999999983,36.05,36.93,35.33,1.6000000000000014,-0.4199999999999946,159929,191658,119438,72220,-24807
