Date,Global X MSCI ArgentinaEtf_Open_average,Global X MSCI ArgentinaEtf_Open_max,Global X MSCI ArgentinaEtf_Open_min,Global X MSCI ArgentinaEtf_Open_volatility,Global X MSCI ArgentinaEtf_Open_change,Global X MSCI ArgentinaEtf_High_average,Global X MSCI ArgentinaEtf_High_max,Global X MSCI ArgentinaEtf_High_min,Global X MSCI ArgentinaEtf_High_volatility,Global X MSCI ArgentinaEtf_High_change,Global X MSCI ArgentinaEtf_Low_average,Global X MSCI ArgentinaEtf_Low_max,Global X MSCI ArgentinaEtf_Low_min,Global X MSCI ArgentinaEtf_Low_volatility,Global X MSCI ArgentinaEtf_Low_change,Global X MSCI ArgentinaEtf_Close_average,Global X MSCI ArgentinaEtf_Close_max,Global X MSCI ArgentinaEtf_Close_min,Global X MSCI ArgentinaEtf_Close_volatility,Global X MSCI ArgentinaEtf_Close_change
2016-01-03,17.1,17.1,17.1,0.0,0.0,17.13,17.13,17.13,0.0,0.0,16.8,16.8,16.8,0.0,0.0,16.81,16.81,16.81,0.0,0.0
2016-01-10,16.19,16.19,16.19,0.0,0.0,16.27,16.27,16.27,0.0,0.0,15.84,15.84,15.84,0.0,0.0,16.12,16.12,16.12,0.0,0.0
2016-01-17,16.03,16.03,16.03,0.0,0.0,16.47,16.47,16.47,0.0,0.0,16.03,16.03,16.03,0.0,0.0,16.47,16.47,16.47,0.0,0.0
2016-01-24,16.93,16.93,16.93,0.0,0.0,17.15,17.15,17.15,0.0,0.0,16.89,16.89,16.89,0.0,0.0,17.15,17.15,17.15,0.0,0.0
2016-01-31,17.24,17.24,17.24,0.0,0.0,17.24,17.24,17.24,0.0,0.0,17.04,17.04,17.04,0.0,0.0,17.13,17.13,17.13,0.0,0.0
2016-02-07,16.43,16.43,16.43,0.0,0.0,16.94,16.94,16.94,0.0,0.0,16.43,16.43,16.43,0.0,0.0,16.78,16.78,16.78,0.0,0.0
2016-02-14,17.57,17.57,17.57,0.0,0.0,17.72,17.72,17.72,0.0,0.0,17.55,17.55,17.55,0.0,0.0,17.72,17.72,17.72,0.0,0.0
2016-02-21,18.62,18.62,18.62,0.0,0.0,18.82,18.82,18.82,0.0,0.0,18.5,18.5,18.5,0.0,0.0,18.54,18.54,18.54,0.0,0.0
2016-02-28,19.15,19.15,19.15,0.0,0.0,19.22,19.22,19.22,0.0,0.0,18.91,18.91,18.91,0.0,0.0,19.03,19.03,19.03,0.0,0.0
2016-03-06,18.88,18.88,18.88,0.0,0.0,19.03,19.03,19.03,0.0,0.0,18.88,18.88,18.88,0.0,0.0,18.96,18.96,18.96,0.0,0.0
2016-03-13,19.28,19.28,19.28,0.0,0.0,19.33,19.33,19.33,0.0,0.0,19.08,19.08,19.08,0.0,0.0,19.19,19.19,19.19,0.0,0.0
2016-03-20,18.92,18.92,18.92,0.0,0.0,19.02,19.02,19.02,0.0,0.0,18.73,18.73,18.73,0.0,0.0,18.99,18.99,18.99,0.0,0.0
2016-03-27,19.1,19.1,19.1,0.0,0.0,19.28,19.28,19.28,0.0,0.0,19.0,19.0,19.0,0.0,0.0,19.2,19.2,19.2,0.0,0.0
2016-04-03,18.71,18.71,18.71,0.0,0.0,18.88,18.88,18.88,0.0,0.0,18.67,18.67,18.67,0.0,0.0,18.88,18.88,18.88,0.0,0.0
2016-04-10,20.25,20.25,20.25,0.0,0.0,20.42,20.42,20.42,0.0,0.0,20.19,20.19,20.19,0.0,0.0,20.22,20.22,20.22,0.0,0.0
2016-04-17,21.07,21.07,21.07,0.0,0.0,21.18,21.18,21.18,0.0,0.0,20.9,20.9,20.9,0.0,0.0,20.9,20.9,20.9,0.0,0.0
2016-04-24,20.78,20.78,20.78,0.0,0.0,20.95,20.95,20.95,0.0,0.0,20.65,20.65,20.65,0.0,0.0,20.74,20.74,20.74,0.0,0.0
2016-05-01,20.23,20.23,20.23,0.0,0.0,20.57,20.57,20.57,0.0,0.0,20.22,20.22,20.22,0.0,0.0,20.48,20.48,20.48,0.0,0.0
2016-05-08,20.8,20.8,20.8,0.0,0.0,20.93,20.93,20.93,0.0,0.0,20.5,20.5,20.5,0.0,0.0,20.5,20.5,20.5,0.0,0.0
2016-05-15,20.37,20.37,20.37,0.0,0.0,20.47,20.47,20.47,0.0,0.0,20.18,20.18,20.18,0.0,0.0,20.42,20.42,20.42,0.0,0.0
