Date,FFNW_stock_Open_average,FFNW_stock_Open_max,FFNW_stock_Open_min,FFNW_stock_Open_volatility,FFNW_stock_Open_change,FFNW_stock_High_average,FFNW_stock_High_max,FFNW_stock_High_min,FFNW_stock_High_volatility,FFNW_stock_High_change,FFNW_stock_Low_average,FFNW_stock_Low_max,FFNW_stock_Low_min,FFNW_stock_Low_volatility,FFNW_stock_Low_change,FFNW_stock_Close_average,FFNW_stock_Close_max,FFNW_stock_Close_min,FFNW_stock_Close_volatility,FFNW_stock_Close_change,FFNW_stock_Volume_average,FFNW_stock_Volume_max,FFNW_stock_Volume_min,FFNW_stock_Volume_volatility,FFNW_stock_Volume_change
2016-01-03,13.674,13.88,13.44,0.4400000000000013,-0.1800000000000015,13.768,13.88,13.69,0.19000000000000128,-0.040000000000000924,13.528,13.7,13.44,0.2599999999999998,0.25,13.67,13.8,13.53,0.27000000000000135,0.15000000000000036,18209,28434,10597,17837,5977
2016-01-10,13.588,13.8,13.42,0.3800000000000008,-0.3800000000000008,13.676,13.8,13.5,0.3000000000000007,-0.3000000000000007,13.438,13.49,13.34,0.15000000000000036,-0.15000000000000036,13.498,13.52,13.46,0.05999999999999872,-0.05999999999999872,51645,134486,20909,113577,-1361
2016-01-17,13.545,13.62,13.49,0.129999999999999,0.06999999999999851,13.612499999999999,13.78,13.52,0.2599999999999998,-0.16000000000000014,13.3825,13.5,13.15,0.34999999999999964,0.019999999999999574,13.51,13.55,13.46,0.08999999999999986,0.030000000000001137,24209,42026,13691,28335,-926
2016-01-24,13.516,13.64,13.36,0.28000000000000114,0.17999999999999972,13.756,13.79,13.71,0.0799999999999983,0.009999999999999787,13.438,13.53,13.32,0.20999999999999908,-0.03999999999999915,13.528,13.58,13.48,0.09999999999999964,0.049999999999998934,13592,22926,9235,13691,-2713
2016-01-31,13.302,13.51,13.17,0.33999999999999986,-0.29999999999999893,13.468,13.64,13.39,0.25,-0.23000000000000043,13.09,13.14,13.02,0.120000000000001,-0.0600000000000005,13.204,13.46,13.02,0.4400000000000013,-0.4400000000000013,18985,22671,13459,9212,9212
2016-02-07,12.764,13.05,12.58,0.47000000000000064,-0.25,12.978,13.27,12.67,0.5999999999999996,-0.05000000000000071,12.572,12.64,12.51,0.13000000000000078,-0.0600000000000005,12.762,12.97,12.56,0.41000000000000014,0.33000000000000007,20530,27040,17250,9790,-6780
2016-02-14,12.97,13.09,12.8,0.28999999999999915,0.16000000000000014,13.2525,13.31,13.18,0.13000000000000078,0.030000000000001137,12.895,13.03,12.79,0.2400000000000002,0.040000000000000924,13.055,13.13,13.0,0.13000000000000078,0.09000000000000163,16662,22869,13633,9236,-7367
2016-02-21,13.305,13.5,13.19,0.3100000000000005,0.3100000000000005,13.438333333333334,13.63,13.3,0.33000000000000007,0.009999999999999787,13.078333333333333,13.5,12.88,0.6199999999999992,0.6199999999999992,13.363333333333333,13.51,13.29,0.22000000000000064,0.1999999999999993,16992,26879,0,26879,-26879
2016-02-28,13.538,13.59,13.44,0.15000000000000036,-0.0600000000000005,13.64,13.74,13.55,0.1899999999999995,-0.1899999999999995,13.16,13.37,12.75,0.6199999999999992,-0.3699999999999992,13.427999999999999,13.6,13.06,0.5399999999999991,-0.3099999999999987,24656,34056,9369,24687,4638
2016-03-06,13.092,13.2,12.98,0.21999999999999886,0.16000000000000014,13.292,13.44,13.2,0.2400000000000002,0.129999999999999,12.911999999999999,13.19,12.77,0.41999999999999993,0.41999999999999993,13.120000000000001,13.23,13.02,0.21000000000000085,0.17999999999999972,18099,24525,14739,9786,-9786
2016-03-13,13.402,13.6,13.19,0.41000000000000014,0.41000000000000014,13.614,13.74,13.51,0.23000000000000043,0.23000000000000043,13.22,13.4,13.12,0.28000000000000114,0.010000000000001563,13.448,13.59,13.24,0.34999999999999964,-0.1999999999999993,36264,60562,23329,37233,1740
2016-03-20,13.435,13.6,13.25,0.34999999999999964,0.2599999999999998,13.655000000000001,13.75,13.48,0.2699999999999996,0.2699999999999996,13.365,13.55,13.13,0.41999999999999993,0.41999999999999993,13.615,13.75,13.48,0.2699999999999996,0.2699999999999996,16409,20252,10905,9347,-1124
2016-03-27,13.514,13.73,13.19,0.5400000000000009,-0.5400000000000009,13.604000000000001,13.83,13.4,0.4299999999999997,-0.4299999999999997,13.366,13.58,13.17,0.41000000000000014,-0.40000000000000036,13.422,13.68,13.17,0.5099999999999998,-0.39000000000000057,34007,41487,22566,18921,7878
2016-04-03,13.224,13.28,13.1,0.17999999999999972,0.08000000000000007,13.382,13.44,13.35,0.08999999999999986,-0.0600000000000005,13.032,13.22,12.55,0.6699999999999999,0.040000000000000924,13.274,13.37,13.2,0.16999999999999993,-0.1399999999999988,24336,34946,6997,27949,-13734
2016-04-10,13.334,13.42,13.28,0.14000000000000057,0.08000000000000007,13.414,13.45,13.35,0.09999999999999964,0.06999999999999851,13.216,13.28,13.12,0.16000000000000014,0.15000000000000036,13.286,13.39,13.17,0.22000000000000064,0.10999999999999943,34167,52421,23928,28493,-12291
