Date,Guggenheim CurrencyShares British Pound SterlingEtf_Open_average,Guggenheim CurrencyShares British Pound SterlingEtf_Open_max,Guggenheim CurrencyShares British Pound SterlingEtf_Open_min,Guggenheim CurrencyShares British Pound SterlingEtf_Open_volatility,Guggenheim CurrencyShares British Pound SterlingEtf_Open_change,Guggenheim CurrencyShares British Pound SterlingEtf_High_average,Guggenheim CurrencyShares British Pound SterlingEtf_High_max,Guggenheim CurrencyShares British Pound SterlingEtf_High_min,Guggenheim CurrencyShares British Pound SterlingEtf_High_volatility,Guggenheim CurrencyShares British Pound SterlingEtf_High_change,Guggenheim CurrencyShares British Pound SterlingEtf_Low_average,Guggenheim CurrencyShares British Pound SterlingEtf_Low_max,Guggenheim CurrencyShares British Pound SterlingEtf_Low_min,Guggenheim CurrencyShares British Pound SterlingEtf_Low_volatility,Guggenheim CurrencyShares British Pound SterlingEtf_Low_change,Guggenheim CurrencyShares British Pound SterlingEtf_Close_average,Guggenheim CurrencyShares British Pound SterlingEtf_Close_max,Guggenheim CurrencyShares British Pound SterlingEtf_Close_min,Guggenheim CurrencyShares British Pound SterlingEtf_Close_volatility,Guggenheim CurrencyShares British Pound SterlingEtf_Close_change
2016-01-03,142.72,142.72,142.72,0.0,0.0,142.72,142.72,142.72,0.0,0.0,142.03,142.03,142.03,0.0,0.0,142.22,142.22,142.22,0.0,0.0
2016-01-10,140.51,140.51,140.51,0.0,0.0,140.56,140.56,140.56,0.0,0.0,139.52,139.52,139.52,0.0,0.0,139.52,139.52,139.52,0.0,0.0
2016-01-17,140.26,140.26,140.26,0.0,0.0,140.55,140.55,140.55,0.0,0.0,139.7,139.7,139.7,0.0,0.0,139.7,139.7,139.7,0.0,0.0
2016-01-24,139.7,139.7,139.7,0.0,0.0,139.7,139.7,139.7,0.0,0.0,138.67,138.67,138.67,0.0,0.0,139.47,139.47,139.47,0.0,0.0
2016-01-31,141.96,141.96,141.96,0.0,0.0,141.97,141.97,141.97,0.0,0.0,141.54,141.54,141.54,0.0,0.0,141.81,141.81,141.81,0.0,0.0
2016-02-07,141.41,141.41,141.41,0.0,0.0,142.04,142.04,142.04,0.0,0.0,141.41,141.41,141.41,0.0,0.0,142.0,142.0,142.0,0.0,0.0
2016-02-14,139.51,139.51,139.51,0.0,0.0,140.57,140.57,140.57,0.0,0.0,139.51,139.51,139.51,0.0,0.0,140.5,140.5,140.5,0.0,0.0
2016-02-21,136.02,136.02,136.02,0.0,0.0,136.17,136.17,136.17,0.0,0.0,135.67,135.67,135.67,0.0,0.0,135.7,135.7,135.7,0.0,0.0
2016-02-28,138.62,138.62,138.62,0.0,0.0,139.26,139.26,139.26,0.0,0.0,138.62,138.62,138.62,0.0,0.0,139.2,139.2,139.2,0.0,0.0
2016-03-06,140.18,140.18,140.18,0.0,0.0,141.22,141.22,141.22,0.0,0.0,140.18,140.18,140.18,0.0,0.0,140.63,140.63,140.63,0.0,0.0
2016-03-13,141.89,141.89,141.89,0.0,0.0,141.92,141.92,141.92,0.0,0.0,141.59,141.59,141.59,0.0,0.0,141.64,141.64,141.64,0.0,0.0
2016-03-20,138.22,138.22,138.22,0.0,0.0,138.68,138.68,138.68,0.0,0.0,138.07,138.07,138.07,0.0,0.0,138.42,138.42,138.42,0.0,0.0
2016-03-27,139.07,139.07,139.07,0.0,0.0,139.25,139.25,139.25,0.0,0.0,138.65,138.65,138.65,0.0,0.0,139.2,139.2,139.2,0.0,0.0
2016-04-03,137.99,137.99,137.99,0.0,0.0,138.25,138.25,138.25,0.0,0.0,137.99,137.99,137.99,0.0,0.0,138.23,138.23,138.23,0.0,0.0
2016-04-10,138.77,138.77,138.77,0.0,0.0,139.21,139.21,139.21,0.0,0.0,138.72,138.72,138.72,0.0,0.0,138.91,138.91,138.91,0.0,0.0
2016-04-17,140.84,140.84,140.84,0.0,0.0,141.3,141.3,141.3,0.0,0.0,140.72,140.72,140.72,0.0,0.0,140.99,140.99,140.99,0.0,0.0
2016-04-24,143.28,143.28,143.28,0.0,0.0,143.41,143.41,143.41,0.0,0.0,142.84,142.84,142.84,0.0,0.0,142.91,142.91,142.91,0.0,0.0
2016-05-01,141.33,141.33,141.33,0.0,0.0,141.44,141.44,141.44,0.0,0.0,141.03,141.03,141.03,0.0,0.0,141.13,141.13,141.13,0.0,0.0
2016-05-08,140.64,140.64,140.64,0.0,0.0,140.64,140.64,140.64,0.0,0.0,140.33,140.33,140.33,0.0,0.0,140.42,140.42,140.42,0.0,0.0
2016-05-15,142.35,142.35,142.35,0.0,0.0,142.35,142.35,142.35,0.0,0.0,141.69,141.69,141.69,0.0,0.0,141.69,141.69,141.69,0.0,0.0
2016-05-22,143.05,143.05,143.05,0.0,0.0,143.23,143.23,143.23,0.0,0.0,142.88,142.88,142.88,0.0,0.0,142.89,142.89,142.89,0.0,0.0
2016-05-29,142.45,142.45,142.45,0.0,0.0,142.45,142.45,142.45,0.0,0.0,141.89,141.89,141.89,0.0,0.0,141.97,141.97,141.97,0.0,0.0
2016-06-05,140.66,140.66,140.66,0.0,0.0,140.71,140.71,140.71,0.0,0.0,139.04,139.04,139.04,0.0,0.0,139.43,139.43,139.43,0.0,0.0
2016-06-12,139.85,139.85,139.85,0.0,0.0,140.65,140.65,140.65,0.0,0.0,139.46,139.46,139.46,0.0,0.0,140.41,140.41,140.41,0.0,0.0
2016-06-19,134.09,134.09,134.09,0.0,0.0,135.34,135.34,135.34,0.0,0.0,132.6,132.6,132.6,0.0,0.0,133.3,133.3,133.3,0.0,0.0
2016-06-26,130.34,130.34,130.34,0.0,0.0,130.42,130.42,130.42,0.0,0.0,129.51,129.51,129.51,0.0,0.0,129.87,129.87,129.87,0.0,0.0
2016-07-03,126.86,126.86,126.86,0.0,0.0,126.89,126.89,126.89,0.0,0.0,126.36,126.36,126.36,0.0,0.0,126.54,126.54,126.54,0.0,0.0
2016-07-10,130.13,130.13,130.13,0.0,0.0,130.13,130.13,130.13,0.0,0.0,128.42,128.42,128.42,0.0,0.0,129.26,129.26,129.26,0.0,0.0
2016-07-17,128.12,128.12,128.12,0.0,0.0,128.16,128.16,128.16,0.0,0.0,127.85,127.85,127.85,0.0,0.0,128.09,128.09,128.09,0.0,0.0
2016-07-24,129.25,129.25,129.25,0.0,0.0,129.99,129.99,129.99,0.0,0.0,128.76,128.76,128.76,0.0,0.0,129.35,129.35,129.35,0.0,0.0
2016-07-31,127.28,127.28,127.28,0.0,0.0,127.97,127.97,127.97,0.0,0.0,127.27,127.27,127.27,0.0,0.0,127.76,127.76,127.76,0.0,0.0
2016-08-07,126.86,126.86,126.86,0.0,0.0,126.92,126.92,126.92,0.0,0.0,126.15,126.15,126.15,0.0,0.0,126.15,126.15,126.15,0.0,0.0
2016-08-14,127.39,127.39,127.39,0.0,0.0,127.86,127.86,127.86,0.0,0.0,127.3,127.3,127.3,0.0,0.0,127.81,127.81,127.81,0.0,0.0
