Date,AAMCStock_Open_average,AAMCStock_Open_max,AAMCStock_Open_min,AAMCStock_Open_volatility,AAMCStock_Open_change,AAMCStock_High_average,AAMCStock_High_max,AAMCStock_High_min,AAMCStock_High_volatility,AAMCStock_High_change,AAMCStock_Low_average,AAMCStock_Low_max,AAMCStock_Low_min,AAMCStock_Low_volatility,AAMCStock_Low_change,AAMCStock_Close_average,AAMCStock_Close_max,AAMCStock_Close_min,AAMCStock_Close_volatility,AAMCStock_Close_change,AAMCStock_Volume_average,AAMCStock_Volume_max,AAMCStock_Volume_min,AAMCStock_Volume_volatility,AAMCStock_Volume_change
2016-01-03,18.636,20.1,16.7,3.400000000000002,0.5500000000000007,19.902,22.0,17.25,4.75,-2.7600000000000016,17.01,19.51,14.63,4.880000000000001,-2.0699999999999985,18.204,20.01,15.48,4.530000000000001,-4.370000000000001,8188,13608,5387,8221,-2204
2016-01-10,16.07,16.65,15.57,1.0799999999999983,0.8000000000000007,16.928,17.69,15.93,1.7600000000000016,0.370000000000001,15.293999999999999,16.06,14.86,1.1999999999999993,0.6400000000000006,16.476,17.07,15.04,2.030000000000001,0.25,3721,5034,1674,3360,-1297
2016-01-17,16.465,17.4,15.94,1.459999999999999,-1.459999999999999,17.1375,18.37,16.38,1.990000000000002,0.9700000000000024,15.6125,16.63,15.0,1.629999999999999,-0.8099999999999987,16.5525,17.38,15.44,1.9399999999999995,0.36999999999999744,4201,4541,3217,1324,9
2016-01-24,16.74,17.31,15.82,1.4899999999999984,-1.4899999999999984,17.1,18.0,15.94,2.0600000000000005,-1.3699999999999992,15.718,16.76,15.35,1.410000000000002,-0.040000000000000924,16.21,16.95,15.45,1.5,-1.1999999999999993,3728,5528,1905,3623,355
2016-01-31,15.694,17.46,14.95,2.5100000000000016,2.5100000000000016,16.29,17.91,15.18,2.7300000000000004,2.2200000000000006,15.348,16.0,14.71,1.2899999999999991,1.2899999999999991,15.784,16.99,14.97,2.019999999999998,0.7800000000000011,3301,7787,1520,6267,-4571
2016-02-07,14.988,15.67,14.53,1.1400000000000006,-0.7300000000000004,15.446,15.73,15.0,0.7300000000000004,0.0600000000000005,14.725999999999999,14.94,14.53,0.41000000000000014,0.11999999999999922,15.132,15.73,14.69,1.040000000000001,0.7300000000000004,3075,4565,1030,3535,-2088
2016-02-14,17.3625,18.15,16.35,1.7999999999999972,1.7999999999999972,18.5825,19.27,17.4,1.870000000000001,1.5500000000000007,16.87,17.35,16.15,1.2000000000000028,1.2000000000000028,17.9825,18.95,16.95,2.0,2.0,2168,3082,1063,2019,437
2016-02-21,18.384999999999998,19.11,17.47,1.6400000000000006,-1.6099999999999994,18.9875,19.8,17.64,2.16,-2.16,17.985,19.08,17.35,1.7299999999999969,-1.6099999999999994,18.3125,19.3,17.64,1.6600000000000001,-1.6600000000000001,1402,2581,308,2273,-1335
2016-02-28,16.818,17.37,16.02,1.3500000000000014,-0.5300000000000011,17.314,17.82,16.84,0.9800000000000004,-0.5300000000000011,16.4,17.0,15.25,1.75,-1.75,16.816,17.3,15.75,1.5500000000000007,-1.25,1304,2685,590,2095,2064
2016-03-06,13.736,15.1,13.18,1.92,-1.92,13.794,15.1,13.25,1.8499999999999996,-1.8499999999999996,13.208,14.02,12.81,1.209999999999999,-0.8699999999999992,13.382,14.21,13.03,1.1800000000000015,-1.0600000000000005,3030,4160,1715,2445,397
2016-03-13,13.422,13.94,13.15,0.7899999999999991,0.7899999999999991,13.828,14.42,13.39,1.0299999999999994,0.8800000000000008,13.342,13.6,13.15,0.4499999999999993,0.4499999999999993,13.62,14.25,13.33,0.9199999999999999,0.8499999999999996,5386,16109,2544,13565,13537
2016-03-20,13.8375,14.35,13.25,1.0999999999999996,-1.0999999999999996,13.8725,14.35,13.25,1.0999999999999996,-1.0999999999999996,13.7025,14.29,12.9,1.3899999999999988,-1.3899999999999988,13.7025,14.29,12.9,1.3899999999999988,-1.3899999999999988,1780,3543,549,2994,-2842
2016-03-27,12.102,12.9,11.5,1.4000000000000004,-0.4900000000000002,12.258000000000001,12.9,11.8,1.0999999999999996,-0.14000000000000057,11.818,12.15,11.5,0.6500000000000004,0.009999999999999787,12.072,12.76,11.77,0.9900000000000002,0.5899999999999999,3205,6080,822,5258,-2335
2016-04-03,15.094,16.92,13.13,3.790000000000001,3.549999999999999,16.164,18.02,14.35,3.67,3.119999999999999,14.564,16.25,12.85,3.4000000000000004,3.119999999999999,15.836,18.02,14.15,3.869999999999999,3.74,3109,4306,1533,2773,-1937
