Date,PowerShares S&P SmallCap IndustrialsEtf_Open_average,PowerShares S&P SmallCap IndustrialsEtf_Open_max,PowerShares S&P SmallCap IndustrialsEtf_Open_min,PowerShares S&P SmallCap IndustrialsEtf_Open_volatility,PowerShares S&P SmallCap IndustrialsEtf_Open_change,PowerShares S&P SmallCap IndustrialsEtf_High_average,PowerShares S&P SmallCap IndustrialsEtf_High_max,PowerShares S&P SmallCap IndustrialsEtf_High_min,PowerShares S&P SmallCap IndustrialsEtf_High_volatility,PowerShares S&P SmallCap IndustrialsEtf_High_change,PowerShares S&P SmallCap IndustrialsEtf_Low_average,PowerShares S&P SmallCap IndustrialsEtf_Low_max,PowerShares S&P SmallCap IndustrialsEtf_Low_min,PowerShares S&P SmallCap IndustrialsEtf_Low_volatility,PowerShares S&P SmallCap IndustrialsEtf_Low_change,PowerShares S&P SmallCap IndustrialsEtf_Close_average,PowerShares S&P SmallCap IndustrialsEtf_Close_max,PowerShares S&P SmallCap IndustrialsEtf_Close_min,PowerShares S&P SmallCap IndustrialsEtf_Close_volatility,PowerShares S&P SmallCap IndustrialsEtf_Close_change
2016-01-03,40.53,40.53,40.53,0.0,0.0,40.53,40.53,40.53,0.0,0.0,39.9,39.9,39.9,0.0,0.0,39.91,39.91,39.91,0.0,0.0
2016-01-10,38.29,38.29,38.29,0.0,0.0,38.58,38.58,38.58,0.0,0.0,38.01,38.01,38.01,0.0,0.0,38.58,38.58,38.58,0.0,0.0
2016-01-17,39.05,39.05,39.05,0.0,0.0,39.06,39.06,39.06,0.0,0.0,38.85,38.85,38.85,0.0,0.0,39.03,39.03,39.03,0.0,0.0
2016-01-24,39.6,39.6,39.6,0.0,0.0,40.37,40.37,40.37,0.0,0.0,39.6,39.6,39.6,0.0,0.0,40.37,40.37,40.37,0.0,0.0
2016-01-31,38.89,38.89,38.89,0.0,0.0,39.0,39.0,39.0,0.0,0.0,38.68,38.68,38.68,0.0,0.0,38.68,38.68,38.68,0.0,0.0
2016-02-07,38.41,38.41,38.41,0.0,0.0,38.79,38.79,38.79,0.0,0.0,38.41,38.41,38.41,0.0,0.0,38.79,38.79,38.79,0.0,0.0
2016-02-14,39.64,39.64,39.64,0.0,0.0,39.98,39.98,39.98,0.0,0.0,39.64,39.64,39.64,0.0,0.0,39.96,39.96,39.96,0.0,0.0
2016-02-21,41.06,41.06,41.06,0.0,0.0,41.26,41.26,41.26,0.0,0.0,41.04,41.04,41.04,0.0,0.0,41.22,41.22,41.22,0.0,0.0
2016-02-28,42.86,42.86,42.86,0.0,0.0,43.21,43.21,43.21,0.0,0.0,42.86,42.86,42.86,0.0,0.0,42.95,42.95,42.95,0.0,0.0
2016-03-06,42.66,42.66,42.66,0.0,0.0,42.93,42.93,42.93,0.0,0.0,42.64,42.64,42.64,0.0,0.0,42.93,42.93,42.93,0.0,0.0
2016-03-13,44.22,44.22,44.22,0.0,0.0,44.55,44.55,44.55,0.0,0.0,44.22,44.22,44.22,0.0,0.0,44.55,44.55,44.55,0.0,0.0
2016-03-20,43.41,43.41,43.41,0.0,0.0,43.75,43.75,43.75,0.0,0.0,43.39,43.39,43.39,0.0,0.0,43.75,43.75,43.75,0.0,0.0
2016-03-27,44.44,44.44,44.44,0.0,0.0,45.03,45.03,45.03,0.0,0.0,44.44,44.44,44.44,0.0,0.0,45.03,45.03,45.03,0.0,0.0
2016-04-03,44.4,44.4,44.4,0.0,0.0,44.4,44.4,44.4,0.0,0.0,44.01,44.01,44.01,0.0,0.0,44.03,44.03,44.03,0.0,0.0
2016-04-10,45.51,45.51,45.51,0.0,0.0,45.77,45.77,45.77,0.0,0.0,45.51,45.51,45.51,0.0,0.0,45.63,45.63,45.63,0.0,0.0
2016-04-17,45.84,45.84,45.84,0.0,0.0,45.95,45.95,45.95,0.0,0.0,45.68,45.68,45.68,0.0,0.0,45.92,45.92,45.92,0.0,0.0
2016-04-24,45.21,45.21,45.21,0.0,0.0,45.21,45.21,45.21,0.0,0.0,44.84,44.84,44.84,0.0,0.0,44.85,44.85,44.85,0.0,0.0
2016-05-01,44.08,44.08,44.08,0.0,0.0,44.38,44.38,44.38,0.0,0.0,44.02,44.02,44.02,0.0,0.0,44.38,44.38,44.38,0.0,0.0
2016-05-08,44.14,44.14,44.14,0.0,0.0,44.14,44.14,44.14,0.0,0.0,44.1,44.1,44.1,0.0,0.0,44.1,44.1,44.1,0.0,0.0
2016-05-15,44.2,44.2,44.2,0.0,0.0,44.25,44.25,44.25,0.0,0.0,44.19,44.19,44.19,0.0,0.0,44.25,44.25,44.25,0.0,0.0
2016-05-22,45.83,45.83,45.83,0.0,0.0,45.94,45.94,45.94,0.0,0.0,45.73,45.73,45.73,0.0,0.0,45.86,45.86,45.86,0.0,0.0
2016-05-29,46.07,46.07,46.07,0.0,0.0,46.17,46.17,46.17,0.0,0.0,46.02,46.02,46.02,0.0,0.0,46.15,46.15,46.15,0.0,0.0
2016-06-05,46.88,46.88,46.88,0.0,0.0,46.88,46.88,46.88,0.0,0.0,46.42,46.42,46.42,0.0,0.0,46.5,46.5,46.5,0.0,0.0
2016-06-12,45.76,45.76,45.76,0.0,0.0,45.76,45.76,45.76,0.0,0.0,45.76,45.76,45.76,0.0,0.0,45.76,45.76,45.76,0.0,0.0
2016-06-19,45.09,45.09,45.09,0.0,0.0,45.1,45.1,45.1,0.0,0.0,44.47,44.47,44.47,0.0,0.0,44.5,44.5,44.5,0.0,0.0
2016-06-26,46.01,46.01,46.01,0.0,0.0,46.01,46.01,46.01,0.0,0.0,45.77,45.77,45.77,0.0,0.0,45.84,45.84,45.84,0.0,0.0
2016-07-03,46.24,46.24,46.24,0.0,0.0,46.88,46.88,46.88,0.0,0.0,46.24,46.24,46.24,0.0,0.0,46.88,46.88,46.88,0.0,0.0
2016-07-10,48.22,48.22,48.22,0.0,0.0,48.28,48.28,48.28,0.0,0.0,48.2,48.2,48.2,0.0,0.0,48.21,48.21,48.21,0.0,0.0
2016-07-17,47.67,47.67,47.67,0.0,0.0,48.03,48.03,48.03,0.0,0.0,47.64,47.64,47.64,0.0,0.0,47.95,47.95,47.95,0.0,0.0
2016-07-24,48.47,48.47,48.47,0.0,0.0,48.47,48.47,48.47,0.0,0.0,48.15,48.15,48.15,0.0,0.0,48.18,48.18,48.18,0.0,0.0
2016-07-31,48.35,48.35,48.35,0.0,0.0,48.77,48.77,48.77,0.0,0.0,48.35,48.35,48.35,0.0,0.0,48.77,48.77,48.77,0.0,0.0
2016-08-07,48.72,48.72,48.72,0.0,0.0,48.72,48.72,48.72,0.0,0.0,48.47,48.47,48.47,0.0,0.0,48.58,48.58,48.58,0.0,0.0
2016-08-14,49.34,49.34,49.34,0.0,0.0,49.34,49.34,49.34,0.0,0.0,49.34,49.34,49.34,0.0,0.0,49.34,49.34,49.34,0.0,0.0
2016-08-21,50.13,50.13,50.13,0.0,0.0,50.13,50.13,50.13,0.0,0.0,49.45,49.45,49.45,0.0,0.0,49.45,49.45,49.45,0.0,0.0
2016-08-28,50.18,50.18,50.18,0.0,0.0,50.18,50.18,50.18,0.0,0.0,50.18,50.18,50.18,0.0,0.0,50.18,50.18,50.18,0.0,0.0
2016-09-04,49.47,49.47,49.47,0.0,0.0,49.47,49.47,49.47,0.0,0.0,48.72,48.72,48.72,0.0,0.0,48.77,48.77,48.77,0.0,0.0
2016-09-11,48.06,48.06,48.06,0.0,0.0,48.19,48.19,48.19,0.0,0.0,47.98,47.98,47.98,0.0,0.0,48.07,48.07,48.07,0.0,0.0
2016-09-18,49.4,49.4,49.4,0.0,0.0,49.4,49.4,49.4,0.0,0.0,49.3,49.3,49.3,0.0,0.0,49.32,49.32,49.32,0.0,0.0
2016-09-25,49.34,49.34,49.34,0.0,0.0,49.75,49.75,49.75,0.0,0.0,49.34,49.34,49.34,0.0,0.0,49.75,49.75,49.75,0.0,0.0
