Date,VRSK_stock_Open_average,VRSK_stock_Open_max,VRSK_stock_Open_min,VRSK_stock_Open_volatility,VRSK_stock_Open_change,VRSK_stock_High_average,VRSK_stock_High_max,VRSK_stock_High_min,VRSK_stock_High_volatility,VRSK_stock_High_change,VRSK_stock_Low_average,VRSK_stock_Low_max,VRSK_stock_Low_min,VRSK_stock_Low_volatility,VRSK_stock_Low_change,VRSK_stock_Close_average,VRSK_stock_Close_max,VRSK_stock_Close_min,VRSK_stock_Close_volatility,VRSK_stock_Close_change,VRSK_stock_Volume_average,VRSK_stock_Volume_max,VRSK_stock_Volume_min,VRSK_stock_Volume_volatility,VRSK_stock_Volume_change
2016-01-03,74.254,75.36,73.3,2.0600000000000023,-1.9699999999999989,74.782,75.58,73.81,1.769999999999996,-1.4000000000000057,73.63,74.73,72.48,2.25,-1.6299999999999955,74.276,75.3,73.04,2.259999999999991,-1.9299999999999926,1172771,1344574,961934,382640,-88979
2016-01-10,73.014,74.52,70.53,3.989999999999995,-3.1700000000000017,73.844,74.88,72.3,2.5799999999999983,-2.049999999999997,72.17,73.71,70.22,3.489999999999995,-3.3200000000000074,72.974,74.53,71.89,2.6400000000000006,-1.980000000000004,1345448,1806300,873881,932419,593139
2016-01-17,71.5875,72.71,70.76,1.9499999999999886,-1.1499999999999915,72.2475,73.68,71.67,2.010000000000005,-1.740000000000009,70.095,70.75,69.1,1.6500000000000057,0.20999999999999375,71.02,71.53,70.44,1.0900000000000034,-0.39000000000000057,1378057,1531482,1128232,403250,-271014
2016-01-24,70.998,71.63,70.19,1.4399999999999977,0.8499999999999943,72.11,73.67,71.31,2.3599999999999994,2.3200000000000074,70.406,71.28,69.5,1.7800000000000011,1.7800000000000011,71.24,73.0,69.95,3.049999999999997,3.049999999999997,1142327,1546341,770669,775672,47960
2016-01-31,70.392,72.33,68.69,3.6400000000000006,-3.6400000000000006,70.766,72.48,69.2,3.280000000000001,-3.280000000000001,69.25,71.66,67.65,4.009999999999991,-4.009999999999991,69.712,72.11,67.93,4.179999999999993,-4.179999999999993,1441238,1822342,1021743,800599,-458976
2016-02-07,66.796,68.19,65.54,2.6499999999999915,-0.1700000000000017,68.00399999999999,68.94,66.72,2.219999999999999,0.5300000000000011,65.854,66.97,64.79,2.1799999999999926,2.1799999999999926,67.004,68.06,65.95,2.1099999999999994,2.1099999999999994,1399567,1531162,1154204,376958,-265104
2016-02-14,68.5075,68.71,68.27,0.4399999999999977,-0.14000000000000057,69.285,69.81,68.59,1.2199999999999989,-0.5999999999999943,67.9675,68.26,67.6,0.6600000000000108,-0.37000000000000455,68.2525,68.45,67.95,0.5,-0.269999999999996,1439650,1788265,986623,801642,-234515
2016-02-21,70.70166666666667,74.12,67.1,7.02000000000001,5.579999999999998,72.10666666666667,74.55,68.65,5.8999999999999915,4.709999999999994,70.44833333333332,74.07,67.07,7.0,5.659999999999997,71.69,74.07,68.01,6.059999999999988,5.589999999999989,1629706,3287900,0,3287900,-1978993
2016-02-28,74.508,76.4,73.23,3.1700000000000017,2.3800000000000097,75.39,77.23,74.25,2.980000000000004,2.980000000000004,73.762,75.51,72.7,2.8100000000000023,2.710000000000008,74.938,76.7,72.84,3.8599999999999994,3.8599999999999994,990642,1062627,913486,149141,-91473
2016-03-06,76.186,76.68,75.82,0.8600000000000136,0.8300000000000125,76.682,76.82,76.41,0.4099999999999966,0.12999999999999545,75.33,75.72,74.9,0.8199999999999932,-0.269999999999996,76.062,76.48,75.65,0.8299999999999983,0.1599999999999966,698589,1062180,486081,576099,62561
