Date,ProShares Ultra Euro_etf_Open_average,ProShares Ultra Euro_etf_Open_max,ProShares Ultra Euro_etf_Open_min,ProShares Ultra Euro_etf_Open_volatility,ProShares Ultra Euro_etf_Open_change,ProShares Ultra Euro_etf_High_average,ProShares Ultra Euro_etf_High_max,ProShares Ultra Euro_etf_High_min,ProShares Ultra Euro_etf_High_volatility,ProShares Ultra Euro_etf_High_change,ProShares Ultra Euro_etf_Low_average,ProShares Ultra Euro_etf_Low_max,ProShares Ultra Euro_etf_Low_min,ProShares Ultra Euro_etf_Low_volatility,ProShares Ultra Euro_etf_Low_change,ProShares Ultra Euro_etf_Close_average,ProShares Ultra Euro_etf_Close_max,ProShares Ultra Euro_etf_Close_min,ProShares Ultra Euro_etf_Close_volatility,ProShares Ultra Euro_etf_Close_change
2016-01-03,15.49,15.49,15.49,0.0,0.0,15.64,15.64,15.64,0.0,0.0,15.46,15.46,15.46,0.0,0.0,15.64,15.64,15.64,0.0,0.0
2016-01-10,15.73,15.73,15.73,0.0,0.0,15.8,15.8,15.8,0.0,0.0,15.62,15.62,15.62,0.0,0.0,15.63,15.63,15.63,0.0,0.0
2016-01-17,15.35,15.35,15.35,0.0,0.0,15.38,15.38,15.38,0.0,0.0,15.25,15.25,15.25,0.0,0.0,15.29,15.29,15.29,0.0,0.0
2016-01-24,15.46,15.46,15.46,0.0,0.0,15.46,15.46,15.46,0.0,0.0,15.33,15.33,15.33,0.0,0.0,15.41,15.41,15.41,0.0,0.0
2016-01-31,16.26,16.26,16.26,0.0,0.0,16.32,16.32,16.32,0.0,0.0,16.14,16.14,16.14,0.0,0.0,16.28,16.28,16.28,0.0,0.0
2016-02-07,16.55,16.55,16.55,0.0,0.0,16.57,16.57,16.57,0.0,0.0,16.45,16.45,16.45,0.0,0.0,16.56,16.56,16.56,0.0,0.0
2016-02-14,15.97,15.97,15.97,0.0,0.0,16.2,16.2,16.2,0.0,0.0,15.97,15.97,15.97,0.0,0.0,16.16,16.16,16.16,0.0,0.0
2016-02-21,15.75,15.75,15.75,0.0,0.0,15.75,15.75,15.75,0.0,0.0,15.57,15.57,15.57,0.0,0.0,15.63,15.63,15.63,0.0,0.0
2016-02-28,15.77,15.77,15.77,0.0,0.0,15.9,15.9,15.9,0.0,0.0,15.71,15.71,15.71,0.0,0.0,15.77,15.77,15.77,0.0,0.0
2016-03-06,16.18,16.18,16.18,0.0,0.0,16.36,16.36,16.36,0.0,0.0,16.15,16.15,16.15,0.0,0.0,16.26,16.26,16.26,0.0,0.0
2016-03-13,16.63,16.63,16.63,0.0,0.0,16.64,16.64,16.64,0.0,0.0,16.52,16.52,16.52,0.0,0.0,16.53,16.53,16.53,0.0,0.0
2016-03-20,16.21,16.21,16.21,0.0,0.0,16.28,16.28,16.28,0.0,0.0,16.2,16.2,16.2,0.0,0.0,16.28,16.28,16.28,0.0,0.0
2016-03-27,16.82,16.82,16.82,0.0,0.0,16.92,16.92,16.92,0.0,0.0,16.78,16.78,16.78,0.0,0.0,16.87,16.87,16.87,0.0,0.0
2016-04-03,16.88,16.88,16.88,0.0,0.0,16.94,16.94,16.94,0.0,0.0,16.88,16.88,16.88,0.0,0.0,16.91,16.91,16.91,0.0,0.0
2016-04-10,16.54,16.54,16.54,0.0,0.0,16.66,16.66,16.66,0.0,0.0,16.54,16.54,16.54,0.0,0.0,16.55,16.55,16.55,0.0,0.0
2016-04-17,16.49,16.49,16.49,0.0,0.0,16.49,16.49,16.49,0.0,0.0,16.35,16.35,16.35,0.0,0.0,16.4,16.4,16.4,0.0,0.0
2016-04-24,17.02,17.02,17.02,0.0,0.0,17.08,17.08,17.08,0.0,0.0,16.99,16.99,16.99,0.0,0.0,17.06,17.06,17.06,0.0,0.0
2016-05-01,16.92,16.92,16.92,0.0,0.0,16.95,16.95,16.95,0.0,0.0,16.83,16.83,16.83,0.0,0.0,16.85,16.85,16.85,0.0,0.0
2016-05-08,16.66,16.66,16.66,0.0,0.0,16.66,16.66,16.66,0.0,0.0,16.51,16.51,16.51,0.0,0.0,16.61,16.61,16.61,0.0,0.0
2016-05-15,16.4,16.4,16.4,0.0,0.0,16.4,16.4,16.4,0.0,0.0,16.3,16.3,16.3,0.0,0.0,16.31,16.31,16.31,0.0,0.0
2016-05-22,16.14,16.14,16.14,0.0,0.0,16.14,16.14,16.14,0.0,0.0,16.0,16.0,16.0,0.0,0.0,16.04,16.04,16.04,0.0,0.0
2016-05-29,16.52,16.52,16.52,0.0,0.0,16.7,16.7,16.7,0.0,0.0,16.52,16.52,16.52,0.0,0.0,16.7,16.7,16.7,0.0,0.0
2016-06-05,16.54,16.54,16.54,0.0,0.0,16.54,16.54,16.54,0.0,0.0,16.39,16.39,16.39,0.0,0.0,16.43,16.43,16.43,0.0,0.0
2016-06-12,16.43,16.43,16.43,0.0,0.0,16.51,16.51,16.51,0.0,0.0,16.38,16.38,16.38,0.0,0.0,16.39,16.39,16.39,0.0,0.0
2016-06-19,15.67,15.67,15.67,0.0,0.0,16.15,16.15,16.15,0.0,0.0,15.61,15.61,15.61,0.0,0.0,15.85,15.85,15.85,0.0,0.0
2016-06-26,16.03,16.03,16.03,0.0,0.0,16.04,16.04,16.04,0.0,0.0,15.94,15.94,15.94,0.0,0.0,16.03,16.03,16.03,0.0,0.0
2016-07-03,15.75,15.75,15.75,0.0,0.0,15.8,15.8,15.8,0.0,0.0,15.7,15.7,15.7,0.0,0.0,15.8,15.8,15.8,0.0,0.0
2016-07-10,15.85,15.85,15.85,0.0,0.0,15.85,15.85,15.85,0.0,0.0,15.76,15.76,15.76,0.0,0.0,15.76,15.76,15.76,0.0,0.0
2016-07-17,15.6,15.6,15.6,0.0,0.0,15.63,15.63,15.63,0.0,0.0,15.44,15.44,15.44,0.0,0.0,15.47,15.47,15.47,0.0,0.0
2016-07-24,16.0,16.0,16.0,0.0,0.0,16.12,16.12,16.12,0.0,0.0,16.0,16.0,16.0,0.0,0.0,16.12,16.12,16.12,0.0,0.0
2016-07-31,15.77,15.77,15.77,0.0,0.0,15.77,15.77,15.77,0.0,0.0,15.68,15.68,15.68,0.0,0.0,15.76,15.76,15.76,0.0,0.0
2016-08-07,16.15,16.15,16.15,0.0,0.0,16.15,16.15,16.15,0.0,0.0,16.01,16.01,16.01,0.0,0.0,16.01,16.01,16.01,0.0,0.0
2016-08-14,16.41,16.41,16.41,0.0,0.0,16.51,16.51,16.51,0.0,0.0,16.41,16.41,16.41,0.0,0.0,16.51,16.51,16.51,0.0,0.0
2016-08-21,16.39,16.39,16.39,0.0,0.0,16.5,16.5,16.5,0.0,0.0,16.06,16.06,16.06,0.0,0.0,16.09,16.09,16.09,0.0,0.0
2016-08-28,16.09,16.09,16.09,0.0,0.0,16.09,16.09,16.09,0.0,0.0,15.91,15.91,15.91,0.0,0.0,15.97,15.97,15.97,0.0,0.0
2016-09-04,16.17,16.17,16.17,0.0,0.0,16.19,16.19,16.19,0.0,0.0,16.07,16.07,16.07,0.0,0.0,16.18,16.18,16.18,0.0,0.0
