Date,ProShares Short VIX Short-Term FuturesEtf_Open_average,ProShares Short VIX Short-Term FuturesEtf_Open_max,ProShares Short VIX Short-Term FuturesEtf_Open_min,ProShares Short VIX Short-Term FuturesEtf_Open_volatility,ProShares Short VIX Short-Term FuturesEtf_Open_change,ProShares Short VIX Short-Term FuturesEtf_High_average,ProShares Short VIX Short-Term FuturesEtf_High_max,ProShares Short VIX Short-Term FuturesEtf_High_min,ProShares Short VIX Short-Term FuturesEtf_High_volatility,ProShares Short VIX Short-Term FuturesEtf_High_change,ProShares Short VIX Short-Term FuturesEtf_Low_average,ProShares Short VIX Short-Term FuturesEtf_Low_max,ProShares Short VIX Short-Term FuturesEtf_Low_min,ProShares Short VIX Short-Term FuturesEtf_Low_volatility,ProShares Short VIX Short-Term FuturesEtf_Low_change,ProShares Short VIX Short-Term FuturesEtf_Close_average,ProShares Short VIX Short-Term FuturesEtf_Close_max,ProShares Short VIX Short-Term FuturesEtf_Close_min,ProShares Short VIX Short-Term FuturesEtf_Close_volatility,ProShares Short VIX Short-Term FuturesEtf_Close_change
2016-01-03,87.2,87.2,87.2,0.0,0.0,88.06,88.06,88.06,0.0,0.0,78.8,78.8,78.8,0.0,0.0,79.74,79.74,79.74,0.0,0.0
2016-01-10,71.24,71.24,71.24,0.0,0.0,74.62,74.62,74.62,0.0,0.0,69.18,69.18,69.18,0.0,0.0,72.06,72.06,72.06,0.0,0.0
2016-01-17,73.8,73.8,73.8,0.0,0.0,76.4,76.4,76.4,0.0,0.0,73.0,73.0,73.0,0.0,0.0,76.38,76.38,76.38,0.0,0.0
2016-01-24,75.8,75.8,75.8,0.0,0.0,78.5,78.5,78.5,0.0,0.0,75.42,75.42,75.42,0.0,0.0,78.24,78.24,78.24,0.0,0.0
2016-01-31,74.06,74.06,74.06,0.0,0.0,74.14,74.14,74.14,0.0,0.0,69.7,69.7,69.7,0.0,0.0,70.94,70.94,70.94,0.0,0.0
2016-02-07,64.4,64.4,64.4,0.0,0.0,65.3,65.3,65.3,0.0,0.0,62.92,62.92,62.92,0.0,0.0,65.16,65.16,65.16,0.0,0.0
2016-02-14,69.76,69.76,69.76,0.0,0.0,72.98,72.98,72.98,0.0,0.0,69.12,69.12,69.12,0.0,0.0,72.86,72.86,72.86,0.0,0.0
2016-02-21,77.34,77.34,77.34,0.0,0.0,77.7,77.7,77.7,0.0,0.0,74.2,74.2,74.2,0.0,0.0,75.0,75.0,75.0,0.0,0.0
2016-02-28,85.46,85.46,85.46,0.0,0.0,85.92,85.92,85.92,0.0,0.0,82.14,82.14,82.14,0.0,0.0,83.1,83.1,83.1,0.0,0.0
2016-03-06,84.12,84.12,84.12,0.0,0.0,86.3,86.3,86.3,0.0,0.0,83.64,83.64,83.64,0.0,0.0,86.3,86.3,86.3,0.0,0.0
2016-03-13,93.42,93.42,93.42,0.0,0.0,94.58,94.58,94.58,0.0,0.0,91.08,91.08,91.08,0.0,0.0,92.9,92.9,92.9,0.0,0.0
2016-03-20,88.96,88.96,88.96,0.0,0.0,92.68,92.68,92.68,0.0,0.0,88.16,88.16,88.16,0.0,0.0,92.58,92.58,92.58,0.0,0.0
2016-03-27,97.76,97.76,97.76,0.0,0.0,104.24,104.24,104.24,0.0,0.0,97.08,97.08,97.08,0.0,0.0,104.0,104.0,104.0,0.0,0.0
2016-04-03,95.6,95.6,95.6,0.0,0.0,97.14,97.14,97.14,0.0,0.0,92.82,92.82,92.82,0.0,0.0,94.64,94.64,94.64,0.0,0.0
2016-04-10,101.78,101.78,101.78,0.0,0.0,102.94,102.94,102.94,0.0,0.0,100.56,100.56,100.56,0.0,0.0,102.82,102.82,102.82,0.0,0.0
2016-04-17,105.06,105.06,105.06,0.0,0.0,108.64,108.64,108.64,0.0,0.0,104.24,104.24,104.24,0.0,0.0,108.28,108.28,108.28,0.0,0.0
2016-04-24,104.52,104.52,104.52,0.0,0.0,105.74,105.74,105.74,0.0,0.0,97.4,97.4,97.4,0.0,0.0,102.26,102.26,102.26,0.0,0.0
2016-05-01,102.08,102.08,102.08,0.0,0.0,107.48,107.48,107.48,0.0,0.0,101.92,101.92,101.92,0.0,0.0,107.12,107.12,107.12,0.0,0.0
2016-05-08,112.0,112.0,112.0,0.0,0.0,114.12,114.12,114.12,0.0,0.0,106.92,106.92,106.92,0.0,0.0,107.86,107.86,107.86,0.0,0.0
2016-05-15,110.24,110.24,110.24,0.0,0.0,112.14,112.14,112.14,0.0,0.0,109.92,109.92,109.92,0.0,0.0,111.72,111.72,111.72,0.0,0.0
2016-05-22,121.24,121.24,121.24,0.0,0.0,123.76,123.76,123.76,0.0,0.0,120.88,120.88,120.88,0.0,0.0,123.74,123.74,123.74,0.0,0.0
2016-05-29,125.86,125.86,125.86,0.0,0.0,129.54,129.54,129.54,0.0,0.0,122.26,122.26,122.26,0.0,0.0,128.76,128.76,128.76,0.0,0.0
2016-06-05,121.16,121.16,121.16,0.0,0.0,122.1,122.1,122.1,0.0,0.0,114.92,114.92,114.92,0.0,0.0,115.5,115.5,115.5,0.0,0.0
2016-06-12,104.0,104.0,104.0,0.0,0.0,105.8,105.8,105.8,0.0,0.0,102.04,102.04,102.04,0.0,0.0,104.1,104.1,104.1,0.0,0.0
2016-06-19,91.42,91.42,91.42,0.0,0.0,103.48,103.48,103.48,0.0,0.0,83.0,83.0,83.0,0.0,0.0,86.12,86.12,86.12,0.0,0.0
2016-06-26,98.84,98.84,98.84,0.0,0.0,101.76,101.76,101.76,0.0,0.0,98.44,98.44,98.44,0.0,0.0,101.22,101.22,101.22,0.0,0.0
2016-07-03,107.4,107.4,107.4,0.0,0.0,111.24,111.24,111.24,0.0,0.0,106.76,106.76,106.76,0.0,0.0,110.42,110.42,110.42,0.0,0.0
