Date,AER_stock_Open_average,AER_stock_Open_max,AER_stock_Open_min,AER_stock_Open_volatility,AER_stock_Open_change,AER_stock_High_average,AER_stock_High_max,AER_stock_High_min,AER_stock_High_volatility,AER_stock_High_change,AER_stock_Low_average,AER_stock_Low_max,AER_stock_Low_min,AER_stock_Low_volatility,AER_stock_Low_change,AER_stock_Close_average,AER_stock_Close_max,AER_stock_Close_min,AER_stock_Close_volatility,AER_stock_Close_change,AER_stock_Volume_average,AER_stock_Volume_max,AER_stock_Volume_min,AER_stock_Volume_volatility,AER_stock_Volume_change
2016-01-03,40.454,42.31,38.4,3.9100000000000037,-3.9100000000000037,40.635999999999996,42.41,38.5,3.9099999999999966,-3.9099999999999966,39.096000000000004,41.02,36.62,4.400000000000006,-4.400000000000006,39.464,41.77,36.71,5.060000000000002,-5.060000000000002,2827081,4212911,1745901,2467010,547471
2016-01-10,36.596000000000004,38.0,34.76,3.240000000000002,-2.3700000000000045,37.308,38.36,35.88,2.479999999999997,-1.3200000000000003,35.472,36.98,33.9,3.0799999999999983,-1.9500000000000028,36.252,37.9,34.01,3.8900000000000006,-2.690000000000005,4151366,4937170,3369993,1567177,1054864
2016-01-17,32.78,34.56,31.4,3.1600000000000037,-1.5,33.32,34.78,32.1,2.6799999999999997,-1.4500000000000028,31.362499999999997,32.47,29.65,2.8200000000000003,-0.21000000000000085,32.322500000000005,32.95,31.4,1.5500000000000043,0.10000000000000142,5781166,7741423,3142075,4599348,-2942776
2016-01-24,31.066,32.74,29.24,3.5000000000000036,-3.5000000000000036,31.636,32.83,30.77,2.0599999999999987,-2.0599999999999987,29.811999999999998,31.0,28.7,2.3000000000000007,-1.7300000000000004,30.478,31.76,28.84,2.9200000000000017,-0.08999999999999986,3972987,4618392,3348770,1269622,305092
2016-01-31,29.38,30.44,28.37,2.0700000000000003,-1.5899999999999999,29.94,31.2,29.18,2.0199999999999996,-1.7899999999999991,28.23,30.02,26.84,3.1799999999999997,-2.3999999999999986,28.983999999999998,31.04,27.84,3.1999999999999993,-3.1999999999999993,3141758,4748401,2235192,2513209,265308
2016-02-07,26.458,27.52,25.0,2.5199999999999996,-0.8200000000000003,27.496,28.1,27.07,1.0300000000000011,0.5300000000000011,25.76,26.63,24.61,2.0199999999999996,1.4800000000000004,26.756,28.06,25.54,2.5199999999999996,2.5199999999999996,4471302,5913687,3348044,2565643,-2565643
2016-02-14,30.155,31.37,28.64,2.7300000000000004,2.7300000000000004,31.2325,32.51,29.23,3.2799999999999976,2.5500000000000007,29.6875,30.72,28.09,2.629999999999999,2.629999999999999,30.955,32.0,29.15,2.8500000000000014,2.5500000000000007,4110375,5558274,3036656,2521618,133520
2016-02-21,33.38,35.08,32.5,2.5799999999999983,2.5799999999999983,34.61,35.99,33.47,2.520000000000003,2.520000000000003,33.102,34.83,32.23,2.6000000000000014,2.3299999999999983,34.178,35.49,33.17,2.3200000000000003,2.0700000000000003,3741390,4397627,3077660,1319967,-591911
2016-02-28,36.757999999999996,38.34,35.41,2.930000000000007,2.930000000000007,37.47,38.43,36.09,2.3399999999999963,2.25,36.256,37.17,34.98,2.190000000000005,2.190000000000005,37.156,37.99,35.73,2.260000000000005,1.9000000000000057,3496278,3804645,3001337,803308,-41971
2016-03-06,37.026,37.25,36.42,0.8299999999999983,-0.20000000000000284,37.678,38.14,37.33,0.8100000000000023,-0.10000000000000142,36.426,36.96,35.76,1.2000000000000028,-0.09000000000000341,36.982,37.76,36.19,1.5700000000000003,-0.14999999999999858,2377923,3010111,1975118,1034993,-1034993
2016-03-13,37.678000000000004,38.75,36.88,1.8699999999999974,1.2199999999999989,38.376,39.31,37.56,1.75,1.1500000000000057,37.238,38.02,36.67,1.3500000000000014,0.75,37.833999999999996,38.41,36.82,1.5899999999999963,0.38000000000000256,1995240,2653625,1412315,1241310,459516
2016-03-20,38.07,38.36,37.63,0.7299999999999969,-0.4199999999999946,38.5,38.84,37.85,0.990000000000002,-0.990000000000002,37.5025,38.05,36.67,1.3799999999999955,-1.3799999999999955,38.1725,38.57,37.51,1.0600000000000023,-1.0600000000000023,2292954,3032187,1202886,1829301,1829301
2016-03-27,38.344,38.91,37.7,1.2099999999999937,0.6699999999999946,39.024,39.78,38.3,1.480000000000004,0.730000000000004,37.786,38.66,36.89,1.769999999999996,0.4299999999999997,38.638,39.11,38.04,1.0700000000000003,0.8500000000000014,2265897,3271416,1672098,1599318,379760
2016-04-03,37.55,38.83,37.06,1.769999999999996,-1.5700000000000003,38.078,39.13,37.54,1.5900000000000034,-0.7800000000000011,36.961999999999996,38.12,36.08,2.039999999999999,-0.8599999999999994,37.49,38.25,36.7,1.5499999999999972,-0.36999999999999744,2219517,3017909,1753956,1263953,100151
2016-04-10,38.804,39.51,37.87,1.6400000000000006,1.470000000000006,39.428000000000004,39.89,38.84,1.0499999999999972,0.7600000000000051,38.53,39.12,37.87,1.25,1.0200000000000031,39.078,39.73,38.21,1.519999999999996,1.519999999999996,2090343,2544630,1855816,688814,359596
2016-04-17,40.2,40.58,39.4,1.1799999999999997,1.1799999999999997,40.904,41.52,40.2,1.3200000000000003,1.3200000000000003,40.08,40.48,39.36,1.1199999999999974,1.0399999999999991,40.596000000000004,41.43,39.96,1.4699999999999989,1.4699999999999989,1944861,2591136,1591498,999638,217146
2016-04-24,41.264,41.87,40.67,1.1999999999999957,-0.11999999999999744,41.684000000000005,42.34,41.09,1.25,-0.4299999999999997,40.446,41.34,38.95,2.3900000000000006,-1.3699999999999974,41.032,42.19,40.01,2.1799999999999997,-0.5900000000000034,2431254,3591041,1646072,1944969,1944969
2016-05-01,39.724000000000004,40.1,39.27,0.8299999999999983,-0.2700000000000031,40.392,40.88,39.95,0.9299999999999997,0.19000000000000483,39.354,39.78,38.83,0.9500000000000028,-0.060000000000002274,40.034,40.75,39.5,1.25,0.36999999999999744,2469480,3410033,1734246,1675787,598837
2016-05-08,39.682,41.2,36.17,5.030000000000001,-4.489999999999995,40.374,41.41,37.61,3.799999999999997,-3.4399999999999977,38.242,39.93,35.52,4.409999999999997,-3.729999999999997,38.826,40.42,36.61,3.8100000000000023,-3.3999999999999986,4176652,8348685,2215270,6133415,1668277
2016-05-15,37.258,37.89,36.77,1.1199999999999974,0.05999999999999517,38.306,38.92,37.71,1.2100000000000009,0.19999999999999574,36.75,37.43,36.31,1.1199999999999974,0.12999999999999545,37.403999999999996,38.01,36.61,1.3999999999999986,-0.020000000000003126,2817890,3699878,1840084,1859794,-1859794
2016-05-22,38.162,39.11,37.25,1.8599999999999994,1.4099999999999966,38.768,39.4,37.48,1.9200000000000017,1.8700000000000045,37.884,38.6,36.75,1.8500000000000014,1.8500000000000014,38.362,39.0,36.98,2.020000000000003,1.8600000000000065,1821562,2394197,1224937,1169260,541162
2016-05-29,38.8375,39.14,38.58,0.5600000000000023,-0.4100000000000037,39.1025,39.83,38.77,1.0599999999999952,-1.0599999999999952,37.9525,38.35,37.41,0.9400000000000048,-0.9400000000000048,38.7775,39.09,38.29,0.8000000000000043,-0.8000000000000043,5392880,15686030,1739083,13946947,-13946947
2016-06-05,39.294,40.06,38.37,1.6900000000000048,0.17999999999999972,39.792,40.81,38.66,2.1500000000000057,-0.9400000000000048,38.686,39.67,37.25,2.4200000000000017,-1.0,39.206,40.0,37.44,2.5600000000000023,-2.1600000000000037,2020631,2491576,1484637,1006939,1006939
2016-06-12,36.824,37.11,36.5,0.6099999999999994,-0.17999999999999972,37.312,37.76,36.96,0.7999999999999972,0.1600000000000037,36.51,36.77,36.16,0.6100000000000065,0.03999999999999915,36.86,36.98,36.78,0.19999999999999574,0.19999999999999574,1758826,2441027,1167846,1273181,-1273181
2016-06-19,37.892,38.6,36.56,2.039999999999999,-1.1799999999999997,38.298,39.0,36.56,2.4399999999999977,-1.8399999999999963,37.208,38.26,34.41,3.8500000000000014,-3.25,37.484,38.34,34.56,3.780000000000001,-3.519999999999996,2504291,4503247,1222904,3280343,2270769
2016-06-26,33.18,34.1,32.24,1.8599999999999994,-0.5900000000000034,33.812,34.31,33.41,0.9000000000000057,0.20000000000000284,32.374,33.46,31.45,2.0100000000000016,2.0100000000000016,32.874,33.87,31.55,2.3199999999999967,2.3199999999999967,3509502,5453979,1829863,3624116,-2426138
2016-07-03,33.0475,33.61,32.2,1.4099999999999966,0.21000000000000085,33.6725,34.81,32.91,1.9000000000000057,1.3900000000000006,32.4925,33.49,31.66,1.8300000000000018,1.3400000000000034,33.197500000000005,34.5,32.52,1.9799999999999969,1.9799999999999969,1920252,1971278,1854977,116301,-18976
2016-07-10,36.178000000000004,37.07,34.99,2.0799999999999983,2.0799999999999983,36.534,37.27,35.45,1.8200000000000003,1.8200000000000003,35.814,36.67,34.82,1.8500000000000014,1.8500000000000014,36.24,36.92,35.01,1.9100000000000037,1.9100000000000037,1633200,2126955,1166096,960859,-326493
2016-07-17,37.528,37.78,37.03,0.75,0.5,37.908,38.18,37.53,0.6499999999999986,-0.3100000000000023,36.902,37.44,35.67,1.769999999999996,-1.1000000000000014,37.266,37.8,35.74,2.059999999999995,-2.059999999999995,2347000,4410309,1247212,3163097,3163097
2016-07-24,36.242,36.47,35.7,0.769999999999996,0.7099999999999937,36.644,36.8,36.45,0.3499999999999943,0.22999999999999687,35.952,36.2,35.43,0.7700000000000031,0.7100000000000009,36.466,36.65,36.35,0.29999999999999716,0.10000000000000142,1629268,3067770,1148194,1919576,-1823596
2016-07-31,36.160000000000004,36.59,35.4,1.1900000000000048,-0.37000000000000455,36.648,36.87,36.36,0.509999999999998,-0.02999999999999403,35.676,36.16,35.28,0.8799999999999955,0.01999999999999602,36.146,36.72,35.43,1.2899999999999991,0.22999999999999687,1555642,1643960,1460371,183589,173674
2016-08-07,37.76,38.34,36.89,1.4500000000000028,1.240000000000002,38.326,38.55,37.76,0.7899999999999991,0.5700000000000003,37.362,38.14,36.81,1.3299999999999983,1.009999999999998,38.065999999999995,38.22,37.76,0.46000000000000085,0.28000000000000114,1887122,2346854,1169329,1177525,-1177525
2016-08-14,38.628,39.29,38.15,1.1400000000000006,0.6400000000000006,39.154,39.64,38.7,0.9399999999999977,0.5700000000000003,38.42,38.74,38.15,0.5900000000000034,0.37000000000000455,38.89,39.35,38.41,0.9400000000000048,0.740000000000002,1648811,2570186,1298333,1271853,18178
