Date,iShares Edge MSCI Min Vol_etf_Open_average,iShares Edge MSCI Min Vol_etf_Open_max,iShares Edge MSCI Min Vol_etf_Open_min,iShares Edge MSCI Min Vol_etf_Open_volatility,iShares Edge MSCI Min Vol_etf_Open_change,iShares Edge MSCI Min Vol_etf_High_average,iShares Edge MSCI Min Vol_etf_High_max,iShares Edge MSCI Min Vol_etf_High_min,iShares Edge MSCI Min Vol_etf_High_volatility,iShares Edge MSCI Min Vol_etf_High_change,iShares Edge MSCI Min Vol_etf_Low_average,iShares Edge MSCI Min Vol_etf_Low_max,iShares Edge MSCI Min Vol_etf_Low_min,iShares Edge MSCI Min Vol_etf_Low_volatility,iShares Edge MSCI Min Vol_etf_Low_change,iShares Edge MSCI Min Vol_etf_Close_average,iShares Edge MSCI Min Vol_etf_Close_max,iShares Edge MSCI Min Vol_etf_Close_min,iShares Edge MSCI Min Vol_etf_Close_volatility,iShares Edge MSCI Min Vol_etf_Close_change
2016-01-03,40.78,40.78,40.78,0.0,0.0,40.86,40.86,40.86,0.0,0.0,40.17,40.17,40.17,0.0,0.0,40.24,40.24,40.24,0.0,0.0
2016-01-10,39.54,39.54,39.54,0.0,0.0,39.84,39.84,39.84,0.0,0.0,39.4,39.4,39.4,0.0,0.0,39.76,39.76,39.76,0.0,0.0
2016-01-17,39.96,39.96,39.96,0.0,0.0,40.31,40.31,40.31,0.0,0.0,39.88,39.88,39.88,0.0,0.0,40.28,40.28,40.28,0.0,0.0
2016-01-24,40.47,40.47,40.47,0.0,0.0,41.24,41.24,41.24,0.0,0.0,40.33,40.33,40.33,0.0,0.0,41.24,41.24,41.24,0.0,0.0
2016-01-31,40.89,40.89,40.89,0.0,0.0,40.9,40.9,40.9,0.0,0.0,40.32,40.32,40.32,0.0,0.0,40.46,40.46,40.46,0.0,0.0
2016-02-07,40.12,40.12,40.12,0.0,0.0,40.39,40.39,40.39,0.0,0.0,40.0,40.0,40.0,0.0,0.0,40.39,40.39,40.39,0.0,0.0
2016-02-14,41.2,41.2,41.2,0.0,0.0,41.43,41.43,41.43,0.0,0.0,41.05,41.05,41.05,0.0,0.0,41.38,41.38,41.38,0.0,0.0
2016-02-21,42.34,42.34,42.34,0.0,0.0,42.34,42.34,42.34,0.0,0.0,41.91,41.91,41.91,0.0,0.0,41.95,41.95,41.95,0.0,0.0
2016-02-28,42.52,42.52,42.52,0.0,0.0,42.72,42.72,42.72,0.0,0.0,42.4,42.4,42.4,0.0,0.0,42.61,42.61,42.61,0.0,0.0
2016-03-06,42.94,42.94,42.94,0.0,0.0,43.18,43.18,43.18,0.0,0.0,42.9,42.9,42.9,0.0,0.0,43.15,43.15,43.15,0.0,0.0
2016-03-13,43.71,43.71,43.71,0.0,0.0,43.79,43.79,43.79,0.0,0.0,43.52,43.52,43.52,0.0,0.0,43.68,43.68,43.68,0.0,0.0
2016-03-20,43.15,43.15,43.15,0.0,0.0,43.29,43.29,43.29,0.0,0.0,43.05,43.05,43.05,0.0,0.0,43.29,43.29,43.29,0.0,0.0
2016-03-27,43.8,43.8,43.8,0.0,0.0,44.34,44.34,44.34,0.0,0.0,43.73,43.73,43.73,0.0,0.0,44.3,44.3,44.3,0.0,0.0
2016-04-03,44.08,44.08,44.08,0.0,0.0,44.12,44.12,44.12,0.0,0.0,43.86,43.86,43.86,0.0,0.0,43.98,43.98,43.98,0.0,0.0
2016-04-10,44.09,44.09,44.09,0.0,0.0,44.19,44.19,44.19,0.0,0.0,43.99,43.99,43.99,0.0,0.0,44.14,44.14,44.14,0.0,0.0
2016-04-17,43.8,43.8,43.8,0.0,0.0,43.91,43.91,43.91,0.0,0.0,43.65,43.65,43.65,0.0,0.0,43.9,43.9,43.9,0.0,0.0
2016-04-24,43.8,43.8,43.8,0.0,0.0,43.83,43.83,43.83,0.0,0.0,43.46,43.46,43.46,0.0,0.0,43.77,43.77,43.77,0.0,0.0
2016-05-01,44.03,44.03,44.03,0.0,0.0,44.23,44.23,44.23,0.0,0.0,43.82,43.82,43.82,0.0,0.0,44.22,44.22,44.22,0.0,0.0
2016-05-08,44.53,44.53,44.53,0.0,0.0,44.56,44.56,44.56,0.0,0.0,44.17,44.17,44.17,0.0,0.0,44.25,44.25,44.25,0.0,0.0
2016-05-15,43.88,43.88,43.88,0.0,0.0,43.95,43.95,43.95,0.0,0.0,43.74,43.74,43.74,0.0,0.0,43.84,43.84,43.84,0.0,0.0
2016-05-22,44.44,44.44,44.44,0.0,0.0,44.53,44.53,44.53,0.0,0.0,44.36,44.36,44.36,0.0,0.0,44.49,44.49,44.49,0.0,0.0
2016-05-29,44.73,44.73,44.73,0.0,0.0,44.89,44.89,44.89,0.0,0.0,44.58,44.58,44.58,0.0,0.0,44.83,44.83,44.83,0.0,0.0
2016-06-05,45.06,45.06,45.06,0.0,0.0,45.14,45.14,45.14,0.0,0.0,44.91,44.91,44.91,0.0,0.0,45.06,45.06,45.06,0.0,0.0
2016-06-12,45.03,45.03,45.03,0.0,0.0,45.03,45.03,45.03,0.0,0.0,44.58,44.58,44.58,0.0,0.0,44.83,44.83,44.83,0.0,0.0
2016-06-19,44.27,44.27,44.27,0.0,0.0,44.98,44.98,44.98,0.0,0.0,44.26,44.26,44.26,0.0,0.0,44.51,44.51,44.51,0.0,0.0
2016-06-26,46.32,46.32,46.32,0.0,0.0,46.38,46.38,46.38,0.0,0.0,46.19,46.19,46.19,0.0,0.0,46.29,46.29,46.29,0.0,0.0
2016-07-03,46.53,46.53,46.53,0.0,0.0,46.85,46.85,46.85,0.0,0.0,46.42,46.42,46.42,0.0,0.0,46.83,46.83,46.83,0.0,0.0
2016-07-10,47.11,47.11,47.11,0.0,0.0,47.11,47.11,47.11,0.0,0.0,46.77,46.77,46.77,0.0,0.0,46.91,46.91,46.91,0.0,0.0
2016-07-17,46.93,46.93,46.93,0.0,0.0,47.19,47.19,47.19,0.0,0.0,46.83,46.83,46.83,0.0,0.0,47.18,47.18,47.18,0.0,0.0
2016-07-24,46.63,46.63,46.63,0.0,0.0,47.02,47.02,47.02,0.0,0.0,46.63,46.63,46.63,0.0,0.0,46.89,46.89,46.89,0.0,0.0
2016-07-31,46.63,46.63,46.63,0.0,0.0,46.69,46.69,46.69,0.0,0.0,46.57,46.57,46.57,0.0,0.0,46.68,46.68,46.68,0.0,0.0
2016-08-07,46.78,46.78,46.78,0.0,0.0,46.85,46.85,46.85,0.0,0.0,46.66,46.66,46.66,0.0,0.0,46.71,46.71,46.71,0.0,0.0
2016-08-14,46.37,46.37,46.37,0.0,0.0,46.38,46.38,46.38,0.0,0.0,46.17,46.17,46.17,0.0,0.0,46.32,46.32,46.32,0.0,0.0
2016-08-21,46.21,46.21,46.21,0.0,0.0,46.45,46.45,46.45,0.0,0.0,45.78,45.78,45.78,0.0,0.0,45.94,45.94,45.94,0.0,0.0
2016-08-28,46.13,46.13,46.13,0.0,0.0,46.37,46.37,46.37,0.0,0.0,46.11,46.11,46.11,0.0,0.0,46.27,46.27,46.27,0.0,0.0
2016-09-04,45.89,45.89,45.89,0.0,0.0,45.91,45.91,45.91,0.0,0.0,44.89,44.89,44.89,0.0,0.0,44.9,44.9,44.9,0.0,0.0
2016-09-11,45.07,45.07,45.07,0.0,0.0,45.2,45.2,45.2,0.0,0.0,44.92,44.92,44.92,0.0,0.0,45.11,45.11,45.11,0.0,0.0
2016-09-18,46.12,46.12,46.12,0.0,0.0,46.12,46.12,46.12,0.0,0.0,45.94,45.94,45.94,0.0,0.0,45.97,45.97,45.97,0.0,0.0
2016-09-25,45.42,45.42,45.42,0.0,0.0,45.59,45.59,45.59,0.0,0.0,45.32,45.32,45.32,0.0,0.0,45.43,45.43,45.43,0.0,0.0
2016-10-02,44.68,44.68,44.68,0.0,0.0,44.83,44.83,44.83,0.0,0.0,44.38,44.38,44.38,0.0,0.0,44.55,44.55,44.55,0.0,0.0
2016-10-09,44.61,44.61,44.61,0.0,0.0,44.74,44.74,44.74,0.0,0.0,44.44,44.44,44.44,0.0,0.0,44.45,44.45,44.45,0.0,0.0
