Date,UBS E-TRACS Bloomberg CMCIEtf_Open_average,UBS E-TRACS Bloomberg CMCIEtf_Open_max,UBS E-TRACS Bloomberg CMCIEtf_Open_min,UBS E-TRACS Bloomberg CMCIEtf_Open_volatility,UBS E-TRACS Bloomberg CMCIEtf_Open_change,UBS E-TRACS Bloomberg CMCIEtf_High_average,UBS E-TRACS Bloomberg CMCIEtf_High_max,UBS E-TRACS Bloomberg CMCIEtf_High_min,UBS E-TRACS Bloomberg CMCIEtf_High_volatility,UBS E-TRACS Bloomberg CMCIEtf_High_change,UBS E-TRACS Bloomberg CMCIEtf_Low_average,UBS E-TRACS Bloomberg CMCIEtf_Low_max,UBS E-TRACS Bloomberg CMCIEtf_Low_min,UBS E-TRACS Bloomberg CMCIEtf_Low_volatility,UBS E-TRACS Bloomberg CMCIEtf_Low_change,UBS E-TRACS Bloomberg CMCIEtf_Close_average,UBS E-TRACS Bloomberg CMCIEtf_Close_max,UBS E-TRACS Bloomberg CMCIEtf_Close_min,UBS E-TRACS Bloomberg CMCIEtf_Close_volatility,UBS E-TRACS Bloomberg CMCIEtf_Close_change
2016-01-03,12.71,12.71,12.71,0.0,0.0,12.71,12.71,12.71,0.0,0.0,11.59,11.59,11.59,0.0,0.0,11.61,11.61,11.61,0.0,0.0
2016-01-10,11.14,11.14,11.14,0.0,0.0,11.14,11.14,11.14,0.0,0.0,11.0,11.0,11.0,0.0,0.0,11.0,11.0,11.0,0.0,0.0
2016-01-17,11.76,11.76,11.76,0.0,0.0,11.76,11.76,11.76,0.0,0.0,11.26,11.26,11.26,0.0,0.0,11.3,11.3,11.3,0.0,0.0
2016-01-24,11.48,11.48,11.48,0.0,0.0,11.68,11.68,11.68,0.0,0.0,11.48,11.48,11.48,0.0,0.0,11.64,11.64,11.64,0.0,0.0
2016-01-31,11.47,11.47,11.47,0.0,0.0,11.53,11.53,11.53,0.0,0.0,11.41,11.41,11.41,0.0,0.0,11.48,11.48,11.48,0.0,0.0
2016-02-07,11.17,11.17,11.17,0.0,0.0,11.4,11.4,11.4,0.0,0.0,11.17,11.17,11.17,0.0,0.0,11.36,11.36,11.36,0.0,0.0
2016-02-14,11.42,11.42,11.42,0.0,0.0,11.43,11.43,11.43,0.0,0.0,11.31,11.31,11.31,0.0,0.0,11.37,11.37,11.37,0.0,0.0
2016-02-21,11.64,11.64,11.64,0.0,0.0,11.64,11.64,11.64,0.0,0.0,11.5,11.5,11.5,0.0,0.0,11.51,11.51,11.51,0.0,0.0
2016-02-28,11.93,11.93,11.93,0.0,0.0,12.07,12.07,12.07,0.0,0.0,11.93,11.93,11.93,0.0,0.0,12.07,12.07,12.07,0.0,0.0
2016-03-06,12.29,12.29,12.29,0.0,0.0,12.35,12.35,12.35,0.0,0.0,12.28,12.28,12.28,0.0,0.0,12.29,12.29,12.29,0.0,0.0
2016-03-13,12.5,12.5,12.5,0.0,0.0,12.59,12.59,12.59,0.0,0.0,12.49,12.49,12.49,0.0,0.0,12.5,12.5,12.5,0.0,0.0
2016-03-20,12.28,12.28,12.28,0.0,0.0,12.33,12.33,12.33,0.0,0.0,12.2,12.2,12.2,0.0,0.0,12.32,12.32,12.32,0.0,0.0
2016-03-27,12.01,12.01,12.01,0.0,0.0,12.06,12.06,12.06,0.0,0.0,11.96,11.96,11.96,0.0,0.0,12.02,12.02,12.02,0.0,0.0
2016-04-03,12.0,12.0,12.0,0.0,0.0,12.17,12.17,12.17,0.0,0.0,12.0,12.0,12.0,0.0,0.0,12.17,12.17,12.17,0.0,0.0
2016-04-10,12.27,12.27,12.27,0.0,0.0,12.46,12.46,12.46,0.0,0.0,12.27,12.27,12.27,0.0,0.0,12.43,12.43,12.43,0.0,0.0
2016-04-17,13.04,13.04,13.04,0.0,0.0,13.04,13.04,13.04,0.0,0.0,12.78,12.78,12.78,0.0,0.0,12.86,12.86,12.86,0.0,0.0
2016-04-24,13.26,13.26,13.26,0.0,0.0,13.33,13.33,13.33,0.0,0.0,13.2,13.2,13.2,0.0,0.0,13.3,13.3,13.3,0.0,0.0
2016-05-01,12.86,12.86,12.86,0.0,0.0,13.02,13.02,13.02,0.0,0.0,12.85,12.85,12.85,0.0,0.0,12.93,12.93,12.93,0.0,0.0
2016-05-08,13.04,13.04,13.04,0.0,0.0,13.12,13.12,13.12,0.0,0.0,13.04,13.04,13.04,0.0,0.0,13.12,13.12,13.12,0.0,0.0
2016-05-15,13.14,13.14,13.14,0.0,0.0,13.31,13.31,13.31,0.0,0.0,13.14,13.14,13.14,0.0,0.0,13.14,13.14,13.14,0.0,0.0
2016-05-22,13.29,13.29,13.29,0.0,0.0,13.38,13.38,13.38,0.0,0.0,13.24,13.24,13.24,0.0,0.0,13.38,13.38,13.38,0.0,0.0
2016-05-29,13.5,13.5,13.5,0.0,0.0,13.53,13.53,13.53,0.0,0.0,13.5,13.5,13.5,0.0,0.0,13.52,13.52,13.52,0.0,0.0
2016-06-05,13.88,13.88,13.88,0.0,0.0,13.93,13.93,13.93,0.0,0.0,13.73,13.73,13.73,0.0,0.0,13.79,13.79,13.79,0.0,0.0
2016-06-12,13.7,13.7,13.7,0.0,0.0,13.76,13.76,13.76,0.0,0.0,13.6,13.6,13.6,0.0,0.0,13.75,13.75,13.75,0.0,0.0
2016-06-19,13.57,13.57,13.57,0.0,0.0,13.66,13.66,13.66,0.0,0.0,13.38,13.38,13.38,0.0,0.0,13.54,13.54,13.54,0.0,0.0
2016-06-26,13.91,13.91,13.91,0.0,0.0,14.07,14.07,14.07,0.0,0.0,13.84,13.84,13.84,0.0,0.0,14.05,14.05,14.05,0.0,0.0
2016-07-03,13.63,13.63,13.63,0.0,0.0,13.63,13.63,13.63,0.0,0.0,13.34,13.34,13.34,0.0,0.0,13.46,13.46,13.46,0.0,0.0
2016-07-10,14.16,14.16,14.16,0.0,0.0,14.16,14.16,14.16,0.0,0.0,13.47,13.47,13.47,0.0,0.0,13.6,13.6,13.6,0.0,0.0
2016-07-17,13.29,13.29,13.29,0.0,0.0,13.3,13.3,13.3,0.0,0.0,13.12,13.12,13.12,0.0,0.0,13.3,13.3,13.3,0.0,0.0
2016-07-24,12.84,12.84,12.84,0.0,0.0,13.06,13.06,13.06,0.0,0.0,12.78,12.78,12.78,0.0,0.0,13.06,13.06,13.06,0.0,0.0
2016-07-31,13.31,13.31,13.31,0.0,0.0,13.31,13.31,13.31,0.0,0.0,12.93,12.93,12.93,0.0,0.0,13.1,13.1,13.1,0.0,0.0
2016-08-07,13.11,13.11,13.11,0.0,0.0,13.23,13.23,13.23,0.0,0.0,13.11,13.11,13.11,0.0,0.0,13.22,13.22,13.22,0.0,0.0
