Date,First Trust Tactical High YieldEtf_Open_average,First Trust Tactical High YieldEtf_Open_max,First Trust Tactical High YieldEtf_Open_min,First Trust Tactical High YieldEtf_Open_volatility,First Trust Tactical High YieldEtf_Open_change,First Trust Tactical High YieldEtf_High_average,First Trust Tactical High YieldEtf_High_max,First Trust Tactical High YieldEtf_High_min,First Trust Tactical High YieldEtf_High_volatility,First Trust Tactical High YieldEtf_High_change,First Trust Tactical High YieldEtf_Low_average,First Trust Tactical High YieldEtf_Low_max,First Trust Tactical High YieldEtf_Low_min,First Trust Tactical High YieldEtf_Low_volatility,First Trust Tactical High YieldEtf_Low_change,First Trust Tactical High YieldEtf_Close_average,First Trust Tactical High YieldEtf_Close_max,First Trust Tactical High YieldEtf_Close_min,First Trust Tactical High YieldEtf_Close_volatility,First Trust Tactical High YieldEtf_Close_change
2016-01-03,46.86,46.86,46.86,0.0,0.0,46.88,46.88,46.88,0.0,0.0,46.53,46.53,46.53,0.0,0.0,46.53,46.53,46.53,0.0,0.0
2016-01-10,45.97,45.97,45.97,0.0,0.0,46.12,46.12,46.12,0.0,0.0,45.75,45.75,45.75,0.0,0.0,46.01,46.01,46.01,0.0,0.0
2016-01-17,45.92,45.92,45.92,0.0,0.0,46.2,46.2,46.2,0.0,0.0,45.84,45.84,45.84,0.0,0.0,46.2,46.2,46.2,0.0,0.0
2016-01-24,46.46,46.46,46.46,0.0,0.0,46.52,46.52,46.52,0.0,0.0,46.29,46.29,46.29,0.0,0.0,46.51,46.51,46.51,0.0,0.0
2016-01-31,46.2,46.2,46.2,0.0,0.0,46.2,46.2,46.2,0.0,0.0,45.88,45.88,45.88,0.0,0.0,45.93,45.93,45.93,0.0,0.0
2016-02-07,45.27,45.27,45.27,0.0,0.0,45.77,45.77,45.77,0.0,0.0,45.22,45.22,45.22,0.0,0.0,45.67,45.67,45.67,0.0,0.0
2016-02-14,45.92,45.92,45.92,0.0,0.0,46.07,46.07,46.07,0.0,0.0,45.81,45.81,45.81,0.0,0.0,46.07,46.07,46.07,0.0,0.0
2016-02-21,46.33,46.33,46.33,0.0,0.0,46.33,46.33,46.33,0.0,0.0,46.33,46.33,46.33,0.0,0.0,46.33,46.33,46.33,0.0,0.0
2016-02-28,47.07,47.07,47.07,0.0,0.0,47.19,47.19,47.19,0.0,0.0,46.96,46.96,46.96,0.0,0.0,47.13,47.13,47.13,0.0,0.0
2016-03-06,47.54,47.54,47.54,0.0,0.0,47.81,47.81,47.81,0.0,0.0,47.53,47.53,47.53,0.0,0.0,47.69,47.69,47.69,0.0,0.0
2016-03-13,47.57,47.57,47.57,0.0,0.0,47.77,47.77,47.77,0.0,0.0,47.51,47.51,47.51,0.0,0.0,47.68,47.68,47.68,0.0,0.0
2016-03-20,47.23,47.23,47.23,0.0,0.0,47.31,47.31,47.31,0.0,0.0,47.06,47.06,47.06,0.0,0.0,47.09,47.09,47.09,0.0,0.0
