Date,First Trust NASDAQ Clean Edge Smart Grid InfrastruEtf_Open_average,First Trust NASDAQ Clean Edge Smart Grid InfrastruEtf_Open_max,First Trust NASDAQ Clean Edge Smart Grid InfrastruEtf_Open_min,First Trust NASDAQ Clean Edge Smart Grid InfrastruEtf_Open_volatility,First Trust NASDAQ Clean Edge Smart Grid InfrastruEtf_Open_change,First Trust NASDAQ Clean Edge Smart Grid InfrastruEtf_High_average,First Trust NASDAQ Clean Edge Smart Grid InfrastruEtf_High_max,First Trust NASDAQ Clean Edge Smart Grid InfrastruEtf_High_min,First Trust NASDAQ Clean Edge Smart Grid InfrastruEtf_High_volatility,First Trust NASDAQ Clean Edge Smart Grid InfrastruEtf_High_change,First Trust NASDAQ Clean Edge Smart Grid InfrastruEtf_Low_average,First Trust NASDAQ Clean Edge Smart Grid InfrastruEtf_Low_max,First Trust NASDAQ Clean Edge Smart Grid InfrastruEtf_Low_min,First Trust NASDAQ Clean Edge Smart Grid InfrastruEtf_Low_volatility,First Trust NASDAQ Clean Edge Smart Grid InfrastruEtf_Low_change,First Trust NASDAQ Clean Edge Smart Grid InfrastruEtf_Close_average,First Trust NASDAQ Clean Edge Smart Grid InfrastruEtf_Close_max,First Trust NASDAQ Clean Edge Smart Grid InfrastruEtf_Close_min,First Trust NASDAQ Clean Edge Smart Grid InfrastruEtf_Close_volatility,First Trust NASDAQ Clean Edge Smart Grid InfrastruEtf_Close_change
2016-01-03,31.17,31.17,31.17,0.0,0.0,31.17,31.17,31.17,0.0,0.0,31.17,31.17,31.17,0.0,0.0,31.17,31.17,31.17,0.0,0.0
2016-01-10,29.86,29.86,29.86,0.0,0.0,29.86,29.86,29.86,0.0,0.0,29.17,29.17,29.17,0.0,0.0,29.17,29.17,29.17,0.0,0.0
2016-01-17,29.92,29.92,29.92,0.0,0.0,30.4,30.4,30.4,0.0,0.0,29.92,29.92,29.92,0.0,0.0,29.94,29.94,29.94,0.0,0.0
2016-01-24,29.7,29.7,29.7,0.0,0.0,30.57,30.57,30.57,0.0,0.0,29.59,29.59,29.59,0.0,0.0,30.57,30.57,30.57,0.0,0.0
2016-01-31,31.12,31.12,31.12,0.0,0.0,31.12,31.12,31.12,0.0,0.0,31.12,31.12,31.12,0.0,0.0,31.12,31.12,31.12,0.0,0.0
2016-02-07,28.21,28.21,28.21,0.0,0.0,28.46,28.46,28.46,0.0,0.0,28.21,28.21,28.21,0.0,0.0,28.43,28.43,28.43,0.0,0.0
2016-02-14,30.14,30.14,30.14,0.0,0.0,30.14,30.14,30.14,0.0,0.0,29.82,29.82,29.82,0.0,0.0,29.95,29.95,29.95,0.0,0.0
2016-02-21,31.31,31.31,31.31,0.0,0.0,32.36,32.36,32.36,0.0,0.0,31.26,31.26,31.26,0.0,0.0,31.4,31.4,31.4,0.0,0.0
2016-02-28,32.3,32.3,32.3,0.0,0.0,33.2,33.2,33.2,0.0,0.0,32.3,32.3,32.3,0.0,0.0,33.0,33.0,33.0,0.0,0.0
2016-03-06,32.99,32.99,32.99,0.0,0.0,33.75,33.75,33.75,0.0,0.0,32.99,32.99,32.99,0.0,0.0,33.4,33.4,33.4,0.0,0.0
2016-03-13,34.84,34.84,34.84,0.0,0.0,34.84,34.84,34.84,0.0,0.0,33.97,33.97,33.97,0.0,0.0,33.97,33.97,33.97,0.0,0.0
2016-03-20,33.5,33.5,33.5,0.0,0.0,33.65,33.65,33.65,0.0,0.0,33.3,33.3,33.3,0.0,0.0,33.3,33.3,33.3,0.0,0.0
2016-03-27,34.48,34.48,34.48,0.0,0.0,34.85,34.85,34.85,0.0,0.0,34.45,34.45,34.45,0.0,0.0,34.75,34.75,34.75,0.0,0.0
2016-04-03,34.47,34.47,34.47,0.0,0.0,34.47,34.47,34.47,0.0,0.0,33.86,33.86,33.86,0.0,0.0,34.17,34.17,34.17,0.0,0.0
2016-04-10,35.08,35.08,35.08,0.0,0.0,35.08,35.08,35.08,0.0,0.0,35.08,35.08,35.08,0.0,0.0,35.08,35.08,35.08,0.0,0.0
2016-04-17,37.11,37.11,37.11,0.0,0.0,37.11,37.11,37.11,0.0,0.0,36.67,36.67,36.67,0.0,0.0,36.67,36.67,36.67,0.0,0.0
2016-04-24,36.35,36.35,36.35,0.0,0.0,36.35,36.35,36.35,0.0,0.0,36.35,36.35,36.35,0.0,0.0,36.35,36.35,36.35,0.0,0.0
2016-05-01,35.6,35.6,35.6,0.0,0.0,35.7,35.7,35.7,0.0,0.0,35.6,35.6,35.6,0.0,0.0,35.7,35.7,35.7,0.0,0.0
2016-05-08,35.73,35.73,35.73,0.0,0.0,36.29,36.29,36.29,0.0,0.0,35.55,35.55,35.55,0.0,0.0,35.55,35.55,35.55,0.0,0.0
2016-05-15,34.71,34.71,34.71,0.0,0.0,35.25,35.25,35.25,0.0,0.0,34.71,34.71,34.71,0.0,0.0,35.12,35.12,35.12,0.0,0.0
2016-05-22,36.12,36.12,36.12,0.0,0.0,36.6,36.6,36.6,0.0,0.0,36.12,36.12,36.12,0.0,0.0,36.55,36.55,36.55,0.0,0.0
2016-05-29,36.2,36.2,36.2,0.0,0.0,36.56,36.56,36.56,0.0,0.0,36.17,36.17,36.17,0.0,0.0,36.35,36.35,36.35,0.0,0.0
2016-06-05,36.49,36.49,36.49,0.0,0.0,36.5,36.5,36.5,0.0,0.0,36.05,36.05,36.05,0.0,0.0,36.18,36.18,36.18,0.0,0.0
2016-06-12,35.84,35.84,35.84,0.0,0.0,35.84,35.84,35.84,0.0,0.0,35.46,35.46,35.46,0.0,0.0,35.63,35.63,35.63,0.0,0.0
2016-06-19,33.71,33.71,33.71,0.0,0.0,34.58,34.58,34.58,0.0,0.0,33.71,33.71,33.71,0.0,0.0,34.07,34.07,34.07,0.0,0.0
2016-06-26,35.0,35.0,35.0,0.0,0.0,35.37,35.37,35.37,0.0,0.0,35.0,35.0,35.0,0.0,0.0,35.37,35.37,35.37,0.0,0.0
2016-07-03,34.28,34.28,34.28,0.0,0.0,35.66,35.66,35.66,0.0,0.0,34.28,34.28,34.28,0.0,0.0,35.66,35.66,35.66,0.0,0.0
2016-07-10,36.11,36.11,36.11,0.0,0.0,36.8,36.8,36.8,0.0,0.0,35.79,35.79,35.79,0.0,0.0,36.67,36.67,36.67,0.0,0.0
2016-07-17,36.9,36.9,36.9,0.0,0.0,36.9,36.9,36.9,0.0,0.0,36.4,36.4,36.4,0.0,0.0,36.4,36.4,36.4,0.0,0.0
2016-07-24,37.6,37.6,37.6,0.0,0.0,37.6,37.6,37.6,0.0,0.0,37.6,37.6,37.6,0.0,0.0,37.6,37.6,37.6,0.0,0.0
2016-07-31,36.9,36.9,36.9,0.0,0.0,36.9,36.9,36.9,0.0,0.0,36.9,36.9,36.9,0.0,0.0,36.9,36.9,36.9,0.0,0.0
2016-08-07,37.06,37.06,37.06,0.0,0.0,38.01,38.01,38.01,0.0,0.0,37.06,37.06,37.06,0.0,0.0,37.83,37.83,37.83,0.0,0.0
2016-08-14,38.43,38.43,38.43,0.0,0.0,38.43,38.43,38.43,0.0,0.0,38.43,38.43,38.43,0.0,0.0,38.43,38.43,38.43,0.0,0.0
2016-08-21,38.99,38.99,38.99,0.0,0.0,38.99,38.99,38.99,0.0,0.0,37.94,37.94,37.94,0.0,0.0,38.38,38.38,38.38,0.0,0.0
2016-08-28,39.0,39.0,39.0,0.0,0.0,39.0,39.0,39.0,0.0,0.0,38.01,38.01,38.01,0.0,0.0,38.01,38.01,38.01,0.0,0.0
2016-09-04,38.9,38.9,38.9,0.0,0.0,38.9,38.9,38.9,0.0,0.0,38.32,38.32,38.32,0.0,0.0,38.61,38.61,38.61,0.0,0.0
2016-09-11,37.76,37.76,37.76,0.0,0.0,38.2,38.2,38.2,0.0,0.0,37.76,37.76,37.76,0.0,0.0,38.2,38.2,38.2,0.0,0.0
2016-09-18,38.5,38.5,38.5,0.0,0.0,38.64,38.64,38.64,0.0,0.0,38.5,38.5,38.5,0.0,0.0,38.64,38.64,38.64,0.0,0.0
2016-09-25,39.42,39.42,39.42,0.0,0.0,39.62,39.62,39.62,0.0,0.0,39.42,39.42,39.42,0.0,0.0,39.62,39.62,39.62,0.0,0.0
2016-10-02,39.62,39.62,39.62,0.0,0.0,39.65,39.65,39.65,0.0,0.0,39.47,39.47,39.47,0.0,0.0,39.56,39.56,39.56,0.0,0.0
2016-10-09,38.15,38.15,38.15,0.0,0.0,38.89,38.89,38.89,0.0,0.0,38.15,38.15,38.15,0.0,0.0,38.46,38.46,38.46,0.0,0.0
2016-10-16,38.59,38.59,38.59,0.0,0.0,38.93,38.93,38.93,0.0,0.0,38.4,38.4,38.4,0.0,0.0,38.6,38.6,38.6,0.0,0.0
2016-10-23,38.08,38.08,38.08,0.0,0.0,38.08,38.08,38.08,0.0,0.0,38.04,38.04,38.04,0.0,0.0,38.04,38.04,38.04,0.0,0.0
