Date,iShares MSCI CanadaEtf_Open_average,iShares MSCI CanadaEtf_Open_max,iShares MSCI CanadaEtf_Open_min,iShares MSCI CanadaEtf_Open_volatility,iShares MSCI CanadaEtf_Open_change,iShares MSCI CanadaEtf_High_average,iShares MSCI CanadaEtf_High_max,iShares MSCI CanadaEtf_High_min,iShares MSCI CanadaEtf_High_volatility,iShares MSCI CanadaEtf_High_change,iShares MSCI CanadaEtf_Low_average,iShares MSCI CanadaEtf_Low_max,iShares MSCI CanadaEtf_Low_min,iShares MSCI CanadaEtf_Low_volatility,iShares MSCI CanadaEtf_Low_change,iShares MSCI CanadaEtf_Close_average,iShares MSCI CanadaEtf_Close_max,iShares MSCI CanadaEtf_Close_min,iShares MSCI CanadaEtf_Close_volatility,iShares MSCI CanadaEtf_Close_change
2016-01-03,20.27,20.27,20.27,0.0,0.0,20.3,20.3,20.3,0.0,0.0,20.02,20.02,20.02,0.0,0.0,20.05,20.05,20.05,0.0,0.0
2016-01-10,19.02,19.02,19.02,0.0,0.0,19.21,19.21,19.21,0.0,0.0,18.79,18.79,18.79,0.0,0.0,18.97,18.97,18.97,0.0,0.0
2016-01-17,19.8,19.8,19.8,0.0,0.0,20.06,20.06,20.06,0.0,0.0,19.79,19.79,19.79,0.0,0.0,20.01,20.01,20.01,0.0,0.0
2016-01-24,20.74,20.74,20.74,0.0,0.0,20.91,20.91,20.91,0.0,0.0,20.51,20.51,20.51,0.0,0.0,20.91,20.91,20.91,0.0,0.0
2016-01-31,21.14,21.14,21.14,0.0,0.0,21.19,21.19,21.19,0.0,0.0,20.91,20.91,20.91,0.0,0.0,20.98,20.98,20.98,0.0,0.0
2016-02-07,19.99,19.99,19.99,0.0,0.0,20.43,20.43,20.43,0.0,0.0,19.96,19.96,19.96,0.0,0.0,20.41,20.41,20.41,0.0,0.0
2016-02-14,21.2,21.2,21.2,0.0,0.0,21.32,21.32,21.32,0.0,0.0,21.04,21.04,21.04,0.0,0.0,21.3,21.3,21.3,0.0,0.0
2016-02-21,21.7,21.7,21.7,0.0,0.0,21.83,21.83,21.83,0.0,0.0,21.57,21.57,21.57,0.0,0.0,21.63,21.63,21.63,0.0,0.0
2016-02-28,22.44,22.44,22.44,0.0,0.0,22.73,22.73,22.73,0.0,0.0,22.43,22.43,22.43,0.0,0.0,22.62,22.62,22.62,0.0,0.0
2016-03-06,23.28,23.28,23.28,0.0,0.0,23.44,23.44,23.44,0.0,0.0,23.21,23.21,23.21,0.0,0.0,23.39,23.39,23.39,0.0,0.0
2016-03-13,24.03,24.03,24.03,0.0,0.0,24.05,24.05,24.05,0.0,0.0,23.66,23.66,23.66,0.0,0.0,23.71,23.71,23.71,0.0,0.0
2016-03-20,22.91,22.91,22.91,0.0,0.0,23.09,23.09,23.09,0.0,0.0,22.79,22.79,22.79,0.0,0.0,23.09,23.09,23.09,0.0,0.0
2016-03-27,23.37,23.37,23.37,0.0,0.0,23.61,23.61,23.61,0.0,0.0,23.21,23.21,23.21,0.0,0.0,23.61,23.61,23.61,0.0,0.0
2016-04-03,23.41,23.41,23.41,0.0,0.0,23.62,23.62,23.62,0.0,0.0,23.17,23.17,23.17,0.0,0.0,23.5,23.5,23.5,0.0,0.0
2016-04-10,24.23,24.23,24.23,0.0,0.0,24.3,24.3,24.3,0.0,0.0,24.1,24.1,24.1,0.0,0.0,24.24,24.24,24.24,0.0,0.0
2016-04-17,25.01,25.01,25.01,0.0,0.0,25.24,25.24,25.24,0.0,0.0,24.94,24.94,24.94,0.0,0.0,25.06,25.06,25.06,0.0,0.0
2016-04-24,25.33,25.33,25.33,0.0,0.0,25.52,25.52,25.52,0.0,0.0,25.26,25.26,25.26,0.0,0.0,25.4,25.4,25.4,0.0,0.0
2016-05-01,23.99,23.99,23.99,0.0,0.0,24.29,24.29,24.29,0.0,0.0,23.95,23.95,23.95,0.0,0.0,24.18,24.18,24.18,0.0,0.0
2016-05-08,24.23,24.23,24.23,0.0,0.0,24.37,24.37,24.37,0.0,0.0,24.1,24.1,24.1,0.0,0.0,24.14,24.14,24.14,0.0,0.0
2016-05-15,24.11,24.11,24.11,0.0,0.0,24.25,24.25,24.25,0.0,0.0,24.05,24.05,24.05,0.0,0.0,24.16,24.16,24.16,0.0,0.0
2016-05-22,24.62,24.62,24.62,0.0,0.0,24.79,24.79,24.79,0.0,0.0,24.57,24.57,24.57,0.0,0.0,24.73,24.73,24.73,0.0,0.0
2016-05-29,24.9,24.9,24.9,0.0,0.0,25.12,25.12,25.12,0.0,0.0,24.85,24.85,24.85,0.0,0.0,25.05,25.05,25.05,0.0,0.0
2016-06-05,25.34,25.34,25.34,0.0,0.0,25.4,25.4,25.4,0.0,0.0,24.96,24.96,24.96,0.0,0.0,25.05,25.05,25.05,0.0,0.0
2016-06-12,24.58,24.58,24.58,0.0,0.0,24.74,24.74,24.74,0.0,0.0,24.52,24.52,24.52,0.0,0.0,24.58,24.58,24.58,0.0,0.0
2016-06-19,24.01,24.01,24.01,0.0,0.0,24.48,24.48,24.48,0.0,0.0,23.84,23.84,23.84,0.0,0.0,24.14,24.14,24.14,0.0,0.0
2016-06-26,24.63,24.63,24.63,0.0,0.0,24.84,24.84,24.84,0.0,0.0,24.58,24.58,24.58,0.0,0.0,24.83,24.83,24.83,0.0,0.0
2016-07-03,24.58,24.58,24.58,0.0,0.0,24.75,24.75,24.75,0.0,0.0,24.58,24.58,24.58,0.0,0.0,24.64,24.64,24.64,0.0,0.0
2016-07-10,25.43,25.43,25.43,0.0,0.0,25.44,25.44,25.44,0.0,0.0,25.22,25.22,25.22,0.0,0.0,25.28,25.28,25.28,0.0,0.0
