Date,CIR_stock_Open_average,CIR_stock_Open_max,CIR_stock_Open_min,CIR_stock_Open_volatility,CIR_stock_Open_change,CIR_stock_High_average,CIR_stock_High_max,CIR_stock_High_min,CIR_stock_High_volatility,CIR_stock_High_change,CIR_stock_Low_average,CIR_stock_Low_max,CIR_stock_Low_min,CIR_stock_Low_volatility,CIR_stock_Low_change,CIR_stock_Close_average,CIR_stock_Close_max,CIR_stock_Close_min,CIR_stock_Close_volatility,CIR_stock_Close_change,CIR_stock_Volume_average,CIR_stock_Volume_max,CIR_stock_Volume_min,CIR_stock_Volume_volatility,CIR_stock_Volume_change
2016-01-03,40.246,41.53,37.82,3.710000000000001,-3.6799999999999997,40.574,42.4,38.03,4.369999999999997,-3.789999999999999,39.162,40.91,35.9,5.009999999999998,-4.82,39.438,41.56,35.92,5.640000000000001,-5.640000000000001,104543,210749,57089,153660,143998
2016-01-10,35.026,35.77,33.9,1.8700000000000045,-1.5200000000000031,35.757999999999996,36.12,35.48,0.6400000000000006,-0.6400000000000006,34.144,34.67,33.51,1.1600000000000037,-0.4099999999999966,35.008,35.45,33.83,1.6200000000000045,-0.1700000000000017,126726,199334,91195,108139,16959
2016-01-17,34.4175,35.65,33.69,1.9600000000000009,-1.509999999999998,34.894999999999996,35.65,34.44,1.2100000000000009,-0.9799999999999969,33.245,33.99,32.79,1.2000000000000028,-0.7600000000000051,33.945,34.37,33.32,1.0499999999999972,-0.2700000000000031,147408,192252,95291,96961,-35279
2016-01-24,33.928,34.67,33.25,1.4200000000000017,0.8900000000000006,34.724000000000004,35.49,33.95,1.5399999999999991,1.5399999999999991,33.518,34.36,32.82,1.5399999999999991,1.4699999999999989,34.126,35.49,32.94,2.5500000000000043,2.5500000000000043,106163,166983,58412,108571,97106
2016-01-31,35.03,35.93,34.26,1.6700000000000017,0.6799999999999997,35.914,37.21,34.77,2.4399999999999977,1.8599999999999994,34.466,35.65,33.5,2.1499999999999986,1.240000000000002,35.248,36.02,34.21,1.8100000000000023,1.1099999999999994,92417,133207,78742,54465,52812
2016-02-07,35.128,35.93,34.19,1.740000000000002,-1.3000000000000043,35.6,36.56,34.63,1.9299999999999997,-1.2600000000000051,34.334,35.09,33.31,1.7800000000000011,-0.9400000000000048,35.064,36.42,33.9,2.520000000000003,-1.5500000000000043,128257,235341,87017,148324,-20639
2016-02-14,35.9325,36.51,35.4,1.1099999999999994,0.4299999999999997,37.17,37.72,36.21,1.509999999999998,1.3299999999999983,34.895,35.78,34.08,1.7000000000000028,-0.37000000000000455,36.445,37.21,35.72,1.490000000000002,1.490000000000002,124331,156343,69358,86985,79579
2016-02-21,38.076,39.41,36.75,2.6599999999999966,2.6599999999999966,39.528,40.57,38.74,1.8299999999999983,0.4100000000000037,37.64,39.09,36.75,2.3400000000000034,2.3400000000000034,38.806000000000004,39.84,37.52,2.3200000000000003,0.9500000000000028,128402,200094,79194,120900,-120900
2016-02-28,40.792,41.63,39.78,1.8500000000000014,1.8500000000000014,41.634,43.71,40.43,3.280000000000001,3.280000000000001,40.574,41.62,39.71,1.9099999999999966,1.9099999999999966,41.366,42.73,40.09,2.6399999999999935,2.6399999999999935,85709,112175,66919,45256,17903
2016-03-06,42.102,44.48,40.92,3.559999999999995,-1.5500000000000043,42.876,44.66,41.4,3.259999999999998,-2.6699999999999946,41.118,42.63,39.88,2.75,-1.75,42.066,44.64,40.71,3.9299999999999997,-2.759999999999998,111153,146919,99396,47523,42866
