Date,AlphaMark Actively Managed Small_etf_Open_average,AlphaMark Actively Managed Small_etf_Open_max,AlphaMark Actively Managed Small_etf_Open_min,AlphaMark Actively Managed Small_etf_Open_volatility,AlphaMark Actively Managed Small_etf_Open_change,AlphaMark Actively Managed Small_etf_High_average,AlphaMark Actively Managed Small_etf_High_max,AlphaMark Actively Managed Small_etf_High_min,AlphaMark Actively Managed Small_etf_High_volatility,AlphaMark Actively Managed Small_etf_High_change,AlphaMark Actively Managed Small_etf_Low_average,AlphaMark Actively Managed Small_etf_Low_max,AlphaMark Actively Managed Small_etf_Low_min,AlphaMark Actively Managed Small_etf_Low_volatility,AlphaMark Actively Managed Small_etf_Low_change,AlphaMark Actively Managed Small_etf_Close_average,AlphaMark Actively Managed Small_etf_Close_max,AlphaMark Actively Managed Small_etf_Close_min,AlphaMark Actively Managed Small_etf_Close_volatility,AlphaMark Actively Managed Small_etf_Close_change
2016-01-03,21.36,21.36,21.36,0.0,0.0,21.36,21.36,21.36,0.0,0.0,21.33,21.33,21.33,0.0,0.0,21.33,21.33,21.33,0.0,0.0
2016-01-10,19.3,19.3,19.3,0.0,0.0,19.3,19.3,19.3,0.0,0.0,19.3,19.3,19.3,0.0,0.0,19.3,19.3,19.3,0.0,0.0
2016-01-17,19.59,19.59,19.59,0.0,0.0,19.59,19.59,19.59,0.0,0.0,19.31,19.31,19.31,0.0,0.0,19.44,19.44,19.44,0.0,0.0
2016-01-24,19.51,19.51,19.51,0.0,0.0,19.9,19.9,19.9,0.0,0.0,19.51,19.51,19.51,0.0,0.0,19.9,19.9,19.9,0.0,0.0
2016-01-31,19.39,19.39,19.39,0.0,0.0,19.39,19.39,19.39,0.0,0.0,19.34,19.34,19.34,0.0,0.0,19.34,19.34,19.34,0.0,0.0
2016-02-07,18.72,18.72,18.72,0.0,0.0,18.72,18.72,18.72,0.0,0.0,18.72,18.72,18.72,0.0,0.0,18.72,18.72,18.72,0.0,0.0
2016-02-14,19.79,19.79,19.79,0.0,0.0,19.79,19.79,19.79,0.0,0.0,19.79,19.79,19.79,0.0,0.0,19.79,19.79,19.79,0.0,0.0
2016-02-21,20.25,20.25,20.25,0.0,0.0,20.25,20.25,20.25,0.0,0.0,20.25,20.25,20.25,0.0,0.0,20.25,20.25,20.25,0.0,0.0
2016-02-28,22.06,22.06,22.06,0.0,0.0,22.08,22.08,22.08,0.0,0.0,22.02,22.02,22.02,0.0,0.0,22.02,22.02,22.02,0.0,0.0
2016-03-06,22.0,22.0,22.0,0.0,0.0,22.0,22.0,22.0,0.0,0.0,22.0,22.0,22.0,0.0,0.0,22.0,22.0,22.0,0.0,0.0
