Date,ProShares Ultra MSCI Emerging Markets_etf_Open_average,ProShares Ultra MSCI Emerging Markets_etf_Open_max,ProShares Ultra MSCI Emerging Markets_etf_Open_min,ProShares Ultra MSCI Emerging Markets_etf_Open_volatility,ProShares Ultra MSCI Emerging Markets_etf_Open_change,ProShares Ultra MSCI Emerging Markets_etf_High_average,ProShares Ultra MSCI Emerging Markets_etf_High_max,ProShares Ultra MSCI Emerging Markets_etf_High_min,ProShares Ultra MSCI Emerging Markets_etf_High_volatility,ProShares Ultra MSCI Emerging Markets_etf_High_change,ProShares Ultra MSCI Emerging Markets_etf_Low_average,ProShares Ultra MSCI Emerging Markets_etf_Low_max,ProShares Ultra MSCI Emerging Markets_etf_Low_min,ProShares Ultra MSCI Emerging Markets_etf_Low_volatility,ProShares Ultra MSCI Emerging Markets_etf_Low_change,ProShares Ultra MSCI Emerging Markets_etf_Close_average,ProShares Ultra MSCI Emerging Markets_etf_Close_max,ProShares Ultra MSCI Emerging Markets_etf_Close_min,ProShares Ultra MSCI Emerging Markets_etf_Close_volatility,ProShares Ultra MSCI Emerging Markets_etf_Close_change
2016-01-03,39.09,39.09,39.09,0.0,0.0,39.09,39.09,39.09,0.0,0.0,37.46,37.46,37.46,0.0,0.0,37.51,37.51,37.51,0.0,0.0
2016-01-10,35.0,35.0,35.0,0.0,0.0,35.2,35.2,35.2,0.0,0.0,34.58,34.58,34.58,0.0,0.0,34.93,34.93,34.93,0.0,0.0
2016-01-17,36.47,36.47,36.47,0.0,0.0,37.04,37.04,37.04,0.0,0.0,36.3,36.3,36.3,0.0,0.0,36.91,36.91,36.91,0.0,0.0
2016-01-24,39.11,39.11,39.11,0.0,0.0,39.96,39.96,39.96,0.0,0.0,38.96,38.96,38.96,0.0,0.0,39.96,39.96,39.96,0.0,0.0
2016-01-31,39.23,39.23,39.23,0.0,0.0,39.23,39.23,39.23,0.0,0.0,38.33,38.33,38.33,0.0,0.0,38.48,38.48,38.48,0.0,0.0
2016-02-07,36.15,36.15,36.15,0.0,0.0,36.81,36.81,36.81,0.0,0.0,35.82,35.82,35.82,0.0,0.0,36.81,36.81,36.81,0.0,0.0
2016-02-14,39.1,39.1,39.1,0.0,0.0,39.39,39.39,39.39,0.0,0.0,39.04,39.04,39.04,0.0,0.0,39.07,39.07,39.07,0.0,0.0
2016-02-21,39.25,39.25,39.25,0.0,0.0,39.25,39.25,39.25,0.0,0.0,39.17,39.17,39.17,0.0,0.0,39.17,39.17,39.17,0.0,0.0
2016-02-28,45.75,45.75,45.75,0.0,0.0,46.27,46.27,46.27,0.0,0.0,45.67,45.67,45.67,0.0,0.0,45.72,45.72,45.72,0.0,0.0
2016-03-06,46.52,46.52,46.52,0.0,0.0,46.52,46.52,46.52,0.0,0.0,46.52,46.52,46.52,0.0,0.0,46.52,46.52,46.52,0.0,0.0
2016-03-13,49.2,49.2,49.2,0.0,0.0,49.52,49.52,49.52,0.0,0.0,48.94,48.94,48.94,0.0,0.0,49.02,49.02,49.02,0.0,0.0
2016-03-20,46.24,46.24,46.24,0.0,0.0,47.18,47.18,47.18,0.0,0.0,46.24,46.24,46.24,0.0,0.0,47.18,47.18,47.18,0.0,0.0
2016-03-27,47.66,47.66,47.66,0.0,0.0,49.49,49.49,49.49,0.0,0.0,47.66,47.66,47.66,0.0,0.0,49.42,49.42,49.42,0.0,0.0
2016-04-03,47.69,47.69,47.69,0.0,0.0,47.89,47.89,47.89,0.0,0.0,47.0,47.0,47.0,0.0,0.0,47.15,47.15,47.15,0.0,0.0
2016-04-10,51.21,51.21,51.21,0.0,0.0,51.41,51.41,51.41,0.0,0.0,50.5,50.5,50.5,0.0,0.0,50.65,50.65,50.65,0.0,0.0
2016-04-17,50.79,50.79,50.79,0.0,0.0,51.37,51.37,51.37,0.0,0.0,50.37,50.37,50.37,0.0,0.0,50.52,50.52,50.52,0.0,0.0
2016-04-24,50.0,50.0,50.0,0.0,0.0,50.51,50.51,50.51,0.0,0.0,49.12,49.12,49.12,0.0,0.0,50.19,50.19,50.19,0.0,0.0
2016-05-01,45.2,45.2,45.2,0.0,0.0,45.78,45.78,45.78,0.0,0.0,44.93,44.93,44.93,0.0,0.0,45.5,45.5,45.5,0.0,0.0
2016-05-08,44.87,44.87,44.87,0.0,0.0,44.97,44.97,44.97,0.0,0.0,43.58,43.58,43.58,0.0,0.0,43.74,43.74,43.74,0.0,0.0
2016-05-15,43.5,43.5,43.5,0.0,0.0,43.85,43.85,43.85,0.0,0.0,43.38,43.38,43.38,0.0,0.0,43.66,43.66,43.66,0.0,0.0
2016-05-22,46.55,46.55,46.55,0.0,0.0,46.55,46.55,46.55,0.0,0.0,45.9,45.9,45.9,0.0,0.0,46.08,46.08,46.08,0.0,0.0
2016-05-29,47.86,47.86,47.86,0.0,0.0,48.18,48.18,48.18,0.0,0.0,47.12,47.12,47.12,0.0,0.0,48.09,48.09,48.09,0.0,0.0
2016-06-05,47.58,47.58,47.58,0.0,0.0,48.04,48.04,48.04,0.0,0.0,47.06,47.06,47.06,0.0,0.0,47.11,47.11,47.11,0.0,0.0
2016-06-12,46.17,46.17,46.17,0.0,0.0,46.35,46.35,46.35,0.0,0.0,45.97,45.97,45.97,0.0,0.0,46.3,46.3,46.3,0.0,0.0
2016-06-19,45.48,45.48,45.48,0.0,0.0,47.53,47.53,47.53,0.0,0.0,44.87,44.87,44.87,0.0,0.0,45.46,45.46,45.46,0.0,0.0
2016-06-26,50.7,50.7,50.7,0.0,0.0,51.07,51.07,51.07,0.0,0.0,50.52,50.52,50.52,0.0,0.0,50.94,50.94,50.94,0.0,0.0
2016-07-03,49.64,49.64,49.64,0.0,0.0,50.44,50.44,50.44,0.0,0.0,49.26,49.26,49.26,0.0,0.0,50.27,50.27,50.27,0.0,0.0
2016-07-10,54.0,54.0,54.0,0.0,0.0,54.23,54.23,54.23,0.0,0.0,53.53,53.53,53.53,0.0,0.0,53.85,53.85,53.85,0.0,0.0
2016-07-17,54.12,54.12,54.12,0.0,0.0,54.45,54.45,54.45,0.0,0.0,53.95,53.95,53.95,0.0,0.0,54.45,54.45,54.45,0.0,0.0
2016-07-24,54.67,54.67,54.67,0.0,0.0,55.5,55.5,55.5,0.0,0.0,54.57,54.57,54.57,0.0,0.0,55.43,55.43,55.43,0.0,0.0
2016-07-31,56.02,56.02,56.02,0.0,0.0,56.57,56.57,56.57,0.0,0.0,55.72,55.72,55.72,0.0,0.0,56.51,56.51,56.51,0.0,0.0
2016-08-07,59.35,59.35,59.35,0.0,0.0,59.63,59.63,59.63,0.0,0.0,58.75,58.75,58.75,0.0,0.0,58.86,58.86,58.86,0.0,0.0
2016-08-14,58.73,58.73,58.73,0.0,0.0,59.55,59.55,59.55,0.0,0.0,58.7,58.7,58.7,0.0,0.0,59.39,59.39,59.39,0.0,0.0
2016-08-21,58.14,58.14,58.14,0.0,0.0,59.19,59.19,59.19,0.0,0.0,56.09,56.09,56.09,0.0,0.0,56.74,56.74,56.74,0.0,0.0
2016-08-28,58.94,58.94,58.94,0.0,0.0,58.94,58.94,58.94,0.0,0.0,58.2,58.2,58.2,0.0,0.0,58.65,58.65,58.65,0.0,0.0
2016-09-04,58.81,58.81,58.81,0.0,0.0,58.81,58.81,58.81,0.0,0.0,56.75,56.75,56.75,0.0,0.0,56.85,56.85,56.85,0.0,0.0
2016-09-11,55.79,55.79,55.79,0.0,0.0,56.01,56.01,56.01,0.0,0.0,54.98,54.98,54.98,0.0,0.0,56.01,56.01,56.01,0.0,0.0
2016-09-18,59.78,59.78,59.78,0.0,0.0,60.19,60.19,60.19,0.0,0.0,59.44,59.44,59.44,0.0,0.0,59.44,59.44,59.44,0.0,0.0
2016-09-25,58.36,58.36,58.36,0.0,0.0,59.02,59.02,59.02,0.0,0.0,58.36,58.36,58.36,0.0,0.0,58.98,58.98,58.98,0.0,0.0
2016-10-02,60.0,60.0,60.0,0.0,0.0,60.09,60.09,60.09,0.0,0.0,58.54,58.54,58.54,0.0,0.0,59.53,59.53,59.53,0.0,0.0
2016-10-09,57.78,57.78,57.78,0.0,0.0,57.78,57.78,57.78,0.0,0.0,56.67,56.67,56.67,0.0,0.0,56.83,56.83,56.83,0.0,0.0
2016-10-16,58.92,58.92,58.92,0.0,0.0,58.92,58.92,58.92,0.0,0.0,58.92,58.92,58.92,0.0,0.0,58.92,58.92,58.92,0.0,0.0
2016-10-23,57.35,57.35,57.35,0.0,0.0,57.88,57.88,57.88,0.0,0.0,56.26,56.26,56.26,0.0,0.0,56.59,56.59,56.59,0.0,0.0
2016-10-30,53.85,53.85,53.85,0.0,0.0,54.35,54.35,54.35,0.0,0.0,53.69,53.69,53.69,0.0,0.0,53.83,53.83,53.83,0.0,0.0
2016-11-06,49.59,49.59,49.59,0.0,0.0,50.21,50.21,50.21,0.0,0.0,48.52,48.52,48.52,0.0,0.0,49.16,49.16,49.16,0.0,0.0
2016-11-13,50.67,50.67,50.67,0.0,0.0,50.67,50.67,50.67,0.0,0.0,49.72,49.72,49.72,0.0,0.0,50.07,50.07,50.07,0.0,0.0
2016-11-20,51.37,51.37,51.37,0.0,0.0,51.63,51.63,51.63,0.0,0.0,51.37,51.37,51.37,0.0,0.0,51.5,51.5,51.5,0.0,0.0
2016-11-27,50.86,50.86,50.86,0.0,0.0,51.48,51.48,51.48,0.0,0.0,50.86,50.86,50.86,0.0,0.0,50.95,50.95,50.95,0.0,0.0
2016-12-04,54.14,54.14,54.14,0.0,0.0,54.47,54.47,54.47,0.0,0.0,54.04,54.04,54.04,0.0,0.0,54.4,54.4,54.4,0.0,0.0
2016-12-11,51.21,51.21,51.21,0.0,0.0,51.57,51.57,51.57,0.0,0.0,50.9,50.9,50.9,0.0,0.0,50.92,50.92,50.92,0.0,0.0
2016-12-18,48.93,48.93,48.93,0.0,0.0,49.58,49.58,49.58,0.0,0.0,48.93,48.93,48.93,0.0,0.0,49.58,49.58,49.58,0.0,0.0
2016-12-25,52.44,52.44,52.44,0.0,0.0,52.5,52.5,52.5,0.0,0.0,51.48,51.48,51.48,0.0,0.0,51.51,51.51,51.51,0.0,0.0
2017-01-01,54.68,54.68,54.68,0.0,0.0,54.92,54.92,54.92,0.0,0.0,54.25,54.25,54.25,0.0,0.0,54.71,54.71,54.71,0.0,0.0
2017-01-08,56.38,56.38,56.38,0.0,0.0,56.5,56.5,56.5,0.0,0.0,56.38,56.38,56.38,0.0,0.0,56.5,56.5,56.5,0.0,0.0
2017-01-15,55.75,55.75,55.75,0.0,0.0,55.83,55.83,55.83,0.0,0.0,55.5,55.5,55.5,0.0,0.0,55.5,55.5,55.5,0.0,0.0
2017-01-22,59.07,59.07,59.07,0.0,0.0,59.07,59.07,59.07,0.0,0.0,58.68,58.68,58.68,0.0,0.0,58.86,58.86,58.86,0.0,0.0
