Date,United States 12 Month Natural Gas_etf_Open_average,United States 12 Month Natural Gas_etf_Open_max,United States 12 Month Natural Gas_etf_Open_min,United States 12 Month Natural Gas_etf_Open_volatility,United States 12 Month Natural Gas_etf_Open_change,United States 12 Month Natural Gas_etf_High_average,United States 12 Month Natural Gas_etf_High_max,United States 12 Month Natural Gas_etf_High_min,United States 12 Month Natural Gas_etf_High_volatility,United States 12 Month Natural Gas_etf_High_change,United States 12 Month Natural Gas_etf_Low_average,United States 12 Month Natural Gas_etf_Low_max,United States 12 Month Natural Gas_etf_Low_min,United States 12 Month Natural Gas_etf_Low_volatility,United States 12 Month Natural Gas_etf_Low_change,United States 12 Month Natural Gas_etf_Close_average,United States 12 Month Natural Gas_etf_Close_max,United States 12 Month Natural Gas_etf_Close_min,United States 12 Month Natural Gas_etf_Close_volatility,United States 12 Month Natural Gas_etf_Close_change
2016-01-03,9.94,9.94,9.94,0.0,0.0,10.18,10.18,10.18,0.0,0.0,9.94,9.94,9.94,0.0,0.0,10.13,10.13,10.13,0.0,0.0
2016-01-10,9.23,9.23,9.23,0.0,0.0,9.23,9.23,9.23,0.0,0.0,9.17,9.17,9.17,0.0,0.0,9.18,9.18,9.18,0.0,0.0
2016-01-17,8.94,8.94,8.94,0.0,0.0,9.77,9.77,9.77,0.0,0.0,8.94,8.94,8.94,0.0,0.0,9.4,9.4,9.4,0.0,0.0
2016-01-24,9.5,9.5,9.5,0.0,0.0,9.56,9.56,9.56,0.0,0.0,9.41,9.41,9.41,0.0,0.0,9.56,9.56,9.56,0.0,0.0
2016-01-31,9.0,9.0,9.0,0.0,0.0,9.09,9.09,9.09,0.0,0.0,8.97,8.97,8.97,0.0,0.0,9.02,9.02,9.02,0.0,0.0
2016-02-07,8.76,8.76,8.76,0.0,0.0,8.76,8.76,8.76,0.0,0.0,8.69,8.69,8.69,0.0,0.0,8.72,8.72,8.72,0.0,0.0
2016-02-14,8.87,8.87,8.87,0.0,0.0,8.87,8.87,8.87,0.0,0.0,8.21,8.21,8.21,0.0,0.0,8.25,8.25,8.25,0.0,0.0
2016-02-21,7.97,7.97,7.97,0.0,0.0,8.05,8.05,8.05,0.0,0.0,7.8,7.8,7.8,0.0,0.0,8.05,8.05,8.05,0.0,0.0
2016-02-28,7.97,7.97,7.97,0.0,0.0,8.1,8.1,8.1,0.0,0.0,7.96,7.96,7.96,0.0,0.0,8.09,8.09,8.09,0.0,0.0
2016-03-06,8.54,8.54,8.54,0.0,0.0,8.62,8.62,8.62,0.0,0.0,8.47,8.47,8.47,0.0,0.0,8.52,8.52,8.52,0.0,0.0
2016-03-13,8.85,8.85,8.85,0.0,0.0,8.85,8.85,8.85,0.0,0.0,8.7,8.7,8.7,0.0,0.0,8.7,8.7,8.7,0.0,0.0
2016-03-20,8.57,8.57,8.57,0.0,0.0,8.66,8.66,8.66,0.0,0.0,8.53,8.53,8.53,0.0,0.0,8.64,8.64,8.64,0.0,0.0
2016-03-27,8.97,8.97,8.97,0.0,0.0,8.98,8.98,8.98,0.0,0.0,8.79,8.79,8.79,0.0,0.0,8.84,8.84,8.84,0.0,0.0
2016-04-03,8.89,8.89,8.89,0.0,0.0,8.93,8.93,8.93,0.0,0.0,8.88,8.88,8.88,0.0,0.0,8.89,8.89,8.89,0.0,0.0
2016-04-10,8.8,8.8,8.8,0.0,0.0,8.95,8.95,8.95,0.0,0.0,8.8,8.8,8.8,0.0,0.0,8.89,8.89,8.89,0.0,0.0
2016-04-17,9.48,9.48,9.48,0.0,0.0,9.69,9.69,9.69,0.0,0.0,9.48,9.48,9.48,0.0,0.0,9.58,9.58,9.58,0.0,0.0
