Date,WisdomTree China ex-State-Owned EnterprisesEtf_Open_average,WisdomTree China ex-State-Owned EnterprisesEtf_Open_max,WisdomTree China ex-State-Owned EnterprisesEtf_Open_min,WisdomTree China ex-State-Owned EnterprisesEtf_Open_volatility,WisdomTree China ex-State-Owned EnterprisesEtf_Open_change,WisdomTree China ex-State-Owned EnterprisesEtf_High_average,WisdomTree China ex-State-Owned EnterprisesEtf_High_max,WisdomTree China ex-State-Owned EnterprisesEtf_High_min,WisdomTree China ex-State-Owned EnterprisesEtf_High_volatility,WisdomTree China ex-State-Owned EnterprisesEtf_High_change,WisdomTree China ex-State-Owned EnterprisesEtf_Low_average,WisdomTree China ex-State-Owned EnterprisesEtf_Low_max,WisdomTree China ex-State-Owned EnterprisesEtf_Low_min,WisdomTree China ex-State-Owned EnterprisesEtf_Low_volatility,WisdomTree China ex-State-Owned EnterprisesEtf_Low_change,WisdomTree China ex-State-Owned EnterprisesEtf_Close_average,WisdomTree China ex-State-Owned EnterprisesEtf_Close_max,WisdomTree China ex-State-Owned EnterprisesEtf_Close_min,WisdomTree China ex-State-Owned EnterprisesEtf_Close_volatility,WisdomTree China ex-State-Owned EnterprisesEtf_Close_change
2016-01-03,44.6,44.6,44.6,0.0,0.0,44.6,44.6,44.6,0.0,0.0,44.6,44.6,44.6,0.0,0.0,44.6,44.6,44.6,0.0,0.0
2016-01-10,42.98,42.98,42.98,0.0,0.0,43.31,43.31,43.31,0.0,0.0,42.98,42.98,42.98,0.0,0.0,43.31,43.31,43.31,0.0,0.0
2016-01-17,42.75,42.75,42.75,0.0,0.0,43.0,43.0,43.0,0.0,0.0,42.62,42.62,42.62,0.0,0.0,42.78,42.78,42.78,0.0,0.0
2016-01-24,41.8,41.8,41.8,0.0,0.0,41.8,41.8,41.8,0.0,0.0,41.3,41.3,41.3,0.0,0.0,41.3,41.3,41.3,0.0,0.0
2016-01-31,40.96,40.96,40.96,0.0,0.0,40.96,40.96,40.96,0.0,0.0,40.96,40.96,40.96,0.0,0.0,40.96,40.96,40.96,0.0,0.0
2016-02-07,39.84,39.84,39.84,0.0,0.0,39.84,39.84,39.84,0.0,0.0,39.84,39.84,39.84,0.0,0.0,39.84,39.84,39.84,0.0,0.0
2016-02-14,41.79,41.79,41.79,0.0,0.0,41.92,41.92,41.92,0.0,0.0,41.79,41.79,41.79,0.0,0.0,41.92,41.92,41.92,0.0,0.0
2016-02-21,41.06,41.06,41.06,0.0,0.0,41.06,41.06,41.06,0.0,0.0,41.06,41.06,41.06,0.0,0.0,41.06,41.06,41.06,0.0,0.0
2016-02-28,43.65,43.65,43.65,0.0,0.0,43.65,43.65,43.65,0.0,0.0,43.65,43.65,43.65,0.0,0.0,43.65,43.65,43.65,0.0,0.0
2016-03-06,42.78,42.78,42.78,0.0,0.0,43.02,43.02,43.02,0.0,0.0,42.74,42.74,42.74,0.0,0.0,42.93,42.93,42.93,0.0,0.0
2016-03-13,45.67,45.67,45.67,0.0,0.0,45.67,45.67,45.67,0.0,0.0,45.67,45.67,45.67,0.0,0.0,45.67,45.67,45.67,0.0,0.0
2016-03-20,44.57,44.57,44.57,0.0,0.0,44.57,44.57,44.57,0.0,0.0,44.57,44.57,44.57,0.0,0.0,44.57,44.57,44.57,0.0,0.0
2016-03-27,46.0,46.0,46.0,0.0,0.0,46.0,46.0,46.0,0.0,0.0,46.0,46.0,46.0,0.0,0.0,46.0,46.0,46.0,0.0,0.0
2016-04-03,46.06,46.06,46.06,0.0,0.0,46.18,46.18,46.18,0.0,0.0,45.5,45.5,45.5,0.0,0.0,46.18,46.18,46.18,0.0,0.0
2016-04-10,47.92,47.92,47.92,0.0,0.0,48.17,48.17,48.17,0.0,0.0,47.86,47.86,47.86,0.0,0.0,48.0,48.0,48.0,0.0,0.0
2016-04-17,48.0,48.0,48.0,0.0,0.0,48.0,48.0,48.0,0.0,0.0,48.0,48.0,48.0,0.0,0.0,48.0,48.0,48.0,0.0,0.0
2016-04-24,47.3,47.3,47.3,0.0,0.0,47.3,47.3,47.3,0.0,0.0,47.3,47.3,47.3,0.0,0.0,47.3,47.3,47.3,0.0,0.0
2016-05-01,45.12,45.12,45.12,0.0,0.0,45.12,45.12,45.12,0.0,0.0,45.0,45.0,45.0,0.0,0.0,45.0,45.0,45.0,0.0,0.0
2016-05-08,43.64,43.64,43.64,0.0,0.0,43.64,43.64,43.64,0.0,0.0,43.64,43.64,43.64,0.0,0.0,43.64,43.64,43.64,0.0,0.0
2016-05-15,43.9,43.9,43.9,0.0,0.0,43.9,43.9,43.9,0.0,0.0,43.9,43.9,43.9,0.0,0.0,43.9,43.9,43.9,0.0,0.0
2016-05-22,45.26,45.26,45.26,0.0,0.0,45.52,45.52,45.52,0.0,0.0,45.21,45.21,45.21,0.0,0.0,45.52,45.52,45.52,0.0,0.0
2016-05-29,45.15,45.15,45.15,0.0,0.0,45.41,45.41,45.41,0.0,0.0,45.13,45.13,45.13,0.0,0.0,45.28,45.28,45.28,0.0,0.0
2016-06-05,45.1,45.1,45.1,0.0,0.0,45.5,45.5,45.5,0.0,0.0,45.1,45.1,45.1,0.0,0.0,45.5,45.5,45.5,0.0,0.0
2016-06-12,43.93,43.93,43.93,0.0,0.0,43.93,43.93,43.93,0.0,0.0,43.93,43.93,43.93,0.0,0.0,43.93,43.93,43.93,0.0,0.0
2016-06-19,44.18,44.18,44.18,0.0,0.0,44.18,44.18,44.18,0.0,0.0,44.18,44.18,44.18,0.0,0.0,44.18,44.18,44.18,0.0,0.0
2016-06-26,45.15,45.15,45.15,0.0,0.0,45.2,45.2,45.2,0.0,0.0,45.1,45.1,45.1,0.0,0.0,45.1,45.1,45.1,0.0,0.0
2016-07-03,44.5,44.5,44.5,0.0,0.0,44.95,44.95,44.95,0.0,0.0,44.45,44.45,44.45,0.0,0.0,44.95,44.95,44.95,0.0,0.0
2016-07-10,46.15,46.15,46.15,0.0,0.0,46.15,46.15,46.15,0.0,0.0,46.15,46.15,46.15,0.0,0.0,46.15,46.15,46.15,0.0,0.0
2016-07-17,46.5,46.5,46.5,0.0,0.0,46.83,46.83,46.83,0.0,0.0,46.5,46.5,46.5,0.0,0.0,46.6,46.6,46.6,0.0,0.0
2016-07-24,47.19,47.19,47.19,0.0,0.0,47.2,47.2,47.2,0.0,0.0,47.19,47.19,47.19,0.0,0.0,47.2,47.2,47.2,0.0,0.0
2016-07-31,47.22,47.22,47.22,0.0,0.0,47.22,47.22,47.22,0.0,0.0,47.22,47.22,47.22,0.0,0.0,47.22,47.22,47.22,0.0,0.0
2016-08-07,49.25,49.25,49.25,0.0,0.0,49.25,49.25,49.25,0.0,0.0,49.25,49.25,49.25,0.0,0.0,49.25,49.25,49.25,0.0,0.0
2016-08-14,49.84,49.84,49.84,0.0,0.0,49.84,49.84,49.84,0.0,0.0,49.84,49.84,49.84,0.0,0.0,49.84,49.84,49.84,0.0,0.0
2016-08-21,49.41,49.41,49.41,0.0,0.0,49.87,49.87,49.87,0.0,0.0,49.41,49.41,49.41,0.0,0.0,49.87,49.87,49.87,0.0,0.0
2016-08-28,51.08,51.08,51.08,0.0,0.0,51.53,51.53,51.53,0.0,0.0,51.08,51.08,51.08,0.0,0.0,51.21,51.21,51.21,0.0,0.0
2016-09-04,51.63,51.63,51.63,0.0,0.0,51.63,51.63,51.63,0.0,0.0,51.63,51.63,51.63,0.0,0.0,51.63,51.63,51.63,0.0,0.0
2016-09-11,52.33,52.33,52.33,0.0,0.0,52.76,52.76,52.76,0.0,0.0,52.33,52.33,52.33,0.0,0.0,52.7,52.7,52.7,0.0,0.0
2016-09-18,53.44,53.44,53.44,0.0,0.0,53.44,53.44,53.44,0.0,0.0,53.44,53.44,53.44,0.0,0.0,53.44,53.44,53.44,0.0,0.0
2016-09-25,52.6,52.6,52.6,0.0,0.0,52.66,52.66,52.66,0.0,0.0,52.6,52.6,52.6,0.0,0.0,52.66,52.66,52.66,0.0,0.0
2016-10-02,52.8,52.8,52.8,0.0,0.0,52.8,52.8,52.8,0.0,0.0,52.8,52.8,52.8,0.0,0.0,52.8,52.8,52.8,0.0,0.0
2016-10-09,52.34,52.34,52.34,0.0,0.0,52.34,52.34,52.34,0.0,0.0,52.2,52.2,52.2,0.0,0.0,52.2,52.2,52.2,0.0,0.0
2016-10-16,53.39,53.39,53.39,0.0,0.0,53.39,53.39,53.39,0.0,0.0,52.86,52.86,52.86,0.0,0.0,53.17,53.17,53.17,0.0,0.0
2016-10-23,52.07,52.07,52.07,0.0,0.0,52.07,52.07,52.07,0.0,0.0,51.8,51.8,51.8,0.0,0.0,51.85,51.85,51.85,0.0,0.0
2016-10-30,52.31,52.31,52.31,0.0,0.0,52.31,52.31,52.31,0.0,0.0,52.31,52.31,52.31,0.0,0.0,52.31,52.31,52.31,0.0,0.0
2016-11-06,50.99,50.99,50.99,0.0,0.0,50.99,50.99,50.99,0.0,0.0,50.99,50.99,50.99,0.0,0.0,50.99,50.99,50.99,0.0,0.0
2016-11-13,50.13,50.13,50.13,0.0,0.0,50.29,50.29,50.29,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.29,50.29,50.29,0.0,0.0
2016-11-20,50.67,50.67,50.67,0.0,0.0,50.67,50.67,50.67,0.0,0.0,50.67,50.67,50.67,0.0,0.0,50.67,50.67,50.67,0.0,0.0
2016-11-27,50.51,50.51,50.51,0.0,0.0,50.51,50.51,50.51,0.0,0.0,50.51,50.51,50.51,0.0,0.0,50.51,50.51,50.51,0.0,0.0
2016-12-04,50.48,50.48,50.48,0.0,0.0,50.48,50.48,50.48,0.0,0.0,50.48,50.48,50.48,0.0,0.0,50.48,50.48,50.48,0.0,0.0
2016-12-11,48.81,48.81,48.81,0.0,0.0,48.81,48.81,48.81,0.0,0.0,48.81,48.81,48.81,0.0,0.0,48.81,48.81,48.81,0.0,0.0
2016-12-18,47.24,47.24,47.24,0.0,0.0,47.24,47.24,47.24,0.0,0.0,47.24,47.24,47.24,0.0,0.0,47.24,47.24,47.24,0.0,0.0
2016-12-25,48.0,48.0,48.0,0.0,0.0,48.34,48.34,48.34,0.0,0.0,48.0,48.0,48.0,0.0,0.0,48.31,48.31,48.31,0.0,0.0
2017-01-01,48.85,48.85,48.85,0.0,0.0,49.0,49.0,49.0,0.0,0.0,48.85,48.85,48.85,0.0,0.0,49.0,49.0,49.0,0.0,0.0
2017-01-08,51.01,51.01,51.01,0.0,0.0,51.01,51.01,51.01,0.0,0.0,51.0,51.0,51.0,0.0,0.0,51.0,51.0,51.0,0.0,0.0
2017-01-15,51.33,51.33,51.33,0.0,0.0,51.33,51.33,51.33,0.0,0.0,50.94,50.94,50.94,0.0,0.0,50.94,50.94,50.94,0.0,0.0
2017-01-22,51.56,51.56,51.56,0.0,0.0,51.56,51.56,51.56,0.0,0.0,51.56,51.56,51.56,0.0,0.0,51.56,51.56,51.56,0.0,0.0
