Date,BNPQYStock_Open_average,BNPQYStock_Open_max,BNPQYStock_Open_min,BNPQYStock_Open_volatility,BNPQYStock_Open_change,BNPQYStock_High_average,BNPQYStock_High_max,BNPQYStock_High_min,BNPQYStock_High_volatility,BNPQYStock_High_change,BNPQYStock_Low_average,BNPQYStock_Low_max,BNPQYStock_Low_min,BNPQYStock_Low_volatility,BNPQYStock_Low_change,BNPQYStock_Close_average,BNPQYStock_Close_max,BNPQYStock_Close_min,BNPQYStock_Close_volatility,BNPQYStock_Close_change,BNPQYStock_Volume_average,BNPQYStock_Volume_max,BNPQYStock_Volume_min,BNPQYStock_Volume_volatility,BNPQYStock_Volume_change
2016-01-03,27.146,27.82,26.585,1.2349999999999994,-1.1050000000000004,27.3312,27.96,26.61,1.3500000000000014,-1.3500000000000014,26.85,27.51,26.0,1.5100000000000016,-1.3399999999999999,27.064,27.88,26.03,1.8499999999999979,-1.8499999999999979,99773,141303,61041,80262,-50296
2016-01-10,26.0406,26.75,24.734,2.0159999999999982,-1.5259999999999998,26.192,26.83,24.98,1.8499999999999979,-1.3200000000000003,25.656,26.39,24.45,1.9400000000000013,-1.5899999999999999,25.908,26.8,24.67,2.129999999999999,-1.4199999999999982,144518,219970,93836,126134,-29619
2016-01-17,23.865000000000002,24.42,23.365,1.0550000000000033,-0.20500000000000185,24.0275,24.42,23.57,0.8500000000000014,-0.0400000000000027,23.46,23.95,23.0,0.9499999999999993,0.17999999999999972,23.79375,24.19,23.45,0.740000000000002,0.14000000000000057,1649584,5604446,220409,5384037,38804
2016-01-24,23.632,23.82,23.35,0.46999999999999886,0.23999999999999844,23.85,24.13,23.55,0.5799999999999983,0.3200000000000003,23.4308,23.62,23.2,0.4200000000000017,0.3000000000000007,23.6254,23.9,23.32,0.5799999999999983,0.5219999999999985,225595,539420,68820,470600,-193133
2016-01-31,22.83,23.64,22.09,1.5500000000000007,0.19000000000000128,23.072,23.75,22.26,1.4899999999999984,-0.07000000000000028,22.4374,23.3,21.526999999999997,1.7730000000000032,-0.3000000000000007,22.818,23.6,22.12,1.4800000000000004,-0.4400000000000013,104922,143048,87323,55725,-8408
2016-02-07,21.7618,22.21,21.1,1.1099999999999994,-0.4089999999999989,22.124,22.66,21.6,1.0599999999999987,0.3099999999999987,21.511,22.03,21.05,0.9800000000000004,-0.18500000000000227,21.889,22.25,21.35,0.8999999999999986,0.08500000000000085,257341,666244,116860,549384,-7898
2016-02-14,22.772,23.08,22.33,0.75,-0.2950000000000017,22.92825,23.38,22.58,0.8000000000000007,-0.120000000000001,22.5275,23.08,22.15,0.9299999999999997,-0.2700000000000031,22.81125,23.31,22.58,0.7300000000000004,-0.09500000000000242,108273,141309,72190,69119,15340
2016-02-21,22.709,23.25,21.99,1.2600000000000016,0.5700000000000003,22.986,23.38,22.43,0.9499999999999993,0.25,22.542,23.12,21.86,1.2600000000000016,0.4800000000000004,22.827,23.2,22.405,0.7949999999999982,0.09999999999999787,104647,121150,86825,34325,-34325
2016-02-28,24.301,25.42,23.22,2.200000000000003,2.200000000000003,24.674,25.7,23.46,2.2399999999999984,2.2399999999999984,24.255,25.41,23.08,2.330000000000002,2.330000000000002,24.566,25.52,23.26,2.259999999999998,2.259999999999998,93589,141411,62043,79368,-79368
2016-03-06,25.7046,26.81,24.89,1.9199999999999982,1.9199999999999982,25.9566,27.25,25.25,2.0,2.0,25.484,26.76,24.87,1.8900000000000006,1.8900000000000006,25.745,27.24,25.07,2.169999999999998,2.169999999999998,89255,160032,39745,120287,-10632
2016-03-13,25.820999999999998,26.81,25.29,1.5199999999999996,-1.1499999999999986,26.034,26.81,25.55,1.259999999999998,-1.0399999999999991,25.666,26.44,25.26,1.1799999999999997,-0.9400000000000013,25.945,26.485,25.43,1.0549999999999997,-0.7149999999999999,124603,238582,74500,164082,-17714
2016-03-20,24.9435,25.565,24.22,1.3450000000000024,-1.3450000000000024,25.115000000000002,25.63,24.41,1.2199999999999989,-1.2199999999999989,24.7725,25.35,24.2,1.1500000000000021,-1.1500000000000021,24.9775,25.45,24.38,1.0700000000000003,-1.0700000000000003,97494,137668,52952,84716,-49434
2016-03-27,24.795,25.18,24.19,0.9899999999999984,0.8049999999999997,25.1856,25.9,24.53,1.3699999999999974,0.6400000000000006,24.7066,25.07,24.19,0.879999999999999,0.7099999999999973,25.052,25.5,24.53,0.9699999999999989,0.6400000000000006,145601,233809,106951,126858,1923
2016-04-03,24.345,25.07,23.77,1.3000000000000007,-1.115000000000002,24.465,25.2,23.88,1.3200000000000003,-1.1600000000000001,24.086000000000002,24.85,23.3,1.5500000000000007,-1.1400000000000006,24.222,24.96,23.3,1.6600000000000001,-1.1099999999999994,210874,615855,56814,559041,525747
2016-04-10,25.084,25.69,24.34,1.3500000000000014,1.0300000000000011,25.163999999999998,25.75,24.43,1.3200000000000003,1.0599999999999987,24.822,25.42,23.84,1.5800000000000018,1.3200000000000003,25.018,25.61,24.13,1.4800000000000004,1.3450000000000024,249910,413409,104380,309029,-169085
2016-04-17,26.4094,27.26,25.62,1.6400000000000006,1.1469999999999985,26.602,27.26,26.0,1.2600000000000016,1.0199999999999996,26.169999999999998,26.74,25.62,1.1199999999999974,1.1199999999999974,26.402,26.98,25.86,1.120000000000001,1.120000000000001,238459,655335,95033,560302,-560302
2016-04-24,26.814,27.0,26.374000000000002,0.6259999999999977,0.5259999999999962,26.984,27.4,26.46,0.9399999999999977,0.46000000000000085,26.6354,27.0,26.166999999999998,0.833000000000002,0.23300000000000054,26.844,27.29,26.3,0.9899999999999984,0.379999999999999,84291,111166,57273,53893,-5467
2016-05-01,25.9772,26.75,25.034000000000002,1.7159999999999975,-1.4359999999999964,26.212,26.79,25.5,1.2899999999999991,-1.1900000000000013,25.788,26.27,25.0,1.2699999999999996,-1.2699999999999996,26.0194,26.69,25.5,1.1900000000000013,-1.1900000000000013,110766,264695,55667,209028,180552
2016-05-08,25.171,25.36,24.985,0.375,-0.3099999999999987,25.272000000000002,25.46,25.05,0.41000000000000014,-0.41000000000000014,24.9752,25.17,24.695999999999998,0.47400000000000375,-0.38000000000000256,25.1056,25.418000000000003,24.77,0.6480000000000032,-0.4800000000000004,75195,105691,42066,63625,28931
2016-05-15,25.203,25.53,24.865,0.6650000000000027,0.6550000000000011,25.4534,25.767,25.02,0.7469999999999999,0.7469999999999999,25.123,25.52,24.82,0.6999999999999993,0.6999999999999993,25.281,25.67,24.99,0.6800000000000033,0.6800000000000033,89048,124200,59912,64288,-28475
2016-05-22,26.656,27.69,25.71,1.9800000000000004,0.879999999999999,27.0,28.02,25.9,2.120000000000001,0.8900000000000006,26.6,27.66,25.57,2.09,0.9100000000000001,26.907,27.975,25.805,2.1700000000000017,0.8350000000000009,85720,122083,63757,58326,-58326
2016-05-29,26.32425,26.73,26.055,0.6750000000000007,-0.379999999999999,26.59,27.0,26.3,0.6999999999999993,-0.5599999999999987,26.1425,26.51,25.95,0.5600000000000023,-0.46000000000000085,26.4725,26.64,26.22,0.4200000000000017,-0.23000000000000043,78338,134000,36978,97022,65837
2016-06-05,26.131600000000002,26.68,25.018,1.661999999999999,-1.2409999999999997,26.264,26.86,25.19,1.6699999999999982,-1.259999999999998,25.956,26.64,24.72,1.9200000000000017,-1.4200000000000017,26.1,26.73,24.88,1.8500000000000014,-1.490000000000002,111578,269850,40921,228929,2496
2016-06-12,23.9648,24.49,23.205,1.2850000000000001,0.14599999999999724,24.281,24.88,23.84,1.0399999999999991,0.29499999999999815,23.732,24.42,22.97,1.4500000000000028,0.3500000000000014,24.079,24.87,23.74,1.1300000000000026,0.745000000000001,274467,629996,125227,504769,365532
2016-06-19,25.4476,27.16,21.75,5.41,-4.058000000000003,25.768,27.57,22.53,5.039999999999999,-3.4299999999999997,25.228,26.91,21.5,5.41,-4.120000000000001,25.451999999999998,27.57,21.66,5.91,-3.969999999999999,195809,391632,44516,347116,246131
2016-06-26,21.648,22.4,20.44,1.9599999999999973,1.9599999999999973,21.862000000000002,22.62,20.67,1.9499999999999993,1.7299999999999969,21.21,22.03,19.46,2.5700000000000003,2.5700000000000003,21.758,22.58,20.67,1.9099999999999966,1.4299999999999997,536507,1770062,116007,1654055,-123864
