Date,iShares US Broker Dealers_etf_Open_average,iShares US Broker Dealers_etf_Open_max,iShares US Broker Dealers_etf_Open_min,iShares US Broker Dealers_etf_Open_volatility,iShares US Broker Dealers_etf_Open_change,iShares US Broker Dealers_etf_High_average,iShares US Broker Dealers_etf_High_max,iShares US Broker Dealers_etf_High_min,iShares US Broker Dealers_etf_High_volatility,iShares US Broker Dealers_etf_High_change,iShares US Broker Dealers_etf_Low_average,iShares US Broker Dealers_etf_Low_max,iShares US Broker Dealers_etf_Low_min,iShares US Broker Dealers_etf_Low_volatility,iShares US Broker Dealers_etf_Low_change,iShares US Broker Dealers_etf_Close_average,iShares US Broker Dealers_etf_Close_max,iShares US Broker Dealers_etf_Close_min,iShares US Broker Dealers_etf_Close_volatility,iShares US Broker Dealers_etf_Close_change
2016-01-03,38.59,38.59,38.59,0.0,0.0,38.59,38.59,38.59,0.0,0.0,37.66,37.66,37.66,0.0,0.0,37.71,37.71,37.71,0.0,0.0
2016-01-10,35.6,35.6,35.6,0.0,0.0,36.01,36.01,36.01,0.0,0.0,35.21,35.21,35.21,0.0,0.0,35.7,35.7,35.7,0.0,0.0
2016-01-17,34.89,34.89,34.89,0.0,0.0,35.6,35.6,35.6,0.0,0.0,34.89,34.89,34.89,0.0,0.0,35.57,35.57,35.57,0.0,0.0
2016-01-24,35.39,35.39,35.39,0.0,0.0,36.23,36.23,36.23,0.0,0.0,35.34,35.34,35.34,0.0,0.0,36.23,36.23,36.23,0.0,0.0
2016-01-31,35.16,35.16,35.16,0.0,0.0,35.53,35.53,35.53,0.0,0.0,34.58,34.58,34.58,0.0,0.0,34.66,34.66,34.66,0.0,0.0
2016-02-07,33.47,33.47,33.47,0.0,0.0,33.76,33.76,33.76,0.0,0.0,33.15,33.15,33.15,0.0,0.0,33.76,33.76,33.76,0.0,0.0
2016-02-14,34.66,34.66,34.66,0.0,0.0,35.18,35.18,35.18,0.0,0.0,34.61,34.61,34.61,0.0,0.0,35.05,35.05,35.05,0.0,0.0
2016-02-21,35.57,35.57,35.57,0.0,0.0,36.01,36.01,36.01,0.0,0.0,35.57,35.57,35.57,0.0,0.0,35.79,35.79,35.79,0.0,0.0
2016-02-28,37.24,37.24,37.24,0.0,0.0,37.55,37.55,37.55,0.0,0.0,36.96,36.96,36.96,0.0,0.0,37.33,37.33,37.33,0.0,0.0
2016-03-06,37.06,37.06,37.06,0.0,0.0,37.74,37.74,37.74,0.0,0.0,37.06,37.06,37.06,0.0,0.0,37.71,37.71,37.71,0.0,0.0
2016-03-13,37.77,37.77,37.77,0.0,0.0,38.11,38.11,38.11,0.0,0.0,37.74,37.74,37.74,0.0,0.0,38.11,38.11,38.11,0.0,0.0
2016-03-20,36.6,36.6,36.6,0.0,0.0,36.87,36.87,36.87,0.0,0.0,36.51,36.51,36.51,0.0,0.0,36.85,36.85,36.85,0.0,0.0
2016-03-27,37.24,37.24,37.24,0.0,0.0,37.92,37.92,37.92,0.0,0.0,37.24,37.24,37.24,0.0,0.0,37.9,37.9,37.9,0.0,0.0
2016-04-03,35.81,35.81,35.81,0.0,0.0,35.89,35.89,35.89,0.0,0.0,35.37,35.37,35.37,0.0,0.0,35.43,35.43,35.43,0.0,0.0
2016-04-10,37.71,37.71,37.71,0.0,0.0,37.71,37.71,37.71,0.0,0.0,37.25,37.25,37.25,0.0,0.0,37.34,37.34,37.34,0.0,0.0
2016-04-17,38.97,38.97,38.97,0.0,0.0,39.15,39.15,39.15,0.0,0.0,38.84,38.84,38.84,0.0,0.0,38.95,38.95,38.95,0.0,0.0
2016-04-24,37.85,37.85,37.85,0.0,0.0,37.85,37.85,37.85,0.0,0.0,37.37,37.37,37.37,0.0,0.0,37.67,37.67,37.67,0.0,0.0
2016-05-01,36.8,36.8,36.8,0.0,0.0,37.18,37.18,37.18,0.0,0.0,36.67,36.67,36.67,0.0,0.0,37.06,37.06,37.06,0.0,0.0
2016-05-08,37.35,37.35,37.35,0.0,0.0,37.61,37.61,37.61,0.0,0.0,36.97,36.97,36.97,0.0,0.0,36.99,36.99,36.99,0.0,0.0
2016-05-15,37.84,37.84,37.84,0.0,0.0,38.17,38.17,38.17,0.0,0.0,37.8,37.8,37.8,0.0,0.0,38.04,38.04,38.04,0.0,0.0
2016-05-22,39.21,39.21,39.21,0.0,0.0,39.47,39.47,39.47,0.0,0.0,39.21,39.21,39.21,0.0,0.0,39.47,39.47,39.47,0.0,0.0
2016-05-29,38.92,38.92,38.92,0.0,0.0,38.92,38.92,38.92,0.0,0.0,38.28,38.28,38.28,0.0,0.0,38.67,38.67,38.67,0.0,0.0
2016-06-05,37.78,37.78,37.78,0.0,0.0,37.98,37.98,37.98,0.0,0.0,37.55,37.55,37.55,0.0,0.0,37.68,37.68,37.68,0.0,0.0
2016-06-12,37.17,37.17,37.17,0.0,0.0,37.51,37.51,37.51,0.0,0.0,36.96,36.96,36.96,0.0,0.0,37.06,37.06,37.06,0.0,0.0
2016-06-19,36.31,36.31,36.31,0.0,0.0,36.63,36.63,36.63,0.0,0.0,35.63,35.63,35.63,0.0,0.0,35.71,35.71,35.71,0.0,0.0
2016-06-26,35.95,35.95,35.95,0.0,0.0,36.25,36.25,36.25,0.0,0.0,35.8,35.8,35.8,0.0,0.0,35.87,35.87,35.87,0.0,0.0
2016-07-03,36.45,36.45,36.45,0.0,0.0,36.72,36.72,36.72,0.0,0.0,36.45,36.45,36.45,0.0,0.0,36.64,36.64,36.64,0.0,0.0
2016-07-10,38.38,38.38,38.38,0.0,0.0,38.43,38.43,38.43,0.0,0.0,38.06,38.06,38.06,0.0,0.0,38.31,38.31,38.31,0.0,0.0
2016-07-17,38.51,38.51,38.51,0.0,0.0,38.72,38.72,38.72,0.0,0.0,38.48,38.48,38.48,0.0,0.0,38.71,38.71,38.71,0.0,0.0
2016-07-24,38.94,38.94,38.94,0.0,0.0,39.25,39.25,39.25,0.0,0.0,38.94,38.94,38.94,0.0,0.0,39.2,39.2,39.2,0.0,0.0
2016-07-31,39.59,39.59,39.59,0.0,0.0,40.13,40.13,40.13,0.0,0.0,39.59,39.59,39.59,0.0,0.0,40.1,40.1,40.1,0.0,0.0
2016-08-07,39.85,39.85,39.85,0.0,0.0,39.98,39.98,39.98,0.0,0.0,39.69,39.69,39.69,0.0,0.0,39.98,39.98,39.98,0.0,0.0
2016-08-14,40.58,40.58,40.58,0.0,0.0,40.78,40.78,40.78,0.0,0.0,40.53,40.53,40.53,0.0,0.0,40.76,40.76,40.76,0.0,0.0
2016-08-21,41.07,41.07,41.07,0.0,0.0,41.07,41.07,41.07,0.0,0.0,40.89,40.89,40.89,0.0,0.0,40.94,40.94,40.94,0.0,0.0
2016-08-28,41.69,41.69,41.69,0.0,0.0,41.84,41.84,41.84,0.0,0.0,41.52,41.52,41.52,0.0,0.0,41.84,41.84,41.84,0.0,0.0
2016-09-04,41.61,41.61,41.61,0.0,0.0,41.82,41.82,41.82,0.0,0.0,41.37,41.37,41.37,0.0,0.0,41.37,41.37,41.37,0.0,0.0
2016-09-11,41.71,41.71,41.71,0.0,0.0,41.74,41.74,41.74,0.0,0.0,41.41,41.41,41.41,0.0,0.0,41.54,41.54,41.54,0.0,0.0
2016-09-18,42.15,42.15,42.15,0.0,0.0,42.22,42.22,42.22,0.0,0.0,41.83,41.83,41.83,0.0,0.0,41.85,41.85,41.85,0.0,0.0
2016-09-25,40.97,40.97,40.97,0.0,0.0,41.6,41.6,41.6,0.0,0.0,40.97,40.97,40.97,0.0,0.0,41.6,41.6,41.6,0.0,0.0
2016-10-02,42.08,42.08,42.08,0.0,0.0,42.08,42.08,42.08,0.0,0.0,41.73,41.73,41.73,0.0,0.0,42.05,42.05,42.05,0.0,0.0
2016-10-09,41.67,41.67,41.67,0.0,0.0,41.75,41.75,41.75,0.0,0.0,41.44,41.44,41.44,0.0,0.0,41.67,41.67,41.67,0.0,0.0
2016-10-16,41.42,41.42,41.42,0.0,0.0,41.88,41.88,41.88,0.0,0.0,41.35,41.35,41.35,0.0,0.0,41.85,41.85,41.85,0.0,0.0
2016-10-23,41.72,41.72,41.72,0.0,0.0,41.83,41.83,41.83,0.0,0.0,41.19,41.19,41.19,0.0,0.0,41.47,41.47,41.47,0.0,0.0
2016-10-30,41.04,41.04,41.04,0.0,0.0,41.4,41.4,41.4,0.0,0.0,40.78,40.78,40.78,0.0,0.0,41.01,41.01,41.01,0.0,0.0
2016-11-06,45.41,45.41,45.41,0.0,0.0,46.2,46.2,46.2,0.0,0.0,45.41,45.41,45.41,0.0,0.0,46.14,46.14,46.14,0.0,0.0
2016-11-13,47.71,47.71,47.71,0.0,0.0,48.12,48.12,48.12,0.0,0.0,47.71,47.71,47.71,0.0,0.0,47.94,47.94,47.94,0.0,0.0
2016-11-20,48.59,48.59,48.59,0.0,0.0,48.59,48.59,48.59,0.0,0.0,48.35,48.35,48.35,0.0,0.0,48.51,48.51,48.51,0.0,0.0
2016-11-27,49.43,49.43,49.43,0.0,0.0,49.43,49.43,49.43,0.0,0.0,48.89,48.89,48.89,0.0,0.0,49.08,49.08,49.08,0.0,0.0
2016-12-04,51.19,51.19,51.19,0.0,0.0,51.19,51.19,51.19,0.0,0.0,50.84,50.84,50.84,0.0,0.0,51.09,51.09,51.09,0.0,0.0
2016-12-11,50.95,50.95,50.95,0.0,0.0,51.01,51.01,51.01,0.0,0.0,50.25,50.25,50.25,0.0,0.0,50.31,50.31,50.31,0.0,0.0
2016-12-18,50.06,50.06,50.06,0.0,0.0,50.3,50.3,50.3,0.0,0.0,49.93,49.93,49.93,0.0,0.0,50.26,50.26,50.26,0.0,0.0
2016-12-25,49.56,49.56,49.56,0.0,0.0,49.58,49.58,49.58,0.0,0.0,49.33,49.33,49.33,0.0,0.0,49.48,49.48,49.48,0.0,0.0
2017-01-01,50.87,50.87,50.87,0.0,0.0,51.31,51.31,51.31,0.0,0.0,50.7,50.7,50.7,0.0,0.0,51.15,51.15,51.15,0.0,0.0
2017-01-08,50.99,50.99,50.99,0.0,0.0,51.51,51.51,51.51,0.0,0.0,50.96,50.96,50.96,0.0,0.0,51.04,51.04,51.04,0.0,0.0
2017-01-15,50.24,50.24,50.24,0.0,0.0,50.36,50.36,50.36,0.0,0.0,50.02,50.02,50.02,0.0,0.0,50.28,50.28,50.28,0.0,0.0
2017-01-22,52.04,52.04,52.04,0.0,0.0,52.04,52.04,52.04,0.0,0.0,51.72,51.72,51.72,0.0,0.0,51.83,51.83,51.83,0.0,0.0
2017-01-29,51.52,51.52,51.52,0.0,0.0,52.09,52.09,52.09,0.0,0.0,51.52,51.52,51.52,0.0,0.0,51.98,51.98,51.98,0.0,0.0
