Date,CHOPFStock_Open_average,CHOPFStock_Open_max,CHOPFStock_Open_min,CHOPFStock_Open_volatility,CHOPFStock_Open_change,CHOPFStock_High_average,CHOPFStock_High_max,CHOPFStock_High_min,CHOPFStock_High_volatility,CHOPFStock_High_change,CHOPFStock_Low_average,CHOPFStock_Low_max,CHOPFStock_Low_min,CHOPFStock_Low_volatility,CHOPFStock_Low_change,CHOPFStock_Close_average,CHOPFStock_Close_max,CHOPFStock_Close_min,CHOPFStock_Close_volatility,CHOPFStock_Close_change,CHOPFStock_Volume_average,CHOPFStock_Volume_max,CHOPFStock_Volume_min,CHOPFStock_Volume_volatility,CHOPFStock_Volume_change
2016-01-03,0.1375,0.15,0.13,0.01999999999999999,0.0,0.1715,0.2,0.14,0.06,-0.03,0.1375,0.15,0.13,0.01999999999999999,0.0,0.15250000000000002,0.17,0.13,0.04000000000000001,0.04000000000000001,5640,14750,1700,13050,-1848
2016-01-10,0.16974999999999998,0.22899999999999998,0.15,0.07899999999999999,0.0,0.19475,0.22899999999999998,0.15,0.07899999999999999,0.05000000000000002,0.16974999999999998,0.22899999999999998,0.15,0.07899999999999999,0.0,0.19475,0.22899999999999998,0.15,0.07899999999999999,0.05000000000000002,3769,10347,200,10147,570
2016-01-17,0.15666666666666668,0.16,0.15,0.010000000000000009,0.010000000000000009,0.16,0.16,0.16,0.0,0.0,0.15,0.15,0.15,0.0,0.0,0.15,0.15,0.15,0.0,0.0,7955,9610,5388,4222,-3481
2016-01-24,0.1446,0.17,0.121,0.049000000000000016,-0.028999999999999998,0.19360000000000002,0.2,0.168,0.032,0.032,0.1446,0.17,0.121,0.049000000000000016,-0.028999999999999998,0.192,0.2,0.16,0.04000000000000001,0.04000000000000001,4368,10847,300,10547,-10372
2016-01-31,0.15833333333333333,0.18,0.121,0.059,0.059,0.15833333333333333,0.18,0.121,0.059,0.059,0.13866666666666666,0.174,0.121,0.05299999999999999,0.0,0.15166666666666667,0.174,0.121,0.05299999999999999,0.03900000000000001,1276,1935,870,1065,1065
2016-02-07,0.124,0.13,0.121,0.009000000000000008,0.009000000000000008,0.16,0.16,0.16,0.0,0.0,0.124,0.13,0.121,0.009000000000000008,0.009000000000000008,0.15533333333333332,0.16,0.146,0.014000000000000012,-0.014000000000000012,9043,13524,1603,11921,1521
2016-02-14,0.0975,0.13,0.0,0.13,0.0,0.0975,0.13,0.0,0.13,0.0,0.0975,0.13,0.0,0.13,0.0,0.0975,0.13,0.0,0.13,0.0,396,780,0,780,-240
2016-02-21,0.13,0.13,0.13,0.0,0.0,0.13,0.13,0.13,0.0,0.0,0.13,0.13,0.13,0.0,0.0,0.13,0.13,0.13,0.0,0.0,1885,3350,420,2930,-2930
2016-02-28,0.1385,0.15,0.13,0.01999999999999999,-0.014000000000000012,0.14350000000000002,0.15,0.13,0.01999999999999999,-0.014000000000000012,0.1335,0.14400000000000002,0.13,0.014000000000000012,-0.014000000000000012,0.1385,0.15,0.13,0.01999999999999999,-0.014000000000000012,2975,10402,100,10302,-100
2016-03-06,0.1486,0.174,0.13,0.043999999999999984,0.034999999999999976,0.1726,0.19,0.139,0.05099999999999999,0.034999999999999976,0.1428,0.174,0.11,0.06399999999999999,0.043999999999999984,0.155,0.19,0.111,0.079,0.043999999999999984,2585,6500,422,6078,6078
2016-03-13,0.154,0.21,0.12,0.09,0.07799999999999999,0.20466666666666666,0.24,0.174,0.066,0.066,0.15,0.21,0.12,0.09,0.09,0.18466666666666667,0.24,0.14,0.09999999999999998,0.066,6866,12200,2700,9500,-9500
2016-03-20,0.188,0.23,0.142,0.08800000000000002,-0.07900000000000001,0.20024999999999998,0.23,0.142,0.08800000000000002,-0.03,0.14300000000000002,0.15,0.14,0.009999999999999981,-0.009999999999999981,0.158,0.2,0.14,0.06,0.05000000000000002,2038,3656,302,3354,-2697
