Date,iShares AsiaPacific DividendEtf_Open_average,iShares AsiaPacific DividendEtf_Open_max,iShares AsiaPacific DividendEtf_Open_min,iShares AsiaPacific DividendEtf_Open_volatility,iShares AsiaPacific DividendEtf_Open_change,iShares AsiaPacific DividendEtf_High_average,iShares AsiaPacific DividendEtf_High_max,iShares AsiaPacific DividendEtf_High_min,iShares AsiaPacific DividendEtf_High_volatility,iShares AsiaPacific DividendEtf_High_change,iShares AsiaPacific DividendEtf_Low_average,iShares AsiaPacific DividendEtf_Low_max,iShares AsiaPacific DividendEtf_Low_min,iShares AsiaPacific DividendEtf_Low_volatility,iShares AsiaPacific DividendEtf_Low_change,iShares AsiaPacific DividendEtf_Close_average,iShares AsiaPacific DividendEtf_Close_max,iShares AsiaPacific DividendEtf_Close_min,iShares AsiaPacific DividendEtf_Close_volatility,iShares AsiaPacific DividendEtf_Close_change
2016-01-03,36.19,36.19,36.19,0.0,0.0,36.19,36.19,36.19,0.0,0.0,35.98,35.98,35.98,0.0,0.0,35.98,35.98,35.98,0.0,0.0
2016-01-10,35.75,35.75,35.75,0.0,0.0,35.75,35.75,35.75,0.0,0.0,35.25,35.25,35.25,0.0,0.0,35.35,35.35,35.35,0.0,0.0
2016-01-17,36.52,36.52,36.52,0.0,0.0,36.52,36.52,36.52,0.0,0.0,36.05,36.05,36.05,0.0,0.0,36.19,36.19,36.19,0.0,0.0
2016-01-24,36.36,36.36,36.36,0.0,0.0,36.44,36.44,36.44,0.0,0.0,36.3,36.3,36.3,0.0,0.0,36.43,36.43,36.43,0.0,0.0
2016-01-31,36.56,36.56,36.56,0.0,0.0,36.56,36.56,36.56,0.0,0.0,36.3,36.3,36.3,0.0,0.0,36.3,36.3,36.3,0.0,0.0
2016-02-07,35.49,35.49,35.49,0.0,0.0,35.54,35.54,35.54,0.0,0.0,35.45,35.45,35.45,0.0,0.0,35.45,35.45,35.45,0.0,0.0
2016-02-14,36.95,36.95,36.95,0.0,0.0,37.49,37.49,37.49,0.0,0.0,36.95,36.95,36.95,0.0,0.0,37.49,37.49,37.49,0.0,0.0
2016-02-21,37.79,37.79,37.79,0.0,0.0,37.79,37.79,37.79,0.0,0.0,37.33,37.33,37.33,0.0,0.0,37.33,37.33,37.33,0.0,0.0
2016-02-28,41.13,41.13,41.13,0.0,0.0,41.53,41.53,41.53,0.0,0.0,41.13,41.13,41.13,0.0,0.0,41.34,41.34,41.34,0.0,0.0
2016-03-06,42.19,42.19,42.19,0.0,0.0,42.35,42.35,42.35,0.0,0.0,42.19,42.19,42.19,0.0,0.0,42.24,42.24,42.24,0.0,0.0
2016-03-13,42.86,42.86,42.86,0.0,0.0,42.86,42.86,42.86,0.0,0.0,42.82,42.82,42.82,0.0,0.0,42.83,42.83,42.83,0.0,0.0
2016-03-20,40.84,40.84,40.84,0.0,0.0,41.03,41.03,41.03,0.0,0.0,40.83,40.83,40.83,0.0,0.0,41.03,41.03,41.03,0.0,0.0
2016-03-27,40.38,40.38,40.38,0.0,0.0,40.66,40.66,40.66,0.0,0.0,40.38,40.38,40.38,0.0,0.0,40.65,40.65,40.65,0.0,0.0
2016-04-03,39.81,39.81,39.81,0.0,0.0,39.81,39.81,39.81,0.0,0.0,39.61,39.61,39.61,0.0,0.0,39.61,39.61,39.61,0.0,0.0
2016-04-10,42.49,42.49,42.49,0.0,0.0,42.49,42.49,42.49,0.0,0.0,42.46,42.46,42.46,0.0,0.0,42.49,42.49,42.49,0.0,0.0
2016-04-17,43.13,43.13,43.13,0.0,0.0,43.13,43.13,43.13,0.0,0.0,43.1,43.1,43.1,0.0,0.0,43.1,43.1,43.1,0.0,0.0
2016-04-24,43.02,43.02,43.02,0.0,0.0,43.16,43.16,43.16,0.0,0.0,42.81,42.81,42.81,0.0,0.0,43.01,43.01,43.01,0.0,0.0
2016-05-01,41.12,41.12,41.12,0.0,0.0,41.43,41.43,41.43,0.0,0.0,41.12,41.12,41.12,0.0,0.0,41.43,41.43,41.43,0.0,0.0
2016-05-08,40.78,40.78,40.78,0.0,0.0,40.78,40.78,40.78,0.0,0.0,40.58,40.58,40.58,0.0,0.0,40.58,40.58,40.58,0.0,0.0
2016-05-15,41.19,41.19,41.19,0.0,0.0,41.22,41.22,41.22,0.0,0.0,41.09,41.09,41.09,0.0,0.0,41.11,41.11,41.11,0.0,0.0
2016-05-22,41.91,41.91,41.91,0.0,0.0,41.95,41.95,41.95,0.0,0.0,41.71,41.71,41.71,0.0,0.0,41.72,41.72,41.72,0.0,0.0
2016-05-29,42.49,42.49,42.49,0.0,0.0,42.68,42.68,42.68,0.0,0.0,42.44,42.44,42.44,0.0,0.0,42.66,42.66,42.66,0.0,0.0
2016-06-05,42.93,42.93,42.93,0.0,0.0,42.93,42.93,42.93,0.0,0.0,42.51,42.51,42.51,0.0,0.0,42.68,42.68,42.68,0.0,0.0
2016-06-12,42.02,42.02,42.02,0.0,0.0,42.11,42.11,42.11,0.0,0.0,41.99,41.99,41.99,0.0,0.0,42.11,42.11,42.11,0.0,0.0
2016-06-19,41.42,41.42,41.42,0.0,0.0,42.33,42.33,42.33,0.0,0.0,41.42,41.42,41.42,0.0,0.0,41.51,41.51,41.51,0.0,0.0
2016-06-26,43.0,43.0,43.0,0.0,0.0,43.0,43.0,43.0,0.0,0.0,42.9,42.9,42.9,0.0,0.0,42.92,42.92,42.92,0.0,0.0
2016-07-03,43.42,43.42,43.42,0.0,0.0,43.84,43.84,43.84,0.0,0.0,43.42,43.42,43.42,0.0,0.0,43.84,43.84,43.84,0.0,0.0
2016-07-10,45.04,45.04,45.04,0.0,0.0,45.04,45.04,45.04,0.0,0.0,44.9,44.9,44.9,0.0,0.0,45.01,45.01,45.01,0.0,0.0
2016-07-17,45.21,45.21,45.21,0.0,0.0,45.38,45.38,45.38,0.0,0.0,45.21,45.21,45.21,0.0,0.0,45.37,45.37,45.37,0.0,0.0
2016-07-24,46.35,46.35,46.35,0.0,0.0,46.67,46.67,46.67,0.0,0.0,46.3,46.3,46.3,0.0,0.0,46.64,46.64,46.64,0.0,0.0
2016-07-31,46.83,46.83,46.83,0.0,0.0,46.87,46.87,46.87,0.0,0.0,46.63,46.63,46.63,0.0,0.0,46.86,46.86,46.86,0.0,0.0
2016-08-07,47.53,47.53,47.53,0.0,0.0,47.62,47.62,47.62,0.0,0.0,47.02,47.02,47.02,0.0,0.0,47.11,47.11,47.11,0.0,0.0
2016-08-14,47.86,47.86,47.86,0.0,0.0,48.03,48.03,48.03,0.0,0.0,47.78,47.78,47.78,0.0,0.0,47.98,47.98,47.98,0.0,0.0
2016-08-21,47.23,47.23,47.23,0.0,0.0,47.54,47.54,47.54,0.0,0.0,46.48,46.48,46.48,0.0,0.0,46.55,46.55,46.55,0.0,0.0
2016-08-28,46.41,46.41,46.41,0.0,0.0,46.42,46.42,46.42,0.0,0.0,46.26,46.26,46.26,0.0,0.0,46.38,46.38,46.38,0.0,0.0
2016-09-04,46.82,46.82,46.82,0.0,0.0,46.82,46.82,46.82,0.0,0.0,46.18,46.18,46.18,0.0,0.0,46.2,46.2,46.2,0.0,0.0
2016-09-11,45.38,45.38,45.38,0.0,0.0,45.65,45.65,45.65,0.0,0.0,45.33,45.33,45.33,0.0,0.0,45.64,45.64,45.64,0.0,0.0
2016-09-18,46.58,46.58,46.58,0.0,0.0,46.91,46.91,46.91,0.0,0.0,46.58,46.58,46.58,0.0,0.0,46.8,46.8,46.8,0.0,0.0
2016-09-25,46.44,46.44,46.44,0.0,0.0,46.6,46.6,46.6,0.0,0.0,46.44,46.44,46.44,0.0,0.0,46.48,46.48,46.48,0.0,0.0
2016-10-02,46.21,46.21,46.21,0.0,0.0,46.21,46.21,46.21,0.0,0.0,45.79,45.79,45.79,0.0,0.0,46.14,46.14,46.14,0.0,0.0
2016-10-09,46.09,46.09,46.09,0.0,0.0,46.2,46.2,46.2,0.0,0.0,45.57,45.57,45.57,0.0,0.0,45.68,45.68,45.68,0.0,0.0
2016-10-16,45.62,45.62,45.62,0.0,0.0,45.89,45.89,45.89,0.0,0.0,45.61,45.61,45.61,0.0,0.0,45.84,45.84,45.84,0.0,0.0
2016-10-23,45.26,45.26,45.26,0.0,0.0,45.49,45.49,45.49,0.0,0.0,45.2,45.2,45.2,0.0,0.0,45.38,45.38,45.38,0.0,0.0
2016-10-30,44.69,44.69,44.69,0.0,0.0,44.78,44.78,44.78,0.0,0.0,44.02,44.02,44.02,0.0,0.0,44.62,44.62,44.62,0.0,0.0
2016-11-06,44.56,44.56,44.56,0.0,0.0,44.77,44.77,44.77,0.0,0.0,44.42,44.42,44.42,0.0,0.0,44.6,44.6,44.6,0.0,0.0
2016-11-13,44.7,44.7,44.7,0.0,0.0,44.7,44.7,44.7,0.0,0.0,44.35,44.35,44.35,0.0,0.0,44.35,44.35,44.35,0.0,0.0
2016-11-20,45.95,45.95,45.95,0.0,0.0,45.95,45.95,45.95,0.0,0.0,45.83,45.83,45.83,0.0,0.0,45.9,45.9,45.9,0.0,0.0
2016-11-27,46.04,46.04,46.04,0.0,0.0,46.04,46.04,46.04,0.0,0.0,45.95,45.95,45.95,0.0,0.0,45.96,45.96,45.96,0.0,0.0
2016-12-04,46.79,46.79,46.79,0.0,0.0,46.83,46.83,46.83,0.0,0.0,46.58,46.58,46.58,0.0,0.0,46.77,46.77,46.77,0.0,0.0
2016-12-11,45.24,45.24,45.24,0.0,0.0,45.31,45.31,45.31,0.0,0.0,45.0,45.0,45.0,0.0,0.0,45.13,45.13,45.13,0.0,0.0
2016-12-18,44.84,44.84,44.84,0.0,0.0,44.84,44.84,44.84,0.0,0.0,44.22,44.22,44.22,0.0,0.0,44.72,44.72,44.72,0.0,0.0
2016-12-25,45.3,45.3,45.3,0.0,0.0,45.3,45.3,45.3,0.0,0.0,44.96,44.96,44.96,0.0,0.0,44.96,44.96,44.96,0.0,0.0
2017-01-01,46.63,46.63,46.63,0.0,0.0,46.63,46.63,46.63,0.0,0.0,46.47,46.47,46.47,0.0,0.0,46.51,46.51,46.51,0.0,0.0
2017-01-08,47.25,47.25,47.25,0.0,0.0,47.32,47.32,47.32,0.0,0.0,47.15,47.15,47.15,0.0,0.0,47.32,47.32,47.32,0.0,0.0
2017-01-15,46.98,46.98,46.98,0.0,0.0,47.13,47.13,47.13,0.0,0.0,46.96,46.96,46.96,0.0,0.0,47.13,47.13,47.13,0.0,0.0
2017-01-22,47.47,47.47,47.47,0.0,0.0,47.6,47.6,47.6,0.0,0.0,47.37,47.37,47.37,0.0,0.0,47.5,47.5,47.5,0.0,0.0
2017-01-29,47.69,47.69,47.69,0.0,0.0,47.72,47.72,47.72,0.0,0.0,47.62,47.62,47.62,0.0,0.0,47.62,47.62,47.62,0.0,0.0
