Date,Vanguard Total International StockEtf_Open_average,Vanguard Total International StockEtf_Open_max,Vanguard Total International StockEtf_Open_min,Vanguard Total International StockEtf_Open_volatility,Vanguard Total International StockEtf_Open_change,Vanguard Total International StockEtf_High_average,Vanguard Total International StockEtf_High_max,Vanguard Total International StockEtf_High_min,Vanguard Total International StockEtf_High_volatility,Vanguard Total International StockEtf_High_change,Vanguard Total International StockEtf_Low_average,Vanguard Total International StockEtf_Low_max,Vanguard Total International StockEtf_Low_min,Vanguard Total International StockEtf_Low_volatility,Vanguard Total International StockEtf_Low_change,Vanguard Total International StockEtf_Close_average,Vanguard Total International StockEtf_Close_max,Vanguard Total International StockEtf_Close_min,Vanguard Total International StockEtf_Close_volatility,Vanguard Total International StockEtf_Close_change
2016-01-03,42.92,42.92,42.92,0.0,0.0,42.92,42.92,42.92,0.0,0.0,42.03,42.03,42.03,0.0,0.0,42.1,42.1,42.1,0.0,0.0
2016-01-10,41.0,41.0,41.0,0.0,0.0,41.02,41.02,41.02,0.0,0.0,40.36,40.36,40.36,0.0,0.0,40.64,40.64,40.64,0.0,0.0
2016-01-17,41.49,41.49,41.49,0.0,0.0,41.69,41.69,41.69,0.0,0.0,41.34,41.34,41.34,0.0,0.0,41.66,41.66,41.66,0.0,0.0
2016-01-24,42.0,42.0,42.0,0.0,0.0,42.65,42.65,42.65,0.0,0.0,42.0,42.0,42.0,0.0,0.0,42.65,42.65,42.65,0.0,0.0
2016-01-31,42.07,42.07,42.07,0.0,0.0,42.08,42.08,42.08,0.0,0.0,41.47,41.47,41.47,0.0,0.0,41.66,41.66,41.66,0.0,0.0
2016-02-07,39.95,39.95,39.95,0.0,0.0,40.42,40.42,40.42,0.0,0.0,39.74,39.74,39.74,0.0,0.0,40.39,40.39,40.39,0.0,0.0
2016-02-14,41.47,41.47,41.47,0.0,0.0,41.72,41.72,41.72,0.0,0.0,41.34,41.34,41.34,0.0,0.0,41.7,41.7,41.7,0.0,0.0
2016-02-21,41.75,41.75,41.75,0.0,0.0,41.75,41.75,41.75,0.0,0.0,41.75,41.75,41.75,0.0,0.0,41.75,41.75,41.75,0.0,0.0
2016-02-28,43.94,43.94,43.94,0.0,0.0,44.3,44.3,44.3,0.0,0.0,43.85,43.85,43.85,0.0,0.0,44.11,44.11,44.11,0.0,0.0
2016-03-06,44.44,44.44,44.44,0.0,0.0,44.79,44.79,44.79,0.0,0.0,44.41,44.41,44.41,0.0,0.0,44.79,44.79,44.79,0.0,0.0
2016-03-13,45.06,45.06,45.06,0.0,0.0,45.13,45.13,45.13,0.0,0.0,44.89,44.89,44.89,0.0,0.0,44.93,44.93,44.93,0.0,0.0
2016-03-20,43.85,43.85,43.85,0.0,0.0,44.08,44.08,44.08,0.0,0.0,43.78,43.78,43.78,0.0,0.0,44.07,44.07,44.07,0.0,0.0
2016-03-27,44.02,44.02,44.02,0.0,0.0,44.53,44.53,44.53,0.0,0.0,43.95,43.95,43.95,0.0,0.0,44.47,44.47,44.47,0.0,0.0
2016-04-03,44.34,44.34,44.34,0.0,0.0,44.54,44.54,44.54,0.0,0.0,44.26,44.26,44.26,0.0,0.0,44.39,44.39,44.39,0.0,0.0
2016-04-10,45.78,45.78,45.78,0.0,0.0,45.84,45.84,45.84,0.0,0.0,45.68,45.68,45.68,0.0,0.0,45.72,45.72,45.72,0.0,0.0
2016-04-17,46.4,46.4,46.4,0.0,0.0,46.62,46.62,46.62,0.0,0.0,46.31,46.31,46.31,0.0,0.0,46.48,46.48,46.48,0.0,0.0
2016-04-24,46.09,46.09,46.09,0.0,0.0,46.14,46.14,46.14,0.0,0.0,45.66,45.66,45.66,0.0,0.0,45.89,45.89,45.89,0.0,0.0
2016-05-01,44.5,44.5,44.5,0.0,0.0,44.81,44.81,44.81,0.0,0.0,44.43,44.43,44.43,0.0,0.0,44.8,44.8,44.8,0.0,0.0
2016-05-08,44.61,44.61,44.61,0.0,0.0,44.76,44.76,44.76,0.0,0.0,44.32,44.32,44.32,0.0,0.0,44.38,44.38,44.38,0.0,0.0
2016-05-15,44.65,44.65,44.65,0.0,0.0,44.74,44.74,44.74,0.0,0.0,44.57,44.57,44.57,0.0,0.0,44.64,44.64,44.64,0.0,0.0
2016-05-22,45.54,45.54,45.54,0.0,0.0,45.66,45.66,45.66,0.0,0.0,45.48,45.48,45.48,0.0,0.0,45.56,45.56,45.56,0.0,0.0
2016-05-29,45.78,45.78,45.78,0.0,0.0,45.96,45.96,45.96,0.0,0.0,45.55,45.55,45.55,0.0,0.0,45.95,45.95,45.95,0.0,0.0
2016-06-05,45.43,45.43,45.43,0.0,0.0,45.46,45.46,45.46,0.0,0.0,44.87,44.87,44.87,0.0,0.0,44.99,44.99,44.99,0.0,0.0
2016-06-12,43.78,43.78,43.78,0.0,0.0,44.02,44.02,44.02,0.0,0.0,43.54,43.54,43.54,0.0,0.0,43.92,43.92,43.92,0.0,0.0
2016-06-19,42.98,42.98,42.98,0.0,0.0,43.87,43.87,43.87,0.0,0.0,42.82,42.82,42.82,0.0,0.0,42.82,42.82,42.82,0.0,0.0
2016-06-26,44.56,44.56,44.56,0.0,0.0,44.7,44.7,44.7,0.0,0.0,44.52,44.52,44.52,0.0,0.0,44.6,44.6,44.6,0.0,0.0
2016-07-03,44.06,44.06,44.06,0.0,0.0,44.34,44.34,44.34,0.0,0.0,44.01,44.01,44.01,0.0,0.0,44.31,44.31,44.31,0.0,0.0
2016-07-10,45.8,45.8,45.8,0.0,0.0,45.8,45.8,45.8,0.0,0.0,45.57,45.57,45.57,0.0,0.0,45.66,45.66,45.66,0.0,0.0
2016-07-17,45.82,45.82,45.82,0.0,0.0,45.82,45.82,45.82,0.0,0.0,45.67,45.67,45.67,0.0,0.0,45.79,45.79,45.79,0.0,0.0
2016-07-24,46.28,46.28,46.28,0.0,0.0,46.54,46.54,46.54,0.0,0.0,46.18,46.18,46.18,0.0,0.0,46.49,46.49,46.49,0.0,0.0
2016-07-31,46.23,46.23,46.23,0.0,0.0,46.5,46.5,46.5,0.0,0.0,46.22,46.22,46.22,0.0,0.0,46.47,46.47,46.47,0.0,0.0
2016-08-07,47.49,47.49,47.49,0.0,0.0,47.53,47.53,47.53,0.0,0.0,47.27,47.27,47.27,0.0,0.0,47.3,47.3,47.3,0.0,0.0
2016-08-14,47.28,47.28,47.28,0.0,0.0,47.37,47.37,47.37,0.0,0.0,47.05,47.05,47.05,0.0,0.0,47.35,47.35,47.35,0.0,0.0
2016-08-21,47.31,47.31,47.31,0.0,0.0,47.7,47.7,47.7,0.0,0.0,46.67,46.67,46.67,0.0,0.0,46.89,46.89,46.89,0.0,0.0
2016-08-28,47.49,47.49,47.49,0.0,0.0,47.6,47.6,47.6,0.0,0.0,47.33,47.33,47.33,0.0,0.0,47.54,47.54,47.54,0.0,0.0
