Date,PowerShares Preferred PortfolioEtf_Open_average,PowerShares Preferred PortfolioEtf_Open_max,PowerShares Preferred PortfolioEtf_Open_min,PowerShares Preferred PortfolioEtf_Open_volatility,PowerShares Preferred PortfolioEtf_Open_change,PowerShares Preferred PortfolioEtf_High_average,PowerShares Preferred PortfolioEtf_High_max,PowerShares Preferred PortfolioEtf_High_min,PowerShares Preferred PortfolioEtf_High_volatility,PowerShares Preferred PortfolioEtf_High_change,PowerShares Preferred PortfolioEtf_Low_average,PowerShares Preferred PortfolioEtf_Low_max,PowerShares Preferred PortfolioEtf_Low_min,PowerShares Preferred PortfolioEtf_Low_volatility,PowerShares Preferred PortfolioEtf_Low_change,PowerShares Preferred PortfolioEtf_Close_average,PowerShares Preferred PortfolioEtf_Close_max,PowerShares Preferred PortfolioEtf_Close_min,PowerShares Preferred PortfolioEtf_Close_volatility,PowerShares Preferred PortfolioEtf_Close_change
2016-01-03,14.95,14.95,14.95,0.0,0.0,15.0,15.0,15.0,0.0,0.0,14.94,14.94,14.94,0.0,0.0,14.98,14.98,14.98,0.0,0.0
2016-01-10,14.8,14.8,14.8,0.0,0.0,14.8,14.8,14.8,0.0,0.0,14.66,14.66,14.66,0.0,0.0,14.74,14.74,14.74,0.0,0.0
2016-01-17,14.81,14.81,14.81,0.0,0.0,14.84,14.84,14.84,0.0,0.0,14.7,14.7,14.7,0.0,0.0,14.74,14.74,14.74,0.0,0.0
2016-01-24,14.77,14.77,14.77,0.0,0.0,14.83,14.83,14.83,0.0,0.0,14.75,14.75,14.75,0.0,0.0,14.82,14.82,14.82,0.0,0.0
2016-01-31,14.75,14.75,14.75,0.0,0.0,14.76,14.76,14.76,0.0,0.0,14.69,14.69,14.69,0.0,0.0,14.7,14.7,14.7,0.0,0.0
2016-02-07,14.17,14.17,14.17,0.0,0.0,14.2,14.2,14.2,0.0,0.0,14.08,14.08,14.08,0.0,0.0,14.13,14.13,14.13,0.0,0.0
2016-02-14,14.55,14.55,14.55,0.0,0.0,14.6,14.6,14.6,0.0,0.0,14.51,14.51,14.51,0.0,0.0,14.6,14.6,14.6,0.0,0.0
2016-02-21,14.71,14.71,14.71,0.0,0.0,14.73,14.73,14.73,0.0,0.0,14.66,14.66,14.66,0.0,0.0,14.68,14.68,14.68,0.0,0.0
2016-02-28,14.7,14.7,14.7,0.0,0.0,14.73,14.73,14.73,0.0,0.0,14.67,14.67,14.67,0.0,0.0,14.71,14.71,14.71,0.0,0.0
2016-03-06,14.79,14.79,14.79,0.0,0.0,14.82,14.82,14.82,0.0,0.0,14.77,14.77,14.77,0.0,0.0,14.8,14.8,14.8,0.0,0.0
2016-03-13,14.77,14.77,14.77,0.0,0.0,14.79,14.79,14.79,0.0,0.0,14.75,14.75,14.75,0.0,0.0,14.79,14.79,14.79,0.0,0.0
2016-03-20,14.77,14.77,14.77,0.0,0.0,14.84,14.84,14.84,0.0,0.0,14.76,14.76,14.76,0.0,0.0,14.84,14.84,14.84,0.0,0.0
2016-03-27,14.89,14.89,14.89,0.0,0.0,14.9,14.9,14.9,0.0,0.0,14.72,14.72,14.72,0.0,0.0,14.75,14.75,14.75,0.0,0.0
2016-04-03,14.77,14.77,14.77,0.0,0.0,14.81,14.81,14.81,0.0,0.0,14.74,14.74,14.74,0.0,0.0,14.81,14.81,14.81,0.0,0.0
2016-04-10,14.84,14.84,14.84,0.0,0.0,14.87,14.87,14.87,0.0,0.0,14.8,14.8,14.8,0.0,0.0,14.81,14.81,14.81,0.0,0.0
2016-04-17,14.9,14.9,14.9,0.0,0.0,14.9,14.9,14.9,0.0,0.0,14.88,14.88,14.88,0.0,0.0,14.9,14.9,14.9,0.0,0.0
2016-04-24,14.95,14.95,14.95,0.0,0.0,14.98,14.98,14.98,0.0,0.0,14.93,14.93,14.93,0.0,0.0,14.98,14.98,14.98,0.0,0.0
2016-05-01,15.03,15.03,15.03,0.0,0.0,15.06,15.06,15.06,0.0,0.0,15.01,15.01,15.01,0.0,0.0,15.06,15.06,15.06,0.0,0.0
2016-05-08,15.02,15.02,15.02,0.0,0.0,15.03,15.03,15.03,0.0,0.0,15.0,15.0,15.0,0.0,0.0,15.02,15.02,15.02,0.0,0.0
2016-05-15,15.01,15.01,15.01,0.0,0.0,15.04,15.04,15.04,0.0,0.0,14.99,14.99,14.99,0.0,0.0,15.04,15.04,15.04,0.0,0.0
2016-05-22,15.09,15.09,15.09,0.0,0.0,15.1,15.1,15.1,0.0,0.0,15.08,15.08,15.08,0.0,0.0,15.1,15.1,15.1,0.0,0.0
2016-05-29,15.14,15.14,15.14,0.0,0.0,15.2,15.2,15.2,0.0,0.0,15.12,15.12,15.12,0.0,0.0,15.19,15.19,15.19,0.0,0.0
2016-06-05,15.15,15.15,15.15,0.0,0.0,15.17,15.17,15.17,0.0,0.0,15.12,15.12,15.12,0.0,0.0,15.14,15.14,15.14,0.0,0.0
2016-06-12,15.04,15.04,15.04,0.0,0.0,15.09,15.09,15.09,0.0,0.0,15.02,15.02,15.02,0.0,0.0,15.08,15.08,15.08,0.0,0.0
2016-06-19,14.9,14.9,14.9,0.0,0.0,15.11,15.11,15.11,0.0,0.0,14.82,14.82,14.82,0.0,0.0,15.08,15.08,15.08,0.0,0.0
2016-06-26,15.25,15.25,15.25,0.0,0.0,15.3,15.3,15.3,0.0,0.0,15.21,15.21,15.21,0.0,0.0,15.24,15.24,15.24,0.0,0.0
2016-07-03,15.27,15.27,15.27,0.0,0.0,15.3,15.3,15.3,0.0,0.0,15.24,15.24,15.24,0.0,0.0,15.29,15.29,15.29,0.0,0.0
2016-07-10,15.25,15.25,15.25,0.0,0.0,15.28,15.28,15.28,0.0,0.0,15.23,15.23,15.23,0.0,0.0,15.24,15.24,15.24,0.0,0.0
2016-07-17,15.29,15.29,15.29,0.0,0.0,15.3,15.3,15.3,0.0,0.0,15.26,15.26,15.26,0.0,0.0,15.29,15.29,15.29,0.0,0.0
2016-07-24,15.33,15.33,15.33,0.0,0.0,15.37,15.37,15.37,0.0,0.0,15.31,15.31,15.31,0.0,0.0,15.37,15.37,15.37,0.0,0.0
2016-07-31,15.37,15.37,15.37,0.0,0.0,15.4,15.4,15.4,0.0,0.0,15.35,15.35,15.35,0.0,0.0,15.4,15.4,15.4,0.0,0.0
2016-08-07,15.42,15.42,15.42,0.0,0.0,15.44,15.44,15.44,0.0,0.0,15.37,15.37,15.37,0.0,0.0,15.41,15.41,15.41,0.0,0.0
2016-08-14,15.33,15.33,15.33,0.0,0.0,15.34,15.34,15.34,0.0,0.0,15.28,15.28,15.28,0.0,0.0,15.3,15.3,15.3,0.0,0.0
2016-08-21,15.34,15.34,15.34,0.0,0.0,15.35,15.35,15.35,0.0,0.0,15.32,15.32,15.32,0.0,0.0,15.34,15.34,15.34,0.0,0.0
2016-08-28,15.39,15.39,15.39,0.0,0.0,15.41,15.41,15.41,0.0,0.0,15.37,15.37,15.37,0.0,0.0,15.41,15.41,15.41,0.0,0.0
2016-09-04,15.4,15.4,15.4,0.0,0.0,15.4,15.4,15.4,0.0,0.0,15.21,15.21,15.21,0.0,0.0,15.25,15.25,15.25,0.0,0.0
2016-09-11,15.15,15.15,15.15,0.0,0.0,15.15,15.15,15.15,0.0,0.0,15.04,15.04,15.04,0.0,0.0,15.09,15.09,15.09,0.0,0.0
2016-09-18,15.26,15.26,15.26,0.0,0.0,15.29,15.29,15.29,0.0,0.0,15.23,15.23,15.23,0.0,0.0,15.28,15.28,15.28,0.0,0.0
2016-09-25,15.13,15.13,15.13,0.0,0.0,15.17,15.17,15.17,0.0,0.0,15.07,15.07,15.07,0.0,0.0,15.13,15.13,15.13,0.0,0.0
2016-10-02,15.13,15.13,15.13,0.0,0.0,15.13,15.13,15.13,0.0,0.0,15.07,15.07,15.07,0.0,0.0,15.09,15.09,15.09,0.0,0.0
2016-10-09,14.91,14.91,14.91,0.0,0.0,14.96,14.96,14.96,0.0,0.0,14.9,14.9,14.9,0.0,0.0,14.93,14.93,14.93,0.0,0.0
2016-10-16,15.02,15.02,15.02,0.0,0.0,15.08,15.08,15.08,0.0,0.0,15.01,15.01,15.01,0.0,0.0,15.07,15.07,15.07,0.0,0.0
2016-10-23,15.07,15.07,15.07,0.0,0.0,15.08,15.08,15.08,0.0,0.0,15.01,15.01,15.01,0.0,0.0,15.02,15.02,15.02,0.0,0.0
2016-10-30,14.76,14.76,14.76,0.0,0.0,14.82,14.82,14.82,0.0,0.0,14.75,14.75,14.75,0.0,0.0,14.81,14.81,14.81,0.0,0.0
2016-11-06,14.36,14.36,14.36,0.0,0.0,14.38,14.38,14.38,0.0,0.0,14.26,14.26,14.26,0.0,0.0,14.35,14.35,14.35,0.0,0.0
2016-11-13,14.35,14.35,14.35,0.0,0.0,14.39,14.39,14.39,0.0,0.0,14.22,14.22,14.22,0.0,0.0,14.22,14.22,14.22,0.0,0.0
2016-11-20,14.36,14.36,14.36,0.0,0.0,14.42,14.42,14.42,0.0,0.0,14.36,14.36,14.36,0.0,0.0,14.36,14.36,14.36,0.0,0.0
2016-11-27,14.18,14.18,14.18,0.0,0.0,14.23,14.23,14.23,0.0,0.0,14.16,14.16,14.16,0.0,0.0,14.18,14.18,14.18,0.0,0.0
2016-12-04,14.2,14.2,14.2,0.0,0.0,14.24,14.24,14.24,0.0,0.0,14.18,14.18,14.18,0.0,0.0,14.19,14.19,14.19,0.0,0.0
2016-12-11,14.06,14.06,14.06,0.0,0.0,14.1,14.1,14.1,0.0,0.0,14.04,14.04,14.04,0.0,0.0,14.06,14.06,14.06,0.0,0.0
2016-12-18,14.25,14.25,14.25,0.0,0.0,14.28,14.28,14.28,0.0,0.0,14.23,14.23,14.23,0.0,0.0,14.25,14.25,14.25,0.0,0.0
2016-12-25,14.24,14.24,14.24,0.0,0.0,14.26,14.26,14.26,0.0,0.0,14.21,14.21,14.21,0.0,0.0,14.23,14.23,14.23,0.0,0.0
2017-01-01,14.5,14.5,14.5,0.0,0.0,14.55,14.55,14.55,0.0,0.0,14.47,14.47,14.47,0.0,0.0,14.51,14.51,14.51,0.0,0.0
2017-01-08,14.56,14.56,14.56,0.0,0.0,14.58,14.58,14.58,0.0,0.0,14.51,14.51,14.51,0.0,0.0,14.55,14.55,14.55,0.0,0.0
2017-01-15,14.37,14.37,14.37,0.0,0.0,14.45,14.45,14.45,0.0,0.0,14.34,14.34,14.34,0.0,0.0,14.43,14.43,14.43,0.0,0.0
2017-01-22,14.53,14.53,14.53,0.0,0.0,14.56,14.56,14.56,0.0,0.0,14.52,14.52,14.52,0.0,0.0,14.54,14.54,14.54,0.0,0.0
2017-01-29,14.61,14.61,14.61,0.0,0.0,14.69,14.69,14.69,0.0,0.0,14.61,14.61,14.61,0.0,0.0,14.63,14.63,14.63,0.0,0.0
2017-02-05,14.76,14.76,14.76,0.0,0.0,14.77,14.77,14.77,0.0,0.0,14.7,14.7,14.7,0.0,0.0,14.75,14.75,14.75,0.0,0.0
2017-02-12,14.71,14.71,14.71,0.0,0.0,14.72,14.72,14.72,0.0,0.0,14.66,14.66,14.66,0.0,0.0,14.66,14.66,14.66,0.0,0.0
2017-02-19,14.77,14.77,14.77,0.0,0.0,14.79,14.79,14.79,0.0,0.0,14.75,14.75,14.75,0.0,0.0,14.78,14.78,14.78,0.0,0.0
2017-02-26,14.71,14.71,14.71,0.0,0.0,14.75,14.75,14.75,0.0,0.0,14.7,14.7,14.7,0.0,0.0,14.74,14.74,14.74,0.0,0.0
2017-03-05,14.54,14.54,14.54,0.0,0.0,14.58,14.58,14.58,0.0,0.0,14.5,14.5,14.5,0.0,0.0,14.55,14.55,14.55,0.0,0.0
2017-03-12,14.69,14.69,14.69,0.0,0.0,14.71,14.71,14.71,0.0,0.0,14.67,14.67,14.67,0.0,0.0,14.69,14.69,14.69,0.0,0.0
2017-03-19,14.76,14.76,14.76,0.0,0.0,14.77,14.77,14.77,0.0,0.0,14.73,14.73,14.73,0.0,0.0,14.74,14.74,14.74,0.0,0.0
