Date,iShares US Telecommunications_etf_Open_average,iShares US Telecommunications_etf_Open_max,iShares US Telecommunications_etf_Open_min,iShares US Telecommunications_etf_Open_volatility,iShares US Telecommunications_etf_Open_change,iShares US Telecommunications_etf_High_average,iShares US Telecommunications_etf_High_max,iShares US Telecommunications_etf_High_min,iShares US Telecommunications_etf_High_volatility,iShares US Telecommunications_etf_High_change,iShares US Telecommunications_etf_Low_average,iShares US Telecommunications_etf_Low_max,iShares US Telecommunications_etf_Low_min,iShares US Telecommunications_etf_Low_volatility,iShares US Telecommunications_etf_Low_change,iShares US Telecommunications_etf_Close_average,iShares US Telecommunications_etf_Close_max,iShares US Telecommunications_etf_Close_min,iShares US Telecommunications_etf_Close_volatility,iShares US Telecommunications_etf_Close_change
2016-01-03,27.62,27.62,27.62,0.0,0.0,27.87,27.87,27.87,0.0,0.0,27.15,27.15,27.15,0.0,0.0,27.19,27.19,27.19,0.0,0.0
2016-01-10,26.15,26.15,26.15,0.0,0.0,26.44,26.44,26.44,0.0,0.0,25.7,25.7,25.7,0.0,0.0,26.04,26.04,26.04,0.0,0.0
2016-01-17,26.01,26.01,26.01,0.0,0.0,26.71,26.71,26.71,0.0,0.0,26.01,26.01,26.01,0.0,0.0,26.68,26.68,26.68,0.0,0.0
2016-01-24,27.28,27.28,27.28,0.0,0.0,27.81,27.81,27.81,0.0,0.0,27.28,27.28,27.28,0.0,0.0,27.79,27.79,27.79,0.0,0.0
2016-01-31,27.83,27.83,27.83,0.0,0.0,28.01,28.01,28.01,0.0,0.0,27.3,27.3,27.3,0.0,0.0,27.31,27.31,27.31,0.0,0.0
2016-02-07,26.71,26.71,26.71,0.0,0.0,27.09,27.09,27.09,0.0,0.0,26.49,26.49,26.49,0.0,0.0,26.94,26.94,26.94,0.0,0.0
2016-02-14,27.81,27.81,27.81,0.0,0.0,27.9,27.9,27.9,0.0,0.0,27.44,27.44,27.44,0.0,0.0,27.63,27.63,27.63,0.0,0.0
2016-02-21,28.98,28.98,28.98,0.0,0.0,29.19,29.19,29.19,0.0,0.0,28.62,28.62,28.62,0.0,0.0,29.16,29.16,29.16,0.0,0.0
2016-02-28,30.31,30.31,30.31,0.0,0.0,30.64,30.64,30.64,0.0,0.0,30.05,30.05,30.05,0.0,0.0,30.19,30.19,30.19,0.0,0.0
2016-03-06,30.08,30.08,30.08,0.0,0.0,30.15,30.15,30.15,0.0,0.0,29.88,29.88,29.88,0.0,0.0,30.12,30.12,30.12,0.0,0.0
