Date,MCF_stock_Open_average,MCF_stock_Open_max,MCF_stock_Open_min,MCF_stock_Open_volatility,MCF_stock_Open_change,MCF_stock_High_average,MCF_stock_High_max,MCF_stock_High_min,MCF_stock_High_volatility,MCF_stock_High_change,MCF_stock_Low_average,MCF_stock_Low_max,MCF_stock_Low_min,MCF_stock_Low_volatility,MCF_stock_Low_change,MCF_stock_Close_average,MCF_stock_Close_max,MCF_stock_Close_min,MCF_stock_Close_volatility,MCF_stock_Close_change,MCF_stock_Volume_average,MCF_stock_Volume_max,MCF_stock_Volume_min,MCF_stock_Volume_volatility,MCF_stock_Volume_change
2016-01-03,5.896,6.4,5.07,1.33,-1.33,5.926,6.5,5.07,1.4299999999999997,-1.4299999999999997,5.508,6.22,4.48,1.7399999999999993,-1.6199999999999992,5.606,6.4,4.5,1.9000000000000004,-1.9000000000000004,70722,257275,19889,237386,229760
2016-01-10,4.094,4.22,3.95,0.2699999999999996,-0.09999999999999964,4.2540000000000004,4.3,4.19,0.10999999999999943,-0.05999999999999961,3.89,3.96,3.69,0.27,-0.20999999999999996,4.13,4.19,4.05,0.14000000000000057,0.040000000000000036,39805,56315,31337,24978,-22030
2016-01-17,4.3125,4.9,3.87,1.0300000000000002,0.5500000000000007,4.532500000000001,4.9,4.23,0.6699999999999999,0.5500000000000007,4.1025,4.62,3.71,0.9100000000000001,0.6699999999999999,4.3525,4.77,4.03,0.7399999999999993,0.7399999999999993,46990,58633,31608,27025,-15505
2016-01-24,5.318,6.18,4.57,1.6099999999999994,1.33,5.798,6.65,4.86,1.79,1.79,5.194,6.08,4.51,1.5700000000000003,1.5700000000000003,5.564,6.41,4.51,1.9000000000000004,1.9000000000000004,48983,70851,35838,35013,23638
2016-01-31,6.006,6.44,5.72,0.7200000000000006,0.33000000000000007,6.19,6.5,5.83,0.6699999999999999,0.3200000000000003,5.824,6.12,5.55,0.5700000000000003,0.3700000000000001,6.0600000000000005,6.46,5.69,0.7699999999999996,0.1299999999999999,24163,37428,17132,20296,-13287
2016-02-07,5.794,6.15,5.55,0.6000000000000005,-0.35000000000000053,6.0600000000000005,6.34,5.69,0.6499999999999995,-0.41999999999999993,5.576,5.79,5.2,0.5899999999999999,-0.23000000000000043,5.838,6.21,5.57,0.6399999999999997,-0.40000000000000036,18771,27064,13361,13703,-6751
2016-02-14,5.89,6.35,5.6,0.75,-0.35000000000000053,6.0675,6.36,5.63,0.7300000000000004,-0.35000000000000053,5.4925,5.75,5.3,0.4500000000000002,-0.040000000000000036,5.77,6.26,5.44,0.8199999999999994,-0.14999999999999947,19449,27911,12941,14970,-7289
2016-02-21,5.494,5.92,5.01,0.9100000000000001,-0.29000000000000004,5.714,5.95,5.44,0.5099999999999998,-0.16000000000000014,5.274,5.68,5.01,0.6699999999999999,-0.33000000000000007,5.54,5.9,5.28,0.6200000000000001,-0.20999999999999996,15579,27040,8319,18721,-423
2016-02-28,6.382,7.1,5.85,1.25,1.25,6.918,7.94,6.08,1.8600000000000003,1.8600000000000003,6.212,6.99,5.61,1.38,1.38,6.666,7.35,6.03,1.3199999999999994,1.3199999999999994,38894,77338,18295,59043,21928
2016-03-06,8.008,8.7,7.65,1.049999999999999,0.9499999999999993,8.392,9.28,7.89,1.3899999999999997,1.2799999999999994,7.808,8.7,7.45,1.2499999999999991,1.2499999999999991,8.29,9.26,7.65,1.6099999999999994,1.2999999999999998,24075,38608,15534,23074,-6787
2016-03-13,9.662,10.98,8.99,1.9900000000000002,1.5600000000000005,10.25,11.66,9.17,2.49,2.08,9.322,10.5,8.51,1.9900000000000002,1.4900000000000002,10.064,11.47,9.14,2.33,2.3000000000000007,45526,147975,13705,134270,120683
