Date,Direxion Daily Junior Gold Miners Bear 3X Shares_etf_Open_average,Direxion Daily Junior Gold Miners Bear 3X Shares_etf_Open_max,Direxion Daily Junior Gold Miners Bear 3X Shares_etf_Open_min,Direxion Daily Junior Gold Miners Bear 3X Shares_etf_Open_volatility,Direxion Daily Junior Gold Miners Bear 3X Shares_etf_Open_change,Direxion Daily Junior Gold Miners Bear 3X Shares_etf_High_average,Direxion Daily Junior Gold Miners Bear 3X Shares_etf_High_max,Direxion Daily Junior Gold Miners Bear 3X Shares_etf_High_min,Direxion Daily Junior Gold Miners Bear 3X Shares_etf_High_volatility,Direxion Daily Junior Gold Miners Bear 3X Shares_etf_High_change,Direxion Daily Junior Gold Miners Bear 3X Shares_etf_Low_average,Direxion Daily Junior Gold Miners Bear 3X Shares_etf_Low_max,Direxion Daily Junior Gold Miners Bear 3X Shares_etf_Low_min,Direxion Daily Junior Gold Miners Bear 3X Shares_etf_Low_volatility,Direxion Daily Junior Gold Miners Bear 3X Shares_etf_Low_change,Direxion Daily Junior Gold Miners Bear 3X Shares_etf_Close_average,Direxion Daily Junior Gold Miners Bear 3X Shares_etf_Close_max,Direxion Daily Junior Gold Miners Bear 3X Shares_etf_Close_min,Direxion Daily Junior Gold Miners Bear 3X Shares_etf_Close_volatility,Direxion Daily Junior Gold Miners Bear 3X Shares_etf_Close_change
2016-01-03,126500.0,126500.0,126500.0,0.0,0.0,135100.0,135100.0,135100.0,0.0,0.0,124650.0,124650.0,124650.0,0.0,0.0,128250.0,128250.0,128250.0,0.0,0.0
2016-01-10,155000.0,155000.0,155000.0,0.0,0.0,177450.0,177450.0,177450.0,0.0,0.0,155000.0,155000.0,155000.0,0.0,0.0,174950.0,174950.0,174950.0,0.0,0.0
2016-01-17,192750.0,192750.0,192750.0,0.0,0.0,193250.0,193250.0,193250.0,0.0,0.0,172475.0,172475.0,172475.0,0.0,0.0,180500.0,180500.0,180500.0,0.0,0.0
2016-01-24,150150.0,150150.0,150150.0,0.0,0.0,153850.0,153850.0,153850.0,0.0,0.0,139650.0,139650.0,139650.0,0.0,0.0,141200.0,141200.0,141200.0,0.0,0.0
2016-01-31,110000.0,110000.0,110000.0,0.0,0.0,113699.5,113699.5,113699.5,0.0,0.0,90000.0,90000.0,90000.0,0.0,0.0,90150.0,90150.0,90150.0,0.0,0.0
2016-02-07,66800.0,66800.0,66800.0,0.0,0.0,67943.5,67943.5,67943.5,0.0,0.0,55500.0,55500.0,55500.0,0.0,0.0,55550.0,55550.0,55550.0,0.0,0.0
2016-02-14,48950.0,48950.0,48950.0,0.0,0.0,52079.0,52079.0,52079.0,0.0,0.0,48250.0,48250.0,48250.0,0.0,0.0,51200.0,51200.0,51200.0,0.0,0.0
2016-02-21,47950.0,47950.0,47950.0,0.0,0.0,50250.0,50250.0,50250.0,0.0,0.0,45412.0,45412.0,45412.0,0.0,0.0,49250.0,49250.0,49250.0,0.0,0.0
2016-02-28,35500.0,35500.0,35500.0,0.0,0.0,36545.0,36545.0,36545.0,0.0,0.0,29300.0,29300.0,29300.0,0.0,0.0,36300.0,36300.0,36300.0,0.0,0.0
2016-03-06,32500.0,32500.0,32500.0,0.0,0.0,34962.5,34962.5,34962.5,0.0,0.0,31100.0,31100.0,31100.0,0.0,0.0,34600.0,34600.0,34600.0,0.0,0.0
2016-03-13,30000.0,30000.0,30000.0,0.0,0.0,30249.5,30249.5,30249.5,0.0,0.0,27200.0,27200.0,27200.0,0.0,0.0,28500.0,28500.0,28500.0,0.0,0.0
2016-03-20,32200.0,32200.0,32200.0,0.0,0.0,33900.0,33900.0,33900.0,0.0,0.0,31150.0,31150.0,31150.0,0.0,0.0,32350.0,32350.0,32350.0,0.0,0.0
2016-03-27,31250.0,31250.0,31250.0,0.0,0.0,31550.0,31550.0,31550.0,0.0,0.0,26950.0,26950.0,26950.0,0.0,0.0,27300.0,27300.0,27300.0,0.0,0.0
2016-04-03,24500.0,24500.0,24500.0,0.0,0.0,24750.0,24750.0,24750.0,0.0,0.0,21300.0,21300.0,21300.0,0.0,0.0,21600.0,21600.0,21600.0,0.0,0.0
2016-04-10,18750.0,18750.0,18750.0,0.0,0.0,19399.5,19399.5,19399.5,0.0,0.0,16400.0,16400.0,16400.0,0.0,0.0,16600.0,16600.0,16600.0,0.0,0.0
2016-04-17,13500.0,13500.0,13500.0,0.0,0.0,14700.0,14700.0,14700.0,0.0,0.0,12500.0,12500.0,12500.0,0.0,0.0,14150.0,14150.0,14150.0,0.0,0.0
2016-04-24,10150.0,10150.0,10150.0,0.0,0.0,10250.0,10250.0,10250.0,0.0,0.0,8950.0,8950.0,8950.0,0.0,0.0,9000.0,9000.0,9000.0,0.0,0.0
2016-05-01,10100.0,10100.0,10100.0,0.0,0.0,10250.0,10250.0,10250.0,0.0,0.0,8750.0,8750.0,8750.0,0.0,0.0,9100.0,9100.0,9100.0,0.0,0.0
2016-05-08,9250.0,9250.0,9250.0,0.0,0.0,9500.0,9500.0,9500.0,0.0,0.0,8550.0,8550.0,8550.0,0.0,0.0,8950.0,8950.0,8950.0,0.0,0.0
