Date,EVC_stock_Open_average,EVC_stock_Open_max,EVC_stock_Open_min,EVC_stock_Open_volatility,EVC_stock_Open_change,EVC_stock_High_average,EVC_stock_High_max,EVC_stock_High_min,EVC_stock_High_volatility,EVC_stock_High_change,EVC_stock_Low_average,EVC_stock_Low_max,EVC_stock_Low_min,EVC_stock_Low_volatility,EVC_stock_Low_change,EVC_stock_Close_average,EVC_stock_Close_max,EVC_stock_Close_min,EVC_stock_Close_volatility,EVC_stock_Close_change,EVC_stock_Volume_average,EVC_stock_Volume_max,EVC_stock_Volume_min,EVC_stock_Volume_volatility,EVC_stock_Volume_change
2016-01-03,7.136,7.52,6.93,0.5899999999999999,-0.5899999999999999,7.262,7.57,7.08,0.4900000000000002,-0.4300000000000006,6.9959999999999996,7.2,6.87,0.33000000000000007,-0.33000000000000007,7.074,7.23,6.92,0.3100000000000005,-0.2600000000000007,525989,768785,294322,474463,-264332
2016-01-10,7.188,7.38,7.0,0.3799999999999999,0.11000000000000032,7.422,7.51,7.25,0.2599999999999998,-0.15000000000000036,7.054,7.15,7.0,0.15000000000000036,0.03000000000000025,7.234,7.34,7.09,0.25,-0.16999999999999993,461974,627857,331870,295987,-210703
2016-01-17,7.2749999999999995,7.6,6.92,0.6799999999999997,0.33000000000000007,7.52125,7.74,7.36,0.3799999999999999,0.3799999999999999,7.0874999999999995,7.52,6.84,0.6799999999999997,0.6299999999999999,7.3774999999999995,7.68,7.05,0.6299999999999999,0.6299999999999999,467490,562552,365784,196768,-43800
2016-01-24,7.4639999999999995,7.63,7.18,0.4500000000000002,-0.4500000000000002,7.574,7.71,7.43,0.28000000000000025,-0.2400000000000002,7.281,7.48,7.12,0.3600000000000003,-0.3600000000000003,7.412,7.58,7.18,0.40000000000000036,-0.04999999999999982,272333,344627,198924,145703,71560
2016-01-31,7.218,7.41,7.03,0.3799999999999999,-0.3799999999999999,7.2868,7.42,7.08,0.33999999999999986,-0.33999999999999986,7.004,7.22,6.63,0.5899999999999999,-0.5899999999999999,7.084,7.36,6.67,0.6900000000000004,-0.6900000000000004,336717,706545,200150,506395,425916
2016-02-07,6.626,6.82,6.4,0.41999999999999993,0.2600000000000007,6.8724,7.082000000000001,6.61,0.4720000000000004,0.45999999999999996,6.5085999999999995,6.683,6.33,0.35299999999999976,0.2530000000000001,6.752,7.05,6.53,0.5199999999999996,0.5199999999999996,545756,719412,410323,309089,-146079
2016-02-14,7.2675,7.39,7.13,0.2599999999999998,0.2599999999999998,7.45925,7.74,7.3,0.4400000000000004,0.4400000000000004,7.111,7.34,6.98,0.35999999999999943,0.2610000000000001,7.3875,7.64,7.19,0.4499999999999993,0.4499999999999993,498323,622379,409373,213006,213006
2016-02-21,7.62,7.77,7.44,0.3299999999999992,-0.23999999999999932,7.8646,8.203,7.75,0.4529999999999994,0.3829999999999991,7.4594,7.6,7.24,0.35999999999999943,-0.35999999999999943,7.668,7.76,7.56,0.20000000000000018,-0.040000000000000036,362729,573082,170875,402207,215427
2016-02-28,7.696,7.76,7.63,0.1299999999999999,0.08000000000000007,7.892,8.0,7.78,0.21999999999999975,0.08000000000000007,7.626,7.73,7.52,0.21000000000000085,0.16000000000000014,7.756,7.92,7.65,0.2699999999999996,0.20000000000000018,358290,438885,315542,123343,-123343
2016-03-06,7.77,7.85,7.71,0.13999999999999968,-0.09999999999999964,7.906,8.04,7.8,0.23999999999999932,-0.14999999999999947,7.6888,7.749,7.65,0.09899999999999931,0.07399999999999984,7.752,7.82,7.7,0.1200000000000001,0.03000000000000025,311845,451956,193628,258328,-258328
