Date,United States CopperEtf_Open_average,United States CopperEtf_Open_max,United States CopperEtf_Open_min,United States CopperEtf_Open_volatility,United States CopperEtf_Open_change,United States CopperEtf_High_average,United States CopperEtf_High_max,United States CopperEtf_High_min,United States CopperEtf_High_volatility,United States CopperEtf_High_change,United States CopperEtf_Low_average,United States CopperEtf_Low_max,United States CopperEtf_Low_min,United States CopperEtf_Low_volatility,United States CopperEtf_Low_change,United States CopperEtf_Close_average,United States CopperEtf_Close_max,United States CopperEtf_Close_min,United States CopperEtf_Close_volatility,United States CopperEtf_Close_change
2016-01-03,13.4,13.4,13.4,0.0,0.0,13.45,13.45,13.45,0.0,0.0,13.38,13.38,13.38,0.0,0.0,13.44,13.44,13.44,0.0,0.0
2016-01-10,12.97,12.97,12.97,0.0,0.0,12.97,12.97,12.97,0.0,0.0,12.97,12.97,12.97,0.0,0.0,12.97,12.97,12.97,0.0,0.0
2016-01-17,13.33,13.33,13.33,0.0,0.0,13.35,13.35,13.35,0.0,0.0,13.33,13.33,13.33,0.0,0.0,13.35,13.35,13.35,0.0,0.0
2016-01-24,13.72,13.72,13.72,0.0,0.0,13.72,13.72,13.72,0.0,0.0,13.62,13.62,13.62,0.0,0.0,13.62,13.62,13.62,0.0,0.0
2016-01-31,13.86,13.86,13.86,0.0,0.0,13.86,13.86,13.86,0.0,0.0,13.85,13.85,13.85,0.0,0.0,13.85,13.85,13.85,0.0,0.0
2016-02-07,13.8,13.8,13.8,0.0,0.0,13.8,13.8,13.8,0.0,0.0,13.49,13.49,13.49,0.0,0.0,13.49,13.49,13.49,0.0,0.0
2016-02-14,13.79,13.79,13.79,0.0,0.0,13.79,13.79,13.79,0.0,0.0,13.79,13.79,13.79,0.0,0.0,13.79,13.79,13.79,0.0,0.0
2016-02-21,14.3,14.3,14.3,0.0,0.0,14.3,14.3,14.3,0.0,0.0,13.98,13.98,13.98,0.0,0.0,14.1,14.1,14.1,0.0,0.0
2016-02-28,14.88,14.88,14.88,0.0,0.0,15.18,15.18,15.18,0.0,0.0,14.86,14.86,14.86,0.0,0.0,14.99,14.99,14.99,0.0,0.0
2016-03-06,14.95,14.95,14.95,0.0,0.0,14.96,14.96,14.96,0.0,0.0,14.91,14.91,14.91,0.0,0.0,14.91,14.91,14.91,0.0,0.0
2016-03-13,15.38,15.38,15.38,0.0,0.0,15.38,15.38,15.38,0.0,0.0,15.21,15.21,15.21,0.0,0.0,15.33,15.33,15.33,0.0,0.0
2016-03-20,14.8,14.8,14.8,0.0,0.0,14.81,14.81,14.81,0.0,0.0,14.8,14.8,14.8,0.0,0.0,14.8,14.8,14.8,0.0,0.0
2016-03-27,14.46,14.46,14.46,0.0,0.0,14.5,14.5,14.5,0.0,0.0,14.4,14.4,14.4,0.0,0.0,14.4,14.4,14.4,0.0,0.0
2016-04-03,13.87,13.87,13.87,0.0,0.0,13.87,13.87,13.87,0.0,0.0,13.87,13.87,13.87,0.0,0.0,13.87,13.87,13.87,0.0,0.0
2016-04-10,14.34,14.34,14.34,0.0,0.0,14.41,14.41,14.41,0.0,0.0,14.21,14.21,14.21,0.0,0.0,14.39,14.39,14.39,0.0,0.0
2016-04-17,15.12,15.12,15.12,0.0,0.0,15.22,15.22,15.22,0.0,0.0,14.99,14.99,14.99,0.0,0.0,15.01,15.01,15.01,0.0,0.0
2016-04-24,15.05,15.05,15.05,0.0,0.0,15.11,15.11,15.11,0.0,0.0,15.05,15.05,15.05,0.0,0.0,15.06,15.06,15.06,0.0,0.0
2016-05-01,14.15,14.15,14.15,0.0,0.0,14.22,14.22,14.22,0.0,0.0,14.15,14.15,14.15,0.0,0.0,14.22,14.22,14.22,0.0,0.0
2016-05-08,13.75,13.75,13.75,0.0,0.0,13.9,13.9,13.9,0.0,0.0,13.75,13.75,13.75,0.0,0.0,13.9,13.9,13.9,0.0,0.0
2016-05-15,13.7,13.7,13.7,0.0,0.0,13.7,13.7,13.7,0.0,0.0,13.61,13.61,13.61,0.0,0.0,13.61,13.61,13.61,0.0,0.0
2016-05-22,14.03,14.03,14.03,0.0,0.0,14.03,14.03,14.03,0.0,0.0,13.96,13.96,13.96,0.0,0.0,13.96,13.96,13.96,0.0,0.0
2016-05-29,13.97,13.97,13.97,0.0,0.0,14.04,14.04,14.04,0.0,0.0,13.97,13.97,13.97,0.0,0.0,13.99,13.99,13.99,0.0,0.0
2016-06-05,13.48,13.48,13.48,0.0,0.0,13.48,13.48,13.48,0.0,0.0,13.48,13.48,13.48,0.0,0.0,13.48,13.48,13.48,0.0,0.0
2016-06-12,13.65,13.65,13.65,0.0,0.0,13.65,13.65,13.65,0.0,0.0,13.65,13.65,13.65,0.0,0.0,13.65,13.65,13.65,0.0,0.0
2016-06-19,14.01,14.01,14.01,0.0,0.0,14.01,14.01,14.01,0.0,0.0,13.91,13.91,13.91,0.0,0.0,13.91,13.91,13.91,0.0,0.0
2016-06-26,14.5,14.5,14.5,0.0,0.0,14.74,14.74,14.74,0.0,0.0,14.5,14.5,14.5,0.0,0.0,14.74,14.74,14.74,0.0,0.0
2016-07-03,14.0,14.0,14.0,0.0,0.0,14.0,14.0,14.0,0.0,0.0,13.91,13.91,13.91,0.0,0.0,13.94,13.94,13.94,0.0,0.0
2016-07-10,14.88,14.88,14.88,0.0,0.0,15.03,15.03,15.03,0.0,0.0,14.83,14.83,14.83,0.0,0.0,15.03,15.03,15.03,0.0,0.0
2016-07-17,14.99,14.99,14.99,0.0,0.0,14.99,14.99,14.99,0.0,0.0,14.62,14.62,14.62,0.0,0.0,14.62,14.62,14.62,0.0,0.0
2016-07-24,14.64,14.64,14.64,0.0,0.0,14.75,14.75,14.75,0.0,0.0,14.6,14.6,14.6,0.0,0.0,14.61,14.61,14.61,0.0,0.0
2016-07-31,14.23,14.23,14.23,0.0,0.0,14.3,14.3,14.3,0.0,0.0,14.22,14.22,14.22,0.0,0.0,14.22,14.22,14.22,0.0,0.0
2016-08-07,14.2,14.2,14.2,0.0,0.0,14.2,14.2,14.2,0.0,0.0,14.04,14.04,14.04,0.0,0.0,14.04,14.04,14.04,0.0,0.0
2016-08-14,14.34,14.34,14.34,0.0,0.0,14.4,14.4,14.4,0.0,0.0,14.21,14.21,14.21,0.0,0.0,14.4,14.4,14.4,0.0,0.0
2016-08-21,13.64,13.64,13.64,0.0,0.0,13.81,13.81,13.81,0.0,0.0,13.64,13.64,13.64,0.0,0.0,13.65,13.65,13.65,0.0,0.0
