Date,UBS E-TRACS linked to DBloomberg Commodity Total REtf_Open_average,UBS E-TRACS linked to DBloomberg Commodity Total REtf_Open_max,UBS E-TRACS linked to DBloomberg Commodity Total REtf_Open_min,UBS E-TRACS linked to DBloomberg Commodity Total REtf_Open_volatility,UBS E-TRACS linked to DBloomberg Commodity Total REtf_Open_change,UBS E-TRACS linked to DBloomberg Commodity Total REtf_High_average,UBS E-TRACS linked to DBloomberg Commodity Total REtf_High_max,UBS E-TRACS linked to DBloomberg Commodity Total REtf_High_min,UBS E-TRACS linked to DBloomberg Commodity Total REtf_High_volatility,UBS E-TRACS linked to DBloomberg Commodity Total REtf_High_change,UBS E-TRACS linked to DBloomberg Commodity Total REtf_Low_average,UBS E-TRACS linked to DBloomberg Commodity Total REtf_Low_max,UBS E-TRACS linked to DBloomberg Commodity Total REtf_Low_min,UBS E-TRACS linked to DBloomberg Commodity Total REtf_Low_volatility,UBS E-TRACS linked to DBloomberg Commodity Total REtf_Low_change,UBS E-TRACS linked to DBloomberg Commodity Total REtf_Close_average,UBS E-TRACS linked to DBloomberg Commodity Total REtf_Close_max,UBS E-TRACS linked to DBloomberg Commodity Total REtf_Close_min,UBS E-TRACS linked to DBloomberg Commodity Total REtf_Close_volatility,UBS E-TRACS linked to DBloomberg Commodity Total REtf_Close_change
2016-01-03,13.85,13.85,13.85,0.0,0.0,13.85,13.85,13.85,0.0,0.0,13.83,13.83,13.83,0.0,0.0,13.83,13.83,13.83,0.0,0.0
2016-01-10,13.33,13.33,13.33,0.0,0.0,13.35,13.35,13.35,0.0,0.0,13.22,13.22,13.22,0.0,0.0,13.24,13.24,13.24,0.0,0.0
2016-01-17,13.57,13.57,13.57,0.0,0.0,13.62,13.62,13.62,0.0,0.0,13.51,13.51,13.51,0.0,0.0,13.57,13.57,13.57,0.0,0.0
2016-01-24,14.09,14.09,14.09,0.0,0.0,14.09,14.09,14.09,0.0,0.0,13.84,13.84,13.84,0.0,0.0,13.94,13.94,13.94,0.0,0.0
2016-01-31,13.73,13.73,13.73,0.0,0.0,13.74,13.74,13.74,0.0,0.0,13.64,13.64,13.64,0.0,0.0,13.67,13.67,13.67,0.0,0.0
2016-02-07,13.49,13.49,13.49,0.0,0.0,13.61,13.61,13.61,0.0,0.0,13.49,13.49,13.49,0.0,0.0,13.59,13.59,13.59,0.0,0.0
2016-02-14,13.59,13.59,13.59,0.0,0.0,13.59,13.59,13.59,0.0,0.0,13.56,13.56,13.56,0.0,0.0,13.58,13.58,13.58,0.0,0.0
2016-02-21,13.76,13.76,13.76,0.0,0.0,13.76,13.76,13.76,0.0,0.0,13.65,13.65,13.65,0.0,0.0,13.65,13.65,13.65,0.0,0.0
2016-02-28,14.13,14.13,14.13,0.0,0.0,14.15,14.15,14.15,0.0,0.0,14.12,14.12,14.12,0.0,0.0,14.15,14.15,14.15,0.0,0.0
2016-03-06,14.48,14.48,14.48,0.0,0.0,14.54,14.54,14.54,0.0,0.0,14.46,14.46,14.46,0.0,0.0,14.5,14.5,14.5,0.0,0.0
