Date,PowerShares International Dividend Achievers PortfEtf_Open_average,PowerShares International Dividend Achievers PortfEtf_Open_max,PowerShares International Dividend Achievers PortfEtf_Open_min,PowerShares International Dividend Achievers PortfEtf_Open_volatility,PowerShares International Dividend Achievers PortfEtf_Open_change,PowerShares International Dividend Achievers PortfEtf_High_average,PowerShares International Dividend Achievers PortfEtf_High_max,PowerShares International Dividend Achievers PortfEtf_High_min,PowerShares International Dividend Achievers PortfEtf_High_volatility,PowerShares International Dividend Achievers PortfEtf_High_change,PowerShares International Dividend Achievers PortfEtf_Low_average,PowerShares International Dividend Achievers PortfEtf_Low_max,PowerShares International Dividend Achievers PortfEtf_Low_min,PowerShares International Dividend Achievers PortfEtf_Low_volatility,PowerShares International Dividend Achievers PortfEtf_Low_change,PowerShares International Dividend Achievers PortfEtf_Close_average,PowerShares International Dividend Achievers PortfEtf_Close_max,PowerShares International Dividend Achievers PortfEtf_Close_min,PowerShares International Dividend Achievers PortfEtf_Close_volatility,PowerShares International Dividend Achievers PortfEtf_Close_change
2016-01-03,12.66,12.66,12.66,0.0,0.0,12.67,12.67,12.67,0.0,0.0,12.4,12.4,12.4,0.0,0.0,12.41,12.41,12.41,0.0,0.0
2016-01-10,11.9,11.9,11.9,0.0,0.0,11.9,11.9,11.9,0.0,0.0,11.63,11.63,11.63,0.0,0.0,11.8,11.8,11.8,0.0,0.0
2016-01-17,12.1,12.1,12.1,0.0,0.0,12.3,12.3,12.3,0.0,0.0,12.08,12.08,12.08,0.0,0.0,12.22,12.22,12.22,0.0,0.0
2016-01-24,12.42,12.42,12.42,0.0,0.0,12.68,12.68,12.68,0.0,0.0,12.42,12.42,12.42,0.0,0.0,12.68,12.68,12.68,0.0,0.0
2016-01-31,12.61,12.61,12.61,0.0,0.0,12.66,12.66,12.66,0.0,0.0,12.47,12.47,12.47,0.0,0.0,12.53,12.53,12.53,0.0,0.0
2016-02-07,11.78,11.78,11.78,0.0,0.0,12.03,12.03,12.03,0.0,0.0,11.78,11.78,11.78,0.0,0.0,12.02,12.02,12.02,0.0,0.0
2016-02-14,12.42,12.42,12.42,0.0,0.0,12.44,12.44,12.44,0.0,0.0,12.31,12.31,12.31,0.0,0.0,12.42,12.42,12.42,0.0,0.0
2016-02-21,12.55,12.55,12.55,0.0,0.0,12.61,12.61,12.61,0.0,0.0,12.45,12.45,12.45,0.0,0.0,12.5,12.5,12.5,0.0,0.0
2016-02-28,13.48,13.48,13.48,0.0,0.0,13.74,13.74,13.74,0.0,0.0,13.46,13.46,13.46,0.0,0.0,13.65,13.65,13.65,0.0,0.0
2016-03-06,13.68,13.68,13.68,0.0,0.0,13.83,13.83,13.83,0.0,0.0,13.68,13.68,13.68,0.0,0.0,13.81,13.81,13.81,0.0,0.0
2016-03-13,14.25,14.25,14.25,0.0,0.0,14.28,14.28,14.28,0.0,0.0,14.08,14.08,14.08,0.0,0.0,14.15,14.15,14.15,0.0,0.0
2016-03-20,13.43,13.43,13.43,0.0,0.0,13.62,13.62,13.62,0.0,0.0,13.37,13.37,13.37,0.0,0.0,13.61,13.61,13.61,0.0,0.0
2016-03-27,13.61,13.61,13.61,0.0,0.0,13.7,13.7,13.7,0.0,0.0,13.54,13.54,13.54,0.0,0.0,13.7,13.7,13.7,0.0,0.0
2016-04-03,13.5,13.5,13.5,0.0,0.0,13.71,13.71,13.71,0.0,0.0,13.5,13.5,13.5,0.0,0.0,13.62,13.62,13.62,0.0,0.0
2016-04-10,14.34,14.34,14.34,0.0,0.0,14.4,14.4,14.4,0.0,0.0,14.26,14.26,14.26,0.0,0.0,14.31,14.31,14.31,0.0,0.0
2016-04-17,14.82,14.82,14.82,0.0,0.0,14.97,14.97,14.97,0.0,0.0,14.79,14.79,14.79,0.0,0.0,14.88,14.88,14.88,0.0,0.0
2016-04-24,14.72,14.72,14.72,0.0,0.0,14.81,14.81,14.81,0.0,0.0,14.54,14.54,14.54,0.0,0.0,14.64,14.64,14.64,0.0,0.0
2016-05-01,13.84,13.84,13.84,0.0,0.0,14.06,14.06,14.06,0.0,0.0,13.83,13.83,13.83,0.0,0.0,13.99,13.99,13.99,0.0,0.0
