Date,JEC_stock_Open_average,JEC_stock_Open_max,JEC_stock_Open_min,JEC_stock_Open_volatility,JEC_stock_Open_change,JEC_stock_High_average,JEC_stock_High_max,JEC_stock_High_min,JEC_stock_High_volatility,JEC_stock_High_change,JEC_stock_Low_average,JEC_stock_Low_max,JEC_stock_Low_min,JEC_stock_Low_volatility,JEC_stock_Low_change,JEC_stock_Close_average,JEC_stock_Close_max,JEC_stock_Close_min,JEC_stock_Close_volatility,JEC_stock_Close_change,JEC_stock_Volume_average,JEC_stock_Volume_max,JEC_stock_Volume_min,JEC_stock_Volume_volatility,JEC_stock_Volume_change
2016-01-03,40.614,41.75,39.6,2.1499999999999986,-1.75,41.042,42.12,39.95,2.1699999999999946,-1.9899999999999949,40.048,41.04,38.59,2.4499999999999957,-2.4499999999999957,40.394,41.92,38.75,3.1700000000000017,-3.1700000000000017,858603,1074933,631974,442959,416303
2016-01-10,38.566,39.39,37.13,2.259999999999998,-1.7299999999999969,38.912,39.63,37.79,1.8400000000000034,-1.3699999999999974,37.692,38.29,36.75,1.5399999999999991,-1.25,38.346000000000004,39.06,37.64,1.4200000000000017,-0.759999999999998,1229877,1375963,875420,500543,-44919
2016-01-17,37.037499999999994,38.0,35.87,2.1300000000000026,-0.5900000000000034,37.81,38.41,37.19,1.2199999999999989,0.20999999999999375,36.1825,36.9,35.2,1.6999999999999957,0.6400000000000006,36.8125,37.41,36.44,0.9699999999999989,0.9699999999999989,1314076,2028280,973843,1054437,-296117
2016-01-24,37.424,37.89,36.89,1.0,0.7000000000000028,38.164,39.23,37.47,1.759999999999998,1.529999999999994,37.002,37.45,36.54,0.9100000000000037,0.8000000000000043,37.717999999999996,39.23,36.72,2.509999999999998,2.509999999999998,1152290,1762368,698912,1063456,421768
2016-01-31,38.048,38.84,37.22,1.6200000000000045,-1.5300000000000011,38.642,39.22,37.97,1.25,-1.25,37.275999999999996,38.15,36.19,1.9600000000000009,-1.3299999999999983,37.918,39.13,37.05,2.0800000000000054,-2.0800000000000054,1907289,3067773,1083110,1984663,624098
2016-02-07,35.556,36.48,34.91,1.5700000000000003,-1.1099999999999994,36.034,36.62,35.58,1.0399999999999991,-0.44999999999999574,35.034,35.39,34.76,0.6300000000000026,-0.01999999999999602,35.55,36.08,35.06,1.019999999999996,0.36999999999999744,1209657,1448038,932213,515825,-120537
2016-02-14,37.644999999999996,38.67,36.79,1.8800000000000026,0.6400000000000006,38.2475,38.84,37.23,1.6100000000000065,0.8900000000000006,37.0,37.69,36.04,1.6499999999999986,0.6499999999999986,37.9075,38.43,37.21,1.2199999999999989,0.7800000000000011,899204,1075925,678209,397716,-201267
2016-02-21,38.424,38.86,37.68,1.1799999999999997,0.3999999999999986,39.004,39.19,38.55,0.6400000000000006,-0.030000000000001137,38.058,38.59,37.27,1.3200000000000003,0.13000000000000256,38.54,38.86,38.23,0.6300000000000026,0.22999999999999687,662934,893004,463049,429955,-222869
2016-02-28,39.588,40.7,38.84,1.8599999999999994,1.8599999999999994,40.098,40.85,39.1,1.75,1.75,39.294,40.16,38.26,1.8999999999999986,1.8999999999999986,39.919999999999995,40.73,38.65,2.0799999999999983,2.0799999999999983,728621,1076373,520386,555987,280627
2016-03-06,40.964,41.41,40.58,0.8299999999999983,0.3400000000000034,41.502,41.92,40.97,0.9500000000000028,0.0,40.444,40.88,39.88,1.0,0.30000000000000426,41.122,41.75,40.6,1.1499999999999986,0.0,778807,1154803,569071,585732,-445448
