Date,PowerShares S&P SmallCap Consumer Staples_etf_Open_average,PowerShares S&P SmallCap Consumer Staples_etf_Open_max,PowerShares S&P SmallCap Consumer Staples_etf_Open_min,PowerShares S&P SmallCap Consumer Staples_etf_Open_volatility,PowerShares S&P SmallCap Consumer Staples_etf_Open_change,PowerShares S&P SmallCap Consumer Staples_etf_High_average,PowerShares S&P SmallCap Consumer Staples_etf_High_max,PowerShares S&P SmallCap Consumer Staples_etf_High_min,PowerShares S&P SmallCap Consumer Staples_etf_High_volatility,PowerShares S&P SmallCap Consumer Staples_etf_High_change,PowerShares S&P SmallCap Consumer Staples_etf_Low_average,PowerShares S&P SmallCap Consumer Staples_etf_Low_max,PowerShares S&P SmallCap Consumer Staples_etf_Low_min,PowerShares S&P SmallCap Consumer Staples_etf_Low_volatility,PowerShares S&P SmallCap Consumer Staples_etf_Low_change,PowerShares S&P SmallCap Consumer Staples_etf_Close_average,PowerShares S&P SmallCap Consumer Staples_etf_Close_max,PowerShares S&P SmallCap Consumer Staples_etf_Close_min,PowerShares S&P SmallCap Consumer Staples_etf_Close_volatility,PowerShares S&P SmallCap Consumer Staples_etf_Close_change
2016-01-03,53.27,53.27,53.27,0.0,0.0,53.27,53.27,53.27,0.0,0.0,52.26,52.26,52.26,0.0,0.0,52.61,52.61,52.61,0.0,0.0
2016-01-10,52.19,52.19,52.19,0.0,0.0,52.5,52.5,52.5,0.0,0.0,51.23,51.23,51.23,0.0,0.0,52.16,52.16,52.16,0.0,0.0
2016-01-17,53.53,53.53,53.53,0.0,0.0,53.54,53.54,53.54,0.0,0.0,52.47,52.47,52.47,0.0,0.0,52.67,52.67,52.67,0.0,0.0
2016-01-24,52.57,52.57,52.57,0.0,0.0,53.48,53.48,53.48,0.0,0.0,52.56,52.56,52.56,0.0,0.0,53.43,53.43,53.43,0.0,0.0
2016-01-31,51.99,51.99,51.99,0.0,0.0,52.05,52.05,52.05,0.0,0.0,51.59,51.59,51.59,0.0,0.0,51.66,51.66,51.66,0.0,0.0
2016-02-07,51.41,51.41,51.41,0.0,0.0,51.85,51.85,51.85,0.0,0.0,51.2,51.2,51.2,0.0,0.0,51.85,51.85,51.85,0.0,0.0
2016-02-14,53.35,53.35,53.35,0.0,0.0,53.72,53.72,53.72,0.0,0.0,53.35,53.35,53.35,0.0,0.0,53.72,53.72,53.72,0.0,0.0
2016-02-21,55.37,55.37,55.37,0.0,0.0,55.37,55.37,55.37,0.0,0.0,54.83,54.83,54.83,0.0,0.0,54.83,54.83,54.83,0.0,0.0
2016-02-28,57.0,57.0,57.0,0.0,0.0,57.29,57.29,57.29,0.0,0.0,56.63,56.63,56.63,0.0,0.0,56.73,56.73,56.73,0.0,0.0
2016-03-06,57.7,57.7,57.7,0.0,0.0,57.96,57.96,57.96,0.0,0.0,57.61,57.61,57.61,0.0,0.0,57.95,57.95,57.95,0.0,0.0
