Date,ED_stock_Open_average,ED_stock_Open_max,ED_stock_Open_min,ED_stock_Open_volatility,ED_stock_Open_change,ED_stock_High_average,ED_stock_High_max,ED_stock_High_min,ED_stock_High_volatility,ED_stock_High_change,ED_stock_Low_average,ED_stock_Low_max,ED_stock_Low_min,ED_stock_Low_volatility,ED_stock_Low_change,ED_stock_Close_average,ED_stock_Close_max,ED_stock_Close_min,ED_stock_Close_volatility,ED_stock_Close_change,ED_stock_Volume_average,ED_stock_Volume_max,ED_stock_Volume_min,ED_stock_Volume_volatility,ED_stock_Volume_change
2016-01-03,64.62,65.82,63.85,1.9699999999999918,1.9699999999999918,65.564,66.8,64.42,2.3799999999999955,2.3799999999999955,64.294,65.72,63.47,2.25,2.25,65.336,66.43,64.4,2.030000000000001,2.030000000000001,2744425,5463980,1516635,3947345,3776386
2016-01-10,66.33800000000001,66.59,65.68,0.9099999999999966,-0.0799999999999983,67.398,67.99,66.69,1.2999999999999972,0.4200000000000017,65.89,66.5,65.11,1.3900000000000006,0.3299999999999983,66.75800000000001,67.68,65.5,2.180000000000007,1.3700000000000045,3671389,4280448,3140171,1140277,-441812
2016-01-17,68.2825,68.66,68.0,0.6599999999999966,0.21999999999999886,68.9025,69.26,68.32,0.9400000000000119,-0.9400000000000119,67.0625,67.73,66.2,1.5300000000000011,-0.980000000000004,68.245,69.07,67.69,1.3799999999999955,-1.0999999999999943,3624993,4585663,3143685,1441978,-228402
2016-01-24,68.38,69.7,67.87,1.8299999999999983,1.5300000000000011,69.168,70.2,68.23,1.9699999999999989,1.9699999999999989,67.898,69.21,67.48,1.7299999999999898,1.7299999999999898,68.534,69.39,67.81,1.5799999999999983,1.5799999999999983,2212306,3791204,1423357,2367847,1659859
2016-01-31,70.694,71.43,69.41,2.0200000000000102,1.7999999999999972,71.684,72.31,70.81,1.5,1.4299999999999926,70.21,71.22,69.08,2.1400000000000006,1.0600000000000023,71.35600000000001,72.04,70.42,1.6200000000000045,1.6200000000000045,2106225,2574468,1720698,853770,-45202
2016-02-07,72.79,73.49,71.81,1.6799999999999926,-0.3299999999999983,73.286,73.9,72.0,1.9000000000000057,-1.1500000000000057,71.692,72.72,69.75,2.969999999999999,-2.219999999999999,72.59,73.61,70.72,2.8900000000000006,-2.3599999999999994,2640512,3244164,2016206,1227958,388516
2016-02-14,70.5875,71.0,70.03,0.9699999999999989,0.09000000000000341,71.3475,71.98,70.72,1.2600000000000051,0.5300000000000011,69.7,69.93,69.34,0.5900000000000034,-0.25,70.78,71.31,69.97,1.3400000000000034,-0.09999999999999432,2941563,3257428,2660066,597362,389447
2016-02-21,71.574,71.85,71.0,0.8499999999999943,0.8499999999999943,72.242,72.49,71.68,0.8099999999999881,0.6499999999999915,70.836,71.43,70.17,1.2600000000000051,-0.14999999999999147,71.6,72.45,70.35,2.1000000000000085,-1.230000000000004,1806068,2195215,1413402,781813,393268
2016-02-28,70.218,70.51,69.78,0.730000000000004,0.060000000000002274,70.842,71.47,70.55,0.9200000000000017,0.7399999999999949,69.42,70.01,68.44,1.5700000000000074,-0.05000000000001137,70.422,71.39,69.78,1.6099999999999994,1.3799999999999955,2266041,2643556,1667313,976243,-976243
2016-03-06,72.362,73.24,71.31,1.9299999999999926,1.9299999999999926,73.12,73.75,71.76,1.9899999999999949,1.9899999999999949,72.07,72.99,70.98,2.009999999999991,2.009999999999991,72.726,73.27,71.69,1.5799999999999983,1.5799999999999983,1568500,2103353,1286773,816580,-48341
