Date,Vanguard Intermediate-Term Bond_etf_Open_average,Vanguard Intermediate-Term Bond_etf_Open_max,Vanguard Intermediate-Term Bond_etf_Open_min,Vanguard Intermediate-Term Bond_etf_Open_volatility,Vanguard Intermediate-Term Bond_etf_Open_change,Vanguard Intermediate-Term Bond_etf_High_average,Vanguard Intermediate-Term Bond_etf_High_max,Vanguard Intermediate-Term Bond_etf_High_min,Vanguard Intermediate-Term Bond_etf_High_volatility,Vanguard Intermediate-Term Bond_etf_High_change,Vanguard Intermediate-Term Bond_etf_Low_average,Vanguard Intermediate-Term Bond_etf_Low_max,Vanguard Intermediate-Term Bond_etf_Low_min,Vanguard Intermediate-Term Bond_etf_Low_volatility,Vanguard Intermediate-Term Bond_etf_Low_change,Vanguard Intermediate-Term Bond_etf_Close_average,Vanguard Intermediate-Term Bond_etf_Close_max,Vanguard Intermediate-Term Bond_etf_Close_min,Vanguard Intermediate-Term Bond_etf_Close_volatility,Vanguard Intermediate-Term Bond_etf_Close_change
2016-01-03,83.79,83.79,83.79,0.0,0.0,84.04,84.04,84.04,0.0,0.0,83.71,83.71,83.71,0.0,0.0,83.99,83.99,83.99,0.0,0.0
2016-01-10,84.36,84.36,84.36,0.0,0.0,84.43,84.43,84.43,0.0,0.0,84.14,84.14,84.14,0.0,0.0,84.23,84.23,84.23,0.0,0.0
2016-01-17,83.98,83.98,83.98,0.0,0.0,84.05,84.05,84.05,0.0,0.0,83.79,83.79,83.79,0.0,0.0,83.97,83.97,83.97,0.0,0.0
2016-01-24,84.57,84.57,84.57,0.0,0.0,84.62,84.62,84.62,0.0,0.0,84.42,84.42,84.42,0.0,0.0,84.58,84.58,84.58,0.0,0.0
2016-01-31,84.69,84.69,84.69,0.0,0.0,84.86,84.86,84.86,0.0,0.0,84.55,84.55,84.55,0.0,0.0,84.81,84.81,84.81,0.0,0.0
2016-02-07,85.28,85.28,85.28,0.0,0.0,85.38,85.38,85.38,0.0,0.0,84.94,84.94,84.94,0.0,0.0,85.06,85.06,85.06,0.0,0.0
2016-02-14,85.04,85.04,85.04,0.0,0.0,85.18,85.18,85.18,0.0,0.0,84.91,84.91,84.91,0.0,0.0,85.14,85.14,85.14,0.0,0.0
2016-02-21,85.33,85.33,85.33,0.0,0.0,85.4,85.4,85.4,0.0,0.0,85.2,85.2,85.2,0.0,0.0,85.36,85.36,85.36,0.0,0.0
2016-02-28,84.8,84.8,84.8,0.0,0.0,84.83,84.83,84.83,0.0,0.0,84.56,84.56,84.56,0.0,0.0,84.72,84.72,84.72,0.0,0.0
2016-03-06,84.75,84.75,84.75,0.0,0.0,84.75,84.75,84.75,0.0,0.0,84.53,84.53,84.53,0.0,0.0,84.63,84.63,84.63,0.0,0.0
2016-03-13,85.37,85.37,85.37,0.0,0.0,85.57,85.57,85.57,0.0,0.0,85.31,85.31,85.31,0.0,0.0,85.42,85.42,85.42,0.0,0.0
2016-03-20,85.54,85.54,85.54,0.0,0.0,85.64,85.64,85.64,0.0,0.0,85.22,85.22,85.22,0.0,0.0,85.44,85.44,85.44,0.0,0.0
2016-03-27,86.1,86.1,86.1,0.0,0.0,86.11,86.11,86.11,0.0,0.0,85.84,85.84,85.84,0.0,0.0,85.92,85.92,85.92,0.0,0.0
2016-04-03,86.41,86.41,86.41,0.0,0.0,86.47,86.47,86.47,0.0,0.0,86.29,86.29,86.29,0.0,0.0,86.39,86.39,86.39,0.0,0.0
2016-04-10,86.21,86.21,86.21,0.0,0.0,86.41,86.41,86.41,0.0,0.0,86.11,86.11,86.11,0.0,0.0,86.37,86.37,86.37,0.0,0.0
2016-04-17,86.06,86.06,86.06,0.0,0.0,86.1,86.1,86.1,0.0,0.0,85.92,85.92,85.92,0.0,0.0,85.94,85.94,85.94,0.0,0.0
2016-04-24,86.23,86.23,86.23,0.0,0.0,86.44,86.44,86.44,0.0,0.0,86.1,86.1,86.1,0.0,0.0,86.34,86.34,86.34,0.0,0.0
2016-05-01,86.59,86.59,86.59,0.0,0.0,86.64,86.64,86.64,0.0,0.0,86.36,86.36,86.36,0.0,0.0,86.43,86.43,86.43,0.0,0.0
