Date,iShares US Real Estate_etf_Open_average,iShares US Real Estate_etf_Open_max,iShares US Real Estate_etf_Open_min,iShares US Real Estate_etf_Open_volatility,iShares US Real Estate_etf_Open_change,iShares US Real Estate_etf_High_average,iShares US Real Estate_etf_High_max,iShares US Real Estate_etf_High_min,iShares US Real Estate_etf_High_volatility,iShares US Real Estate_etf_High_change,iShares US Real Estate_etf_Low_average,iShares US Real Estate_etf_Low_max,iShares US Real Estate_etf_Low_min,iShares US Real Estate_etf_Low_volatility,iShares US Real Estate_etf_Low_change,iShares US Real Estate_etf_Close_average,iShares US Real Estate_etf_Close_max,iShares US Real Estate_etf_Close_min,iShares US Real Estate_etf_Close_volatility,iShares US Real Estate_etf_Close_change
2016-01-03,74.22,74.22,74.22,0.0,0.0,74.32,74.32,74.32,0.0,0.0,72.64,72.64,72.64,0.0,0.0,72.77,72.77,72.77,0.0,0.0
2016-01-10,70.49,70.49,70.49,0.0,0.0,70.81,70.81,70.81,0.0,0.0,69.87,69.87,69.87,0.0,0.0,70.54,70.54,70.54,0.0,0.0
2016-01-17,70.15,70.15,70.15,0.0,0.0,71.55,71.55,71.55,0.0,0.0,69.93,69.93,69.93,0.0,0.0,71.25,71.25,71.25,0.0,0.0
2016-01-24,70.73,70.73,70.73,0.0,0.0,72.01,72.01,72.01,0.0,0.0,70.41,70.41,70.41,0.0,0.0,72.0,72.0,72.0,0.0,0.0
2016-01-31,71.31,71.31,71.31,0.0,0.0,71.46,71.46,71.46,0.0,0.0,70.03,70.03,70.03,0.0,0.0,70.07,70.07,70.07,0.0,0.0
2016-02-07,66.88,66.88,66.88,0.0,0.0,67.28,67.28,67.28,0.0,0.0,66.54,66.54,66.54,0.0,0.0,67.13,67.13,67.13,0.0,0.0
2016-02-14,69.44,69.44,69.44,0.0,0.0,70.2,70.2,70.2,0.0,0.0,69.14,69.14,69.14,0.0,0.0,69.85,69.85,69.85,0.0,0.0
2016-02-21,71.5,71.5,71.5,0.0,0.0,72.14,72.14,72.14,0.0,0.0,71.5,71.5,71.5,0.0,0.0,71.58,71.58,71.58,0.0,0.0
2016-02-28,74.02,74.02,74.02,0.0,0.0,74.58,74.58,74.58,0.0,0.0,73.9,73.9,73.9,0.0,0.0,74.45,74.45,74.45,0.0,0.0
2016-03-06,74.72,74.72,74.72,0.0,0.0,75.7,75.7,75.7,0.0,0.0,74.5,74.5,74.5,0.0,0.0,75.68,75.68,75.68,0.0,0.0
2016-03-13,77.82,77.82,77.82,0.0,0.0,77.93,77.93,77.93,0.0,0.0,77.26,77.26,77.26,0.0,0.0,77.29,77.29,77.29,0.0,0.0
2016-03-20,75.09,75.09,75.09,0.0,0.0,75.48,75.48,75.48,0.0,0.0,74.72,74.72,74.72,0.0,0.0,75.43,75.43,75.43,0.0,0.0
2016-03-27,77.51,77.51,77.51,0.0,0.0,78.04,78.04,78.04,0.0,0.0,77.31,77.31,77.31,0.0,0.0,77.91,77.91,77.91,0.0,0.0
2016-04-03,77.44,77.44,77.44,0.0,0.0,77.87,77.87,77.87,0.0,0.0,77.4,77.4,77.4,0.0,0.0,77.57,77.57,77.57,0.0,0.0
2016-04-10,77.5,77.5,77.5,0.0,0.0,78.02,78.02,78.02,0.0,0.0,77.26,77.26,77.26,0.0,0.0,77.83,77.83,77.83,0.0,0.0
2016-04-17,76.19,76.19,76.19,0.0,0.0,76.79,76.79,76.79,0.0,0.0,76.0,76.0,76.0,0.0,0.0,76.64,76.64,76.64,0.0,0.0
2016-04-24,76.58,76.58,76.58,0.0,0.0,77.01,77.01,77.01,0.0,0.0,75.82,75.82,75.82,0.0,0.0,76.56,76.56,76.56,0.0,0.0
2016-05-01,78.65,78.65,78.65,0.0,0.0,79.55,79.55,79.55,0.0,0.0,78.31,78.31,78.31,0.0,0.0,79.52,79.52,79.52,0.0,0.0
2016-05-08,78.99,78.99,78.99,0.0,0.0,79.05,79.05,79.05,0.0,0.0,78.19,78.19,78.19,0.0,0.0,78.63,78.63,78.63,0.0,0.0
2016-05-15,76.1,76.1,76.1,0.0,0.0,76.84,76.84,76.84,0.0,0.0,76.1,76.1,76.1,0.0,0.0,76.74,76.74,76.74,0.0,0.0
2016-05-22,77.94,77.94,77.94,0.0,0.0,78.58,78.58,78.58,0.0,0.0,77.9,77.9,77.9,0.0,0.0,78.24,78.24,78.24,0.0,0.0
2016-05-29,79.6,79.6,79.6,0.0,0.0,79.75,79.75,79.75,0.0,0.0,78.0,78.0,78.0,0.0,0.0,78.96,78.96,78.96,0.0,0.0
2016-06-05,79.3,79.3,79.3,0.0,0.0,79.4,79.4,79.4,0.0,0.0,78.93,78.93,78.93,0.0,0.0,79.1,79.1,79.1,0.0,0.0
2016-06-12,79.66,79.66,79.66,0.0,0.0,79.75,79.75,79.75,0.0,0.0,79.05,79.05,79.05,0.0,0.0,79.61,79.61,79.61,0.0,0.0
2016-06-19,78.7,78.7,78.7,0.0,0.0,79.75,79.75,79.75,0.0,0.0,77.84,77.84,77.84,0.0,0.0,78.83,78.83,78.83,0.0,0.0
