Date,SPDR S&P ChinaEtf_Open_average,SPDR S&P ChinaEtf_Open_max,SPDR S&P ChinaEtf_Open_min,SPDR S&P ChinaEtf_Open_volatility,SPDR S&P ChinaEtf_Open_change,SPDR S&P ChinaEtf_High_average,SPDR S&P ChinaEtf_High_max,SPDR S&P ChinaEtf_High_min,SPDR S&P ChinaEtf_High_volatility,SPDR S&P ChinaEtf_High_change,SPDR S&P ChinaEtf_Low_average,SPDR S&P ChinaEtf_Low_max,SPDR S&P ChinaEtf_Low_min,SPDR S&P ChinaEtf_Low_volatility,SPDR S&P ChinaEtf_Low_change,SPDR S&P ChinaEtf_Close_average,SPDR S&P ChinaEtf_Close_max,SPDR S&P ChinaEtf_Close_min,SPDR S&P ChinaEtf_Close_volatility,SPDR S&P ChinaEtf_Close_change
2016-01-03,67.29,67.29,67.29,0.0,0.0,67.44,67.44,67.44,0.0,0.0,65.79,65.79,65.79,0.0,0.0,65.79,65.79,65.79,0.0,0.0
2016-01-10,61.51,61.51,61.51,0.0,0.0,63.24,63.24,63.24,0.0,0.0,61.0,61.0,61.0,0.0,0.0,62.37,62.37,62.37,0.0,0.0
2016-01-17,64.18,64.18,64.18,0.0,0.0,64.28,64.28,64.28,0.0,0.0,63.5,63.5,63.5,0.0,0.0,64.01,64.01,64.01,0.0,0.0
2016-01-24,63.53,63.53,63.53,0.0,0.0,64.11,64.11,64.11,0.0,0.0,63.23,63.23,63.23,0.0,0.0,64.11,64.11,64.11,0.0,0.0
2016-01-31,62.05,62.05,62.05,0.0,0.0,62.1,62.1,62.1,0.0,0.0,60.75,60.75,60.75,0.0,0.0,60.99,60.99,60.99,0.0,0.0
2016-02-07,59.02,59.02,59.02,0.0,0.0,60.0,60.0,60.0,0.0,0.0,58.95,58.95,58.95,0.0,0.0,59.93,59.93,59.93,0.0,0.0
2016-02-14,63.25,63.25,63.25,0.0,0.0,63.56,63.56,63.56,0.0,0.0,62.93,62.93,62.93,0.0,0.0,63.35,63.35,63.35,0.0,0.0
2016-02-21,63.86,63.86,63.86,0.0,0.0,64.02,64.02,64.02,0.0,0.0,63.19,63.19,63.19,0.0,0.0,63.19,63.19,63.19,0.0,0.0
2016-02-28,66.64,66.64,66.64,0.0,0.0,68.03,68.03,68.03,0.0,0.0,66.64,66.64,66.64,0.0,0.0,67.76,67.76,67.76,0.0,0.0
2016-03-06,66.76,66.76,66.76,0.0,0.0,67.8,67.8,67.8,0.0,0.0,66.76,66.76,66.76,0.0,0.0,67.7,67.7,67.7,0.0,0.0
2016-03-13,69.25,69.25,69.25,0.0,0.0,69.57,69.57,69.57,0.0,0.0,69.2,69.2,69.2,0.0,0.0,69.32,69.32,69.32,0.0,0.0
2016-03-20,67.41,67.41,67.41,0.0,0.0,67.99,67.99,67.99,0.0,0.0,67.28,67.28,67.28,0.0,0.0,67.99,67.99,67.99,0.0,0.0
2016-03-27,68.55,68.55,68.55,0.0,0.0,69.71,69.71,69.71,0.0,0.0,68.2,68.2,68.2,0.0,0.0,69.56,69.56,69.56,0.0,0.0
2016-04-03,69.06,69.06,69.06,0.0,0.0,69.11,69.11,69.11,0.0,0.0,68.42,68.42,68.42,0.0,0.0,68.57,68.57,68.57,0.0,0.0
2016-04-10,71.77,71.77,71.77,0.0,0.0,71.87,71.87,71.87,0.0,0.0,71.44,71.44,71.44,0.0,0.0,71.55,71.55,71.55,0.0,0.0
2016-04-17,71.32,71.32,71.32,0.0,0.0,71.71,71.71,71.71,0.0,0.0,70.71,70.71,70.71,0.0,0.0,70.97,70.97,70.97,0.0,0.0
2016-04-24,69.6,69.6,69.6,0.0,0.0,69.81,69.81,69.81,0.0,0.0,68.92,68.92,68.92,0.0,0.0,69.41,69.41,69.41,0.0,0.0
2016-05-01,66.7,66.7,66.7,0.0,0.0,67.42,67.42,67.42,0.0,0.0,66.7,66.7,66.7,0.0,0.0,67.18,67.18,67.18,0.0,0.0
2016-05-08,65.63,65.63,65.63,0.0,0.0,65.77,65.77,65.77,0.0,0.0,64.8,64.8,64.8,0.0,0.0,64.85,64.85,64.85,0.0,0.0
2016-05-15,65.75,65.75,65.75,0.0,0.0,66.11,66.11,66.11,0.0,0.0,65.75,65.75,65.75,0.0,0.0,65.92,65.92,65.92,0.0,0.0
2016-05-22,68.12,68.12,68.12,0.0,0.0,68.37,68.37,68.37,0.0,0.0,67.81,67.81,67.81,0.0,0.0,68.22,68.22,68.22,0.0,0.0
2016-05-29,69.2,69.2,69.2,0.0,0.0,69.25,69.25,69.25,0.0,0.0,68.68,68.68,68.68,0.0,0.0,69.11,69.11,69.11,0.0,0.0
2016-06-05,68.25,68.25,68.25,0.0,0.0,68.63,68.63,68.63,0.0,0.0,68.0,68.0,68.0,0.0,0.0,68.2,68.2,68.2,0.0,0.0
2016-06-12,66.68,66.68,66.68,0.0,0.0,66.92,66.92,66.92,0.0,0.0,66.31,66.31,66.31,0.0,0.0,66.69,66.69,66.69,0.0,0.0
2016-06-19,66.46,66.46,66.46,0.0,0.0,68.05,68.05,68.05,0.0,0.0,66.02,66.02,66.02,0.0,0.0,66.61,66.61,66.61,0.0,0.0
2016-06-26,70.16,70.16,70.16,0.0,0.0,70.94,70.94,70.94,0.0,0.0,70.12,70.12,70.12,0.0,0.0,70.3,70.3,70.3,0.0,0.0
2016-07-03,69.32,69.32,69.32,0.0,0.0,69.92,69.92,69.92,0.0,0.0,69.19,69.19,69.19,0.0,0.0,69.84,69.84,69.84,0.0,0.0
2016-07-10,72.09,72.09,72.09,0.0,0.0,72.11,72.11,72.11,0.0,0.0,71.7,71.7,71.7,0.0,0.0,71.93,71.93,71.93,0.0,0.0
2016-07-17,72.34,72.34,72.34,0.0,0.0,72.68,72.68,72.68,0.0,0.0,72.32,72.32,72.32,0.0,0.0,72.61,72.61,72.61,0.0,0.0
2016-07-24,71.89,71.89,71.89,0.0,0.0,72.2,72.2,72.2,0.0,0.0,71.48,71.48,71.48,0.0,0.0,72.08,72.08,72.08,0.0,0.0
2016-07-31,72.99,72.99,72.99,0.0,0.0,73.39,73.39,73.39,0.0,0.0,72.96,72.96,72.96,0.0,0.0,73.31,73.31,73.31,0.0,0.0
2016-08-07,75.63,75.63,75.63,0.0,0.0,76.25,76.25,76.25,0.0,0.0,75.63,75.63,75.63,0.0,0.0,76.16,76.16,76.16,0.0,0.0
2016-08-14,77.39,77.39,77.39,0.0,0.0,77.83,77.83,77.83,0.0,0.0,77.11,77.11,77.11,0.0,0.0,77.73,77.73,77.73,0.0,0.0
2016-08-21,76.89,76.89,76.89,0.0,0.0,77.61,77.61,77.61,0.0,0.0,75.98,75.98,75.98,0.0,0.0,76.53,76.53,76.53,0.0,0.0
2016-08-28,78.3,78.3,78.3,0.0,0.0,78.95,78.95,78.95,0.0,0.0,78.3,78.3,78.3,0.0,0.0,78.66,78.66,78.66,0.0,0.0
2016-09-04,80.4,80.4,80.4,0.0,0.0,80.4,80.4,80.4,0.0,0.0,79.0,79.0,79.0,0.0,0.0,79.06,79.06,79.06,0.0,0.0
2016-09-11,79.36,79.36,79.36,0.0,0.0,79.46,79.46,79.46,0.0,0.0,78.83,78.83,78.83,0.0,0.0,79.29,79.29,79.29,0.0,0.0
2016-09-18,80.96,80.96,80.96,0.0,0.0,81.11,81.11,81.11,0.0,0.0,80.59,80.59,80.59,0.0,0.0,80.83,80.83,80.83,0.0,0.0
2016-09-25,79.67,79.67,79.67,0.0,0.0,80.09,80.09,80.09,0.0,0.0,79.43,79.43,79.43,0.0,0.0,79.91,79.91,79.91,0.0,0.0
2016-10-02,81.06,81.06,81.06,0.0,0.0,81.17,81.17,81.17,0.0,0.0,80.29,80.29,80.29,0.0,0.0,80.73,80.73,80.73,0.0,0.0
2016-10-09,79.08,79.08,79.08,0.0,0.0,79.4,79.4,79.4,0.0,0.0,78.71,78.71,78.71,0.0,0.0,78.81,78.81,78.81,0.0,0.0
2016-10-16,79.0,79.0,79.0,0.0,0.0,79.41,79.41,79.41,0.0,0.0,79.0,79.0,79.0,0.0,0.0,79.4,79.4,79.4,0.0,0.0
