Date,First Trust Multi Cap Value AlphaDEX_etf_Open_average,First Trust Multi Cap Value AlphaDEX_etf_Open_max,First Trust Multi Cap Value AlphaDEX_etf_Open_min,First Trust Multi Cap Value AlphaDEX_etf_Open_volatility,First Trust Multi Cap Value AlphaDEX_etf_Open_change,First Trust Multi Cap Value AlphaDEX_etf_High_average,First Trust Multi Cap Value AlphaDEX_etf_High_max,First Trust Multi Cap Value AlphaDEX_etf_High_min,First Trust Multi Cap Value AlphaDEX_etf_High_volatility,First Trust Multi Cap Value AlphaDEX_etf_High_change,First Trust Multi Cap Value AlphaDEX_etf_Low_average,First Trust Multi Cap Value AlphaDEX_etf_Low_max,First Trust Multi Cap Value AlphaDEX_etf_Low_min,First Trust Multi Cap Value AlphaDEX_etf_Low_volatility,First Trust Multi Cap Value AlphaDEX_etf_Low_change,First Trust Multi Cap Value AlphaDEX_etf_Close_average,First Trust Multi Cap Value AlphaDEX_etf_Close_max,First Trust Multi Cap Value AlphaDEX_etf_Close_min,First Trust Multi Cap Value AlphaDEX_etf_Close_volatility,First Trust Multi Cap Value AlphaDEX_etf_Close_change
2016-01-03,38.58,38.58,38.58,0.0,0.0,38.67,38.67,38.67,0.0,0.0,37.82,37.82,37.82,0.0,0.0,37.83,37.83,37.83,0.0,0.0
2016-01-10,36.32,36.32,36.32,0.0,0.0,36.51,36.51,36.51,0.0,0.0,35.77,35.77,35.77,0.0,0.0,36.46,36.46,36.46,0.0,0.0
2016-01-17,36.77,36.77,36.77,0.0,0.0,37.06,37.06,37.06,0.0,0.0,36.61,36.61,36.61,0.0,0.0,36.96,36.96,36.96,0.0,0.0
2016-01-24,37.31,37.31,37.31,0.0,0.0,38.24,38.24,38.24,0.0,0.0,37.31,37.31,37.31,0.0,0.0,38.19,38.19,38.19,0.0,0.0
2016-01-31,37.88,37.88,37.88,0.0,0.0,37.94,37.94,37.94,0.0,0.0,37.6,37.6,37.6,0.0,0.0,37.62,37.62,37.62,0.0,0.0
2016-02-07,36.45,36.45,36.45,0.0,0.0,36.95,36.95,36.95,0.0,0.0,36.39,36.39,36.39,0.0,0.0,36.95,36.95,36.95,0.0,0.0
2016-02-14,38.28,38.28,38.28,0.0,0.0,38.28,38.28,38.28,0.0,0.0,37.91,37.91,37.91,0.0,0.0,38.26,38.26,38.26,0.0,0.0
2016-02-21,39.37,39.37,39.37,0.0,0.0,39.5,39.5,39.5,0.0,0.0,39.23,39.23,39.23,0.0,0.0,39.34,39.34,39.34,0.0,0.0
2016-02-28,41.45,41.45,41.45,0.0,0.0,42.04,42.04,42.04,0.0,0.0,41.38,41.38,41.38,0.0,0.0,41.75,41.75,41.75,0.0,0.0
2016-03-06,42.15,42.15,42.15,0.0,0.0,42.43,42.43,42.43,0.0,0.0,42.14,42.14,42.14,0.0,0.0,42.43,42.43,42.43,0.0,0.0
2016-03-13,43.26,43.26,43.26,0.0,0.0,43.3,43.3,43.3,0.0,0.0,43.13,43.13,43.13,0.0,0.0,43.26,43.26,43.26,0.0,0.0
2016-03-20,41.75,41.75,41.75,0.0,0.0,42.27,42.27,42.27,0.0,0.0,41.75,41.75,41.75,0.0,0.0,42.27,42.27,42.27,0.0,0.0
2016-03-27,42.72,42.72,42.72,0.0,0.0,42.99,42.99,42.99,0.0,0.0,42.5,42.5,42.5,0.0,0.0,42.99,42.99,42.99,0.0,0.0
2016-04-03,41.98,41.98,41.98,0.0,0.0,41.98,41.98,41.98,0.0,0.0,41.57,41.57,41.57,0.0,0.0,41.64,41.64,41.64,0.0,0.0
2016-04-10,43.13,43.13,43.13,0.0,0.0,43.13,43.13,43.13,0.0,0.0,42.95,42.95,42.95,0.0,0.0,43.07,43.07,43.07,0.0,0.0
2016-04-17,43.9,43.9,43.9,0.0,0.0,43.91,43.91,43.91,0.0,0.0,43.82,43.82,43.82,0.0,0.0,43.82,43.82,43.82,0.0,0.0
2016-04-24,43.23,43.23,43.23,0.0,0.0,43.44,43.44,43.44,0.0,0.0,43.06,43.06,43.06,0.0,0.0,43.32,43.32,43.32,0.0,0.0
2016-05-01,42.37,42.37,42.37,0.0,0.0,42.47,42.47,42.47,0.0,0.0,42.16,42.16,42.16,0.0,0.0,42.45,42.45,42.45,0.0,0.0
2016-05-08,42.06,42.06,42.06,0.0,0.0,42.14,42.14,42.14,0.0,0.0,41.65,41.65,41.65,0.0,0.0,41.71,41.71,41.71,0.0,0.0
2016-05-15,41.78,41.78,41.78,0.0,0.0,42.25,42.25,42.25,0.0,0.0,41.78,41.78,41.78,0.0,0.0,42.18,42.18,42.18,0.0,0.0
2016-05-22,43.38,43.38,43.38,0.0,0.0,43.42,43.42,43.42,0.0,0.0,43.28,43.28,43.28,0.0,0.0,43.42,43.42,43.42,0.0,0.0
2016-05-29,43.63,43.63,43.63,0.0,0.0,43.72,43.72,43.72,0.0,0.0,43.3,43.3,43.3,0.0,0.0,43.67,43.67,43.67,0.0,0.0
2016-06-05,43.71,43.71,43.71,0.0,0.0,43.71,43.71,43.71,0.0,0.0,43.24,43.24,43.24,0.0,0.0,43.34,43.34,43.34,0.0,0.0
2016-06-12,42.64,42.64,42.64,0.0,0.0,42.68,42.68,42.68,0.0,0.0,42.56,42.56,42.56,0.0,0.0,42.68,42.68,42.68,0.0,0.0
2016-06-19,41.32,41.32,41.32,0.0,0.0,42.48,42.48,42.48,0.0,0.0,41.32,41.32,41.32,0.0,0.0,41.64,41.64,41.64,0.0,0.0
2016-06-26,42.41,42.41,42.41,0.0,0.0,42.78,42.78,42.78,0.0,0.0,42.41,42.41,42.41,0.0,0.0,42.69,42.69,42.69,0.0,0.0
2016-07-03,42.67,42.67,42.67,0.0,0.0,43.15,43.15,43.15,0.0,0.0,42.67,42.67,42.67,0.0,0.0,43.09,43.09,43.09,0.0,0.0
2016-07-10,44.68,44.68,44.68,0.0,0.0,44.68,44.68,44.68,0.0,0.0,44.31,44.31,44.31,0.0,0.0,44.45,44.45,44.45,0.0,0.0
2016-07-17,44.6,44.6,44.6,0.0,0.0,44.8,44.8,44.8,0.0,0.0,44.6,44.6,44.6,0.0,0.0,44.8,44.8,44.8,0.0,0.0
2016-07-24,44.69,44.69,44.69,0.0,0.0,44.93,44.93,44.93,0.0,0.0,44.53,44.53,44.53,0.0,0.0,44.93,44.93,44.93,0.0,0.0
2016-07-31,44.44,44.44,44.44,0.0,0.0,45.15,45.15,45.15,0.0,0.0,44.44,44.44,44.44,0.0,0.0,45.06,45.06,45.06,0.0,0.0
