Date,SOL_stock_Open_average,SOL_stock_Open_max,SOL_stock_Open_min,SOL_stock_Open_volatility,SOL_stock_Open_change,SOL_stock_High_average,SOL_stock_High_max,SOL_stock_High_min,SOL_stock_High_volatility,SOL_stock_High_change,SOL_stock_Low_average,SOL_stock_Low_max,SOL_stock_Low_min,SOL_stock_Low_volatility,SOL_stock_Low_change,SOL_stock_Close_average,SOL_stock_Close_max,SOL_stock_Close_min,SOL_stock_Close_volatility,SOL_stock_Close_change,SOL_stock_Volume_average,SOL_stock_Volume_max,SOL_stock_Volume_min,SOL_stock_Volume_volatility,SOL_stock_Volume_change
2016-01-03,8.7,9.2,8.05,1.1499999999999986,0.6499999999999986,9.117,9.25,8.935,0.3149999999999995,-0.3149999999999995,8.49,8.9,7.95,0.9500000000000002,0.4999999999999991,8.8,9.1,8.45,0.6500000000000004,-0.5999999999999996,228218,336502,119020,217482,-107370
2016-01-10,8.26,8.65,7.75,0.9000000000000004,-0.9000000000000004,8.45,8.75,8.0,0.75,-0.75,7.64,8.0,7.25,0.75,-0.25,8.04,8.25,7.3,0.9500000000000002,-0.9500000000000002,155767,279744,108769,170975,-119822
2016-01-17,7.35,7.7,7.0,0.7000000000000002,0.20000000000000018,7.5125,7.85,7.2,0.6499999999999995,0.2999999999999998,7.05,7.55,6.55,1.0,0.4500000000000002,7.35,7.75,7.0,0.75,0.4500000000000002,126077,182417,69731,112686,-53022
2016-01-24,7.64,7.75,7.5,0.25,0.09999999999999964,7.78,7.85,7.7,0.14999999999999947,0.14999999999999947,7.42,7.6,7.3,0.2999999999999998,0.2999999999999998,7.64,7.85,7.45,0.39999999999999947,0.39999999999999947,60993,87274,42072,45202,-23754
2016-01-31,7.32,7.65,7.0,0.6500000000000004,-0.40000000000000036,7.4799999999999995,7.85,7.25,0.5999999999999996,-0.5499999999999998,6.9844,7.4,6.65,0.75,-0.42799999999999994,7.24,7.6,7.0,0.5999999999999996,-0.39999999999999947,67472,93425,39587,53838,-4975
2016-02-07,6.51,7.2,5.95,1.25,-1.25,6.64,7.2,6.3,0.9000000000000004,-0.9000000000000004,6.2,6.6,5.9,0.6999999999999993,-0.6999999999999993,6.42,6.9,6.1,0.8000000000000007,-0.6000000000000005,78083,89877,60336,29541,16069
2016-02-14,6.6875,6.95,6.35,0.6000000000000005,0.6000000000000005,6.925,7.1,6.65,0.4499999999999993,0.4499999999999993,6.60525,6.9,6.25,0.6500000000000004,0.6500000000000004,6.8375,7.1,6.45,0.6499999999999995,0.6499999999999995,76557,96184,60220,35964,-35964
2016-02-21,7.2,7.3,7.1,0.20000000000000018,0.14999999999999947,7.33,7.4,7.25,0.15000000000000036,-0.05000000000000071,7.014,7.1,6.9,0.1999999999999993,0.02999999999999936,7.24,7.35,7.1,0.25,-0.14999999999999947,35013,45931,24593,21338,4235
2016-02-28,7.28,7.55,7.15,0.39999999999999947,0.34999999999999964,7.3999999999999995,7.6,7.3,0.2999999999999998,0.2999999999999998,7.16,7.25,7.0,0.25,0.25,7.28,7.5,7.15,0.34999999999999964,0.04999999999999982,46080,72967,14068,58899,29296
2016-03-06,7.23,7.65,7.0,0.6500000000000004,-0.20000000000000018,7.34,7.7,7.1,0.6000000000000005,-0.3000000000000007,6.9990000000000006,7.2,6.9,0.2999999999999998,-0.14999999999999947,7.11,7.3,6.95,0.34999999999999964,-0.2999999999999998,63979,103236,32674,70562,-31204
2016-03-13,7.37,7.55,7.1,0.4500000000000002,0.3000000000000007,7.59,7.7,7.55,0.15000000000000036,-0.15000000000000036,7.2608,7.35,7.004,0.3460000000000001,0.3460000000000001,7.41,7.55,7.3,0.25,0.20000000000000018,84276,159141,40015,119126,-52795
2016-03-20,7.375,7.5,7.15,0.34999999999999964,-0.34999999999999964,7.42175,7.55,7.15,0.39999999999999947,-0.38700000000000045,7.175,7.35,7.0,0.34999999999999964,-0.34999999999999964,7.2625,7.45,7.0,0.4500000000000002,-0.4500000000000002,73931,112031,47574,64457,-39756
2016-03-27,7.02,7.15,6.75,0.40000000000000036,0.09999999999999964,7.18,7.25,7.1,0.15000000000000036,-0.10000000000000053,6.93,7.15,6.65,0.5,0.25,7.06,7.2,6.8,0.40000000000000036,0.25,60104,99605,34283,65322,-55733
2016-04-03,6.9399999999999995,7.1,6.8,0.2999999999999998,-0.2999999999999998,7.05,7.2,6.95,0.25,-0.14999999999999947,6.82,6.9,6.75,0.15000000000000036,-0.15000000000000036,6.89,7.0,6.8,0.20000000000000018,-0.20000000000000018,48460,59550,37378,22172,-9830
