Date,Vanguard FTSE PacificEtf_Open_average,Vanguard FTSE PacificEtf_Open_max,Vanguard FTSE PacificEtf_Open_min,Vanguard FTSE PacificEtf_Open_volatility,Vanguard FTSE PacificEtf_Open_change,Vanguard FTSE PacificEtf_High_average,Vanguard FTSE PacificEtf_High_max,Vanguard FTSE PacificEtf_High_min,Vanguard FTSE PacificEtf_High_volatility,Vanguard FTSE PacificEtf_High_change,Vanguard FTSE PacificEtf_Low_average,Vanguard FTSE PacificEtf_Low_max,Vanguard FTSE PacificEtf_Low_min,Vanguard FTSE PacificEtf_Low_volatility,Vanguard FTSE PacificEtf_Low_change,Vanguard FTSE PacificEtf_Close_average,Vanguard FTSE PacificEtf_Close_max,Vanguard FTSE PacificEtf_Close_min,Vanguard FTSE PacificEtf_Close_volatility,Vanguard FTSE PacificEtf_Close_change
2016-01-03,53.83,53.83,53.83,0.0,0.0,53.93,53.93,53.93,0.0,0.0,52.93,52.93,52.93,0.0,0.0,52.98,52.98,52.98,0.0,0.0
2016-01-10,51.67,51.67,51.67,0.0,0.0,51.78,51.78,51.78,0.0,0.0,51.04,51.04,51.04,0.0,0.0,51.43,51.43,51.43,0.0,0.0
2016-01-17,51.76,51.76,51.76,0.0,0.0,52.37,52.37,52.37,0.0,0.0,51.75,51.75,51.75,0.0,0.0,52.34,52.34,52.34,0.0,0.0
2016-01-24,52.65,52.65,52.65,0.0,0.0,53.35,53.35,53.35,0.0,0.0,52.65,52.65,52.65,0.0,0.0,53.29,53.29,53.29,0.0,0.0
2016-01-31,51.97,51.97,51.97,0.0,0.0,52.05,52.05,52.05,0.0,0.0,51.17,51.17,51.17,0.0,0.0,51.36,51.36,51.36,0.0,0.0
2016-02-07,48.86,48.86,48.86,0.0,0.0,49.65,49.65,49.65,0.0,0.0,48.66,48.66,48.66,0.0,0.0,49.63,49.63,49.63,0.0,0.0
2016-02-14,51.01,51.01,51.01,0.0,0.0,51.3,51.3,51.3,0.0,0.0,50.9,50.9,50.9,0.0,0.0,51.19,51.19,51.19,0.0,0.0
2016-02-21,52.26,52.26,52.26,0.0,0.0,52.35,52.35,52.35,0.0,0.0,51.68,51.68,51.68,0.0,0.0,51.73,51.73,51.73,0.0,0.0
2016-02-28,54.67,54.67,54.67,0.0,0.0,54.96,54.96,54.96,0.0,0.0,54.5,54.5,54.5,0.0,0.0,54.73,54.73,54.73,0.0,0.0
2016-03-06,54.87,54.87,54.87,0.0,0.0,55.29,55.29,55.29,0.0,0.0,54.82,54.82,54.82,0.0,0.0,55.26,55.26,55.26,0.0,0.0
2016-03-13,55.29,55.29,55.29,0.0,0.0,55.56,55.56,55.56,0.0,0.0,55.22,55.22,55.22,0.0,0.0,55.4,55.4,55.4,0.0,0.0
2016-03-20,54.36,54.36,54.36,0.0,0.0,54.68,54.68,54.68,0.0,0.0,54.36,54.36,54.36,0.0,0.0,54.64,54.64,54.64,0.0,0.0
2016-03-27,53.85,53.85,53.85,0.0,0.0,54.38,54.38,54.38,0.0,0.0,53.74,53.74,53.74,0.0,0.0,54.33,54.33,54.33,0.0,0.0
2016-04-03,54.66,54.66,54.66,0.0,0.0,54.82,54.82,54.82,0.0,0.0,54.39,54.39,54.39,0.0,0.0,54.47,54.47,54.47,0.0,0.0
2016-04-10,56.86,56.86,56.86,0.0,0.0,56.89,56.89,56.89,0.0,0.0,56.73,56.73,56.73,0.0,0.0,56.73,56.73,56.73,0.0,0.0
2016-04-17,58.17,58.17,58.17,0.0,0.0,58.3,58.3,58.3,0.0,0.0,57.89,57.89,57.89,0.0,0.0,58.09,58.09,58.09,0.0,0.0
2016-04-24,55.92,55.92,55.92,0.0,0.0,56.07,56.07,56.07,0.0,0.0,55.32,55.32,55.32,0.0,0.0,55.53,55.53,55.53,0.0,0.0
2016-05-01,54.9,54.9,54.9,0.0,0.0,55.38,55.38,55.38,0.0,0.0,54.9,54.9,54.9,0.0,0.0,55.3,55.3,55.3,0.0,0.0
