Date,AKS_stock_Open_average,AKS_stock_Open_max,AKS_stock_Open_min,AKS_stock_Open_volatility,AKS_stock_Open_change,AKS_stock_High_average,AKS_stock_High_max,AKS_stock_High_min,AKS_stock_High_volatility,AKS_stock_High_change,AKS_stock_Low_average,AKS_stock_Low_max,AKS_stock_Low_min,AKS_stock_Low_volatility,AKS_stock_Low_change,AKS_stock_Close_average,AKS_stock_Close_max,AKS_stock_Close_min,AKS_stock_Close_volatility,AKS_stock_Close_change,AKS_stock_Volume_average,AKS_stock_Volume_max,AKS_stock_Volume_min,AKS_stock_Volume_volatility,AKS_stock_Volume_change
2016-01-03,2.344,2.44,2.15,0.29000000000000004,0.25,2.46,2.55,2.35,0.19999999999999973,0.1200000000000001,2.244,2.31,2.15,0.16000000000000014,0.16000000000000014,2.392,2.52,2.33,0.18999999999999995,-0.020000000000000018,6649732,9103318,5243158,3860160,-992272
2016-01-10,2.138,2.33,1.97,0.3600000000000001,-0.3600000000000001,2.168,2.36,1.99,0.3699999999999999,-0.3699999999999999,1.962,2.02,1.81,0.20999999999999996,-0.20999999999999996,2.042,2.18,1.88,0.30000000000000027,-0.18000000000000016,7587574,8375465,5940101,2435364,32809
2016-01-17,1.905,2.0,1.82,0.17999999999999994,0.040000000000000036,1.9575,2.04,1.84,0.19999999999999996,0.08000000000000007,1.7925,1.86,1.64,0.2200000000000002,0.020000000000000018,1.8875,1.93,1.83,0.09999999999999987,0.030000000000000027,5232685,6932797,3656773,3276024,-717745
2016-01-24,1.984,2.02,1.95,0.07000000000000006,0.030000000000000027,2.054,2.15,2.01,0.14000000000000012,0.020000000000000018,1.8659999999999999,1.9,1.81,0.08999999999999986,0.06999999999999984,1.952,2.04,1.83,0.20999999999999996,0.20999999999999996,5918316,8908611,3808014,5100597,541594
2016-01-31,2.146,2.35,1.96,0.3900000000000001,0.3900000000000001,2.286,2.47,2.11,0.3600000000000003,0.3400000000000003,2.08,2.25,1.93,0.32000000000000006,0.32000000000000006,2.206,2.39,2.08,0.31000000000000005,0.18999999999999995,5412441,7299348,3475057,3824291,577470
2016-02-07,2.192,2.22,2.15,0.07000000000000028,-0.020000000000000018,2.292,2.44,2.23,0.20999999999999996,0.18999999999999995,2.12,2.19,2.04,0.1499999999999999,0.06999999999999984,2.218,2.3,2.16,0.13999999999999968,0.07999999999999963,4754648,5918566,3008033,2910533,2910533
2016-02-14,2.4925,2.6,2.37,0.22999999999999998,0.18999999999999995,2.5675,2.64,2.44,0.20000000000000018,0.1499999999999999,2.4025,2.47,2.27,0.20000000000000018,0.20000000000000018,2.5125,2.57,2.39,0.17999999999999972,0.1299999999999999,4642235,8068085,2694077,5374008,-941683
2016-02-21,2.624,2.66,2.58,0.08000000000000007,0.06999999999999984,2.724,2.87,2.64,0.22999999999999998,0.18999999999999995,2.556,2.62,2.48,0.14000000000000012,0.050000000000000266,2.656,2.74,2.56,0.18000000000000016,0.08000000000000007,4644766,5657709,3626895,2030814,1472809
2016-02-28,3.216,3.76,2.85,0.9099999999999997,0.9099999999999997,3.488,3.99,2.94,1.0500000000000003,1.0500000000000003,3.118,3.6,2.77,0.8300000000000001,0.8300000000000001,3.332,3.74,2.86,0.8800000000000003,0.8800000000000003,14466693,23724832,5373173,18351659,11289964
2016-03-06,3.87,4.17,3.55,0.6200000000000001,0.19999999999999973,4.0920000000000005,4.2,3.91,0.29000000000000004,-0.020000000000000462,3.668,3.9,3.47,0.4299999999999997,-0.04999999999999982,3.902,4.15,3.62,0.5300000000000002,-0.03000000000000025,11842880,14420129,8306702,6113427,-1921730
