Date,SPDR MSCI Emer Mkts StrategicFactorsEtf_Open_average,SPDR MSCI Emer Mkts StrategicFactorsEtf_Open_max,SPDR MSCI Emer Mkts StrategicFactorsEtf_Open_min,SPDR MSCI Emer Mkts StrategicFactorsEtf_Open_volatility,SPDR MSCI Emer Mkts StrategicFactorsEtf_Open_change,SPDR MSCI Emer Mkts StrategicFactorsEtf_High_average,SPDR MSCI Emer Mkts StrategicFactorsEtf_High_max,SPDR MSCI Emer Mkts StrategicFactorsEtf_High_min,SPDR MSCI Emer Mkts StrategicFactorsEtf_High_volatility,SPDR MSCI Emer Mkts StrategicFactorsEtf_High_change,SPDR MSCI Emer Mkts StrategicFactorsEtf_Low_average,SPDR MSCI Emer Mkts StrategicFactorsEtf_Low_max,SPDR MSCI Emer Mkts StrategicFactorsEtf_Low_min,SPDR MSCI Emer Mkts StrategicFactorsEtf_Low_volatility,SPDR MSCI Emer Mkts StrategicFactorsEtf_Low_change,SPDR MSCI Emer Mkts StrategicFactorsEtf_Close_average,SPDR MSCI Emer Mkts StrategicFactorsEtf_Close_max,SPDR MSCI Emer Mkts StrategicFactorsEtf_Close_min,SPDR MSCI Emer Mkts StrategicFactorsEtf_Close_volatility,SPDR MSCI Emer Mkts StrategicFactorsEtf_Close_change
2016-01-03,44.33,44.33,44.33,0.0,0.0,44.33,44.33,44.33,0.0,0.0,43.95,43.95,43.95,0.0,0.0,44.26,44.26,44.26,0.0,0.0
2016-01-10,42.2,42.2,42.2,0.0,0.0,42.43,42.43,42.43,0.0,0.0,41.64,41.64,41.64,0.0,0.0,42.26,42.26,42.26,0.0,0.0
2016-01-17,43.1,43.1,43.1,0.0,0.0,43.18,43.18,43.18,0.0,0.0,42.68,42.68,42.68,0.0,0.0,42.92,42.92,42.92,0.0,0.0
2016-01-24,44.6,44.6,44.6,0.0,0.0,45.29,45.29,45.29,0.0,0.0,44.6,44.6,44.6,0.0,0.0,45.29,45.29,45.29,0.0,0.0
2016-01-31,44.6,44.6,44.6,0.0,0.0,44.6,44.6,44.6,0.0,0.0,44.26,44.26,44.26,0.0,0.0,44.33,44.33,44.33,0.0,0.0
2016-02-07,43.6,43.6,43.6,0.0,0.0,43.79,43.79,43.79,0.0,0.0,43.27,43.27,43.27,0.0,0.0,43.78,43.78,43.78,0.0,0.0
2016-02-14,44.95,44.95,44.95,0.0,0.0,45.07,45.07,45.07,0.0,0.0,44.8,44.8,44.8,0.0,0.0,44.8,44.8,44.8,0.0,0.0
2016-02-21,45.0,45.0,45.0,0.0,0.0,45.0,45.0,45.0,0.0,0.0,44.44,44.44,44.44,0.0,0.0,44.89,44.89,44.89,0.0,0.0
2016-02-28,47.83,47.83,47.83,0.0,0.0,48.04,48.04,48.04,0.0,0.0,47.8,47.8,47.8,0.0,0.0,47.8,47.8,47.8,0.0,0.0
2016-03-06,48.35,48.35,48.35,0.0,0.0,48.38,48.38,48.38,0.0,0.0,48.11,48.11,48.11,0.0,0.0,48.11,48.11,48.11,0.0,0.0
2016-03-13,49.08,49.08,49.08,0.0,0.0,49.12,49.12,49.12,0.0,0.0,49.08,49.08,49.08,0.0,0.0,49.12,49.12,49.12,0.0,0.0
