Date,BK_stock_Open_average,BK_stock_Open_max,BK_stock_Open_min,BK_stock_Open_volatility,BK_stock_Open_change,BK_stock_High_average,BK_stock_High_max,BK_stock_High_min,BK_stock_High_volatility,BK_stock_High_change,BK_stock_Low_average,BK_stock_Low_max,BK_stock_Low_min,BK_stock_Low_volatility,BK_stock_Low_change,BK_stock_Close_average,BK_stock_Close_max,BK_stock_Close_min,BK_stock_Close_volatility,BK_stock_Close_change,BK_stock_Volume_average,BK_stock_Volume_max,BK_stock_Volume_min,BK_stock_Volume_volatility,BK_stock_Volume_change
2016-01-03,39.144,40.29,38.14,2.1499999999999986,-2.0899999999999963,39.336,40.29,38.3,1.990000000000002,-1.990000000000002,38.512,39.59,37.07,2.520000000000003,-2.4099999999999966,38.72,39.97,37.15,2.8200000000000003,-2.8200000000000003,7364423,8238392,6984945,1253447,-543239
2016-01-10,37.202,38.01,35.61,2.3999999999999986,-2.039999999999999,37.508,38.1,36.2,1.8999999999999986,-1.529999999999994,36.364000000000004,37.16,35.34,1.8199999999999932,-1.6099999999999994,36.89,37.72,35.78,1.9399999999999977,-1.6400000000000006,7192540,8969309,5718788,3250521,1740627
2016-01-17,35.45,36.38,34.82,1.5600000000000023,-1.5600000000000023,35.9475,36.49,35.4,1.0900000000000034,-1.0900000000000034,34.8375,35.72,34.24,1.4799999999999969,-1.0799999999999983,35.215,35.93,34.31,1.6199999999999974,-0.7800000000000011,10695544,12983392,8179018,4804374,938374
2016-01-24,35.302,35.75,34.75,1.0,0.5599999999999952,35.903999999999996,36.38,35.2,1.1799999999999997,1.029999999999994,34.978,35.43,34.56,0.8699999999999974,0.8699999999999974,35.45,36.22,34.67,1.5499999999999972,1.5499999999999972,7672291,8933717,7119140,1814577,-1233760
2016-01-31,34.928,35.86,34.27,1.5899999999999963,-0.8599999999999994,35.268,36.05,34.59,1.4599999999999937,-0.6799999999999997,34.186,35.23,33.16,2.0700000000000003,-0.8999999999999986,34.708,35.5,34.29,1.2100000000000009,-1.0399999999999991,7043144,8497195,5552314,2944881,-1004850
2016-02-07,33.216,34.06,32.31,1.75,-0.269999999999996,33.796,34.27,33.04,1.230000000000004,0.11999999999999744,32.794000000000004,33.54,32.2,1.3399999999999963,0.18999999999999773,33.406,33.83,32.74,1.0899999999999963,0.5300000000000011,8591004,9782556,6777269,3005287,-205847
2016-02-14,34.7175,35.04,34.41,0.6300000000000026,-0.05000000000000426,35.075,35.35,34.83,0.5200000000000031,0.17999999999999972,34.4475,34.86,34.18,0.6799999999999997,0.14999999999999858,34.7325,34.93,34.54,0.39000000000000057,0.38000000000000256,7707528,8377632,6913772,1463860,-944844
2016-02-21,35.06,35.59,34.29,1.3000000000000043,0.240000000000002,35.526,36.4,34.88,1.519999999999996,0.7100000000000009,34.776,35.58,33.82,1.759999999999998,0.3200000000000003,35.342,36.12,34.77,1.3499999999999943,0.6899999999999977,5488566,6652659,4677633,1975026,1468010
2016-02-28,36.692,37.85,35.61,2.240000000000002,1.9100000000000037,37.304,38.43,36.1,2.3299999999999983,2.3299999999999983,36.534,37.81,35.38,2.4299999999999997,2.4299999999999997,37.078,38.09,35.39,2.700000000000003,2.700000000000003,6731550,7569991,5228222,2341769,550629
2016-03-06,37.582,37.79,37.33,0.46000000000000085,-0.3400000000000034,37.872,38.24,37.56,0.6799999999999997,-0.4299999999999997,37.032000000000004,37.46,36.27,1.1899999999999977,-0.240000000000002,37.484,38.17,36.87,1.3000000000000043,-0.4200000000000017,6007801,7147743,4698514,2449229,1432604
2016-03-13,37.334,37.59,37.06,0.5300000000000011,0.18000000000000682,37.782000000000004,38.31,37.46,0.8500000000000014,0.5300000000000011,37.064,37.52,36.7,0.8200000000000003,0.30000000000000426,37.564,38.15,37.17,0.9799999999999969,0.519999999999996,6988092,10530156,4695096,5835060,5687989
