Date,iShares MSCI Taiwan CappedEtf_Open_average,iShares MSCI Taiwan CappedEtf_Open_max,iShares MSCI Taiwan CappedEtf_Open_min,iShares MSCI Taiwan CappedEtf_Open_volatility,iShares MSCI Taiwan CappedEtf_Open_change,iShares MSCI Taiwan CappedEtf_High_average,iShares MSCI Taiwan CappedEtf_High_max,iShares MSCI Taiwan CappedEtf_High_min,iShares MSCI Taiwan CappedEtf_High_volatility,iShares MSCI Taiwan CappedEtf_High_change,iShares MSCI Taiwan CappedEtf_Low_average,iShares MSCI Taiwan CappedEtf_Low_max,iShares MSCI Taiwan CappedEtf_Low_min,iShares MSCI Taiwan CappedEtf_Low_volatility,iShares MSCI Taiwan CappedEtf_Low_change,iShares MSCI Taiwan CappedEtf_Close_average,iShares MSCI Taiwan CappedEtf_Close_max,iShares MSCI Taiwan CappedEtf_Close_min,iShares MSCI Taiwan CappedEtf_Close_volatility,iShares MSCI Taiwan CappedEtf_Close_change
2016-01-03,23.76,23.76,23.76,0.0,0.0,23.8,23.8,23.8,0.0,0.0,23.4,23.4,23.4,0.0,0.0,23.44,23.44,23.44,0.0,0.0
2016-01-10,22.8,22.8,22.8,0.0,0.0,22.98,22.98,22.98,0.0,0.0,22.52,22.52,22.52,0.0,0.0,22.68,22.68,22.68,0.0,0.0
2016-01-17,23.6,23.6,23.6,0.0,0.0,23.66,23.66,23.66,0.0,0.0,23.44,23.44,23.44,0.0,0.0,23.62,23.62,23.62,0.0,0.0
2016-01-24,24.42,24.42,24.42,0.0,0.0,24.72,24.72,24.72,0.0,0.0,24.42,24.42,24.42,0.0,0.0,24.66,24.66,24.66,0.0,0.0
2016-01-31,24.96,24.96,24.96,0.0,0.0,24.99,24.99,24.99,0.0,0.0,24.7,24.7,24.7,0.0,0.0,24.78,24.78,24.78,0.0,0.0
2016-02-07,24.14,24.14,24.14,0.0,0.0,24.28,24.28,24.28,0.0,0.0,24.0,24.0,24.0,0.0,0.0,24.28,24.28,24.28,0.0,0.0
2016-02-14,25.4,25.4,25.4,0.0,0.0,25.52,25.52,25.52,0.0,0.0,25.32,25.32,25.32,0.0,0.0,25.32,25.32,25.32,0.0,0.0
2016-02-21,25.8,25.8,25.8,0.0,0.0,25.86,25.86,25.86,0.0,0.0,25.56,25.56,25.56,0.0,0.0,25.58,25.58,25.58,0.0,0.0
2016-02-28,26.84,26.84,26.84,0.0,0.0,27.24,27.24,27.24,0.0,0.0,26.84,26.84,26.84,0.0,0.0,27.12,27.12,27.12,0.0,0.0
2016-03-06,27.24,27.24,27.24,0.0,0.0,27.42,27.42,27.42,0.0,0.0,27.2,27.2,27.2,0.0,0.0,27.36,27.36,27.36,0.0,0.0
2016-03-13,27.96,27.96,27.96,0.0,0.0,28.16,28.16,28.16,0.0,0.0,27.96,27.96,27.96,0.0,0.0,28.02,28.02,28.02,0.0,0.0
2016-03-20,27.3,27.3,27.3,0.0,0.0,27.4,27.4,27.4,0.0,0.0,27.22,27.22,27.22,0.0,0.0,27.38,27.38,27.38,0.0,0.0
2016-03-27,27.18,27.18,27.18,0.0,0.0,27.6,27.6,27.6,0.0,0.0,27.08,27.08,27.08,0.0,0.0,27.58,27.58,27.58,0.0,0.0
2016-04-03,26.7,26.7,26.7,0.0,0.0,26.77,26.77,26.77,0.0,0.0,26.48,26.48,26.48,0.0,0.0,26.56,26.56,26.56,0.0,0.0
2016-04-10,27.38,27.38,27.38,0.0,0.0,27.42,27.42,27.42,0.0,0.0,27.18,27.18,27.18,0.0,0.0,27.18,27.18,27.18,0.0,0.0
2016-04-17,26.78,26.78,26.78,0.0,0.0,26.92,26.92,26.92,0.0,0.0,26.75,26.75,26.75,0.0,0.0,26.76,26.76,26.76,0.0,0.0
2016-04-24,26.16,26.16,26.16,0.0,0.0,26.2,26.2,26.2,0.0,0.0,25.94,25.94,25.94,0.0,0.0,26.12,26.12,26.12,0.0,0.0
2016-05-01,25.16,25.16,25.16,0.0,0.0,25.35,25.35,25.35,0.0,0.0,25.14,25.14,25.14,0.0,0.0,25.22,25.22,25.22,0.0,0.0
2016-05-08,24.86,24.86,24.86,0.0,0.0,24.94,24.94,24.94,0.0,0.0,24.7,24.7,24.7,0.0,0.0,24.72,24.72,24.72,0.0,0.0
